Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.4499999999999999,0.48,0.45999999999999996,0.38,0.41,0.39,0.35,0.41999999999999993,0.27999999999999997,0.41000000000000003,0.36000000000000004,0.42000000000000004,0.4,0.37999999999999995,0.45999999999999996,0.4,0.36,0.33,0.45000000000000007,0.4,0.37,0.47000000000000003,0.45,0.41999999999999993,0.4,0.42000000000000004,0.44000000000000006,0.43,0.39,0.37
AdiacTruncEnd,0.6492912867912868,0.6353716853716853,0.6499039249039249,0.6543038418038418,0.6534745659745661,0.6135797385797386,0.6387834387834389,0.6238124488124488,0.6525557775557775,0.5957197457197457,0.643886593886594,0.646204546204546,0.6621121746121746,0.6263363888363888,0.6251878751878752,0.6210125835125836,0.6345451845451845,0.6538235038235037,0.6457894957894957,0.6300848925848926,0.6305370680370679,0.6212239712239711,0.6811157311157311,0.6428434553434553,0.6727800352800354,0.6354532104532105,0.635940785940786,0.6479937854937855,0.5886972261972262,0.6495043995043995
ArrowHeadTruncEnd,0.7350287120590648,0.7268252666119771,0.6199070276182663,0.765472609607146,0.7828821438337435,0.7388569866010392,0.6958344727007565,0.6992070002734482,0.6953787257314739,0.74277641053687,0.6338528848783156,0.7417737672044481,0.754808130525932,0.7248199799471333,0.7258226232795552,0.7369428493300519,0.5555555555555555,0.6528119588004739,0.6459757542612342,0.7403153769027436,0.7979217938200711,0.7891714520098443,0.6885425211922341,0.7423206635675873,0.7461489381095617,0.6551818430407438,0.7495214656822532,0.7572691641600583,0.6962902196700392,0.754808130525932
BMETruncEnd,0.7866666666666666,0.82,0.7333333333333334,0.7399999999999999,0.7799999999999999,0.7400000000000001,0.7399999999999999,0.8333333333333334,0.8133333333333334,0.8466666666666667,0.84,0.8066666666666666,0.8133333333333334,0.7999999999999999,0.8333333333333334,0.8066666666666666,0.7999999999999999,0.7533333333333333,0.8133333333333334,0.7933333333333333,0.7666666666666667,0.8066666666666666,0.7600000000000001,0.84,0.8066666666666666,0.8133333333333334,0.7600000000000001,0.7399999999999999,0.8133333333333334,0.7866666666666666
BeefTruncStart,0.30000000000000004,0.2333333333333333,0.16666666666666666,0.26666666666666666,0.29999999999999993,0.36666666666666664,0.3,0.39999999999999997,0.26666666666666666,0.23333333333333334,0.13333333333333333,0.36666666666666664,0.2333333333333333,0.19999999999999998,0.36666666666666664,0.29999999999999993,0.2333333333333333,0.2333333333333333,0.2333333333333333,0.3333333333333333,0.23333333333333334,0.4,0.26666666666666666,0.3,0.39999999999999997,0.3666666666666666,0.3,0.2,0.26666666666666666,0.26666666666666666
BeetleFlyTruncEnd,0.7,0.44999999999999996,0.35,0.45,0.44999999999999996,0.35,0.4,0.7,0.5,0.5,0.45,0.35,0.6499999999999999,0.5,0.4,0.35,0.55,0.45,0.7,0.7,0.5,0.4,0.5,0.55,0.5,0.55,0.45,0.55,0.5,0.5
BirdChickenTruncEnd,0.6499999999999999,0.44999999999999996,0.6499999999999999,0.55,0.7,0.8,0.7,0.44999999999999996,0.5,0.5,0.5,0.65,0.6499999999999999,0.6,0.5,0.6,0.44999999999999996,0.75,0.45,0.8,0.8,0.6000000000000001,0.4,0.8,0.5,0.6,0.6499999999999999,0.6,0.6499999999999999,0.6000000000000001
CBFTruncEnd,0.8805144920021136,0.8237293015492048,0.8183125669782854,0.8624127492086068,0.8360756280526048,0.8859447580386289,0.8612790691931987,0.7163171696519846,0.8615585877890869,0.7716229363280344,0.8691590737366105,0.7761729657120564,0.8380487527840744,0.8339213100829173,0.8038987411786204,0.802993071296996,0.7718372174565783,0.8040596372184443,0.8748634754137221,0.8569375429031414,0.9003088532329833,0.7806904998246834,0.8534923527465418,0.8505510862211162,0.8208309998962916,0.8747081598688337,0.8737007570706846,0.8737815014000622,0.8568055864211249,0.849432419218632
CarTruncEnd,0.6337478311162522,0.6469057258530942,0.8562753036437247,0.6900665124349334,0.8506362058993638,0.7022122614227877,0.8731925968768074,0.7359745517640255,0.723395026026605,0.6947657605552342,0.8144881434355118,0.5970213996529786,0.6617987275882014,0.7393001735106999,0.6941873915558125,0.7359745517640255,0.7619288606130711,0.6364227877385772,0.8074031231925969,0.7463851937536148,0.7713273568536726,0.7628687102371313,0.6584731058415269,0.8027038750722961,0.704598033545402,0.7477588201272412,0.766628108733372,0.6947657605552342,0.6970792365529208,0.8229467900520532
ChinatownTruncEnd,0.9846406904212595,0.9866487225497735,0.9939759036144578,0.9780184568059471,0.9859437751004017,0.9879518072289157,0.9799196787148594,0.9567418610612664,0.9879518072289157,0.9866487225497735,0.9806246261642314,0.9678714859437751,0.9919678714859438,0.9859437751004017,0.9846406904212595,0.9866487225497735,0.9899598393574297,0.9866487225497735,0.9826326582927455,0.9799196787148594,0.9839357429718876,0.9879518072289157,0.9959839357429718,0.9819277108433735,0.9846406904212595,0.9819277108433735,0.9786165940357174,0.9846406904212595,0.9826326582927455,0.9899598393574297
