Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8200000000000001,0.74,0.67,0.72,0.8,0.6900000000000001,0.75,0.72,0.7,0.74,0.6799999999999999,0.73,0.73,0.74,0.8299999999999998,0.73,0.6599999999999999,0.7299999999999999,0.7100000000000001,0.65,0.8200000000000001,0.75,0.82,0.78,0.8300000000000001,0.6799999999999999,0.6599999999999999,0.7500000000000001,0.75,0.77
AdiacTruncEnd,0.6482758607758609,0.5957212082212083,0.5952370452370451,0.6322175947175946,0.6261289761289761,0.6155088905088905,0.6031266781266781,0.6410115035115035,0.6272617397617397,0.6039675039675039,0.5845230595230595,0.6076801951801952,0.6143100143100143,0.6233557733557734,0.5891677016677017,0.5978510228510228,0.568559856059856,0.6021432021432023,0.6005636630636629,0.6086791961791962,0.5973550473550472,0.5733144483144483,0.6482727482727483,0.6234620859620859,0.5951663576663576,0.6155199905199904,0.6116961491961492,0.6131202131202133,0.5365893490893491,0.5810832560832562
ArrowHeadTruncEnd,0.6620180475799836,0.6803390757451463,0.7074104457205359,0.685261143013399,0.6096982955063348,0.7117856166256494,0.6928265427034911,0.7204448090420198,0.6121593291404612,0.6082399052046304,0.7141555008659193,0.6933734390666303,0.7248199799471333,0.6082399052046304,0.6900009114939385,0.6591012669765747,0.6387749521465681,0.629113116397776,0.5942940479445812,0.7131528575334974,0.750524109014675,0.6749612615076109,0.6701303436332148,0.6914593017956431,0.715158144198341,0.6281104730653541,0.6639321848509707,0.7242730835839941,0.6518093154680521,0.6885425211922341
BMETruncEnd,0.7400000000000001,0.7333333333333334,0.7200000000000001,0.7666666666666666,0.68,0.7200000000000001,0.6933333333333334,0.7533333333333333,0.7200000000000001,0.8066666666666666,0.7866666666666667,0.7200000000000001,0.7400000000000001,0.7799999999999999,0.7333333333333334,0.6866666666666666,0.6866666666666666,0.7200000000000001,0.6866666666666666,0.82,0.6866666666666666,0.68,0.6733333333333333,0.6666666666666666,0.7266666666666667,0.6866666666666666,0.7799999999999999,0.7266666666666667,0.7866666666666666,0.7266666666666667
BeefTruncStart,0.5333333333333334,0.5,0.5,0.5666666666666667,0.36666666666666664,0.5,0.5333333333333334,0.4666666666666666,0.5,0.5,0.3666666666666667,0.5,0.4333333333333334,0.4,0.5000000000000001,0.4,0.26666666666666666,0.5,0.4333333333333334,0.4333333333333333,0.33333333333333337,0.5333333333333333,0.4333333333333333,0.5333333333333333,0.5333333333333333,0.5666666666666667,0.4333333333333334,0.3333333333333333,0.3333333333333333,0.5333333333333334
BeetleFlyTruncEnd,0.75,0.9,0.9,0.8500000000000001,0.8,0.7,0.9,0.8500000000000001,0.9,0.7,0.8,0.9,0.6,0.85,0.9,0.9,0.8,0.6,0.65,0.8,0.7,0.9,0.9,0.75,0.75,0.8500000000000001,0.85,0.8,0.8500000000000001,0.9
BirdChickenTruncEnd,0.7,0.75,0.8,0.65,0.75,0.75,0.95,0.7,0.75,0.9,0.75,0.8,0.6,0.9,0.75,0.9,0.6499999999999999,0.8,0.95,0.95,0.8500000000000001,0.8,0.8,0.55,0.7,0.6499999999999999,0.75,0.6499999999999999,0.8,0.8
CBFTruncEnd,0.840608866566909,0.9013679620328805,0.8839220014716703,0.8692711280995206,0.905930337644636,0.8882039695591409,0.8848186339145937,0.8274532201431176,0.9269757174392935,0.9113239106923271,0.8658179869722605,0.9223171894059489,0.8935754675516442,0.8860484663515908,0.94002854447852,0.8273798341654691,0.859958664829548,0.8917364722382723,0.9089606945493873,0.891346479596624,0.9101244005906436,0.8223075593483168,0.8777154540201786,0.8629796386012218,0.8935601582292546,0.8594701986754966,0.9134139788928891,0.9080130474934688,0.8969826807117354,0.8737149799250337
CarTruncEnd,0.747325043377675,0.7834731058415269,0.8350925390399075,0.7760266049739734,0.789545980335454,0.7524580682475419,0.7820994794679006,0.6857287449392713,0.8036437246963563,0.7689415847310583,0.8562753036437247,0.8839647194910354,0.6580393290919606,0.7999566223250434,0.796631000578369,0.6961393869288606,0.8158617698091383,0.8027038750722961,0.6101792943898207,0.7689415847310583,0.8280075187969924,0.8219346443030653,0.7801474840948525,0.8276460381723539,0.8046558704453441,0.8172353961827648,0.6819693464430306,0.7393001735106999,0.7365529207634471,0.7834731058415269
ChinatownTruncEnd,0.9124583440143553,0.9325386652994958,0.938562761685038,0.7760616935828419,0.9090404169870974,0.9106639323250448,0.8861830299923097,0.8686020678458515,0.9104503118858412,0.9293343587114415,0.8110740835683159,0.8487994531316756,0.8496539348884902,0.9130564812441254,0.9123515337947534,0.7690763052208835,0.8283773391438093,0.9240152097752713,0.8591600444330514,0.9036144578313253,0.9136546184738956,0.9271127061437239,0.9160898914808169,0.9157694608220115,0.9223916944373238,0.9044262155002991,0.8886823891309921,0.9083354695377254,0.8811415876271042,0.9345466974280099
ChlorineConcentrationTruncStart,0.4536391644466519,0.43928955286870225,0.4486501514503381,0.46168250029003927,0.4651035578444748,0.4415073771281272,0.45517955262662424,0.4586125456929304,0.44469944662621264,0.4465812070820943,0.4388322165089913,0.45698875242397013,0.4356076829367348,0.44688479871588926,0.463665364385806,0.44761930456688576,0.4554574312904733,0.4340922358134213,0.4416412569266846,0.45365510828118877,0.4402034540796163,0.4630029755557143,0.457485117561412,0.4389235900746273,0.45222398671399205,0.45465533081039117,0.45929680391529804,0.45812916161115574,0.44800486736055517,0.4533658624149893
CinCECGTorsoTruncEnd,0.9060920972944043,0.7640581155639765,0.886902819752724,0.8825430627737637,0.859587140729671,0.7389059679663518,0.8556585822734891,0.6457692738204577,0.8825713462894147,0.8848543089459822,0.8342500476272017,0.7500607330215512,0.9168484061380899,0.8436374320895407,0.794927917990777,0.8806248169966473,0.8038878992808849,0.8154008876079581,0.7616510479096292,0.8766863031580726,0.7449661124120565,0.8398828704414096,0.7494331473463309,0.8913716003999944,0.8152410492365192,0.788457994290666,0.8112574619037982,0.7812012988697713,0.8992970150902249,0.8497151300315267
CoffeeTruncStart,0.9230769230769231,0.9615384615384616,0.8179487179487179,1.0,1.0,1.0,0.8846153846153846,0.9666666666666667,0.9230769230769231,0.9230769230769231,1.0,0.9615384615384616,0.9666666666666667,1.0,1.0,0.9615384615384616,0.9615384615384616,1.0,0.9230769230769231,0.9666666666666667,1.0,0.9,0.9666666666666667,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.9230769230769231,0.8897435897435897,0.9230769230769231,0.9282051282051282
ComputersTruncStart,0.716,0.752,0.76,0.744,0.74,0.788,0.784,0.768,0.76,0.78,0.724,0.76,0.756,0.744,0.772,0.756,0.76,0.728,0.784,0.784,0.72,0.76,0.744,0.724,0.728,0.8,0.748,0.792,0.6799999999999999,0.764
CricketXTruncEnd,0.6732384062531594,0.7136801394940814,0.6719381384978824,0.6714443948299419,0.7120911678094379,0.6660970214681281,0.7179977694769457,0.6824919827821013,0.6877656685407758,0.7233492942630546,0.7013398542823007,0.6874345661442908,0.7388484919416117,0.6735626436586811,0.6769557693891691,0.7175423085591016,0.6631919458706775,0.7290630649008149,0.6777350473793229,0.6981110495785382,0.695382813760575,0.6639125656345153,0.6942880358122941,0.6763365913919833,0.6936260755443375,0.6777700026070534,0.6337773493907302,0.6916169771534162,0.6501519814571396,0.700521427011688
CricketYTruncEnd,0.6898095433124142,0.6386108671463518,0.5936477317885581,0.680173857036016,0.6707121475917893,0.6500117049359877,0.6368503625378094,0.6558251221247894,0.6451047701745987,0.6792108724472299,0.6771648068044596,0.7051992153509158,0.6777307532073857,0.6710119532224771,0.6963890969872902,0.6634509569823726,0.6653736591004511,0.6784783662578843,0.6339202472253697,0.6603463867631979,0.6659881079142883,0.6769920932574084,0.6785576794938707,0.6617430874981136,0.6847053568361559,0.6598467455143379,0.6515473804553173,0.6431869360079012,0.6542036226119441,0.6992755242472044
CricketZTruncEnd,0.6871074240205899,0.7080365217729102,0.6744026404054627,0.7105992626775363,0.6330614951438053,0.676154914579537,0.6768329282963438,0.6865920716349749,0.6541320036901267,0.665622597998392,0.6943783489215591,0.6819738486445743,0.6891058320704954,0.6769391719959538,0.6934473663317275,0.6830651523451046,0.6896158814700971,0.6656590256682335,0.638622534535547,0.6712440005883744,0.694107115545076,0.7069407686285757,0.6659663327167932,0.6721349661860564,0.6909340397280106,0.6825730250853023,0.7070137614111806,0.6723381664394662,0.6969517302993536,0.6833057164528352
CropTruncEnd,0.5939285714285715,0.6017857142857143,0.5957738095238095,0.5976785714285714,0.5946428571428571,0.6022619047619048,0.5948809523809523,0.5947023809523809,0.6001785714285713,0.6001190476190477,0.5926785714285715,0.597797619047619,0.5942857142857143,0.6032142857142858,0.6043452380952381,0.6007738095238095,0.5893452380952381,0.597202380952381,0.5993452380952381,0.603452380952381,0.5947619047619047,0.5927380952380953,0.5991071428571427,0.5923214285714287,0.5955357142857143,0.5913690476190476,0.5908333333333333,0.5905357142857143,0.5989880952380953,0.5951190476190477
DiatomSizeReductionTruncEnd,0.6301587479954414,0.6766417323253267,0.5690612140738142,0.7989228306543054,0.6818452475889715,0.6820293310791413,0.7027862398587941,0.7166372084750662,0.6138114453411592,0.7176976671238848,0.7237909696022395,0.7513706275488947,0.6975671980257454,0.6700414299620016,0.713653992636177,0.6459403277084862,0.6600363382138718,0.5862412120825466,0.6989822907695089,0.6686235581435588,0.6640458180000909,0.7086084617265835,0.5029918551362617,0.7202838981863033,0.7017807585568918,0.6852969791699896,0.596915637925718,0.7165293682945761,0.7063440595949607,0.6963459759481961
DistalPhalanxOutlineAgeGroupTruncStart,0.7466898449949296,0.7732290308561495,0.8164855859771114,0.7752281616688398,0.7556135013762132,0.7419382877009996,0.7544256120527306,0.8195277415616399,0.7564247428654208,0.7082717658988846,0.7332464146023469,0.786382732145444,0.7590323047950167,0.708938142836448,0.7270751847023034,0.7916558018252934,0.7477328697667681,0.7585107924090976,0.8410835868462988,0.7703317398232653,0.7735187599594379,0.7836303056642041,0.7800666376937563,0.7862378675937998,0.7311603650586701,0.7912212081703607,0.7461683326090105,0.7875706214689266,0.7269303201506592,0.7677241778936694
DistalPhalanxOutlineCorrectTruncStart,0.6968944099378882,0.7285714285714285,0.7571428571428571,0.7807453416149068,0.7291925465838509,0.7434782608695651,0.7478260869565218,0.7267080745341614,0.7869565217391304,0.7217391304347827,0.7534161490683229,0.7440993788819876,0.7062111801242237,0.7136645962732919,0.7341614906832299,0.7409937888198758,0.7503105590062111,0.7844720496894411,0.7583850931677019,0.7565217391304347,0.6900621118012422,0.7291925465838509,0.7621118012422361,0.7335403726708074,0.7937888198757764,0.7546583850931677,0.762111801242236,0.768944099378882,0.7236024844720497,0.7453416149068324
DistalPhalanxTWTruncStart,0.5184435447593342,0.5051731893837157,0.5284150547308443,0.4771330034487929,0.46622432148747933,0.511808367071525,0.47248998564788036,0.5172814514919778,0.4436947068526016,0.49778827410406357,0.4627005548058179,0.5298770430349378,0.48118158644474435,0.5020617783775678,0.5765856950067477,0.5289023841655421,0.46075123706702653,0.5281432748538012,0.5263157894736842,0.5286399760083971,0.5364278752436648,0.5138607737291948,0.47076023391812866,0.4757085020242915,0.47668316089368723,0.4767260030417925,0.48024441445494076,0.5419478182636077,0.5154071075123707,0.4925775978407558
ECG200TruncEnd,0.8654513888888888,0.7508680555555556,0.8142361111111112,0.7543402777777778,0.8220486111111112,0.7604166666666667,0.8359375,0.7864583333333333,0.828125,0.8081597222222222,0.8081597222222222,0.7005208333333334,0.7508680555555556,0.7630208333333333,0.7986111111111112,0.8515625,0.7803819444444444,0.8402777777777778,0.8159722222222222,0.7821180555555556,0.8081597222222222,0.7986111111111112,0.8515625,0.7508680555555556,0.7743055555555556,0.7760416666666667,0.7473958333333333,0.7664930555555556,0.8220486111111112,0.7942708333333333
ECG5000TruncStart,0.4859639687232466,0.45529228862734417,0.4681580520233747,0.49243556366443225,0.4843535442461584,0.46381732963759914,0.47065851023665484,0.4800791441723405,0.5010723951805103,0.44793664223957963,0.5136497188184054,0.4931582906592455,0.4525857677044323,0.5166960317777145,0.42389202971585904,0.5105210751799756,0.44056199488357156,0.48254775254867954,0.4672580291587886,0.4720722385616427,0.4269025054588528,0.4836180789698085,0.47919993113892084,0.4535182126044933,0.4693552131426415,0.46499924084669064,0.44957929302429306,0.45771491292150834,0.4829603813123395,0.48976056841505605
ECGFiveDaysTruncStart,0.8292422999719411,0.7933025404157044,0.8957636355787701,0.8992278388120265,0.7667922125574669,0.9113093824868879,0.9074323886814444,0.8086135632729706,0.8667064168699143,0.8613374414538861,0.9073649392415446,0.8969588396537955,0.793019252768125,0.9189662429043189,0.7892852517752693,0.9270089141179771,0.8218741231572813,0.8970127992057154,0.7651572381342946,0.9371991754980467,0.8703864583108502,0.8772474153374631,0.8520456066132827,0.8965406531264164,0.8051412661069262,0.7732080032807407,0.8394109775312426,0.9396570330879972,0.8159115926701345,0.8959120243465498
EOGHorizontalSignalTruncEnd,0.5174298603386479,0.5970831788406872,0.5919756519589668,0.6054937584970955,0.5917902607835867,0.6145624768261031,0.5668736868125077,0.5698615745890495,0.5858701025831171,0.5976455320726735,0.5939407984179953,0.5717123964899272,0.6219935731059202,0.5977165986899023,0.567590532690644,0.5979915956000496,0.5978958101594364,0.5670652576937338,0.5901248300580894,0.5951242120875045,0.5559417871709307,0.5888394512421209,0.5671548634285009,0.5802125818811025,0.5887622049190459,0.6173587937214189,0.5591150661228527,0.5833549623037944,0.5838338895068594,0.5971727845754542
EOGVerticalSignalTruncEnd,0.39357619577308117,0.5866302064021752,0.5497898900012359,0.5799159560004943,0.5551724137931034,0.5575732295142751,0.5636725991842789,0.5444197256210604,0.5020887405759487,0.5324063774564332,0.5662958843159066,0.5243233222098628,0.5881411444815227,0.5274657026325547,0.5661104931405265,0.5526572735137807,0.5387622049190458,0.5550828080583364,0.5665523421085157,0.5805431961438635,0.5669169447534298,0.5272864911630206,0.5690551229761464,0.5524718823384007,0.5277468792485477,0.5278550241008527,0.5718514398714621,0.5218267210480781,0.5307996539364727,0.561009145964652
EarthquakesTruncStart,0.5,0.5,0.5,0.5,0.4951923076923077,0.5046703296703297,0.49986263736263736,0.5,0.5,0.5094780219780219,0.5,0.5,0.5,0.5237637362637363,0.5,0.4951923076923077,0.5142857142857142,0.5,0.5,0.5,0.5,0.4951923076923077,0.5,0.5,0.5142857142857142,0.5285714285714286,0.5,0.5094780219780219,0.5,0.5
ElectricDevicesTruncStart,0.5208241480360928,0.7501178260632012,0.756472668153458,0.751447459028589,0.7455584496618701,0.7514645808034112,0.7658047076557865,0.749207075941425,0.7648376844490967,0.7525712777128548,0.7510604397907136,0.7502407015261544,0.7511144875185359,0.7461704744029743,0.7570599930300457,0.7403022040636736,0.7506130244176171,0.7470847429241116,0.7420884527354623,0.7543869310101502,0.7522619386844055,0.748548930028097,0.7536912262249327,0.7502622218197146,0.75045091324208,0.7518454711674643,0.7539832523337457,0.7516403065910128,0.7514385966156852,0.747960725115379
EthanolLevelTruncEnd,0.38655273937532003,0.5244175627240143,0.46265360983102916,0.48447900665642607,0.5179851510496672,0.5263056835637481,0.5480030721966206,0.5440348182283666,0.5482590885816692,0.5381144393241167,0.4859511008704557,0.4998399897593446,0.591589861751152,0.5181451612903226,0.5344022017409114,0.5080005120327701,0.5341141833077316,0.5357782898105479,0.5361303123399898,0.5318740399385561,0.5160330261136713,0.5323220686123912,0.558083717357911,0.5220494111623144,0.5203213005632361,0.49612775217613925,0.5518433179723502,0.48035074244751663,0.4859511008704557,0.4961917562724014
FaceAllTruncEnd,0.7818289152664147,0.8656844737318569,0.8694009121160331,0.8653331035803496,0.8425305826566539,0.8505169217614669,0.8527974527671142,0.8666465923768151,0.8613558743597258,0.8833049367747395,0.8786515729583725,0.8719554220042584,0.8564406536172177,0.8495364725831072,0.8415247185198977,0.8769204673476575,0.85644542417184,0.8334197602117889,0.8581939630707579,0.8872497825764426,0.8789046599194423,0.868733706770228,0.8723200003925532,0.8748832834374206,0.8624618229477962,0.8656468459207497,0.8554598604342613,0.8678039054477644,0.8573518988728502,0.8600073536823188
FaceFourTruncEnd,0.7928321678321679,0.8680069930069931,0.7220279720279721,0.9466783216783218,0.8907342657342658,0.8907342657342657,0.8964785214785214,0.872002997002997,0.8732517482517482,0.8982267732267732,0.8758741258741258,0.8391608391608392,0.8968531468531469,0.9195804195804196,0.854895104895105,0.885989010989011,0.8886113886113887,0.9195804195804196,0.9064685314685315,0.8931068931068932,0.8470279720279721,0.8505244755244755,0.8475274725274725,0.9020979020979022,0.909965034965035,0.909965034965035,0.8807442557442557,0.854895104895105,0.9134615384615385,0.8889860139860141
FacesUCRTruncStart,0.6646652986894915,0.6701723966114956,0.6649307419279092,0.6882935358336154,0.6810898205669901,0.6830331958394904,0.6238290388348331,0.6931285830762938,0.6882071511132184,0.6892874956862041,0.6563153755009885,0.6750661719649809,0.6664484114278796,0.6462022262537143,0.6937777620344485,0.6577348295342171,0.6547078444435473,0.6919489272851006,0.6559518586090796,0.6788543145524619,0.6962592341458865,0.7106402984931627,0.6327649680614124,0.68089706829243,0.6531686985017301,0.6739920357711753,0.6671450645922831,0.6615396499325561,0.6660426761650682,0.682467820909988
FiftyWordsTruncEnd,0.3962438677765303,0.3952729257154954,0.3661557422969187,0.3739145117696201,0.40638784064232986,0.3714897420776678,0.42151190778605646,0.39479031042916496,0.4182927284274034,0.4154924872513109,0.40797162627534145,0.37991037775434067,0.3603942214132616,0.40806209679553335,0.39146200550395593,0.4001690243708819,0.4294276953696458,0.37979533751422295,0.43330267372806075,0.4337572519156111,0.39962291153978463,0.3950107633336736,0.41298578818841974,0.37559908595016955,0.4141429174368803,0.3676698565796089,0.41208964171363555,0.3790218576229412,0.42802333114082347,0.35294822860318215
FishTruncEnd,0.8496699933892052,0.846430384065852,0.8153969675644552,0.8417850212185188,0.8482890836585417,0.7990991192715331,0.8367797965581217,0.834868530484294,0.856149318661634,0.8422185614057535,0.8048888959972703,0.8075562450685603,0.8729712323800994,0.8120825069839847,0.8523632525110357,0.8182108203783081,0.8428246220118141,0.8255237455483762,0.8062881453521847,0.8449767555925192,0.8503079350862601,0.7869108395709381,0.840758748640522,0.8175648817520738,0.8283812082826859,0.8391975348132983,0.8334031731814983,0.8708147271447764,0.8305945450280426,0.8811122129102424
