Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8300000000000001,0.78,0.65,0.6599999999999999,0.8099999999999999,0.6599999999999999,0.71,0.62,0.68,0.79,0.7999999999999999,0.6699999999999999,0.76,0.68,0.77,0.8300000000000001,0.59,0.6,0.76,0.6900000000000001,0.6399999999999999,0.63,0.6699999999999999,0.8,0.79,0.6799999999999999,0.6000000000000001,0.69,0.8,0.8200000000000001
AdiacTruncEnd,0.3476820476820477,0.34597324597324597,0.37904460404460405,0.48693532443532445,0.5084694959694961,0.41491203991203984,0.44189091689091686,0.39063181563181565,0.4882374382374382,0.5496392871392872,0.3632978507978508,0.3757219882219882,0.39803342303342304,0.41992721992721993,0.5039285789285789,0.4100725475725475,0.3547610047610048,0.4277133902133902,0.44759407259407263,0.4522211647211647,0.44571700821700827,0.3522299397299397,0.47915721665721667,0.3959141834141834,0.40233805233805237,0.3839021339021339,0.49036744036744034,0.5275161400161401,0.44747005997005984,0.5119285744285745
ArrowHeadTruncEnd,0.7374897456931911,0.5666757816060524,0.7417737672044481,0.6861726369519642,0.7147023972290585,0.7006653905751526,0.679427581806581,0.6735940205997629,0.7243642329778507,0.739859629933461,0.6851699936195423,0.5840853158326497,0.7239084860085679,0.6406890894175554,0.689545164524656,0.6721356302980585,0.6044116306626561,0.6494394312277824,0.6570959803117309,0.6880867742229514,0.7471515814419835,0.7166165345000456,0.6910035548263603,0.68234436240999,0.6547260960714611,0.6576428766748701,0.6731382736304803,0.6968371160331784,0.6962902196700392,0.7281925075198249
BMETruncEnd,0.6266666666666666,0.56,0.6066666666666668,0.54,0.5866666666666666,0.58,0.6933333333333334,0.7266666666666667,0.5599999999999999,0.7133333333333334,0.6533333333333333,0.7599999999999999,0.6266666666666666,0.5466666666666666,0.6733333333333333,0.56,0.49333333333333335,0.68,0.6133333333333333,0.5266666666666667,0.56,0.5933333333333334,0.6333333333333333,0.7333333333333334,0.6333333333333333,0.68,0.68,0.5466666666666667,0.66,0.6466666666666666
BeefTruncStart,0.4333333333333333,0.6333333333333333,0.5999999999999999,0.4666666666666667,0.6,0.5333333333333333,0.6333333333333333,0.4,0.4333333333333334,0.6333333333333333,0.4333333333333334,0.7,0.4666666666666666,0.5666666666666667,0.5666666666666667,0.4333333333333333,0.5000000000000001,0.4666666666666666,0.4333333333333333,0.6333333333333334,0.5333333333333333,0.5333333333333333,0.7,0.7,0.6,0.6333333333333334,0.39999999999999997,0.4333333333333333,0.4333333333333333,0.7666666666666667
BeetleFlyTruncEnd,0.95,0.75,0.95,0.85,1.0,0.9,0.9,0.95,0.95,1.0,0.9,0.65,0.55,0.85,0.95,0.9,0.75,1.0,0.9,0.9,0.85,0.7,0.9,0.6499999999999999,0.8,0.8500000000000001,0.95,0.75,0.6,0.8500000000000001
BirdChickenTruncEnd,0.95,0.8,0.8500000000000001,0.75,0.85,0.8500000000000001,0.95,0.9,0.9,0.95,0.75,0.75,0.55,0.8,0.95,0.9,0.7,0.9,0.85,0.95,0.8,0.75,0.9,0.8,0.8,0.75,0.9,0.75,0.6,0.9
CBFTruncEnd,0.9043523909704628,0.8825891521104642,0.9070855988661224,0.8801970951795388,0.9037963168733425,0.8672772123205476,0.9101085974191445,0.7876103629297105,0.9301911196053158,0.8877463689744235,0.859736827809631,0.8488874073415609,0.8746848995757835,0.8580557160565161,0.9103520156451398,0.873685447748295,0.8740404758730018,0.9035600594594326,0.9059599685911967,0.8890711685951475,0.8547196171681705,0.8439430888286393,0.8955382708367287,0.9082334029660576,0.8789807942081377,0.8637051523277578,0.9156205954832561,0.9033909161394827,0.8881300897323832,0.8946938382446628
CarTruncEnd,0.6769086176980913,0.7976431463273569,0.7510844418739155,0.7038027761711971,0.7032244071717755,0.6769086176980913,0.6637507229612493,0.6970792365529208,0.7669895893580104,0.809788895315211,0.6876807403123193,0.8155002891844997,0.5605118565644881,0.7689415847310583,0.7463851937536148,0.7844852515905147,0.7905581260844419,0.6182041642567958,0.8661075766338924,0.759543088490457,0.7881723539618276,0.675534991324465,0.8121746674378254,0.6829814921920185,0.6013591671486409,0.7905581260844419,0.7938837478311163,0.7810873337189127,0.7210815500289185,0.8384181607865818
ChinatownTruncEnd,0.786379560796377,0.694928650773306,0.6607921045885671,0.7430146116380416,0.716034350166624,0.8218191916602581,0.720050414423652,0.7147953516192429,0.7094762026830728,0.8129753054772281,0.7205844655216611,0.7451935401179185,0.6478680680167479,0.74822695035461,0.8133598222677946,0.6986242843715287,0.7661283431598735,0.7028966931556011,0.72818935315731,0.7514312569426642,0.7641843971631206,0.7657011022814663,0.771938819106212,0.7134922669401008,0.7456207809963258,0.7788814833803299,0.7265658378193626,0.7525634452704435,0.7507263094932923,0.8302358369648808
