Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8200000000000001,0.76,0.71,0.78,0.8,0.7699999999999999,0.7899999999999999,0.8099999999999999,0.74,0.74,0.8300000000000001,0.75,0.8,0.7100000000000001,0.75,0.7,0.68,0.77,0.74,0.7,0.76,0.78,0.85,0.8,0.77,0.7100000000000001,0.74,0.7,0.72,0.74
AdiacTruncEnd,0.530555893055893,0.5306182556182556,0.5274245649245649,0.6379035004035003,0.5762662637662637,0.5671862296862297,0.5406069531069531,0.5447262572262573,0.5473098223098223,0.5953181953181953,0.4902145152145152,0.5277693027693028,0.5413848163848163,0.5389660639660638,0.6070695445695445,0.5341063966063967,0.5126297876297876,0.5857490857490857,0.538544826044826,0.5895061770061771,0.5663984663984664,0.5044881544881544,0.5982988482988483,0.5286606786606786,0.5339507339507339,0.5770866145866145,0.6094062844062844,0.6053379803379801,0.5853114228114228,0.5814860814860816
ArrowHeadTruncEnd,0.6580986236441527,0.6914593017956431,0.6923707957342083,0.6996627472427308,0.6155318567131528,0.7112387202625102,0.6759639048400329,0.7204448090420198,0.7379454926624738,0.7117856166256494,0.6957433233069,0.7378543432686172,0.7388569866010392,0.6900009114939385,0.6885425211922341,0.6910035548263603,0.6682162063622276,0.6958344727007565,0.6034089873302343,0.7615531856713154,0.7064989517819708,0.7107829732932277,0.6870841308905296,0.6745055145383283,0.7262783702488379,0.6436058700209643,0.6624737945492662,0.7581806580986236,0.7025795278461399,0.683711603317838
BMETruncEnd,0.7333333333333334,0.7399999999999999,0.7933333333333333,0.8066666666666666,0.7866666666666666,0.7666666666666666,0.8666666666666667,0.8066666666666666,0.7533333333333333,0.84,0.7733333333333334,0.82,0.8133333333333334,0.7600000000000001,0.7866666666666666,0.7533333333333334,0.7866666666666666,0.8466666666666667,0.82,0.8266666666666667,0.7600000000000001,0.8133333333333334,0.8066666666666666,0.82,0.7733333333333333,0.7933333333333333,0.8333333333333334,0.8066666666666666,0.7999999999999999,0.7799999999999999
BeefTruncStart,0.5,0.5333333333333333,0.6333333333333333,0.5999999999999999,0.4666666666666666,0.6666666666666666,0.5333333333333334,0.5,0.5666666666666667,0.4,0.4,0.5,0.5,0.4333333333333333,0.5333333333333333,0.4666666666666667,0.5,0.36666666666666664,0.4666666666666667,0.4000000000000001,0.4666666666666666,0.6666666666666666,0.39999999999999997,0.4666666666666666,0.6333333333333333,0.6666666666666666,0.4,0.36666666666666664,0.4,0.6
BeetleFlyTruncEnd,0.8500000000000001,0.8,0.8500000000000001,0.8,0.95,0.8,0.75,0.8500000000000001,0.85,0.75,0.7,0.8500000000000001,0.6499999999999999,0.75,0.9,0.8500000000000001,0.8500000000000001,0.75,0.9,0.8,0.8,0.8,0.95,0.7,0.8,0.9,0.85,0.7,0.85,0.95
BirdChickenTruncEnd,0.85,0.9,0.8,0.9,0.8,0.8500000000000001,0.9,0.8500000000000001,0.95,0.95,0.6499999999999999,0.95,0.7,0.85,0.9,1.0,0.7,0.95,0.8,0.95,1.0,0.7,0.75,0.9,0.9,0.8500000000000001,0.9,0.8500000000000001,0.95,0.7
CBFTruncEnd,0.924612402526532,0.9312353141621109,0.9213898395484245,0.8791006020020643,0.8892043103150264,0.9225458909284857,0.9079685023038061,0.8259373996868997,0.931243561442237,0.896747509765866,0.9201171410087362,0.8734288931359911,0.8791683087149552,0.8880051952926303,0.8535377868646014,0.8880573951434879,0.8709444864216188,0.8847303336938431,0.9435318112903784,0.8901238079717123,0.8977818767253853,0.9035317125205564,0.9378212364994,0.8737742418181549,0.9313608999906169,0.8856922036041107,0.8934359551782548,0.9123542774740606,0.8580421845909201,0.9246351689704727
CarTruncEnd,0.7210815500289185,0.7787738577212261,0.7975708502024291,0.7614950838635048,0.8108010410641989,0.8468768074031232,0.8525882012724117,0.7969924812030075,0.8370445344129555,0.7642423366107576,0.8408039329091961,0.7857865818392135,0.721443030653557,0.7999566223250434,0.8087767495662233,0.7524580682475419,0.8539618276460381,0.7928716020821284,0.7524580682475419,0.8600347021399654,0.7736408328513591,0.8070416425679584,0.8050896471949103,0.8384181607865818,0.8323452862926547,0.8505639097744361,0.8539618276460381,0.8408039329091961,0.7665558126084442,0.8482504337767496
ChinatownTruncEnd,0.9163675980517816,0.8388661027087072,0.8963940869862428,0.8707169101939674,0.8924848329488165,0.9217935572075536,0.8733230795522515,0.8770187131504743,0.932431855079894,0.9216867469879518,0.7944544133982739,0.8232931726907631,0.8059685550713491,0.9271127061437239,0.8982953088951551,0.8052208835341366,0.8906904212595061,0.918696060839101,0.8273519610356319,0.8922712125096129,0.8782149876100145,0.9451849953003504,0.9352516448773819,0.9103435016662395,0.8903699906007008,0.8951978125267026,0.9238015893360676,0.899000256344527,0.8721908912244724,0.9216867469879518
