Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,25.59099390627317,25.230557372382,23.78881123681731,23.788811236817313,27.03274004183786,25.95143044016434,24.509684304599656,25.59099390627317,26.311866974055512,25.95143044016434,27.39317657572903,25.59099390627317,25.95143044016434,23.788811236817313,25.951430440164344,25.230557372382,24.50968430459966,23.78881123681731,26.67230350794668,27.7536131096202,23.78881123681731,21.62619203347029,23.788811236817313,24.87012083849083,24.509684304599656,23.42837470292614,21.986628567361457,25.59099390627317,22.7075016351438,24.50968430459966
AdiacTruncEnd,27.747160281647723,28.208076565396027,27.839343538397387,27.747160281647727,27.931526795147047,27.101877484400106,27.470610511398746,26.54877794390214,27.009694227650446,27.654977024898066,28.208076565396027,26.364411430402818,27.009694227650442,26.91751097090079,26.6409612006518,26.917510970900782,28.761176105893984,26.825327714151122,28.853359362643644,27.286243997899426,27.194060741149762,27.654977024898066,26.180044916903498,28.392443078895347,27.378427254649083,27.009694227650442,27.286243997899422,28.300259822145687,27.654977024898066,29.40645890314161
ArrowHeadTruncEnd,17.094989893124136,17.918844827732528,18.948663495993017,20.802337098861898,17.506917360428332,19.56655469694931,21.62619203347029,19.15462722964512,19.360590963297213,17.506917360428332,19.360590963297213,19.772518430601412,17.71288109408043,16.065171224863647,18.536736028688818,17.918844827732528,19.566554696949314,18.33077229503672,18.53673602868882,17.712881094080434,19.154627229645115,15.85920749121155,20.5963733652098,18.53673602868882,17.300953626776234,16.065171224863647,18.948663495993017,17.71288109408043,19.56655469694931,17.300953626776234
BMETruncEnd,11.774260107111605,11.533969084517487,10.813096016735146,14.657752378240978,9.37134988117046,11.293678061923375,10.572804994141032,13.456297265270404,10.332513971546918,9.851931926358686,11.533969084517487,8.169894768199887,10.332513971546916,13.456297265270406,12.254842152299833,11.293678061923377,12.014551129705717,12.014551129705717,10.332513971546916,11.05338703932926,10.332513971546918,12.495133174893944,12.254842152299835,9.851931926358688,11.05338703932926,10.57280499414103,13.456297265270404,8.410185790794001,10.092222948952804,8.89076783598223
BeefTruncStart,18.021826694558577,22.827647146440864,25.230557372382005,19.223281807529144,19.223281807529148,20.42473692049972,20.424736920499715,20.42473692049972,21.626192033470286,21.626192033470293,21.626192033470293,21.626192033470293,24.029102259411435,24.029102259411435,21.626192033470293,21.626192033470293,21.626192033470293,25.230557372382005,19.223281807529148,21.626192033470293,20.42473692049972,16.820371581588002,21.626192033470293,20.42473692049972,19.223281807529148,19.223281807529148,24.029102259411435,20.42473692049972,22.827647146440864,24.029102259411435
BeetleFlyTruncEnd,16.219644025102717,16.219644025102717,14.41746135564686,14.41746135564686,16.219644025102717,16.219644025102717,16.219644025102717,7.20873067782343,18.021826694558577,12.615278686191001,19.824009364014433,14.41746135564686,16.219644025102717,21.62619203347029,12.615278686191004,16.219644025102717,21.62619203347029,16.219644025102717,12.615278686191001,16.219644025102717,19.824009364014433,10.813096016735145,14.41746135564686,23.428374702926146,19.824009364014433,12.615278686191001,16.219644025102717,19.824009364014433,28.83492271129372,14.41746135564686
BirdChickenTruncEnd,10.813096016735145,16.219644025102717,9.010913347279288,16.219644025102717,10.813096016735145,7.20873067782343,16.219644025102717,12.615278686191001,19.824009364014433,14.417461355646859,16.219644025102717,14.41746135564686,18.021826694558577,14.41746135564686,18.021826694558577,18.021826694558577,14.41746135564686,10.813096016735145,10.813096016735146,5.406548008367573,5.406548008367573,18.021826694558577,14.41746135564686,16.219644025102717,9.010913347279288,10.813096016735145,12.615278686191004,18.021826694558577,12.615278686191004,12.615278686191004
CBFTruncEnd,1.6820371581588005,3.644413842677401,2.282764714644087,1.6820371581588005,4.645626436819545,2.963589278660743,2.042473692049972,3.163831797489173,1.8021826694558578,1.6419886543931148,3.3640743163176006,2.8434437673636865,2.8033952635980004,2.3628617221754578,3.163831797489172,3.564316835146029,4.68567494058523,3.7645593539744584,3.0036377824264298,3.1237832937234873,1.9623766845186004,3.804607857740144,2.1225706995813436,4.0849473840999435,3.0436862861921155,2.603152744769572,3.6444138426774013,2.963589278660743,5.446596512133258,5.006062970710715
CarTruncEnd,24.629829815896723,24.629829815896723,21.626192033470296,20.42473692049973,22.827647146440867,19.82400936401444,22.82764714644087,20.42473692049973,21.025464476985007,28.83492271129372,25.831284928867294,24.629829815896723,24.629829815896723,23.42837470292615,20.424736920499722,25.831284928867294,22.226919589955582,25.831284928867298,19.82400936401444,21.626192033470296,25.230557372382012,24.629829815896723,22.827647146440867,21.025464476985007,21.025464476985007,20.424736920499722,22.226919589955582,24.629829815896723,23.428374702926156,19.824009364014437
ChinatownTruncEnd,2.416921364284824,4.938926266147248,3.04742258975043,4.09825796552644,2.732171977017627,4.203341503104041,3.4677567400608336,6.725346404966466,3.9931744279488397,1.9965872139744194,8.406683006208082,11.559189133536112,4.833842728569648,6.410095792233663,2.311837826707223,11.874439746268918,3.783007352793637,3.993174427948839,4.833842728569648,4.203341503104041,4.728759190992046,7.250764092854471,4.518592115836844,3.4677567400608336,4.203341503104041,3.04742258975043,4.518592115836844,2.9423390521728288,4.833842728569648,3.6779238152160363
ChlorineConcentrationTruncStart,19.655054738752945,20.021123093486164,20.114986774186992,19.354690960510304,20.208850454887816,19.974191253135753,20.011736725416082,19.617509266472613,19.57996379419228,19.589350162262363,20.753259802952606,19.730145683313605,19.739532051383684,19.514259217701706,20.4341232885698,19.664441106823027,20.321486871728812,19.298372752089808,19.223281807529148,19.42978190507096,19.53303195384187,19.74891841945377,19.908486676645172,19.824009364014433,19.777077523664016,19.42039553700088,20.39657781628947,19.45794100928121,20.481055128920215,19.24205454366931
CinCECGTorsoTruncEnd,18.83150296634309,20.137432436963277,18.361368356919822,16.742015813350793,18.622554251043862,19.693416416952413,19.01433309222992,19.37999334400357,19.484467701653184,17.107676065124444,18.30913117809502,20.633685635798948,20.920990119335386,17.865115158084155,18.439724125157035,18.96209591340511,19.850127953426835,17.342743369836075,20.790397172273366,18.70091001928107,18.62255425104386,17.91735233690896,18.387486946332228,17.525573495722902,18.074063873383384,17.891233747496553,18.43972412515704,19.641179238127606,17.316624780423677,19.275518986353955
