Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.4,0.38,0.35,0.31,0.31,0.28,0.32,0.31,0.3,0.32,0.29,0.31,0.32,0.34,0.37,0.31,0.33,0.3,0.37,0.27,0.37,0.37,0.35,0.32,0.3,0.3,0.35,0.27,0.36,0.31
AdiacTruncEnd,0.35805626598465473,0.23017902813299232,0.35805626598465473,0.29411764705882354,0.33248081841432225,0.3631713554987212,0.3171355498721228,0.38107416879795397,0.36828644501278773,0.340153452685422,0.3554987212276215,0.36061381074168797,0.3248081841432225,0.26342710997442453,0.34782608695652173,0.30434782608695654,0.329923273657289,0.3375959079283887,0.30179028132992325,0.3375959079283887,0.3171355498721228,0.24552429667519182,0.289002557544757,0.27621483375959077,0.3375959079283887,0.2864450127877238,0.340153452685422,0.29923273657289,0.329923273657289,0.35805626598465473
ArrowHeadTruncEnd,0.6,0.6057142857142858,0.5542857142857143,0.6057142857142858,0.4742857142857143,0.6171428571428571,0.5371428571428571,0.5485714285714286,0.56,0.6857142857142857,0.5428571428571428,0.6171428571428571,0.6342857142857142,0.5542857142857143,0.49142857142857144,0.6742857142857143,0.5428571428571428,0.5542857142857143,0.5257142857142857,0.6285714285714286,0.5257142857142857,0.5771428571428572,0.5314285714285715,0.5885714285714285,0.5257142857142857,0.5485714285714286,0.46285714285714286,0.6628571428571428,0.5314285714285715,0.64
BMETruncEnd,0.7266666666666667,0.7,0.72,0.7866666666666666,0.7066666666666667,0.7533333333333333,0.76,0.6666666666666666,0.7133333333333334,0.72,0.7133333333333334,0.7733333333333333,0.8133333333333334,0.7733333333333333,0.78,0.74,0.6866666666666666,0.82,0.74,0.6733333333333333,0.7333333333333333,0.7,0.7666666666666667,0.7733333333333333,0.7533333333333333,0.7066666666666667,0.76,0.82,0.78,0.72
BeefTruncStart,0.26666666666666666,0.43333333333333335,0.3,0.3,0.3333333333333333,0.4666666666666667,0.36666666666666664,0.4,0.3,0.3,0.23333333333333334,0.3333333333333333,0.3,0.23333333333333334,0.3,0.3,0.3,0.26666666666666666,0.36666666666666664,0.4,0.23333333333333334,0.4,0.23333333333333334,0.4,0.5,0.4666666666666667,0.26666666666666666,0.3,0.36666666666666664,0.36666666666666664
BeetleFlyTruncEnd,0.6,0.5,0.6,0.65,0.7,0.7,0.55,0.7,0.6,0.55,0.65,0.7,0.4,0.5,0.55,0.6,0.6,0.65,0.6,0.6,0.65,0.55,0.65,0.65,0.7,0.7,0.65,0.55,0.35,0.75
BirdChickenTruncEnd,0.75,0.85,0.75,0.75,0.8,0.75,0.85,0.85,0.7,0.8,0.75,0.8,0.6,0.85,0.8,0.7,0.75,0.75,0.75,0.85,0.75,0.7,0.65,0.8,0.85,0.9,0.8,0.75,0.7,0.7
CBFTruncEnd,0.8788888888888889,0.8611111111111112,0.9211111111111111,0.8833333333333333,0.9011111111111111,0.89,0.9244444444444444,0.8677777777777778,0.8888888888888888,0.9344444444444444,0.9177777777777778,0.9077777777777778,0.9211111111111111,0.93,0.91,0.9022222222222223,0.9022222222222223,0.91,0.8911111111111111,0.9188888888888889,0.91,0.8822222222222222,0.9188888888888889,0.9111111111111111,0.92,0.9044444444444445,0.9377777777777778,0.9211111111111111,0.8322222222222222,0.9277777777777778
CarTruncEnd,0.6666666666666666,0.7166666666666667,0.7,0.65,0.6833333333333333,0.6666666666666666,0.7166666666666667,0.65,0.7666666666666667,0.6166666666666667,0.7166666666666667,0.6833333333333333,0.6666666666666666,0.7,0.7166666666666667,0.5833333333333334,0.6833333333333333,0.5666666666666667,0.65,0.7,0.6666666666666666,0.6666666666666666,0.65,0.5833333333333334,0.55,0.7,0.6333333333333333,0.65,0.6666666666666666,0.7333333333333333
ChinatownTruncEnd,0.8221574344023324,0.7201166180758017,0.7288629737609329,0.7055393586005831,0.760932944606414,0.8134110787172012,0.760932944606414,0.7434402332361516,0.7696793002915452,0.7813411078717201,0.8017492711370262,0.7551020408163265,0.7055393586005831,0.7521865889212828,0.7813411078717201,0.6880466472303207,0.7055393586005831,0.8367346938775511,0.717201166180758,0.7376093294460642,0.7696793002915452,0.8017492711370262,0.7230320699708455,0.7551020408163265,0.793002915451895,0.8279883381924198,0.7959183673469388,0.8075801749271136,0.7755102040816326,0.7667638483965015
