Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.42,0.35,0.33,0.4,0.42,0.39,0.32,0.31,0.28,0.33,0.34,0.38,0.38,0.41,0.36,0.33,0.32,0.31,0.37,0.31,0.41,0.41,0.4,0.36,0.36,0.41,0.44,0.38,0.39,0.36
AdiacTruncEnd,0.5473145780051151,0.48081841432225064,0.5115089514066496,0.5140664961636828,0.5421994884910486,0.4961636828644501,0.4578005115089514,0.5294117647058824,0.5166240409207161,0.5012787723785166,0.49104859335038364,0.5012787723785166,0.4859335038363171,0.5319693094629157,0.5345268542199488,0.4833759590792839,0.5115089514066496,0.47058823529411764,0.4936061381074169,0.46035805626598464,0.5191815856777494,0.4961636828644501,0.5294117647058824,0.49872122762148335,0.49872122762148335,0.5473145780051151,0.5115089514066496,0.5191815856777494,0.46035805626598464,0.47058823529411764
ArrowHeadTruncEnd,0.5771428571428572,0.6742857142857143,0.6571428571428571,0.68,0.5885714285714285,0.6285714285714286,0.52,0.6457142857142857,0.5942857142857143,0.5771428571428572,0.6971428571428572,0.5942857142857143,0.6057142857142858,0.56,0.5485714285714286,0.6571428571428571,0.5714285714285714,0.5942857142857143,0.52,0.6571428571428571,0.5542857142857143,0.5828571428571429,0.5942857142857143,0.6685714285714286,0.6228571428571429,0.6057142857142858,0.6514285714285715,0.68,0.5485714285714286,0.6457142857142857
BMETruncEnd,0.7133333333333334,0.6733333333333333,0.6,0.5933333333333334,0.6266666666666667,0.64,0.6266666666666667,0.6,0.6733333333333333,0.6133333333333333,0.72,0.6866666666666666,0.7266666666666667,0.7066666666666667,0.7,0.7466666666666667,0.5133333333333333,0.6333333333333333,0.6866666666666666,0.56,0.6533333333333333,0.68,0.6,0.66,0.6533333333333333,0.64,0.62,0.64,0.5933333333333334,0.6666666666666666
BeefTruncStart,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.4,0.4666666666666667,0.43333333333333335,0.3333333333333333,0.36666666666666664,0.26666666666666666,0.4,0.3,0.3,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.36666666666666664,0.3,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.3,0.4666666666666667,0.36666666666666664,0.5333333333333333,0.5,0.43333333333333335,0.36666666666666664,0.3333333333333333,0.3,0.43333333333333335
BeetleFlyTruncEnd,0.55,0.75,0.75,0.7,0.55,0.65,0.8,0.75,0.7,0.55,0.75,0.6,0.55,0.45,0.75,0.6,0.55,0.65,0.85,0.65,0.7,0.6,0.65,0.65,0.6,0.7,0.65,0.65,0.45,0.65
BirdChickenTruncEnd,0.65,0.55,0.6,0.65,0.65,0.7,0.75,0.7,0.7,0.75,0.55,0.85,0.5,0.6,0.8,0.65,0.7,0.75,0.8,0.9,0.85,0.75,0.7,0.75,0.65,0.8,0.65,0.7,0.8,0.85
CBFTruncEnd,0.8188888888888889,0.8511111111111112,0.8722222222222222,0.8222222222222222,0.8655555555555555,0.8666666666666667,0.8755555555555555,0.8333333333333334,0.8766666666666667,0.85,0.8255555555555556,0.8455555555555555,0.8733333333333333,0.8811111111111111,0.8311111111111111,0.8944444444444445,0.8088888888888889,0.8933333333333333,0.8477777777777777,0.8955555555555555,0.8588888888888889,0.83,0.8666666666666667,0.82,0.8366666666666667,0.8622222222222222,0.8188888888888889,0.83,0.7566666666666667,0.8944444444444445
CarTruncEnd,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.7,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.6833333333333333,0.75,0.5,0.7166666666666667,0.6,0.6833333333333333,0.7333333333333333,0.6333333333333333,0.5833333333333334,0.7166666666666667,0.6166666666666667,0.7166666666666667,0.7166666666666667,0.6666666666666666,0.6166666666666667,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.7833333333333333,0.6333333333333333,0.6833333333333333,0.7166666666666667
ChinatownTruncEnd,0.6705539358600583,0.6472303206997084,0.6326530612244898,0.6501457725947521,0.6909620991253644,0.7026239067055393,0.7317784256559767,0.6501457725947521,0.6588921282798834,0.685131195335277,0.6588921282798834,0.6472303206997084,0.6209912536443148,0.5539358600583091,0.6326530612244898,0.597667638483965,0.641399416909621,0.6501457725947521,0.685131195335277,0.7113702623906706,0.673469387755102,0.6472303206997084,0.7201166180758017,0.7142857142857143,0.6676384839650146,0.6676384839650146,0.7201166180758017,0.7580174927113703,0.6443148688046647,0.6997084548104956
