Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.7001666666666666,0.6732777777777779,0.6511666666666666,0.6372222222222222,0.6586111111111111,0.6431666666666667,0.6494444444444444,0.6372777777777778,0.6475,0.6535,0.6380555555555556,0.6228888888888889,0.6480555555555556,0.6699444444444446,0.6977777777777777,0.6365555555555555,0.6685000000000001,0.6583888888888889,0.6607777777777778,0.6261111111111111,0.7028333333333334,0.6653888888888889,0.6792777777777776,0.6528333333333333,0.6491111111111111,0.6717777777777778,0.687,0.6328333333333334,0.6878888888888889,0.6554444444444444
AdiacTruncEnd,0.7024236553159061,0.6225593206962136,0.7103362281088543,0.7065060322100619,0.6942233531055056,0.7115029973075198,0.6911926261514125,0.7232398215692669,0.710249019309148,0.6911185197653318,0.7019695701621247,0.7090658116005714,0.7047911071901497,0.689606722302595,0.716377541933671,0.6701107646404552,0.695005389746367,0.7203222982907002,0.6805522043929519,0.6870720584831618,0.6885185495513929,0.6704246619797636,0.7038840719982871,0.6786883693258653,0.7059056521048268,0.6842387426249978,0.6987522760575298,0.6815938409256695,0.6920296477378678,0.7048250037760192
ArrowHeadTruncEnd,0.7199483010030489,0.7370991118377447,0.6965878662012285,0.7149768017321372,0.6435597189695551,0.7463046263974195,0.6960629225398788,0.7120648667756616,0.7122813839423798,0.7962984401926559,0.7013618487914807,0.738605894569396,0.7710397242720163,0.7153166011223543,0.6120838672617206,0.7679174583535856,0.6595373602580532,0.6801153285316601,0.646157041226636,0.719631920816579,0.6672904423136407,0.7151018514427112,0.6904193363086033,0.7261185983827493,0.6548433564579559,0.7173536299765807,0.6173125359020811,0.7546034200874906,0.7088776457072158,0.7421130307984624
BMETruncEnd,0.8475,0.7817000000000002,0.8192666666666666,0.8449333333333334,0.7887333333333334,0.8249333333333334,0.8448,0.7627,0.8050666666666666,0.7950333333333333,0.8079999999999999,0.8561666666666667,0.8664666666666665,0.8351333333333332,0.8362999999999999,0.8145333333333333,0.7802,0.8874000000000001,0.8519666666666666,0.7783,0.8309,0.8239666666666666,0.8418000000000001,0.8642,0.8315333333333333,0.7905333333333333,0.8374,0.8758999999999999,0.8318666666666666,0.795
BeefTruncStart,0.5361111111111112,0.6520833333333333,0.554861111111111,0.5972222222222222,0.5881944444444444,0.6493055555555555,0.6,0.6277777777777778,0.5527777777777777,0.5875,0.523611111111111,0.5833333333333334,0.5875,0.5291666666666667,0.5652777777777779,0.5986111111111111,0.5770833333333333,0.5555555555555556,0.6020833333333333,0.6243055555555554,0.5645833333333333,0.6215277777777778,0.5041666666666668,0.638888888888889,0.6840277777777779,0.6555555555555554,0.5243055555555556,0.5555555555555555,0.6118055555555556,0.6298611111111111
BeetleFlyTruncEnd,0.6,0.5049999999999999,0.605,0.61,0.72,0.69,0.55,0.76,0.615,0.6250000000000001,0.61,0.74,0.42,0.43999999999999995,0.6,0.505,0.585,0.65,0.6,0.63,0.64,0.585,0.66,0.6499999999999999,0.6900000000000002,0.705,0.805,0.5399999999999999,0.375,0.74
BirdChickenTruncEnd,0.74,0.9,0.79,0.7500000000000001,0.8150000000000001,0.75,0.8350000000000001,0.8900000000000001,0.7699999999999999,0.915,0.7949999999999999,0.8499999999999999,0.62,0.85,0.8,0.7100000000000001,0.8600000000000001,0.75,0.7949999999999999,0.9,0.795,0.7,0.6900000000000001,0.8,0.875,0.895,0.76,0.8200000000000001,0.7,0.755
CBFTruncEnd,0.9302648791673815,0.9120620155244523,0.9490214889733344,0.9242256531245409,0.9355075754956947,0.9340797351246289,0.956814198419077,0.926708133783791,0.9275281687080473,0.9637440760967302,0.94952366677531,0.937152168398579,0.9559205789117822,0.9618178313503896,0.9480864335426773,0.9344861887765832,0.9414293864787798,0.9378876688753331,0.9309150567928123,0.9547331821588141,0.9481313573854524,0.9237113066379751,0.9512483024296977,0.9429479571377953,0.946583240801441,0.9415470858215298,0.9639720769839831,0.9533889109776116,0.8895556231694756,0.9557732156797627
CarTruncEnd,0.8412427705451893,0.8348026330633334,0.8206777449365613,0.8023263050623106,0.847765261764551,0.8170663079202485,0.9070054263216083,0.800518471304047,0.8718831554643021,0.8318706143814445,0.8630977226747291,0.799331957010597,0.8167047411685958,0.8318210705233786,0.8463855546279792,0.768827042109459,0.8704966795273872,0.7589247572632989,0.7975942555447755,0.8147129276565661,0.8146951595556657,0.8043566631318487,0.7985606898159638,0.8100480960868813,0.8103570166136446,0.8446145732271385,0.8345258643381992,0.8200924317291276,0.7894789339891549,0.869402484149726
ChinatownTruncEnd,0.866508587541656,0.7952448090233275,0.8044518499530035,0.7094121165513116,0.7220157224643254,0.8166709390754509,0.7354951721780739,0.7779842775356747,0.8093223959668462,0.850529778689225,0.7571135606254807,0.8415790822865933,0.6975134580876698,0.7933435871144151,0.8484576604289498,0.7434418525164488,0.7606596599162607,0.8663804152781338,0.7140263180381099,0.8065880543450397,0.8507220370845081,0.8399128428608048,0.7389985473810134,0.8269247201572247,0.8409595830129026,0.8216269332649748,0.8025079039562505,0.8492266940100828,0.8417499786379561,0.7937281039049816
ChlorineConcentrationTruncStart,0.5516675450032132,0.5513305113502597,0.5548801305720288,0.551543259012577,0.5435944739221552,0.549496942228454,0.5510902893247405,0.5445189983944437,0.5568795995366962,0.5553816609521022,0.5439682251908243,0.5526213450495949,0.5456773708830701,0.5587526107610767,0.5512417907017444,0.5597517976514067,0.5566126984394073,0.5510924827372233,0.5476217250352019,0.5532414919439492,0.5560483751483649,0.5493883067774986,0.5602388923066334,0.5580302471654222,0.5545743557449747,0.5555699001195272,0.5471426729084176,0.5491930190899112,0.5503885539462019,0.5522250041431529
