Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9426111111111111,0.9402777777777778,0.9378333333333334,0.926,0.9344444444444445,0.9052222222222223,0.9140555555555555,0.9243888888888888,0.8922777777777778,0.9081111111111112,0.9296666666666666,0.9216666666666669,0.9465555555555555,0.9383888888888887,0.9379444444444445,0.9176666666666666,0.9082777777777777,0.9178888888888889,0.9257777777777777,0.9271111111111112,0.9295555555555554,0.9416666666666665,0.9293888888888888,0.9232777777777779,0.9296666666666666,0.9285555555555556,0.9239444444444445,0.9390000000000002,0.9376666666666665,0.9032777777777778
AdiacTruncEnd,0.9253997557089619,0.9178120578645541,0.9290755103063129,0.9230077167754684,0.9052779807631502,0.9195717281333213,0.9155149325874403,0.9215290600107425,0.9308163016154724,0.9123420757981103,0.9162957261007199,0.9207587993480738,0.9065763015897739,0.9183868643983917,0.9237633714665535,0.9116841967798394,0.9068314101944227,0.9244118965439156,0.9194348087445977,0.8839661005820223,0.9042583882900411,0.9136319684806216,0.9368878331911723,0.9131283156519994,0.9260838092831822,0.9215288182206471,0.9223863381739296,0.9115514025634793,0.9125785585277929,0.9164578356596759
ArrowHeadTruncEnd,0.7436467677080111,0.7775732402456808,0.7836931642437365,0.7552874375856128,0.7276788475984269,0.7800030931023816,0.6739794971499271,0.7364703283107243,0.7527745128363748,0.7677137554681631,0.761283637488401,0.7577292209800716,0.7817082762582299,0.7613636162785559,0.676949759179886,0.7812390084397508,0.6913419645618841,0.7377871061817861,0.7096531306614821,0.7943793911007027,0.7418947461446689,0.8232110821439619,0.7806314347576334,0.7965869824576908,0.7435102293314481,0.7955834916707173,0.7021086120807741,0.8065198179488311,0.7610193981706509,0.8157933807609031
BMETruncEnd,0.9254666666666667,0.8753,0.8943333333333332,0.8891333333333332,0.9089333333333334,0.8766,0.8867666666666666,0.8773333333333333,0.9148666666666668,0.9093666666666667,0.9361666666666667,0.9255333333333332,0.9269,0.8963999999999999,0.9159333333333333,0.9228333333333334,0.9111333333333335,0.8979999999999999,0.9106000000000001,0.8763,0.9228333333333334,0.9364,0.8920666666666667,0.9281333333333334,0.9270333333333332,0.8874666666666667,0.9269000000000002,0.9190333333333333,0.9104333333333333,0.8942666666666668
BeefTruncStart,0.6215277777777779,0.6444444444444445,0.6048611111111112,0.7145833333333332,0.6263888888888888,0.6590277777777779,0.5833333333333334,0.7027777777777777,0.6298611111111112,0.63125,0.5312500000000001,0.6743055555555556,0.6006944444444444,0.6069444444444445,0.6270833333333333,0.6451388888888889,0.5493055555555555,0.6347222222222223,0.6986111111111112,0.5951388888888888,0.5625,0.6923611111111112,0.6409722222222223,0.7125,0.6993055555555556,0.69375,0.5993055555555556,0.5791666666666667,0.5743055555555555,0.6479166666666667
BeetleFlyTruncEnd,0.515,0.8200000000000001,0.71,0.715,0.8200000000000001,0.65,0.59,0.9349999999999999,0.65,0.73,0.6,0.73,0.51,0.7,0.7150000000000001,0.49500000000000005,0.61,0.64,0.65,0.855,0.63,0.7150000000000001,0.77,0.64,0.6,0.8200000000000001,0.655,0.61,0.49,0.73
BirdChickenTruncEnd,0.81,0.79,0.72,0.8200000000000001,0.8400000000000001,0.85,0.72,0.8599999999999999,0.7300000000000001,0.98,0.71,0.7200000000000001,0.515,0.8,0.845,0.81,0.745,0.73,0.73,0.8200000000000001,0.975,0.55,0.7,0.73,0.7899999999999999,0.93,0.76,0.78,0.8,0.74
CBFTruncEnd,0.929723294055119,0.9304690959734944,0.9377380503816298,0.9451811350887437,0.9225624050349531,0.9448113283254588,0.9560692450183602,0.8494042817451058,0.9321467011156092,0.9260254657356275,0.9474057077588927,0.9022689425458638,0.9374588562198015,0.9699664155424772,0.958375727096556,0.8819363240249994,0.895954455018636,0.9294973369457191,0.9609788993231612,0.9418659306708347,0.9443690261887683,0.8978104722459879,0.9526089596674532,0.9186545835180062,0.9631852544760785,0.9473071432995347,0.9806660331102444,0.9741098338849856,0.9350720797617915,0.9687651819279472
CarTruncEnd,0.7632159886584992,0.8489950211713032,0.8316528846370796,0.7615853658536585,0.8403985507246378,0.8233102442032745,0.8236833743221798,0.7406778577499005,0.7985357768702571,0.7858387295713846,0.8491115009438716,0.7453971217556764,0.6952022367124688,0.7573763001737325,0.867823755480848,0.739588174905801,0.8002807171920008,0.6799400961169648,0.7908782894489443,0.8102079149838678,0.8689155065694969,0.7305824740717344,0.7844392801004791,0.7947706316794897,0.8466143776840175,0.7847934199739778,0.7349056692463317,0.7352694922647655,0.7914713115678799,0.814495291923317
ChinatownTruncEnd,0.9881227035802785,0.9917542510467401,0.986840980945057,0.9871827736477826,0.9840639152354098,0.9898957532256687,0.9916901649149791,0.9782534392890712,0.9888917371614117,0.9919037853541828,0.9847261385969409,0.979898316670939,0.9866700845936941,0.988507220370845,0.988144065624199,0.98348714004956,0.9924164744082714,0.9858796889686405,0.9847475006408614,0.9828890028197899,0.9816072801845681,0.9912201999487311,0.988443134239084,0.98703323934034,0.9820986071947363,0.9928650773305989,0.9847047765530206,0.9870759634281808,0.9855378962659147,0.9888703751174912
