Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9405555555555556,0.9256666666666666,0.9420000000000001,0.9096666666666668,0.9091111111111111,0.8804444444444445,0.8818888888888889,0.909111111111111,0.8536666666666668,0.8918888888888888,0.9004444444444444,0.9097777777777778,0.9021111111111112,0.9285555555555556,0.9302222222222224,0.9128888888888887,0.9061111111111111,0.8866666666666666,0.8826666666666667,0.9026666666666665,0.9343333333333333,0.935,0.9113333333333334,0.9033333333333334,0.8796666666666667,0.8917777777777779,0.9121111111111111,0.9187777777777779,0.9252222222222222,0.8897777777777779
AdiacTruncEnd,0.9428057591865671,0.9387555089648556,0.9412004532775704,0.9365024294710751,0.9257006126405868,0.9309155046369061,0.934613634469706,0.9384477737453644,0.9414925172822186,0.933609695214125,0.9314143930692086,0.9357493623626607,0.9261454986333911,0.9301488308340835,0.9345875214863645,0.9352329022582674,0.9336675485779921,0.9412038240906658,0.9350262814707135,0.9189095495938988,0.9199012991849806,0.9300103737951734,0.9441530596727057,0.91712329368048,0.9446663985572569,0.931529900152905,0.9437608171947565,0.9381412355932636,0.9228259801455273,0.9348157028976037
ArrowHeadTruncEnd,0.8450373381644647,0.8514877822455924,0.8209305819451195,0.877501657019133,0.8157721709160001,0.8936573726304626,0.7663479298307632,0.8138544474393531,0.8629543546462817,0.8632433387830851,0.839891299544872,0.81289912067518,0.8793274711678671,0.8320728204675004,0.8606371790906279,0.8439998232512924,0.8089912067518006,0.7839388449471963,0.7911395872917679,0.8536768149882904,0.81038707966948,0.8278167115902966,0.8346268392912377,0.8365374928195839,0.85769254562326,0.8541920374707259,0.8393893332155008,0.8865131898722991,0.8604657328443287,0.8964950731297777
BMETruncEnd,0.8892666666666665,0.8757333333333333,0.8619333333333334,0.8817999999999999,0.856,0.8680666666666665,0.9151999999999998,0.8411999999999998,0.906,0.876,0.9008,0.8965333333333333,0.9325333333333333,0.8743666666666666,0.9068666666666667,0.8996666666666667,0.86,0.9272000000000001,0.9023333333333333,0.8451333333333334,0.8924666666666667,0.8942,0.8678666666666667,0.8884666666666667,0.8747333333333334,0.8871333333333334,0.936,0.9136000000000002,0.8834666666666667,0.8961333333333334
BeefTruncStart,0.5722222222222223,0.6986111111111111,0.5708333333333332,0.6930555555555556,0.6611111111111111,0.7027777777777778,0.6097222222222222,0.6791666666666667,0.6486111111111111,0.6319444444444445,0.5611111111111112,0.6625,0.6055555555555555,0.6055555555555555,0.586111111111111,0.6152777777777778,0.5347222222222222,0.6555555555555556,0.6861111111111112,0.6236111111111111,0.5444444444444444,0.7041666666666668,0.6083333333333333,0.7625,0.7069444444444445,0.6722222222222222,0.5875,0.6180555555555555,0.5972222222222222,0.6527777777777778
BeetleFlyTruncEnd,0.65,0.7200000000000001,0.85,0.79,0.75,0.54,0.69,0.86,0.74,0.75,0.72,0.71,0.53,0.63,0.7100000000000001,0.55,0.69,0.8,0.73,0.72,0.72,0.67,0.67,0.76,0.6399999999999999,0.84,0.76,0.63,0.42,0.72
BirdChickenTruncEnd,0.8500000000000001,0.93,0.84,0.91,0.92,0.81,0.86,0.91,0.87,0.9299999999999999,0.86,0.9299999999999999,0.73,0.9400000000000001,0.9400000000000001,0.8600000000000001,0.79,0.92,0.9500000000000001,0.9400000000000001,0.98,0.8900000000000001,0.89,0.9800000000000001,0.92,0.9600000000000001,0.9700000000000001,0.9400000000000001,0.9500000000000001,0.92
CBFTruncEnd,0.967786861150309,0.9784106215994992,0.9863948204362765,0.9763938501374294,0.9683108563963467,0.9808740891153934,0.9828069381223576,0.9621602830154903,0.980459205328619,0.979916978954087,0.9788674542885868,0.9609551341722726,0.9764406172825788,0.9855797271615775,0.9794649360713061,0.9717892983790355,0.969062192419422,0.9773957329567036,0.9776728898633854,0.9828484911766511,0.9864502214839425,0.9646794896692268,0.9847624434304414,0.9702611218313949,0.9868999995267437,0.9745710488552755,0.9910122296214814,0.9850638774175681,0.9522209335041995,0.9894099596785644
CarTruncEnd,0.8856565360288201,0.9363625595090361,0.9010501041643164,0.8652386378165353,0.9260318660078367,0.921331122191888,0.9278538014334815,0.8660926347931379,0.8889771966637335,0.8944161157615277,0.9335166550092884,0.8721670690342427,0.8965759271376247,0.886247677925438,0.9230231342553944,0.8480389281228613,0.9032665102321698,0.8259070192459556,0.9073877695298692,0.9302185570421846,0.9143410196821673,0.8921731985589977,0.8952176545354724,0.9248856824830968,0.9220089423373419,0.8937247580153878,0.9377204560667253,0.8845295307717185,0.9207619788963848,0.9507099719470831
ChinatownTruncEnd,0.9852601896949501,0.9142527557036657,0.8919507818508076,0.9040416987097326,0.9251901221908914,0.9904725284115184,0.9519354011791848,0.8839186533367512,0.9826540203366657,0.9839784670597284,0.8060326412031102,0.9308724258737076,0.8739639408698624,0.9882508758438007,0.9448859266854652,0.8604204050243527,0.9415534478338887,0.9799624028027002,0.9408271383405965,0.9403571733743485,0.9257028112449799,0.990686148850722,0.9833376057421175,0.9685123472613859,0.9256600871571391,0.9645817311800392,0.9706912757412629,0.9618901136460737,0.924762881312484,0.9915833546953773
