Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8073333333333332,0.7859444444444444,0.7909999999999999,0.8692777777777778,0.8107222222222226,0.7422222222222223,0.799611111111111,0.7659999999999999,0.7329444444444444,0.787,0.7711666666666668,0.7764444444444445,0.7917222222222222,0.8441111111111111,0.735111111111111,0.7839444444444444,0.8057222222222222,0.7505555555555555,0.7530555555555556,0.7456111111111112,0.8142777777777778,0.8291666666666667,0.8394444444444444,0.8075555555555556,0.7793333333333333,0.8157777777777778,0.8288333333333333,0.7665000000000001,0.8136111111111112,0.7873333333333333
AdiacTruncEnd,0.9459554352353047,0.9448329256268404,0.9357646300421649,0.9361013096895142,0.927592264965897,0.9270479147982095,0.9366495060523072,0.9378985549154418,0.9358319690152329,0.9338945105033912,0.9344031724699995,0.9364791047088623,0.9299363541346755,0.9348085803883053,0.9360123218710011,0.9335616437594363,0.9386379357388247,0.9398045497274828,0.9317256862911723,0.9299652113139846,0.9185636177550661,0.9271266604801154,0.9344784393510974,0.9213261469289528,0.9462878079139486,0.9337624039377721,0.9443450372043187,0.9418595040364942,0.9199916768698112,0.9293244725247836
ArrowHeadTruncEnd,0.77293270292961,0.8161694136361627,0.8071662763466043,0.8253011356104457,0.792219963766515,0.8237245371393221,0.6899235561839953,0.7752940656621448,0.7871326940921745,0.7274901683531438,0.8422371967654988,0.7715390393707746,0.7744615792497016,0.7323017100437453,0.7610644690910697,0.8021664972824886,0.7754739074720517,0.7691927002783793,0.7306424815518536,0.8204878264327694,0.7397786222438248,0.7590194865450046,0.7651835977199416,0.8055052803676375,0.8015173876541026,0.7805024082011401,0.8400344659979674,0.8075228668640358,0.7541456409350008,0.832641951305731
BMETruncEnd,0.8467666666666666,0.8214333333333333,0.7772333333333333,0.8213333333333332,0.8054333333333332,0.7737333333333334,0.8481666666666667,0.7914000000000001,0.8902333333333333,0.81,0.8783666666666666,0.8338999999999999,0.8612666666666666,0.8605999999999998,0.8541333333333334,0.8678666666666666,0.7823,0.8569,0.8768333333333334,0.7478000000000001,0.8407333333333334,0.8422333333333333,0.7834333333333334,0.8225666666666666,0.8506,0.8164666666666667,0.795,0.8392,0.7605,0.8164666666666667
BeefTruncStart,0.6736111111111112,0.6881944444444446,0.6993055555555556,0.6916666666666667,0.68125,0.7152777777777779,0.6506944444444446,0.7347222222222223,0.65625,0.6298611111111111,0.5513888888888889,0.6652777777777777,0.6236111111111111,0.6166666666666667,0.6333333333333333,0.7222222222222221,0.5305555555555556,0.6972222222222223,0.7034722222222222,0.6409722222222222,0.5118055555555555,0.7326388888888888,0.6631944444444445,0.8104166666666667,0.7368055555555557,0.6750000000000002,0.6222222222222222,0.61875,0.6131944444444445,0.6666666666666666
BeetleFlyTruncEnd,0.64,0.84,0.86,0.77,0.645,0.725,0.74,0.84,0.76,0.7,0.73,0.635,0.55,0.5800000000000001,0.7849999999999999,0.745,0.65,0.8,0.8200000000000001,0.75,0.725,0.71,0.8200000000000001,0.825,0.6900000000000001,0.73,0.7,0.6699999999999999,0.54,0.75
BirdChickenTruncEnd,0.72,0.76,0.71,0.79,0.72,0.655,0.8,0.76,0.8600000000000001,0.8400000000000001,0.72,0.9400000000000001,0.565,0.75,0.8200000000000001,0.6900000000000001,0.65,0.88,0.81,0.9400000000000001,0.84,0.875,0.78,0.81,0.74,0.93,0.8250000000000001,0.79,0.8,0.98
CBFTruncEnd,0.9337010830778778,0.948369257220142,0.9665594948997376,0.9419314451333409,0.9569622492924819,0.96548718191519,0.9566328590276518,0.9478344915252146,0.9587164176618423,0.9480998941449144,0.9362001042398413,0.9392953924282286,0.9570548926160908,0.9615227318575145,0.929324191194717,0.965820832968103,0.9298449378861412,0.9597281618664076,0.9462220845457955,0.9648933339279901,0.9613318199934732,0.9322581818913215,0.9565594127074663,0.9469142798911757,0.9563640680781226,0.9600451965618547,0.9397292400676879,0.9504143846557142,0.8948727862819874,0.9741806331490103
CarTruncEnd,0.8834692734068876,0.9140640629348015,0.8827169964576611,0.8492358776501734,0.8677367951986644,0.8882359190150643,0.9067134277957025,0.8707055722268602,0.8797730383640562,0.8234447741100908,0.8975801538773944,0.8527640208178214,0.9080174559839956,0.8769209291306604,0.8910174259004383,0.8589671562765581,0.934052518369772,0.8190071674074743,0.9061990929807541,0.9330104051503049,0.8859417657543829,0.885584617525176,0.906160924467709,0.9055567150259847,0.9061488910448772,0.8556951933996676,0.9342669577250813,0.8500624233809405,0.9201486503764204,0.9297437068959035
ChinatownTruncEnd,0.8043450397334018,0.7698453388020166,0.6752969324104929,0.6353712723233359,0.7634794497137487,0.7269930786977697,0.8186576091600445,0.6859138682389131,0.7595061095445612,0.7901179184824404,0.7416688028710587,0.7386353926343673,0.637614286934974,0.6891395368708879,0.7088567034093822,0.6849525762624968,0.7442963342732632,0.7405793386311204,0.678778945569512,0.7791378279073742,0.7604674015209776,0.6946082201145006,0.7715329402717251,0.8366871742288302,0.8049431769631719,0.7311586772622404,0.7937921900367427,0.8226736734170725,0.729236093309408,0.8259634281808083
ChlorineConcentrationTruncStart,0.5765732236621818,0.5762894759406654,0.5742116227770756,0.5916071886664336,0.5616497583298236,0.5875043764883839,0.5760915425338278,0.590974189141315,0.5839990379831197,0.5975589373121163,0.579364637418696,0.58398054894501,0.5710640773241125,0.5829924013533085,0.5671566410283762,0.581707772394843,0.5767641200448488,0.5801653846790489,0.5890103869135598,0.58514524594963,0.5843582652116963,0.5767320024856432,0.5883858218859058,0.583062771847072,0.5819766208005698,0.5903209526571167,0.5796182560953956,0.581553121366697,0.5690847830899745,0.5966441243638201
CinCECGTorsoTruncEnd,0.9268807851647227,0.855334255124135,0.8858549721330164,0.8995461005198299,0.8989621993212866,0.8461068683969425,0.8887136291930278,0.7731928682415165,0.8812330613740514,0.8774362749956672,0.8485846567745053,0.7891915907625915,0.8275134100905104,0.839603799828457,0.812249923037041,0.8275504456103415,0.8895676287105578,0.8667036952913444,0.8078960090171621,0.8370485464086265,0.9073655134419614,0.8372776172279099,0.8390994447440493,0.7892241153803838,0.8299067691220956,0.860031730657748,0.8956419944662801,0.8655156349812814,0.8826141806799163,0.8886251199231323
CoffeeTruncStart,0.9743589743589743,1.0,0.9692307692307692,0.9307692307692308,0.8205128205128206,0.9384615384615385,0.8615384615384615,0.8846153846153847,0.9846153846153847,1.0,0.8487179487179487,0.8384615384615385,0.9948717948717949,0.882051282051282,0.8794871794871795,0.9948717948717949,1.0,0.7948717948717949,0.9487179487179488,0.9384615384615385,0.8794871794871795,0.8564102564102565,0.958974358974359,0.9333333333333333,0.9333333333333333,0.9384615384615385,0.9435897435897436,0.9538461538461539,0.7615384615384615,0.882051282051282
ComputersTruncStart,0.773696,0.819904,0.802592,0.80416,0.7888,0.8161919999999999,0.8222720000000002,0.794656,0.810976,0.83616,0.784704,0.850272,0.7995519999999999,0.787264,0.822176,0.838944,0.8323520000000001,0.7610239999999999,0.8366399999999999,0.8044159999999999,0.776448,0.7958400000000001,0.8111999999999999,0.8309439999999999,0.7805439999999999,0.836608,0.8143680000000001,0.8108160000000001,0.7715520000000001,0.804192
CricketXTruncEnd,0.9186944278912423,0.9159356619778729,0.9000841641140991,0.9173514115943152,0.9152747030991105,0.9178243969222968,0.9065922296727587,0.9175218929295408,0.9007894052713487,0.9021401958052644,0.9134909403454758,0.9299620264017163,0.9318788371524589,0.9158642578541338,0.9069747885176797,0.908137697167271,0.9087732021557405,0.91929284372679,0.912359407245134,0.9027614014882251,0.9116110728293139,0.9027969349439223,0.9152650502617583,0.9098567469365015,0.9234860010701179,0.9075202944144367,0.8942960628061868,0.9129558252309552,0.9015350840214313,0.9032226138009289
CricketYTruncEnd,0.9263064937874825,0.9232842209012851,0.9134594726757148,0.9290001821482163,0.9092927978484432,0.9104254268990511,0.9140559053829069,0.9213173273286549,0.9249646601689158,0.9175726947297139,0.9209925238605429,0.930046044231802,0.9201888596070396,0.9289148419886855,0.9123672253194478,0.9310612005428263,0.9212167866057868,0.9200908493609823,0.9358576870366976,0.9172810581051885,0.9245517919677357,0.9171580027768496,0.9218949973976691,0.9235966104598423,0.9218033143656166,0.9186281189871388,0.9128727521298142,0.9130837123560447,0.9214851729065484,0.9278807674672656
CricketZTruncEnd,0.9126993287996611,0.916956183197016,0.9087899258261871,0.9136749337699678,0.9091982391041667,0.9093795529574704,0.9229450076750212,0.9186233108554894,0.9137089196069751,0.9243834495444964,0.9159856863647744,0.9219685243672884,0.9130784623833071,0.9218337324820448,0.9174694277324356,0.916926839752326,0.9146838449804534,0.8971789562705631,0.9179800761598736,0.890038804508311,0.9250391266782698,0.9022087583370336,0.9119084277251369,0.9135893215877465,0.9207050611629833,0.9081894971133184,0.9241844501943134,0.8982474857439755,0.9096274924138515,0.9142248722534436
CropTruncEnd,0.9228209109730848,0.9250346957261165,0.9246473620970127,0.923308155871044,0.9241948461993493,0.92442296472937,0.9232991736912156,0.9249295178941143,0.9249196853741496,0.9264353168441289,0.9238949182934044,0.9245775602632358,0.9231941714729369,0.9251203416149067,0.9267606440402247,0.9248896258503402,0.9243140158237207,0.9238117642709258,0.925344604037267,0.9248356200088731,0.924085050650695,0.9236964507542147,0.9244342982845313,0.9237499500887312,0.9224126608251997,0.9228161416740609,0.9247178257172434,0.9256378345903579,0.9232404650990831,0.9261850025879917
