Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8222222222222223,0.8329444444444444,0.8541666666666665,0.8136666666666666,0.7703333333333333,0.7731666666666667,0.7397777777777778,0.7553888888888889,0.7234999999999999,0.7249444444444445,0.768611111111111,0.8090555555555555,0.8072222222222223,0.8065555555555557,0.8238888888888889,0.8102777777777779,0.8027777777777778,0.7756111111111114,0.7536666666666667,0.7738333333333333,0.8369444444444444,0.8262777777777777,0.8434999999999999,0.8371111111111111,0.7673333333333335,0.8300555555555554,0.8163888888888888,0.8128888888888889,0.8146666666666667,0.799888888888889
AdiacTruncEnd,0.8937451667706076,0.8576528852701027,0.8646896161080289,0.882331974916778,0.8617348260137634,0.8535207575700821,0.8735114354381585,0.8833821025978147,0.8743928255254518,0.8533971901773131,0.839794112323258,0.8642662975227666,0.8422938169653953,0.8557694420121659,0.8579839529494502,0.8812683538300375,0.8266864815123925,0.8643076628710066,0.8556325626681157,0.8319090268614733,0.8445751453575927,0.8582805087821107,0.8983749946963153,0.8487160500239783,0.874546404208272,0.8695531038943543,0.8791519341551791,0.8636087766362128,0.8325677228058126,0.8504911611090212
ArrowHeadTruncEnd,0.8662436480933234,0.8440638946577704,0.8330612876143344,0.8657054482789095,0.8412460783880517,0.886900269541779,0.7997132252220406,0.8364654677212673,0.8854217666033316,0.8702041447571914,0.8475202156334232,0.7987229905881313,0.9051955282576996,0.8463514648049135,0.9065768194070081,0.842111263311387,0.8306579470637621,0.8079165746100483,0.8254893729839601,0.8590610224912731,0.8418315584817287,0.8201873536299766,0.8473050240820115,0.8442234103663115,0.8672250452918563,0.877013388714595,0.8257889620432152,0.8818240466616586,0.8744253457646591,0.9005978525032036
BMETruncEnd,0.7985333333333332,0.7811666666666668,0.7995333333333333,0.8307333333333332,0.8047666666666667,0.8274000000000001,0.9061333333333335,0.7962,0.8024666666666667,0.8462666666666666,0.8397666666666667,0.8804333333333333,0.8768999999999998,0.8070666666666667,0.8533000000000001,0.8344333333333332,0.7833,0.8952666666666668,0.8264,0.7608,0.8201333333333334,0.8167666666666665,0.8968,0.8161333333333334,0.7997666666666667,0.8263666666666666,0.9194999999999999,0.8536666666666666,0.8585666666666666,0.8552333333333333
BeefTruncStart,0.5638888888888888,0.63125,0.5388888888888889,0.6777777777777778,0.6340277777777777,0.6423611111111112,0.5986111111111112,0.6055555555555556,0.6375,0.6104166666666667,0.5340277777777779,0.5923611111111112,0.5902777777777778,0.5916666666666667,0.579861111111111,0.5791666666666667,0.5569444444444444,0.575,0.6138888888888889,0.6055555555555556,0.5506944444444444,0.6840277777777778,0.5895833333333333,0.6986111111111111,0.6743055555555556,0.6395833333333333,0.51875,0.5777777777777777,0.5847222222222223,0.65
BeetleFlyTruncEnd,0.63,0.7,0.77,0.76,0.73,0.48,0.62,0.84,0.72,0.61,0.57,0.72,0.59,0.705,0.61,0.53,0.77,0.7600000000000001,0.75,0.685,0.7100000000000001,0.64,0.6,0.66,0.595,0.8150000000000001,0.79,0.6799999999999999,0.37,0.61
BirdChickenTruncEnd,0.88,0.875,0.9,0.9400000000000001,0.8600000000000001,0.8400000000000001,0.91,0.97,0.8500000000000001,0.99,0.9,0.88,0.9,0.91,0.97,0.9500000000000001,0.7999999999999999,0.91,0.99,0.9400000000000001,0.9500000000000001,0.93,0.99,0.99,0.92,0.96,0.99,0.93,0.99,0.905
CBFTruncEnd,0.9692946734593346,0.9809721659664532,0.983247569304268,0.9734508489703383,0.965209066736544,0.9785149646518707,0.9776475139024178,0.9457352934168406,0.9798132405277756,0.9760295853698785,0.9759236097890799,0.9542136549974013,0.9741839644205922,0.9784962769648058,0.9717289491385294,0.9593991542189975,0.9630119158319866,0.9875703905969324,0.9844218456851167,0.9818812980020766,0.9888415611099383,0.9697386163241319,0.9858091815320581,0.9731476176587148,0.9882089951205218,0.9654976847890903,0.9896261912786685,0.9864668286540633,0.9672712510797445,0.9844511296421812
CarTruncEnd,0.8616357558117672,0.9166743755781683,0.8824116483533012,0.8683338597955822,0.9271799297548942,0.9151393620781721,0.8891093762926529,0.8325949700292562,0.8934022998879387,0.8913049118927822,0.9307824357151991,0.8414391597662508,0.8470788866075524,0.8914583380338891,0.9044375126915007,0.8261138437008791,0.8741369779562737,0.8347376713822643,0.8870610620999827,0.9089165782962177,0.9169629897039026,0.8665920218406623,0.8846261741988373,0.9198615404285403,0.9287497273677641,0.8555553048592465,0.8955863661319314,0.8308328256733076,0.9014530358069539,0.9306673661093687
ChinatownTruncEnd,0.8435016662394257,0.6922583952832607,0.7472656583781936,0.7963129112193454,0.8265188413227378,0.8504229684696232,0.7852260104246773,0.8131675638725113,0.7975732718106467,0.8767410065795096,0.6261428693497394,0.7946253097496369,0.6722421601298812,0.8523882765102966,0.8342519012219088,0.7350038451679057,0.7556182175510553,0.8330983508502094,0.8182090062377169,0.8227163975049133,0.8220968982312228,0.9258096214645817,0.8628129539434333,0.8656754678287618,0.84021191147569,0.8192557463898147,0.8243185507989403,0.8911817482696744,0.7830684439887209,0.8946423993847732
ChlorineConcentrationTruncStart,0.5491972144381233,0.5415803661866538,0.5320008778391796,0.5606123317401134,0.530263328684264,0.5533724715967814,0.5501231136064206,0.5572476034271566,0.547410462002802,0.5580554266557912,0.5515902322815918,0.5456072228426195,0.5398092095414346,0.5492814026284937,0.5429020620070342,0.5505343813355025,0.5247762206052254,0.546061887211648,0.5587986549404261,0.5572308745002637,0.5575436521466864,0.553861137948073,0.5567698528924168,0.5377011341895898,0.5442671568222157,0.567809658713885,0.5516029483521915,0.5448844034698096,0.5488406043655881,0.5675517706719668
CinCECGTorsoTruncEnd,0.9540072239769897,0.9321770281384598,0.9334511903944099,0.9475786817827824,0.9323908896858939,0.9316965688426878,0.9362690417911732,0.9305248723991799,0.9419137769777555,0.9128723071203451,0.9432525376110495,0.9255301016354811,0.9364962579839756,0.930596989518574,0.9329026993281466,0.903958319579739,0.9500349091061892,0.9284711355719812,0.8977175468309233,0.9096711289142951,0.9223512106713037,0.9141617665599551,0.8817101031398773,0.9414054522543734,0.9292959418860616,0.9378352353077675,0.9698328247738469,0.9328726090724273,0.9336242089277764,0.9041753458105989
