Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.4,0.38,0.35,0.31,0.31,0.27999999999999997,0.32,0.31,0.30000000000000004,0.31999999999999995,0.29,0.30999999999999994,0.32,0.34,0.37,0.30999999999999994,0.32999999999999996,0.3,0.37000000000000005,0.27,0.37,0.36999999999999994,0.35,0.31999999999999995,0.3,0.3,0.35,0.27,0.36,0.31
AdiacTruncEnd,0.37158543408543404,0.2504281754281754,0.3618372993372993,0.3188272313272313,0.3372758247758247,0.37514253764253763,0.33041455541455533,0.39335360585360585,0.3731306231306231,0.3554510429510429,0.36555010305010305,0.3657638157638158,0.3399389274389274,0.29023165273165275,0.3511552636552636,0.3167934917934918,0.33793053793053796,0.361572924072924,0.31154018654018656,0.342559655059655,0.3303607428607429,0.25801064551064545,0.30952107202107204,0.29121325371325374,0.34770327270327267,0.3041414666414667,0.34873268623268616,0.32143468393468394,0.3372041997041997,0.3635338385338385
ArrowHeadTruncEnd,0.6005833561206818,0.59958071278826,0.5531856713152857,0.5981223224865554,0.47826086956521746,0.5975754261234164,0.5241090146750524,0.5483547534408896,0.5711421019050222,0.6847142466502598,0.5318567131528575,0.6019505970285297,0.631027253668763,0.5356849876948319,0.4708777686628383,0.6750524109014675,0.5362318840579711,0.5575608422203993,0.5115303983228512,0.6189043842858445,0.5290310819433052,0.5841764652265063,0.5382371707228146,0.5821711785616626,0.5144471789262601,0.5439795825357762,0.46714064351472057,0.6464315012305168,0.5324036095159967,0.6300246103363413
BMETruncEnd,0.7266666666666667,0.7000000000000001,0.7200000000000001,0.7866666666666666,0.7066666666666667,0.7533333333333333,0.7599999999999999,0.6666666666666666,0.7133333333333334,0.7200000000000001,0.7133333333333334,0.7733333333333333,0.8133333333333334,0.7733333333333333,0.7799999999999999,0.7400000000000001,0.6866666666666666,0.82,0.7400000000000001,0.6733333333333333,0.7333333333333334,0.7000000000000001,0.7666666666666666,0.7733333333333333,0.7533333333333334,0.7066666666666666,0.7599999999999999,0.82,0.7799999999999999,0.7200000000000001
BeefTruncStart,0.26666666666666666,0.4333333333333333,0.29999999999999993,0.3,0.3333333333333333,0.4666666666666667,0.36666666666666664,0.4,0.3,0.3,0.23333333333333334,0.3333333333333333,0.30000000000000004,0.2333333333333333,0.3,0.3,0.29999999999999993,0.26666666666666666,0.3666666666666666,0.4,0.2333333333333333,0.4,0.2333333333333333,0.39999999999999997,0.5,0.4666666666666667,0.26666666666666666,0.29999999999999993,0.36666666666666664,0.36666666666666664
BeetleFlyTruncEnd,0.6,0.5,0.6,0.65,0.7,0.7,0.55,0.7,0.6,0.55,0.6499999999999999,0.7,0.4,0.5,0.55,0.6,0.6,0.65,0.6,0.6,0.6499999999999999,0.55,0.6499999999999999,0.65,0.7,0.7,0.65,0.55,0.35,0.75
BirdChickenTruncEnd,0.75,0.85,0.75,0.75,0.8,0.75,0.8500000000000001,0.85,0.7,0.8,0.75,0.8,0.6000000000000001,0.85,0.8,0.7,0.75,0.75,0.75,0.85,0.75,0.7,0.6499999999999999,0.8,0.8500000000000001,0.9,0.8,0.75,0.7,0.7
CBFTruncEnd,0.8793887629573659,0.8619204310315025,0.9215599705665931,0.8838777525914732,0.9016114790286975,0.890412067696836,0.9247606560291569,0.8680644571857514,0.889411331861663,0.9345180279617367,0.9178872641253192,0.9078366445916114,0.9214860907398353,0.9303605592347314,0.9104120676968358,0.9027078734363503,0.9024191198621173,0.9104488594554819,0.8915526122148639,0.9192417934624255,0.910411968927014,0.8829212656364974,0.9192049029339575,0.9115967623252391,0.9204562178072112,0.9049593315258456,0.9380206033848418,0.9214643119941134,0.8326268327975069,0.9281305835814925
CarTruncEnd,0.6708357432041643,0.7299016772700984,0.7186957779063042,0.670401966454598,0.6914401388085599,0.6951272411798727,0.7351792943898207,0.683342972816657,0.7914979757085021,0.648207056101793,0.7379265471370735,0.7176836321573163,0.6970792365529208,0.7280942741469058,0.7439994216310005,0.5923221515326779,0.6886928860613072,0.5918883747831116,0.683342972816657,0.7200694042799307,0.6984528629265472,0.6849334875650666,0.6543522267206477,0.6279641411220358,0.5613071139386929,0.7261422787738577,0.6445199537304801,0.6711972238288028,0.7004048582995951,0.7524580682475419
ChinatownTruncEnd,0.8410877552764249,0.7608732803554644,0.7437195590874135,0.6978552507903957,0.6962744595402888,0.8085747244296334,0.7227633940015381,0.7703153037682645,0.7784542425019225,0.8295308895155089,0.7541869606083911,0.8280141843971631,0.6879219003674272,0.782961633769119,0.8361531231308212,0.7387849269418099,0.7110997180210203,0.8312612150730583,0.6992651456891394,0.7729214731265488,0.8248098778091087,0.8104759463385456,0.7132145603691362,0.7949030163206016,0.8210074339912843,0.7855037169956421,0.7865931812355806,0.8310475946338546,0.8288259420661368,0.7797573271810647
