Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.63,0.71,0.64,0.5999999999999999,0.6199999999999999,0.52,0.6,0.6100000000000001,0.5599999999999999,0.49000000000000005,0.55,0.6100000000000001,0.6599999999999999,0.59,0.63,0.62,0.5499999999999999,0.57,0.59,0.5900000000000001,0.5999999999999999,0.61,0.62,0.51,0.6000000000000001,0.6300000000000001,0.63,0.5900000000000001,0.63,0.5
AdiacTruncEnd,0.45350122850122854,0.44844712344712345,0.43621288621288623,0.4921983421983422,0.45491456741456743,0.4826290826290826,0.47209145959145965,0.4916133416133415,0.4547448422448423,0.41833294333294335,0.4500796875796876,0.4567383442383443,0.46059034809034805,0.5042943167943168,0.4476061851061851,0.437920112920113,0.4124701499701499,0.48562454812454814,0.4598730473730474,0.4313889938889938,0.44296154296154294,0.4321503946503947,0.5067081192081192,0.47135214635214623,0.44604674604674605,0.4958695208695208,0.47677382677382674,0.4787144537144537,0.4170643545643546,0.438566876066876
ArrowHeadTruncEnd,0.5386929176920973,0.6411448363868381,0.5859994531036369,0.5956612888524292,0.5144471789262601,0.5709598031173093,0.431318931729104,0.5323124601221402,0.4879227053140096,0.5550998085862728,0.5695014128156047,0.5627563576702216,0.5845410628019324,0.5709598031173093,0.45638501503965,0.6436058700209643,0.4487284659557014,0.5783429040196882,0.4936651171269711,0.5535502688907119,0.5498131437425942,0.5991249658189773,0.5705952055418831,0.590830370978033,0.500865919241637,0.6478898915322213,0.4182845684076201,0.645428857898095,0.5846322121957889,0.5956612888524292
BMETruncEnd,0.7999999999999999,0.7333333333333334,0.7666666666666666,0.8066666666666666,0.7799999999999999,0.7399999999999999,0.7333333333333334,0.7200000000000001,0.8066666666666666,0.8066666666666666,0.8133333333333334,0.7666666666666667,0.8133333333333334,0.7866666666666666,0.7866666666666666,0.7733333333333334,0.7666666666666666,0.7133333333333333,0.8133333333333335,0.7933333333333333,0.7999999999999999,0.8266666666666667,0.7666666666666666,0.7933333333333333,0.7866666666666666,0.7533333333333333,0.7799999999999999,0.7533333333333333,0.7933333333333333,0.7600000000000001
BeefTruncStart,0.3333333333333333,0.26666666666666666,0.23333333333333334,0.4666666666666666,0.26666666666666666,0.36666666666666664,0.3333333333333333,0.4,0.29999999999999993,0.36666666666666664,0.2666666666666667,0.4,0.2333333333333333,0.2333333333333333,0.3333333333333333,0.33333333333333337,0.26666666666666666,0.2333333333333333,0.36666666666666664,0.2333333333333333,0.2666666666666667,0.3666666666666667,0.26666666666666666,0.39999999999999997,0.4,0.3333333333333333,0.3,0.3333333333333333,0.26666666666666666,0.4000000000000001
BeetleFlyTruncEnd,0.5,0.65,0.55,0.75,0.75,0.55,0.55,0.8,0.7,0.65,0.6499999999999999,0.65,0.35,0.75,0.65,0.55,0.5,0.7,0.6000000000000001,0.75,0.6,0.6499999999999999,0.7,0.6,0.55,0.8500000000000001,0.65,0.65,0.5,0.6499999999999999
BirdChickenTruncEnd,0.7,0.8500000000000001,0.8,0.8500000000000001,0.75,0.8,0.6499999999999999,0.75,0.6499999999999999,0.9,0.8,0.7,0.55,0.75,0.8,0.7,0.75,0.65,0.65,0.7,0.8500000000000001,0.6000000000000001,0.6,0.75,0.55,0.9,0.6,0.75,0.55,0.6499999999999999
CBFTruncEnd,0.7992439170135958,0.757673081766597,0.8384545485972216,0.8383511365937252,0.832884078798564,0.811490881076196,0.8634259300413353,0.6856794129121789,0.7727945933399508,0.8106764745099783,0.8310990118079321,0.7233180240109437,0.8185857643055741,0.8715596742571275,0.8216257018830465,0.7535249961726693,0.770147315189317,0.8056232128835356,0.8351287711552612,0.8079115615014988,0.8157933439017042,0.7552149972097525,0.8402319115417475,0.791542093228835,0.8230006271883689,0.8082378969929528,0.8871006118790464,0.8902853954002894,0.8081590292901906,0.8682484159789818
CarTruncEnd,0.6139386928860613,0.6162521688837479,0.5970213996529786,0.5534268363215731,0.6007807981492193,0.6115529207634471,0.5049884326200116,0.5616685945633314,0.6445199537304801,0.5838635049161365,0.6796558704453441,0.6242770387507229,0.4786726431463273,0.506362058993638,0.5899363794100636,0.5387507229612493,0.6529786003470215,0.35931174089068824,0.5339791787160209,0.5650665124349334,0.7045257374204742,0.49125216888374784,0.5228455754771544,0.49356564488143434,0.666497975708502,0.5805378831694621,0.49414401388085605,0.43724696356275305,0.5754048582995951,0.6247108155002892
ChinatownTruncEnd,0.9746005297786893,0.9766085619072034,0.9599461676493206,0.9015423395710502,0.9532171238144065,0.9766085619072034,0.9753054772280612,0.9199991455182432,0.9725924976501752,0.9679782961633769,0.8922071263778518,0.9076305220883534,0.9373664872254976,0.9639622319063488,0.9452918055199522,0.9311287704007519,0.969986328291891,0.9480047850978381,0.9480047850978381,0.9525121763650346,0.9484961121080064,0.9839357429718876,0.969986328291891,0.9658634538152611,0.9425788259420662,0.964560369136119,0.9431769631718363,0.9458899427497223,0.964560369136119,0.9480047850978381
