Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.65,0.5900000000000001,0.64,0.54,0.4800000000000001,0.56,0.45999999999999996,0.5700000000000001,0.47000000000000003,0.53,0.55,0.5900000000000001,0.49000000000000005,0.62,0.59,0.6199999999999999,0.56,0.51,0.48999999999999994,0.49000000000000005,0.61,0.6200000000000001,0.5700000000000001,0.52,0.47000000000000003,0.53,0.59,0.53,0.59,0.48
AdiacTruncEnd,0.4925333675333674,0.44661003411003414,0.481039681039681,0.5082389832389833,0.4323867948867949,0.48953171453171457,0.4505391005391005,0.5550155175155175,0.5003681003681004,0.49333804333804326,0.44718880968880964,0.49610284610284605,0.48129764379764384,0.5039196164196164,0.4785722535722535,0.48177711927711925,0.43479163479163474,0.4813148563148562,0.4171570921570921,0.439492901992902,0.4524567024567025,0.45546626796626793,0.5241087741087742,0.4443875193875194,0.4793804918804918,0.5136398886398886,0.4862767862767862,0.47036788286788284,0.4376639126639127,0.4565817065817065
ArrowHeadTruncEnd,0.6750524109014675,0.6933734390666303,0.6436058700209643,0.6696745966639321,0.6324856439704676,0.7160696381369064,0.5594749794913864,0.6652994257588186,0.7176191778324674,0.7403153769027435,0.6126150761097439,0.6034089873302343,0.707410445720536,0.6072372618722085,0.6449731109288123,0.6595570139458572,0.6058700209643606,0.6446085133533862,0.5855437061343541,0.685625740588825,0.6678516087868016,0.6276547260960714,0.6010391030899646,0.6595570139458572,0.6851699936195425,0.6455200072919515,0.6281104730653541,0.7499772126515358,0.6475252939567951,0.7189864187403154
BMETruncEnd,0.7600000000000001,0.7066666666666667,0.7000000000000001,0.7866666666666667,0.7133333333333334,0.7799999999999999,0.7999999999999999,0.68,0.7133333333333334,0.7066666666666667,0.7200000000000001,0.7866666666666667,0.8133333333333334,0.7733333333333333,0.7999999999999999,0.7600000000000001,0.68,0.7866666666666666,0.7600000000000001,0.6733333333333333,0.7533333333333334,0.7000000000000001,0.6933333333333334,0.7599999999999999,0.7266666666666667,0.7533333333333333,0.7733333333333333,0.7999999999999999,0.7799999999999999,0.7333333333333334
BeefTruncStart,0.26666666666666666,0.36666666666666664,0.23333333333333334,0.36666666666666664,0.3333333333333333,0.4,0.3333333333333333,0.36666666666666664,0.2333333333333333,0.3333333333333333,0.19999999999999998,0.4,0.2333333333333333,0.2333333333333333,0.36666666666666664,0.36666666666666664,0.26666666666666666,0.3,0.3,0.26666666666666666,0.2333333333333333,0.4,0.2333333333333333,0.39999999999999997,0.5,0.3666666666666666,0.26666666666666666,0.29999999999999993,0.3333333333333333,0.36666666666666664
BeetleFlyTruncEnd,0.5,0.55,0.75,0.7,0.55,0.65,0.7,0.75,0.7,0.65,0.6000000000000001,0.6000000000000001,0.44999999999999996,0.5,0.6,0.55,0.6,0.65,0.6499999999999999,0.6000000000000001,0.75,0.6,0.6,0.6000000000000001,0.7,0.8,0.7,0.7,0.4,0.7
BirdChickenTruncEnd,0.7,0.8,0.75,0.9,0.8,0.7,0.9,0.8,0.75,0.75,0.75,0.8500000000000001,0.6,0.85,0.8500000000000001,0.8,0.75,0.75,0.9,0.95,0.8500000000000001,0.75,0.75,0.95,0.9,0.8500000000000001,0.85,0.8500000000000001,0.75,0.9
CBFTruncEnd,0.8772402230222577,0.8530905077262693,0.9137895511405446,0.8850257542310521,0.9060706401766004,0.8970713760117733,0.9325164575215688,0.8681162619573216,0.8949521707137601,0.9278734363502575,0.9112130415672796,0.9045474613686535,0.9148194240731687,0.9226195732155998,0.8871596762325239,0.8993671817512877,0.8701139803744363,0.9115526122148639,0.8893671817512877,0.932590041038861,0.924849153789551,0.8807211184694629,0.9192344351106962,0.904981604120677,0.9160338484179543,0.9027740986019132,0.9358278145695365,0.9170419426048565,0.8426490066225165,0.9314789299277498
CarTruncEnd,0.7051764025448236,0.765615962984384,0.7497108155002892,0.7027906304222094,0.7534702139965298,0.7703152111046847,0.7206477732793523,0.7396616541353384,0.8046558704453441,0.6660641989589358,0.7675679583574321,0.7594707923655293,0.6984528629265472,0.7544100636205899,0.7129843840370156,0.6088056680161943,0.7554222093695778,0.6215297860034702,0.789545980335454,0.7510844418739155,0.7783400809716599,0.7041642567958357,0.7018507807981492,0.7102371312897628,0.7750144592249856,0.7439994216310005,0.7426257952573743,0.6533400809716599,0.7520242914979758,0.8191873915558125
ChinatownTruncEnd,0.9497991967871486,0.7695035460992907,0.7771511578227805,0.8327779201914038,0.8446124925232846,0.9766085619072034,0.8487353669999145,0.7977228061180894,0.9431769631718363,0.9056224899598393,0.7602110569939331,0.8313253012048193,0.7966333418781508,0.9538152610441767,0.8575365290951038,0.7654874818422627,0.8413013757156285,0.9333504229684696,0.8414081859352303,0.8982953088951551,0.8755020080321285,0.9692813808425189,0.9345466974280099,0.8882551482525849,0.8796248825087585,0.9052379731692728,0.9110484491156114,0.9116465863453815,0.8468982312227633,0.9518072289156627
