Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.42000000000000004,0.35000000000000003,0.32999999999999996,0.4,0.42000000000000004,0.39,0.31999999999999995,0.31,0.28,0.33,0.33999999999999997,0.38000000000000006,0.38,0.41,0.36,0.33,0.31999999999999995,0.31,0.37,0.31,0.41000000000000003,0.41000000000000003,0.4,0.36,0.36,0.41000000000000003,0.44000000000000006,0.38,0.39,0.36
AdiacTruncEnd,0.5587871212871212,0.4892023517023518,0.5126670626670627,0.5347939972939973,0.5525808275808276,0.5082069957069958,0.4642705267705268,0.5332416832416832,0.5273065898065898,0.5157954282954282,0.50250969000969,0.5119245619245619,0.5072870822870822,0.535444697944698,0.5391559641559642,0.4953284703284703,0.5135104010104011,0.492063267063267,0.5052136302136301,0.4715029715029715,0.5361485361485361,0.4962300087300088,0.540079665079665,0.5093177093177094,0.5096518346518347,0.5594383094383094,0.5143101268101268,0.5338477588477589,0.4641314766314766,0.4925463800463801
ArrowHeadTruncEnd,0.5695925622094613,0.667760459392945,0.6547260960714611,0.6667578160605232,0.5865463494667761,0.6086956521739131,0.5212833834655001,0.630480357305624,0.5928356576428766,0.5637590010026433,0.6870841308905296,0.5899188770394677,0.6010391030899643,0.5390575152675234,0.5337708504238446,0.6518093154680522,0.5662200346367697,0.5928356576428766,0.5212833834654998,0.6474341445629386,0.5604776228238082,0.5802570412906755,0.5870020964360587,0.6643879318202534,0.6126150761097439,0.6010391030899646,0.6484367878953605,0.6652994257588186,0.5454379728374806,0.6363139185124419
BMETruncEnd,0.7133333333333334,0.6733333333333333,0.6,0.5933333333333334,0.6266666666666666,0.64,0.6266666666666666,0.6,0.6733333333333333,0.6133333333333334,0.7200000000000001,0.6866666666666666,0.7266666666666667,0.7066666666666667,0.7000000000000001,0.7466666666666667,0.5133333333333333,0.6333333333333333,0.6866666666666666,0.5599999999999999,0.6533333333333333,0.68,0.6,0.66,0.6533333333333333,0.64,0.62,0.64,0.5933333333333333,0.6666666666666666
BeefTruncStart,0.33333333333333337,0.4666666666666667,0.4666666666666666,0.4,0.4666666666666666,0.4333333333333333,0.3333333333333333,0.3666666666666667,0.26666666666666666,0.39999999999999997,0.3,0.30000000000000004,0.2666666666666667,0.26666666666666666,0.36666666666666664,0.36666666666666664,0.29999999999999993,0.4666666666666666,0.26666666666666666,0.33333333333333337,0.3,0.4666666666666667,0.3666666666666666,0.5333333333333333,0.5,0.4333333333333333,0.3666666666666667,0.33333333333333337,0.29999999999999993,0.4333333333333333
BeetleFlyTruncEnd,0.55,0.75,0.75,0.7,0.55,0.6499999999999999,0.8,0.75,0.7,0.55,0.75,0.6,0.55,0.45,0.75,0.6,0.55,0.65,0.85,0.6499999999999999,0.7,0.6,0.65,0.65,0.6,0.7,0.65,0.6499999999999999,0.44999999999999996,0.65
BirdChickenTruncEnd,0.6499999999999999,0.55,0.6000000000000001,0.65,0.65,0.7,0.75,0.7,0.7,0.75,0.55,0.85,0.5,0.6,0.8,0.65,0.7,0.75,0.8,0.9,0.8500000000000001,0.75,0.7,0.75,0.6499999999999999,0.8,0.65,0.7,0.8,0.85
CBFTruncEnd,0.8193859974023537,0.8517948452029968,0.8727077746665284,0.8229793422917563,0.8661206670913769,0.867061844723963,0.8756994631860181,0.8340027458010479,0.8772331609799942,0.8501019304561684,0.8254766384678826,0.845834185223047,0.8737148811552119,0.8815890088942225,0.831729113886543,0.894871031305095,0.808748932051301,0.8938040703043592,0.8483435807023523,0.8958856936851514,0.8592185331693755,0.8309267572385934,0.8669361601256352,0.820963845306705,0.837475393968127,0.8625506812648464,0.8195347447540878,0.8308312962057572,0.7572098019171222,0.8948261898059666
CarTruncEnd,0.7450115673799884,0.7356130711393869,0.6829814921920185,0.7139965297860035,0.6486408328513591,0.6594129554655871,0.6782822440717178,0.7049595141700404,0.7763880855986119,0.5345575477154425,0.7210815500289184,0.6303499132446501,0.7116107576633892,0.7524580682475419,0.6411943319838056,0.5923221515326779,0.728528050896472,0.6252891844997108,0.7332272990167727,0.7406737998843262,0.6890543666859457,0.6401821862348178,0.7356130711393869,0.6970792365529208,0.6843551185656449,0.6654858299595142,0.7844852515905147,0.6607865818392133,0.6947657605552342,0.7486986697513013
ChinatownTruncEnd,0.7333589677860377,0.7040502435273006,0.601298812270358,0.6034136546184738,0.6348372212253268,0.6561138169700077,0.7026830727163975,0.6199692386567547,0.7120823720413569,0.7268435443903273,0.6789712039647954,0.733850294796206,0.6330000854481757,0.6232376313765701,0.6608989148081689,0.6268691788430317,0.6702341280013672,0.6597026403486286,0.6076433393147056,0.6753823805861745,0.7221225326839271,0.6643168418354268,0.7277621122789029,0.7667905665214048,0.7313509356575237,0.6783730667350252,0.6946509442023413,0.7373109459113047,0.6523754592839444,0.746817055455866
