Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.41,0.41000000000000003,0.48999999999999994,0.35,0.26,0.32999999999999996,0.22999999999999998,0.36,0.27,0.26999999999999996,0.30999999999999994,0.35000000000000003,0.36,0.38,0.41000000000000003,0.43,0.41,0.35,0.31999999999999995,0.39,0.36999999999999994,0.42000000000000004,0.43999999999999995,0.41,0.32999999999999996,0.42000000000000004,0.45,0.35,0.37000000000000005,0.32
AdiacTruncEnd,0.4542193167193167,0.40132476382476384,0.4209512334512335,0.44884368634368627,0.44687144687144686,0.404590492090492,0.4199224199224199,0.4814020814020814,0.4304408429408429,0.44447665697665695,0.42452978702978705,0.4368143868143868,0.4222461097461097,0.46199224949224954,0.44050296550296547,0.4176664176664176,0.3901664401664402,0.44143634143634136,0.43339985839985834,0.3900788775788776,0.4389018639018639,0.4196099321099321,0.46708077958077965,0.3846520596520596,0.439518852018852,0.46307851307851305,0.43831367581367575,0.3829183954183954,0.3919115044115044,0.3814747564747565
ArrowHeadTruncEnd,0.6838027527116944,0.6774222951417374,0.6600127609151399,0.6812505696837117,0.6421474797192599,0.7384012396317564,0.6223680612523926,0.6870841308905296,0.7432321575061526,0.7436879044754351,0.6725913772673412,0.6004922067268254,0.7567222677969192,0.6478898915322213,0.7112387202625102,0.6673047124236624,0.6169902470148574,0.6364050679062984,0.6600127609151398,0.6735028712059065,0.6900920608877952,0.6068726642967824,0.6711329869656367,0.6910035548263603,0.6610154042475617,0.7117856166256494,0.6406890894175553,0.7050405614802662,0.6804302251390029,0.7281925075198249
BMETruncEnd,0.6333333333333334,0.58,0.6933333333333334,0.62,0.6066666666666667,0.6533333333333333,0.7666666666666666,0.6,0.6133333333333333,0.6200000000000001,0.6333333333333333,0.7133333333333334,0.7133333333333334,0.6133333333333333,0.7200000000000001,0.64,0.6266666666666667,0.7666666666666666,0.68,0.56,0.6666666666666666,0.5866666666666667,0.7333333333333334,0.6133333333333333,0.5733333333333334,0.6666666666666666,0.7999999999999999,0.6866666666666666,0.7200000000000001,0.64
BeefTruncStart,0.26666666666666666,0.3,0.26666666666666666,0.36666666666666664,0.3333333333333333,0.4,0.36666666666666664,0.29999999999999993,0.2333333333333333,0.26666666666666666,0.19999999999999998,0.3333333333333333,0.19999999999999998,0.2333333333333333,0.3,0.33333333333333337,0.3333333333333333,0.29999999999999993,0.29999999999999993,0.26666666666666666,0.29999999999999993,0.36666666666666664,0.3,0.3,0.4,0.3666666666666666,0.26666666666666666,0.2333333333333333,0.2666666666666667,0.36666666666666664
BeetleFlyTruncEnd,0.5,0.55,0.75,0.6,0.55,0.7,0.6499999999999999,0.8,0.6499999999999999,0.5,0.45,0.65,0.5,0.6499999999999999,0.5,0.55,0.7,0.7,0.6499999999999999,0.5,0.7,0.6000000000000001,0.6,0.55,0.7,0.7,0.6499999999999999,0.65,0.3,0.7
BirdChickenTruncEnd,0.75,0.75,0.8500000000000001,0.85,0.8,0.75,0.85,0.8,0.9,0.9,0.75,0.8,0.55,0.9,0.9,0.9,0.65,0.8,0.95,0.95,0.95,0.8,0.85,0.95,0.95,0.9,0.95,0.8,0.9,0.9
CBFTruncEnd,0.8785061558291479,0.8608094186902134,0.9070713760117733,0.8540397350993377,0.863980868285504,0.8971523178807947,0.8980131462632907,0.813721548118188,0.8883295553876468,0.8837454010301693,0.8767894869401603,0.8658862863040827,0.8825665832061672,0.899168506254599,0.8474098601913171,0.8780560123659816,0.8215408092211506,0.9203752759381899,0.8717954378219278,0.9202574435407005,0.9204120676968359,0.8730021087356968,0.8993966151582047,0.8750919793966151,0.9182781456953641,0.879580573951435,0.9202943340691685,0.903804267844003,0.8826342899190581,0.8903015936510759
CarTruncEnd,0.6670763447079237,0.7150086755349914,0.6164690572585309,0.7361914401388086,0.7254193175245807,0.7150086755349914,0.6478455754771544,0.7382880277617121,0.8309716599190284,0.6741613649508386,0.7614950838635048,0.7017784846732216,0.5838635049161365,0.6714141122035859,0.7079236552920763,0.6013591671486409,0.7301185656448814,0.6440861769809139,0.7051764025448236,0.7403123192596878,0.7027906304222094,0.6431463273568537,0.7150086755349914,0.7332272990167727,0.7628687102371313,0.6816078658183922,0.7314921920185078,0.5265326778484674,0.7074898785425101,0.7530364372469636
ChinatownTruncEnd,0.7471374861146715,0.6286635905323421,0.6529735965137144,0.6598735366999915,0.7055028625138853,0.7189609501837135,0.7398103050499871,0.7506622233615312,0.7000341792702726,0.7720029052379731,0.6168717422883021,0.7697812526702554,0.6008715713919508,0.7876826454755191,0.825408015038879,0.6510723746048022,0.71050158079125,0.7403016320601555,0.7076177048620012,0.8035332820644279,0.7496368452533538,0.8466205246517986,0.7735196103563189,0.7836665812184911,0.8329488165427668,0.773348714004956,0.7085576347944971,0.7853541826881996,0.709369392463471,0.8400623771682475
