Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.66,0.62,0.63,0.61,0.65,0.59,0.6,0.63,0.65,0.62,0.6,0.58,0.61,0.68,0.61,0.58,0.59,0.67,0.64,0.64,0.65,0.62,0.64,0.68,0.67,0.66,0.62,0.58,0.58,0.6
AdiacTruncEnd,0.6419437340153452,0.6061381074168798,0.6061381074168798,0.6061381074168798,0.6138107416879796,0.59846547314578,0.59846547314578,0.6265984654731458,0.6112531969309463,0.6035805626598465,0.6010230179028133,0.59846547314578,0.6342710997442456,0.6061381074168798,0.629156010230179,0.6035805626598465,0.618925831202046,0.618925831202046,0.6035805626598465,0.6163682864450127,0.6010230179028133,0.6240409207161125,0.6061381074168798,0.629156010230179,0.6265984654731458,0.6112531969309463,0.5575447570332481,0.6521739130434783,0.5933503836317136,0.618925831202046
ArrowHeadTruncEnd,0.6228571428571429,0.6742857142857143,0.6342857142857142,0.6971428571428572,0.7657142857142857,0.7314285714285714,0.6342857142857142,0.7085714285714285,0.7314285714285714,0.7142857142857143,0.68,0.7542857142857143,0.76,0.76,0.7371428571428571,0.7314285714285714,0.7142857142857143,0.6,0.6171428571428571,0.72,0.7142857142857143,0.68,0.7428571428571429,0.7142857142857143,0.6857142857142857,0.7485714285714286,0.7314285714285714,0.6971428571428572,0.6571428571428571,0.7314285714285714
BMETruncEnd,0.6733333333333333,0.7533333333333333,0.6266666666666667,0.6533333333333333,0.6466666666666666,0.7,0.6533333333333333,0.6866666666666666,0.6866666666666666,0.7,0.6666666666666666,0.7266666666666667,0.64,0.72,0.82,0.6533333333333333,0.6466666666666666,0.6866666666666666,0.68,0.6733333333333333,0.66,0.7133333333333334,0.6533333333333333,0.7266666666666667,0.56,0.6866666666666666,0.6866666666666666,0.6866666666666666,0.6866666666666666,0.6466666666666666
BeefTruncStart,0.13333333333333333,0.16666666666666666,0.3,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3,0.13333333333333333,0.2,0.06666666666666667,0.2,0.16666666666666666,0.2,0.16666666666666666,0.3,0.13333333333333333,0.3,0.26666666666666666,0.2,0.16666666666666666,0.26666666666666666,0.23333333333333334,0.3,0.36666666666666664,0.3333333333333333,0.23333333333333334,0.23333333333333334,0.13333333333333333,0.26666666666666666
BeetleFlyTruncEnd,0.7,0.75,0.8,0.65,0.85,0.7,0.85,0.65,0.65,0.7,0.6,0.75,0.8,0.7,0.75,0.7,0.7,0.7,0.7,0.8,0.7,0.6,0.65,0.65,0.55,0.55,0.8,0.8,0.85,0.7
BirdChickenTruncEnd,0.7,0.6,0.55,0.75,0.7,0.6,0.7,0.7,0.6,0.6,0.55,0.75,0.8,0.65,0.75,0.7,0.6,0.65,0.55,0.8,0.7,0.65,0.75,0.75,0.7,0.75,0.65,0.65,0.8,0.75
CBFTruncEnd,0.7177777777777777,0.6622222222222223,0.7322222222222222,0.56,0.5722222222222222,0.5055555555555555,0.5666666666666667,0.6888888888888889,0.5966666666666667,0.5577777777777778,0.61,0.63,0.7566666666666667,0.5855555555555556,0.6122222222222222,0.5355555555555556,0.5411111111111111,0.6711111111111111,0.49777777777777776,0.6855555555555556,0.6944444444444444,0.5433333333333333,0.6111111111111112,0.7077777777777777,0.6233333333333333,0.5888888888888889,0.4766666666666667,0.5844444444444444,0.5066666666666667,0.5611111111111111
CarTruncEnd,0.7166666666666667,0.65,0.7,0.65,0.7333333333333333,0.6666666666666666,0.7666666666666667,0.6833333333333333,0.7333333333333333,0.7666666666666667,0.6833333333333333,0.8,0.6,0.8333333333333334,0.7833333333333333,0.7666666666666667,0.75,0.6833333333333333,0.7333333333333333,0.7166666666666667,0.7166666666666667,0.7,0.7166666666666667,0.6666666666666666,0.6166666666666667,0.7166666666666667,0.6666666666666666,0.7,0.6666666666666666,0.7166666666666667
ChlorineConcentrationTruncStart,0.5010416666666667,0.50390625,0.5166666666666667,0.5096354166666667,0.5,0.5119791666666667,0.5223958333333333,0.5145833333333333,0.5145833333333333,0.5111979166666667,0.5020833333333333,0.5197916666666667,0.50546875,0.51953125,0.4791666666666667,0.5067708333333333,0.5096354166666667,0.51796875,0.521875,0.5078125,0.515625,0.5026041666666666,0.5169270833333334,0.5044270833333333,0.5205729166666667,0.5088541666666667,0.5114583333333333,0.5174479166666667,0.49505208333333334,0.5229166666666667
CinCECGTorsoTruncEnd,0.7036231884057971,0.8289855072463768,0.8485507246376811,0.763768115942029,0.8384057971014492,0.8782608695652174,0.8333333333333334,0.6905797101449276,0.827536231884058,0.8543478260869565,0.8478260869565217,0.8456521739130435,0.8297101449275363,0.7949275362318841,0.7746376811594203,0.7876811594202898,0.7623188405797101,0.7927536231884058,0.822463768115942,0.7079710144927536,0.8485507246376811,0.8210144927536231,0.7702898550724637,0.8108695652173913,0.8079710144927537,0.7420289855072464,0.7862318840579711,0.8195652173913044,0.8507246376811595,0.8442028985507246
CoffeeTruncStart,0.6071428571428571,0.7142857142857143,0.6071428571428571,0.5,0.6071428571428571,0.6071428571428571,0.42857142857142855,0.6071428571428571,0.6071428571428571,0.4642857142857143,0.5357142857142857,0.32142857142857145,0.5,0.75,0.42857142857142855,0.6785714285714286,0.6785714285714286,0.2857142857142857,0.5357142857142857,0.6428571428571429,0.5714285714285714,0.5,0.6428571428571429,0.5,0.7142857142857143,0.75,0.5357142857142857,0.5357142857142857,0.4642857142857143,0.5357142857142857
ComputersTruncStart,0.648,0.728,0.728,0.748,0.724,0.732,0.684,0.68,0.692,0.7,0.692,0.696,0.7,0.712,0.692,0.76,0.744,0.724,0.728,0.748,0.704,0.676,0.728,0.716,0.696,0.768,0.748,0.74,0.692,0.7
CricketXTruncEnd,0.45897435897435895,0.44358974358974357,0.4794871794871795,0.4282051282051282,0.44871794871794873,0.45897435897435895,0.4846153846153846,0.43333333333333335,0.44358974358974357,0.4,0.43333333333333335,0.4205128205128205,0.48717948717948717,0.4256410256410256,0.4205128205128205,0.43333333333333335,0.39487179487179486,0.47692307692307695,0.441025641025641,0.441025641025641,0.46923076923076923,0.43846153846153846,0.43333333333333335,0.43333333333333335,0.47692307692307695,0.44358974358974357,0.3974358974358974,0.4564102564102564,0.4512820512820513,0.40512820512820513
CricketYTruncEnd,0.4666666666666667,0.4897435897435897,0.47435897435897434,0.46923076923076923,0.4794871794871795,0.4846153846153846,0.4846153846153846,0.44871794871794873,0.4641025641025641,0.5102564102564102,0.4717948717948718,0.49743589743589745,0.43846153846153846,0.46923076923076923,0.47692307692307695,0.5025641025641026,0.4256410256410256,0.45897435897435895,0.5025641025641026,0.47435897435897434,0.48717948717948717,0.48717948717948717,0.4846153846153846,0.47692307692307695,0.4512820512820513,0.4564102564102564,0.48717948717948717,0.48205128205128206,0.48717948717948717,0.44871794871794873
CricketZTruncEnd,0.3974358974358974,0.39487179487179486,0.4205128205128205,0.441025641025641,0.43333333333333335,0.4076923076923077,0.441025641025641,0.4461538461538462,0.4025641025641026,0.46923076923076923,0.41794871794871796,0.4717948717948718,0.40512820512820513,0.3871794871794872,0.4256410256410256,0.46923076923076923,0.44871794871794873,0.4461538461538462,0.4358974358974359,0.4358974358974359,0.3871794871794872,0.43846153846153846,0.4666666666666667,0.4358974358974359,0.38974358974358975,0.3769230769230769,0.4512820512820513,0.4153846153846154,0.4076923076923077,0.40512820512820513
CropTruncEnd,0.4742857142857143,0.47386904761904763,0.47309523809523807,0.47291666666666665,0.4711904761904762,0.4720238095238095,0.47827380952380955,0.47672619047619047,0.4776190476190476,0.47541666666666665,0.47517857142857145,0.47964285714285715,0.4774404761904762,0.47517857142857145,0.4700595238095238,0.4838095238095238,0.47708333333333336,0.47095238095238096,0.47696428571428573,0.4745238095238095,0.47422619047619047,0.48214285714285715,0.4767857142857143,0.4720238095238095,0.47291666666666665,0.47785714285714287,0.4764880952380952,0.47375,0.47101190476190474,0.48142857142857143
DiatomSizeReductionTruncEnd,0.8627450980392157,0.761437908496732,0.7777777777777778,0.8758169934640523,0.826797385620915,0.8169934640522876,0.8366013071895425,0.803921568627451,0.8366013071895425,0.8169934640522876,0.7549019607843137,0.8529411764705882,0.8398692810457516,0.7745098039215687,0.8137254901960784,0.7124183006535948,0.8398692810457516,0.8594771241830066,0.8366013071895425,0.8235294117647058,0.8235294117647058,0.8366013071895425,0.7908496732026143,0.8888888888888888,0.8071895424836601,0.8137254901960784,0.7941176470588235,0.826797385620915,0.696078431372549,0.8104575163398693
DistalPhalanxOutlineAgeGroupTruncStart,0.4892086330935252,0.5611510791366906,0.5323741007194245,0.5467625899280576,0.5755395683453237,0.5683453237410072,0.539568345323741,0.5611510791366906,0.5467625899280576,0.5107913669064749,0.539568345323741,0.5755395683453237,0.539568345323741,0.5539568345323741,0.5035971223021583,0.5251798561151079,0.539568345323741,0.5683453237410072,0.5755395683453237,0.5755395683453237,0.5611510791366906,0.5899280575539568,0.5107913669064749,0.5323741007194245,0.5755395683453237,0.5611510791366906,0.539568345323741,0.539568345323741,0.5611510791366906,0.5251798561151079
DistalPhalanxOutlineCorrectTruncStart,0.6123188405797102,0.6376811594202898,0.6739130434782609,0.6485507246376812,0.6630434782608695,0.6304347826086957,0.6304347826086957,0.6521739130434783,0.6304347826086957,0.6376811594202898,0.677536231884058,0.677536231884058,0.5942028985507246,0.6123188405797102,0.6340579710144928,0.6485507246376812,0.644927536231884,0.6268115942028986,0.6557971014492754,0.6557971014492754,0.6594202898550725,0.5905797101449275,0.6195652173913043,0.6304347826086957,0.6413043478260869,0.644927536231884,0.6557971014492754,0.6557971014492754,0.6304347826086957,0.6231884057971014
DistalPhalanxTWTruncStart,0.41007194244604317,0.4316546762589928,0.4460431654676259,0.4244604316546763,0.38848920863309355,0.39568345323741005,0.41007194244604317,0.4172661870503597,0.43884892086330934,0.4028776978417266,0.4028776978417266,0.4244604316546763,0.43884892086330934,0.4316546762589928,0.38848920863309355,0.4028776978417266,0.41007194244604317,0.39568345323741005,0.39568345323741005,0.39568345323741005,0.39568345323741005,0.381294964028777,0.4028776978417266,0.41007194244604317,0.4460431654676259,0.4028776978417266,0.39568345323741005,0.4028776978417266,0.381294964028777,0.4028776978417266
ECG200TruncEnd,0.84,0.84,0.83,0.86,0.88,0.84,0.83,0.86,0.88,0.81,0.81,0.87,0.84,0.9,0.85,0.82,0.85,0.83,0.84,0.85,0.87,0.85,0.85,0.81,0.88,0.82,0.85,0.85,0.84,0.82
ECG5000TruncStart,0.7908888888888889,0.7902222222222223,0.79,0.7991111111111111,0.8066666666666666,0.7917777777777778,0.7875555555555556,0.798,0.782,0.7955555555555556,0.7991111111111111,0.8042222222222222,0.7906666666666666,0.7975555555555556,0.8013333333333333,0.8086666666666666,0.7984444444444444,0.802,0.7982222222222223,0.7933333333333333,0.7882222222222223,0.7926666666666666,0.7851111111111111,0.7873333333333333,0.7951111111111111,0.7937777777777778,0.8068888888888889,0.7844444444444445,0.7951111111111111,0.7897777777777778
ECGFiveDaysTruncStart,0.519163763066202,0.5226480836236934,0.5110336817653891,0.5389082462253194,0.5354239256678281,0.5052264808362369,0.5725900116144018,0.5005807200929152,0.5807200929152149,0.4901277584204414,0.5423925667828107,0.5807200929152149,0.5087108013937283,0.5412311265969802,0.5412311265969802,0.5516840882694541,0.5505226480836237,0.5075493612078978,0.5342624854819977,0.5168408826945412,0.5714285714285714,0.5238095238095238,0.5400696864111498,0.4901277584204414,0.5900116144018583,0.5400696864111498,0.5098722415795587,0.5017421602787456,0.5075493612078978,0.5307781649245064
EOGHorizontalSignalTruncEnd,0.10773480662983426,0.143646408839779,0.09392265193370165,0.15193370165745856,0.13259668508287292,0.12154696132596685,0.143646408839779,0.13812154696132597,0.11602209944751381,0.1408839779005525,0.11049723756906077,0.1464088397790055,0.1298342541436464,0.12430939226519337,0.13259668508287292,0.13812154696132597,0.10220994475138122,0.12430939226519337,0.1298342541436464,0.12430939226519337,0.12430939226519337,0.143646408839779,0.11049723756906077,0.1408839779005525,0.12154696132596685,0.1298342541436464,0.12430939226519337,0.14917127071823205,0.1270718232044199,0.12430939226519337
EOGVerticalSignalTruncEnd,0.08011049723756906,0.09392265193370165,0.08839779005524862,0.06629834254143646,0.09668508287292818,0.08287292817679558,0.07458563535911603,0.12154696132596685,0.09392265193370165,0.055248618784530384,0.07734806629834254,0.10497237569060773,0.06906077348066299,0.0856353591160221,0.07734806629834254,0.10220994475138122,0.09944751381215469,0.06629834254143646,0.07458563535911603,0.09116022099447514,0.08839779005524862,0.09116022099447514,0.08287292817679558,0.08839779005524862,0.10773480662983426,0.07458563535911603,0.11049723756906077,0.08011049723756906,0.0856353591160221,0.0856353591160221
EarthquakesTruncStart,0.7553956834532374,0.7410071942446043,0.7338129496402878,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7338129496402878,0.7338129496402878,0.7553956834532374,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7266187050359713,0.7482014388489209,0.7338129496402878,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7410071942446043,0.7482014388489209
ElectricDevicesTruncStart,0.4701076384385942,0.56322137206588,0.5556996498508624,0.557774607703281,0.5655556996498509,0.56322137206588,0.5671119180391648,0.564129166126313,0.5669822331733887,0.5715212034755544,0.567241602904941,0.5581636623006095,0.5691868758915835,0.5643885358578654,0.567241602904941,0.5651666450525223,0.5579042925690572,0.5675009726364934,0.5707430942808974,0.5634807417974322,0.5668525483076124,0.566463493710284,0.5669822331733887,0.5590714563610427,0.5660744391129555,0.5564777590455194,0.5610167293476851,0.5629620023343276,0.5624432628712229,0.5627026326027753
EthanolLevelTruncEnd,0.388,0.454,0.446,0.488,0.476,0.482,0.498,0.466,0.496,0.486,0.46,0.46,0.494,0.46,0.482,0.482,0.476,0.498,0.494,0.486,0.468,0.5,0.484,0.478,0.482,0.464,0.46,0.506,0.48,0.454
FaceAllTruncEnd,0.840828402366864,0.8461538461538461,0.8443786982248521,0.8662721893491124,0.8597633136094674,0.8272189349112427,0.8656804733727811,0.8485207100591716,0.8461538461538461,0.8443786982248521,0.855621301775148,0.842603550295858,0.849112426035503,0.8437869822485207,0.8585798816568048,0.8526627218934911,0.8568047337278106,0.840828402366864,0.8473372781065088,0.8520710059171598,0.8455621301775148,0.8485207100591716,0.8562130177514793,0.8568047337278106,0.8437869822485207,0.8568047337278106,0.8307692307692308,0.8538461538461538,0.8485207100591716,0.8467455621301775
FaceFourTruncEnd,0.8522727272727273,0.8181818181818182,0.7727272727272727,0.8409090909090909,0.7840909090909091,0.7954545454545454,0.9090909090909091,0.8181818181818182,0.8068181818181818,0.8295454545454546,0.8181818181818182,0.7954545454545454,0.7840909090909091,0.7954545454545454,0.7840909090909091,0.8522727272727273,0.7727272727272727,0.8181818181818182,0.8977272727272727,0.8522727272727273,0.7954545454545454,0.8181818181818182,0.7727272727272727,0.8863636363636364,0.7613636363636364,0.8181818181818182,0.8636363636363636,0.7272727272727273,0.9204545454545454,0.875
FacesUCRTruncStart,0.2731707317073171,0.2653658536585366,0.25414634146341464,0.2917073170731707,0.2814634146341463,0.2736585365853659,0.275609756097561,0.23658536585365852,0.25365853658536586,0.2497560975609756,0.2809756097560976,0.26878048780487807,0.2697560975609756,0.26682926829268294,0.24439024390243902,0.2604878048780488,0.2673170731707317,0.28,0.23902439024390243,0.25414634146341464,0.2839024390243902,0.2892682926829268,0.2863414634146341,0.27902439024390246,0.2658536585365854,0.2702439024390244,0.25365853658536586,0.28341463414634144,0.2736585365853659,0.2775609756097561
