Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.78,0.71,0.75,0.67,0.79,0.7,0.68,0.73,0.7,0.69,0.68,0.7,0.71,0.71,0.66,0.68,0.67,0.73,0.75,0.7,0.69,0.7,0.7,0.76,0.75,0.78,0.72,0.67,0.7,0.66
AdiacTruncEnd,0.7084398976982097,0.670076726342711,0.6777493606138107,0.649616368286445,0.7033248081841432,0.670076726342711,0.6470588235294118,0.6828644501278772,0.6675191815856778,0.659846547314578,0.6649616368286445,0.659846547314578,0.6828644501278772,0.6828644501278772,0.6956521739130435,0.6828644501278772,0.7058823529411765,0.7058823529411765,0.6649616368286445,0.680306905370844,0.6675191815856778,0.7135549872122762,0.6751918158567775,0.6956521739130435,0.7084398976982097,0.6930946291560103,0.6086956521739131,0.710997442455243,0.6675191815856778,0.6879795396419437
ArrowHeadTruncEnd,0.6685714285714286,0.7828571428571428,0.6685714285714286,0.7657142857142857,0.7657142857142857,0.7885714285714286,0.76,0.7657142857142857,0.7371428571428571,0.7714285714285715,0.7085714285714285,0.7771428571428571,0.7714285714285715,0.7657142857142857,0.7485714285714286,0.7942857142857143,0.7714285714285715,0.6342857142857142,0.6857142857142857,0.7257142857142858,0.7657142857142857,0.7028571428571428,0.7885714285714286,0.76,0.7428571428571429,0.8057142857142857,0.76,0.7314285714285714,0.72,0.7542857142857143
BMETruncEnd,0.6533333333333333,0.74,0.6,0.66,0.7066666666666667,0.7266666666666667,0.7066666666666667,0.68,0.72,0.72,0.6733333333333333,0.6733333333333333,0.6466666666666666,0.7,0.8266666666666667,0.6866666666666666,0.6266666666666667,0.7466666666666667,0.6866666666666666,0.7066666666666667,0.6666666666666666,0.7266666666666667,0.7266666666666667,0.7133333333333334,0.6,0.68,0.74,0.7066666666666667,0.6866666666666666,0.6266666666666667
BeefTruncStart,0.16666666666666666,0.3,0.2,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.26666666666666666,0.23333333333333334,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.2,0.3333333333333333,0.3,0.23333333333333334,0.36666666666666664,0.3,0.16666666666666666,0.26666666666666666,0.2,0.3333333333333333,0.43333333333333335,0.3,0.26666666666666666,0.2,0.26666666666666666,0.4
BeetleFlyTruncEnd,0.75,0.7,0.8,0.75,0.9,0.7,0.8,0.7,0.8,0.7,0.65,0.75,0.85,0.7,0.8,0.75,0.8,0.75,0.7,0.8,0.65,0.8,0.65,0.8,0.6,0.8,0.7,0.95,0.9,0.95
BirdChickenTruncEnd,0.65,0.7,0.6,0.85,0.85,0.65,0.8,0.7,0.8,0.6,0.6,0.9,0.9,0.7,0.7,0.95,0.65,0.65,0.55,0.85,0.85,0.7,0.75,0.75,0.8,0.85,0.75,0.7,0.85,0.8
CBFTruncEnd,0.8555555555555555,0.7855555555555556,0.8711111111111111,0.5988888888888889,0.6733333333333333,0.5322222222222223,0.7011111111111111,0.88,0.6355555555555555,0.7677777777777778,0.66,0.8266666666666667,0.9022222222222223,0.5877777777777777,0.6522222222222223,0.5777777777777777,0.68,0.7366666666666667,0.5955555555555555,0.8511111111111112,0.8844444444444445,0.5655555555555556,0.6388888888888888,0.7677777777777778,0.77,0.6266666666666667,0.5488888888888889,0.6411111111111111,0.6066666666666667,0.5622222222222222
CarTruncEnd,0.7166666666666667,0.7,0.7333333333333333,0.6833333333333333,0.7833333333333333,0.7,0.75,0.75,0.7333333333333333,0.8,0.7,0.7833333333333333,0.6833333333333333,0.7833333333333333,0.8333333333333334,0.7833333333333333,0.7833333333333333,0.75,0.7833333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6833333333333333,0.65,0.7666666666666667,0.75,0.7166666666666667,0.6833333333333333,0.75
ChlorineConcentrationTruncStart,0.5114583333333333,0.521875,0.5419270833333333,0.5317708333333333,0.5138020833333333,0.5338541666666666,0.5395833333333333,0.5309895833333333,0.5265625,0.5380208333333333,0.52265625,0.5369791666666667,0.5213541666666667,0.53046875,0.5138020833333333,0.5244791666666667,0.5348958333333333,0.5330729166666667,0.5388020833333333,0.5322916666666667,0.5361979166666667,0.5333333333333333,0.5364583333333334,0.5278645833333333,0.5411458333333333,0.5263020833333333,0.5424479166666667,0.5296875,0.5236979166666667,0.5463541666666667
CinCECGTorsoTruncEnd,0.9869565217391304,0.981159420289855,0.9847826086956522,0.9855072463768116,0.9739130434782609,0.9789855072463768,0.9826086956521739,0.9485507246376812,0.9557971014492753,0.9760869565217392,0.9710144927536232,0.9956521739130435,0.9471014492753623,0.9630434782608696,0.9760869565217392,0.9311594202898551,0.9659420289855073,0.972463768115942,0.9586956521739131,0.9579710144927536,0.9442028985507246,0.9731884057971014,0.8753623188405797,0.9797101449275363,0.9471014492753623,0.9601449275362319,0.9615942028985507,0.9543478260869566,0.9115942028985508,0.972463768115942
