Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8393333333333334,0.8220000000000002,0.8494444444444443,0.8235555555555557,0.8575,0.8136666666666668,0.7918333333333333,0.8183333333333332,0.833111111111111,0.8092777777777779,0.7973333333333333,0.7997222222222223,0.816722222222222,0.8565,0.8011111111111111,0.8238888888888889,0.8233888888888888,0.8473333333333334,0.8279444444444445,0.8319999999999999,0.8307222222222223,0.842111111111111,0.8323333333333335,0.83,0.8827777777777779,0.8721666666666666,0.8209444444444445,0.8463888888888889,0.8316666666666667,0.7868888888888889
AdiacTruncEnd,0.8769157525466321,0.8496877173953306,0.8588497449490969,0.8477844325229643,0.8698823846502937,0.8568100132269689,0.8484026057005412,0.8686711121969203,0.8634519504585427,0.8454962569998169,0.8549151427850498,0.856846822893403,0.8558441621250235,0.8736007216361407,0.8642000484842008,0.8716237659166534,0.8680273840389792,0.8640940354932869,0.8455819482506706,0.8653607199410062,0.8589293236729085,0.8686259309555538,0.8532769779594038,0.866749284653232,0.8622130422817953,0.8665632392079031,0.8366648438237028,0.8741480726224334,0.8417857028175842,0.8753540652971245
ArrowHeadTruncEnd,0.764522115682029,0.8376912200079537,0.7363558835226017,0.8451098051345499,0.8630829393310062,0.8360624806681101,0.7742079448544033,0.8221298219256772,0.8455216296230833,0.790905837126066,0.7958817551146659,0.8399818832574787,0.8428885157527286,0.8692218638151209,0.8372807211347266,0.8350368962926956,0.8329353541602226,0.7654929079581105,0.7454716981132077,0.8377168485705448,0.8044244620211214,0.7878812248685432,0.8639158676152181,0.825338694710795,0.7904873845610003,0.8537740267774292,0.8404714771773232,0.8252967168927577,0.7698289956254696,0.8339971720206797
BMETruncEnd,0.7678333333333334,0.8345333333333333,0.7551666666666667,0.7678666666666667,0.7647999999999999,0.8321666666666668,0.7802666666666667,0.7801333333333332,0.8063333333333335,0.7975666666666666,0.7625333333333333,0.8245666666666667,0.7739333333333334,0.8343333333333334,0.8773333333333335,0.7753333333333334,0.7544,0.7938000000000001,0.7929333333333333,0.7852,0.7770666666666667,0.8033666666666667,0.7634666666666666,0.8043666666666667,0.7136,0.8065000000000001,0.8006666666666666,0.7877333333333333,0.7886666666666665,0.7789999999999999
BeefTruncStart,0.4513888888888889,0.49652777777777773,0.548611111111111,0.5694444444444445,0.538888888888889,0.6034722222222222,0.5409722222222223,0.5819444444444445,0.46041666666666664,0.49513888888888885,0.44097222222222227,0.4958333333333333,0.4951388888888888,0.5381944444444445,0.46875,0.5555555555555556,0.45,0.5611111111111111,0.5513888888888888,0.5243055555555556,0.4951388888888889,0.5611111111111111,0.49374999999999997,0.5597222222222221,0.5826388888888888,0.5694444444444444,0.5208333333333334,0.5069444444444444,0.46527777777777773,0.5437500000000001
BeetleFlyTruncEnd,0.7700000000000001,0.795,0.8350000000000001,0.63,0.8400000000000001,0.6700000000000002,0.8350000000000001,0.65,0.75,0.75,0.6349999999999999,0.7250000000000001,0.76,0.735,0.7649999999999999,0.8,0.6800000000000002,0.7600000000000001,0.7150000000000001,0.78,0.7150000000000001,0.64,0.65,0.65,0.55,0.55,0.7949999999999999,0.815,0.9,0.715
BirdChickenTruncEnd,0.7449999999999999,0.6300000000000001,0.535,0.79,0.675,0.5599999999999999,0.7,0.68,0.5999999999999999,0.6,0.575,0.8049999999999999,0.7999999999999999,0.6849999999999999,0.83,0.735,0.635,0.65,0.52,0.8300000000000001,0.7200000000000001,0.66,0.74,0.79,0.735,0.7849999999999999,0.6950000000000001,0.65,0.76,0.78
CBFTruncEnd,0.8175028053603888,0.7654508095254555,0.8300220367057576,0.6769913481548973,0.7030725776068294,0.6415841885691734,0.6928244891095497,0.7962424910173899,0.7049211638462649,0.6850364314747531,0.7172001913292863,0.7415314479420142,0.836817069119698,0.6961243027391663,0.7289377929713623,0.659365479554711,0.6653195423261904,0.7704552075784381,0.6452618386089063,0.7861453520779862,0.8108975787591056,0.6662766073944032,0.7284264577219581,0.7961729495451184,0.7476667206384597,0.7120303183101212,0.6133021290051371,0.6985450856244082,0.6424810004473301,0.6821759229012009
CarTruncEnd,0.8606586042733693,0.8612141159570708,0.8360923715620134,0.8065144062633967,0.857344524416567,0.8574292284319698,0.8889674195076827,0.8405059114189661,0.8761741048261545,0.8722945481073683,0.8368332731662191,0.8898703022645399,0.7850773335439183,0.8960449523551665,0.8833757323465927,0.8833359656445778,0.8703011364063686,0.865695437828569,0.8756928619239939,0.85783620255259,0.8739912607266684,0.8329710144927537,0.8695376721343532,0.8296031602776712,0.7793813880553236,0.87232322149771,0.8399108210554815,0.848538127148154,0.8198166971262683,0.8664106743981409
ChlorineConcentrationTruncStart,0.5374036581128092,0.5365694857428015,0.535996004039202,0.528706433185394,0.5323224697678914,0.5273323450142466,0.5300910596061483,0.5422663611282954,0.5441458408307099,0.5437894799096872,0.5306445231008563,0.5460830202237309,0.5444236902607117,0.5388813825566195,0.5231119948976864,0.5394371017660632,0.5386505907352962,0.5322581063379456,0.5455236399880141,0.5430346437137561,0.5411073474041773,0.5348530596911,0.5452418336042989,0.5364810389680372,0.5449417945335298,0.547420278115369,0.5311823343507542,0.53847512286697,0.5292521766528009,0.5400965933202992
CinCECGTorsoTruncEnd,0.820072772379518,0.9102787491536536,0.9265479137594655,0.872246288778206,0.9134229544435754,0.9446376225531127,0.9194469153102042,0.8345405368424136,0.9099497020366457,0.9234985604176746,0.9188319052161121,0.9278786131679735,0.9163361026227113,0.892383678499683,0.8905523534651106,0.8941852878359846,0.8739388950243492,0.8936907078129404,0.910383234493915,0.8443264218655583,0.9253712236462596,0.9066984574175048,0.8747664063941166,0.8990062566060304,0.9082738215562609,0.8596099735513233,0.8888652342726974,0.9156704500703886,0.9269941191005621,0.9223851154836663
CoffeeTruncStart,0.7282051282051282,0.7333333333333334,0.6512820512820513,0.5923076923076923,0.6461538461538462,0.5846153846153846,0.5102564102564102,0.6820512820512821,0.6435897435897435,0.5333333333333333,0.6384615384615385,0.358974358974359,0.5948717948717949,0.7256410256410257,0.5076923076923077,0.7538461538461538,0.6512820512820512,0.28974358974358977,0.5487179487179488,0.6512820512820513,0.5615384615384615,0.45128205128205123,0.6358974358974359,0.49230769230769234,0.6948717948717948,0.8512820512820514,0.5282051282051283,0.5333333333333333,0.5025641025641027,0.5717948717948718
ComputersTruncStart,0.690368,0.75648,0.75216,0.7496320000000001,0.728672,0.754624,0.706656,0.7034880000000001,0.7217920000000001,0.7461439999999999,0.7170559999999999,0.720224,0.736192,0.7359039999999999,0.6973120000000002,0.7989759999999999,0.7652800000000001,0.729152,0.743264,0.762944,0.743712,0.734848,0.748512,0.7263040000000001,0.70912,0.7801279999999999,0.760288,0.759648,0.6982079999999999,0.7185599999999999
CricketXTruncEnd,0.7453330568748948,0.7416437716229004,0.7606064387078256,0.7206720722447105,0.7420753132417529,0.7548967938849233,0.760935653094066,0.7441749071191857,0.7490339644360449,0.7275073231115016,0.7341062966871366,0.7426163535631528,0.7712910382153093,0.729534103998342,0.7255663042797854,0.7244767188438697,0.7088209255348955,0.7622426706683193,0.7462378173282345,0.7541479665361634,0.7471269597139731,0.7311641107203921,0.7442742218864339,0.7441338773880422,0.7621717335823582,0.7472463955292439,0.7212075875318233,0.7522676977911199,0.7422680703303068,0.7274793840779978
CricketYTruncEnd,0.7557379280527762,0.7795435557728811,0.745172141099225,0.7526931501228623,0.7667867535848734,0.7733226173275619,0.773283974265378,0.7431140784704594,0.7547360553113064,0.7715296225803954,0.7699697464786839,0.7792760801479796,0.729500627165367,0.7588393566498127,0.7630530086965882,0.7666291024723766,0.7397826691974878,0.7403087641479023,0.7669895102106883,0.7507720696989335,0.7781211807674261,0.7590286330829448,0.7566286245756572,0.7550009453777703,0.7511698949176705,0.7467322661521963,0.7666668151290791,0.7505966733222516,0.7609940832391898,0.7514385240473922
CricketZTruncEnd,0.7228834934216121,0.7245890560716365,0.7412021992518493,0.7516852406585222,0.7466662320878056,0.7203892368755288,0.7361388457217789,0.7500958100394233,0.7178441122347565,0.7587674669456655,0.7213798720039234,0.7449730577947051,0.71170556339342,0.7326756193916094,0.7331396830277053,0.7627828858497957,0.7414322296634029,0.7385420183685428,0.7382701231421622,0.7333757308794087,0.7313898991547558,0.7431624625987764,0.7660663713627157,0.7399355226238974,0.7373947653108729,0.7202520046425405,0.7401956289176306,0.7301028748118767,0.7226875961844679,0.726446019864192
CropTruncEnd,0.7962577325495416,0.8021751774622893,0.8004250018485655,0.7998437592428276,0.7959063923395445,0.7987427462289264,0.7987710274327121,0.798805699127477,0.7977370914670215,0.8006358529281278,0.7985125277284827,0.8021617587252292,0.8002372042295178,0.797164455782313,0.7945933636498077,0.8017428811742089,0.801607791703638,0.7980957168737061,0.8003699792960662,0.8017009483141083,0.7983338694173321,0.8058899142265602,0.7993966282165039,0.7932016211919551,0.7964382449719019,0.8021686113575867,0.8013523070097605,0.7967611838213546,0.7959821354628808,0.800574153356995
DiatomSizeReductionTruncEnd,0.9430008396116926,0.8674901693381352,0.856907616655788,0.9368906319444196,0.90159371249297,0.9082283201823277,0.903835458066017,0.8688822863786677,0.9019652665406057,0.9083976311284488,0.8565053350601521,0.921190315328063,0.8927883039143878,0.8720426771066122,0.896949819130385,0.8462543641512167,0.904291254208143,0.921103527916329,0.9092890935447768,0.9008665235967427,0.9253459436440185,0.8864028771858178,0.8847621239703783,0.9399349635051005,0.9182065148411218,0.8867208871712822,0.8752997767114894,0.8943685295512704,0.8069964433878247,0.8909986157799403
DistalPhalanxOutlineAgeGroupTruncStart,0.5881814382844205,0.6562267535579209,0.6668252102764171,0.6139554703229569,0.6828200168722912,0.6592338944885939,0.6226825296519541,0.6440995982638474,0.6060592066887031,0.6356456160267949,0.612141267805285,0.6463278461799,0.6430851831176734,0.6254107524790977,0.5913878400331174,0.5971040734979584,0.668295224326206,0.6616480355384393,0.6648902281836258,0.6472680530379533,0.7003142777843986,0.65843865448182,0.5890200350617499,0.5820531978950405,0.650111841651352,0.6449809637904323,0.6137418225837813,0.6157101258836001,0.6380488982832915,0.5857015172517609
DistalPhalanxOutlineCorrectTruncStart,0.5989197947610045,0.611288144747502,0.6867674858223063,0.6590332163110991,0.674588171752633,0.6463137996219281,0.6733729408587631,0.6702403456656765,0.6230083715906022,0.6666756683769917,0.6805022954361328,0.715284904131785,0.6008371590602214,0.650337564137186,0.6263300027005131,0.6628679449095327,0.6564137186065353,0.5986497434512558,0.6697002430461788,0.6555495544153389,0.6984877126654065,0.6015392924655684,0.6422090197137456,0.6263029975695382,0.6785309208749662,0.6718606535241696,0.6897650553605186,0.6626248987307588,0.6280583310829058,0.6410748042128003
DistalPhalanxTWTruncStart,0.6185781483592148,0.6093454915435409,0.6387302009896924,0.6406584033511873,0.6401100307373082,0.6092756466816225,0.6069965518275234,0.6157949345923764,0.6307335415519627,0.6594363470829064,0.6162901886448433,0.6119860663034221,0.6526760436375925,0.6295338971800034,0.630569312334049,0.59185180712889,0.6030104089661242,0.5881133090825261,0.6322275489098261,0.59958077868819,0.6275289007474668,0.6247112265339854,0.5880045006704504,0.6628618735430573,0.6586573689934447,0.6341743632808307,0.616199938210315,0.6070024478668965,0.6068817159438709,0.6159500028842906
ECG200TruncEnd,0.845920138888889,0.8500434027777778,0.8135850694444444,0.8459201388888888,0.859375,0.828125,0.8103298611111112,0.8862847222222223,0.8628472222222223,0.8298611111111112,0.8203125,0.8752170138888888,0.8161892361111109,0.8995225694444444,0.8804253472222221,0.8370225694444444,0.8081597222222222,0.8328993055555555,0.8237847222222222,0.8600260416666666,0.8702256944444444,0.8444010416666665,0.8615451388888888,0.8342013888888888,0.880859375,0.8246527777777779,0.8541666666666667,0.8402777777777779,0.8589409722222222,0.8272569444444444
ECG5000TruncStart,0.8240715274193112,0.8416313780870055,0.8400576832412949,0.8359189897351625,0.8427371173786369,0.8311317045018377,0.8323612538215639,0.8503214446993818,0.8181222558741192,0.8364488182481832,0.8456086311944199,0.858177546599031,0.8332215784605782,0.831055904396534,0.8430615438502679,0.8532920081486535,0.8406697903801587,0.8391656050354743,0.8385967136333872,0.8411624115331712,0.826550370062133,0.836666153598075,0.8293953473587279,0.8348922432774394,0.8417130349046685,0.833578609401663,0.8545607630040488,0.8197345908682176,0.8398209006165206,0.8270577851398855
ECGFiveDaysTruncStart,0.5293324124236473,0.5443736375213141,0.5076460685070472,0.543914981329995,0.5484961472879929,0.5062431201571302,0.5759264855064644,0.5060461677926227,0.5831165957997886,0.4965708704754916,0.5407988172066219,0.5845006583065334,0.5165574885066154,0.5324431805918284,0.5592664738512012,0.5615462649198162,0.5631272797910686,0.5089707755066802,0.5350143532408107,0.5168137963782349,0.5839205931233946,0.5295644384969027,0.562509442921586,0.5000485635967279,0.5985733094472384,0.5532985474088624,0.5106165418402365,0.5018696984740239,0.5186996827178347,0.5291948155662515
EOGHorizontalSignalTruncEnd,0.5338188262131746,0.540819585837605,0.5440197545317002,0.5565267115268342,0.5500992818997709,0.5365920981771742,0.5518897146796427,0.5380657282091824,0.5287323242285251,0.5453812135893443,0.530475824489769,0.5535332057013289,0.54643938759712,0.5398772684197118,0.5408692881445888,0.5440087295413158,0.5285619335733934,0.5450931200452251,0.5468150296358196,0.546430255821978,0.5356014024083382,0.5499403122857331,0.5428651340800044,0.5538161878398264,0.5471298850054018,0.5518862827811614,0.5298117618905253,0.5396494438441927,0.5357646930628153,0.5495615030869183
EOGVerticalSignalTruncEnd,0.4892276532053245,0.5115399397594317,0.50249989261149,0.4838756674049683,0.5051170783978289,0.5085746535188962,0.4955020457129961,0.5383159433698356,0.48518711484127,0.4879501826396999,0.5088368927609735,0.5025705013608507,0.4923549311687524,0.5188536182077708,0.49898534057775384,0.505576271359133,0.5304466417463121,0.49762363463478704,0.5017217449500536,0.5073409423481885,0.500343277112905,0.5130954154653063,0.5120015458256639,0.5042340677336554,0.5243248951008459,0.5052958634558866,0.5125154338693076,0.5130370709264667,0.5028020648845529,0.5138793352459513
EarthquakesTruncStart,0.5282967032967033,0.4906593406593406,0.4991758241758242,0.5050824175824176,0.47115384615384615,0.5085164835164835,0.4747252747252747,0.5093406593406593,0.5002747252747253,0.4567307692307692,0.5326923076923077,0.4766483516483516,0.5144230769230769,0.47032967032967027,0.48392857142857143,0.5024725274725276,0.5151098901098901,0.5049450549450549,0.5228021978021977,0.49010989010989003,0.5065934065934066,0.484065934065934,0.4903846153846153,0.49354395604395607,0.4781593406593407,0.44711538461538464,0.5288461538461537,0.4949175824175824,0.4895604395604395,0.5184065934065933
