Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.957222222222222,0.9461666666666666,0.9395555555555556,0.9200555555555554,0.9460555555555556,0.9174444444444445,0.9075000000000002,0.9417777777777776,0.8957222222222222,0.9289444444444445,0.9308333333333333,0.9280555555555557,0.9456111111111111,0.9443888888888889,0.9394444444444443,0.9290555555555555,0.9209444444444443,0.9278888888888889,0.9382777777777779,0.9265555555555555,0.916888888888889,0.9557222222222223,0.9416666666666665,0.9277222222222221,0.940277777777778,0.9298333333333333,0.9319444444444445,0.9443888888888888,0.9274444444444444,0.9255555555555555
AdiacTruncEnd,0.9854653137340857,0.9873651507399889,0.9754448767879437,0.9846681242263242,0.9818251807146157,0.9835073603236038,0.9819047078405071,0.9796767706620039,0.9844911319840405,0.9794455697996504,0.9824832412298292,0.9847024383548814,0.9865672130770132,0.978956908181832,0.9848014803989374,0.9796202304158919,0.977450887303795,0.9848213152175216,0.9799830626467079,0.9867255250172037,0.9764224217283185,0.9857914014116058,0.9881474212988711,0.9841958667881506,0.9902420399206524,0.9860250588457196,0.9833237472628027,0.9836858253319587,0.9770797682413227,0.9848129909820497
ArrowHeadTruncEnd,0.8741142680394149,0.9032928284211921,0.8349750342450621,0.9321452874375856,0.9083513764305599,0.920969466660775,0.9188975299368123,0.8956343069241307,0.943585789403915,0.9032601299103,0.8900720250983165,0.9241725951128982,0.9273682117449517,0.9295912686138482,0.8892550041977818,0.9178189209491406,0.9077840130794044,0.836008572312315,0.8611077725244135,0.896011223542928,0.9365374928195838,0.9073735142061774,0.9166722637090717,0.902809420706111,0.9387738058415448,0.8637492819583756,0.8838668198488799,0.9002147496796429,0.9050452918563033,0.907065087711546
BMETruncEnd,0.8097333333333334,0.8673,0.8091,0.8674333333333334,0.8538666666666668,0.8581666666666669,0.8772666666666666,0.8700666666666667,0.8564333333333332,0.8676999999999998,0.8642,0.8363666666666667,0.7637,0.8565333333333335,0.9148999999999999,0.8648000000000002,0.8564666666666667,0.8462666666666667,0.8052333333333334,0.8353666666666666,0.8472999999999999,0.8472,0.8152333333333334,0.8392333333333335,0.8017666666666666,0.8617666666666666,0.8483666666666666,0.8450666666666666,0.8739333333333333,0.8495666666666667
BeefTruncStart,0.53125,0.6493055555555555,0.6034722222222223,0.6125,0.6263888888888888,0.6430555555555555,0.5993055555555556,0.5875,0.5534722222222223,0.5659722222222221,0.49166666666666664,0.5840277777777778,0.5597222222222222,0.5208333333333334,0.5847222222222223,0.5368055555555556,0.5270833333333333,0.5465277777777778,0.5777777777777777,0.6013888888888889,0.5618055555555556,0.6625000000000001,0.5506944444444445,0.576388888888889,0.6972222222222223,0.6604166666666667,0.6145833333333334,0.56875,0.5652777777777778,0.5923611111111111
BeetleFlyTruncEnd,0.9800000000000001,0.8700000000000001,0.73,0.8200000000000001,0.89,0.79,0.93,0.91,0.73,0.9400000000000001,0.83,0.815,0.71,0.87,0.8400000000000001,0.78,0.835,0.77,0.87,0.89,0.905,0.8799999999999999,0.735,0.8500000000000001,0.8,0.735,0.9750000000000001,0.91,0.91,0.88
BirdChickenTruncEnd,0.88,0.78,0.79,0.9500000000000001,0.88,0.8799999999999999,0.9600000000000001,0.89,0.92,0.77,0.87,1.0,0.9299999999999999,0.9299999999999999,0.9850000000000001,0.96,0.78,0.8999999999999999,0.66,1.0,0.98,0.8999999999999999,0.9400000000000001,0.9500000000000001,0.9599999999999999,0.8999999999999999,0.86,0.9,0.91,0.92
CBFTruncEnd,0.9767651920618049,0.9360955698581837,0.9865481479629608,0.8517930176693321,0.8861963739514802,0.8167023995945633,0.8664264776501632,0.9905505320223723,0.9147787141667829,0.874298550117635,0.908397225113201,0.9424032384001797,0.9897399269045377,0.8748823275814175,0.9353306119656475,0.8391247582586309,0.8279707044790209,0.9330866793067247,0.8222813420972168,0.9869388745471657,0.9904739338358903,0.8696792264358494,0.9199673798330269,0.9742395941642151,0.9153059847064144,0.902842544711402,0.815162498626528,0.8994388836522051,0.8446101863271732,0.861044533046252
CarTruncEnd,0.8905276279867332,0.9533073110564593,0.9196219060941766,0.9041659145777395,0.9506954942352384,0.9700377172596888,0.9345307529162248,0.9126874581650533,0.9395729451050292,0.9135492580642736,0.9117447146950656,0.8921232786564683,0.8933022720606485,0.9600719749103133,0.8928790340169822,0.8877127471552236,0.9206554643020991,0.9527981468528838,0.9503194497717409,0.9130560757503968,0.946940126200522,0.9149927987485242,0.9186484209892978,0.9346838030128681,0.8896994840669962,0.928275441288178,0.9359354670096193,0.9185549739401188,0.9346619924339855,0.9267359152546197
ChlorineConcentrationTruncStart,0.5594889517844183,0.5613046570130713,0.5566445201834562,0.5688735975999547,0.5626420991074712,0.565519225885567,0.561228055414208,0.5672320724785063,0.5569239475590932,0.5780869105010124,0.5450920061919414,0.5579252699951954,0.5592860050569243,0.5609563831085393,0.552023496424777,0.5672347417949439,0.5602707463791228,0.5584008976954472,0.5652929008050436,0.5592728952557714,0.5672991017633742,0.5641996029032621,0.5637463240724624,0.5612496554893894,0.5763538015498173,0.5708158350827923,0.5489283400346185,0.5510849784197224,0.5571645943409635,0.5715271407871417
CinCECGTorsoTruncEnd,0.9917928439494191,0.9963942696638806,0.9938653120000468,0.9682773726742606,0.9838081829298747,0.9879284876968094,0.9742965422237285,0.969522120972438,0.979580639181377,0.9740492515170482,0.961980683699178,0.9884507832362306,0.9495199536813486,0.9799742806746293,0.994497475103709,0.9176100835804485,0.9854447042761756,0.9713287101068485,0.9763474687400948,0.9798427730168086,0.9765940612700492,0.9693773933302848,0.9432859628219481,0.997935842253187,0.9840116625831526,0.94961652871802,0.9943712696962598,0.9881851830910174,0.9943782290183197,0.9951970290897146
CoffeeTruncStart,0.7435897435897437,0.7128205128205128,0.6102564102564103,0.48461538461538467,0.3512820512820513,0.5179487179487179,0.4435897435897436,0.5948717948717949,0.6128205128205128,0.5051282051282051,0.5538461538461539,0.36923076923076925,0.4692307692307693,0.6743589743589744,0.5076923076923077,0.6102564102564103,0.6358974358974359,0.23076923076923078,0.5974358974358974,0.5897435897435898,0.6564102564102565,0.4794871794871795,0.6564102564102565,0.4384615384615385,0.6025641025641025,0.6051282051282052,0.5717948717948718,0.5615384615384615,0.45128205128205123,0.4153846153846154
ComputersTruncStart,0.80064,0.8357439999999999,0.858016,0.786752,0.8141120000000001,0.822368,0.830336,0.8064319999999999,0.8523519999999999,0.795456,0.833376,0.8335359999999999,0.847872,0.8264640000000001,0.824128,0.87056,0.815168,0.778624,0.8416319999999999,0.8625919999999999,0.840736,0.781408,0.8231999999999999,0.806208,0.762976,0.858848,0.849984,0.854144,0.8077120000000001,0.75952
CricketXTruncEnd,0.8675951159217257,0.8800939022366324,0.8742731543474693,0.8786194691144537,0.8959953288482387,0.8830693934315209,0.8952557305856921,0.8647227284968881,0.8791370210190487,0.8865540599262329,0.891539361119163,0.8863592093030442,0.8932373799034652,0.8730286365764642,0.8683809095451896,0.8826171900514735,0.8677548970982906,0.8973884564291661,0.8816611116812615,0.8904032979451694,0.8708022094083533,0.8779678529641558,0.8770795635425894,0.8823354537166923,0.8872452710461933,0.873497425391802,0.8781771872640928,0.8781432204686731,0.8788598657054983,0.8734218549440125
CricketYTruncEnd,0.9058067772880221,0.8919326468714445,0.8781329708922967,0.9090218532557094,0.9015318134342909,0.892321748402091,0.8970627959932447,0.8990717540553744,0.889100487740597,0.8944042650925653,0.8960038217001163,0.9096724169694942,0.8853179196228863,0.8928812779549228,0.889522526781418,0.8781003933444997,0.8888268783852478,0.8858316872480463,0.903148708910358,0.8836628385111175,0.8847198443952227,0.8897180267378411,0.8860174875886905,0.8956446637297454,0.8943333813512767,0.8862280707353424,0.8949150432508596,0.8770616321410878,0.8996021702484812,0.8905075799910085
CricketZTruncEnd,0.8858926556959738,0.8936550328458553,0.8849035429958291,0.881718397408597,0.8730939837195363,0.8801033409073965,0.891171938736348,0.8795061940629832,0.8867205037977246,0.8887232656331908,0.8894385578084161,0.8835808748492909,0.8908406512497095,0.8943795768647715,0.8833787084694539,0.8873996810366687,0.8933528086411672,0.8797414851439649,0.8919711418349655,0.8719434511303302,0.8613187045377794,0.8902914649083592,0.8876185803991847,0.8903704867450397,0.8757627720199342,0.88202510467167,0.884990397916198,0.8727632195158309,0.88086277295364,0.8807295663512557
CropTruncEnd,0.9598228297840875,0.9607853649068323,0.9617942897811298,0.9603122689293109,0.9603127403135168,0.960378436483289,0.9604798968500444,0.960831876663709,0.9603937093315587,0.959629488317066,0.9602855719461697,0.9603576604554865,0.9608619398846494,0.959891790520556,0.959152741422656,0.9614290742383911,0.9600811132061521,0.9606380822981366,0.9611575162673767,0.9602541906980182,0.9603576623040521,0.9602827066696243,0.9602382523661638,0.9611063609139308,0.9606723805826678,0.9611659346347234,0.960759427684117,0.9600410400029576,0.9611824682046731,0.9617398051611948
DiatomSizeReductionTruncEnd,0.9991816513736602,0.9665846624087467,0.9838046248978546,0.999350284380806,0.9927048967594521,0.9974473460242129,0.9892640397103248,0.9783943412568632,0.9880029770319116,0.9988675194255442,0.9814640502019805,0.994024856851554,0.9762992534893621,0.9863006487601563,0.9961074374920103,0.9507746772074086,0.9826018901351864,0.9998853758565189,0.9939453256672183,0.9897182582273748,0.9764180506390492,0.9884257565306401,0.9995258937296341,0.9997451730248623,0.9996662775662225,0.9821333427742972,0.9974612728497301,0.9884278832066596,0.9951334710629939,0.9824104734620828
DistalPhalanxOutlineAgeGroupTruncStart,0.738311155783307,0.8508967716846575,0.841897105680756,0.8054268093807431,0.8255626187803027,0.8382647413019889,0.8018346656589287,0.8246415814166452,0.8441014015291691,0.816346051319363,0.8299704264487276,0.8312519600710017,0.8363086688452201,0.834332329254295,0.7780705296268652,0.8586196082366888,0.8228196562192269,0.8845177127696274,0.8375858903112907,0.8107259005350209,0.8327964176174317,0.8536781908387849,0.8455890954193924,0.8125418279151745,0.8172187533321207,0.86180699729667,0.8558278399076729,0.8287412267221966,0.7793112545708855,0.8294902482547527
DistalPhalanxOutlineCorrectTruncStart,0.7167971914663787,0.7824196597353498,0.791277342695112,0.7800702133405347,0.765433432352147,0.7215500945179585,0.7470429381582501,0.7439373480961383,0.7597353497164461,0.7673507966513639,0.7712395355117472,0.7849041317850391,0.7464758304077774,0.7265190386173372,0.7616797191466378,0.7943019173642992,0.7633540372670807,0.7199837969214151,0.7770996489332973,0.772940858763165,0.7756953821226032,0.7253308128544425,0.7698352687010532,0.7496894409937888,0.7925735889819066,0.802619497704564,0.7748042128004321,0.7834998649743452,0.7256548744261409,0.7489603024574668
