Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9864444444444445,0.9546666666666668,0.9566666666666667,0.9282777777777776,0.9706666666666667,0.9414444444444444,0.9135,0.9632222222222222,0.9402222222222223,0.9449444444444444,0.9537777777777778,0.9435555555555557,0.966888888888889,0.9524444444444444,0.9490000000000002,0.9583888888888891,0.9351111111111112,0.9704444444444443,0.9584444444444444,0.9535555555555557,0.9557777777777777,0.9738888888888888,0.97,0.9588888888888887,0.9736666666666666,0.9612222222222222,0.9565555555555555,0.951888888888889,0.9479999999999998,0.9565555555555555
AdiacTruncEnd,0.9849825494899906,0.9828063325736646,0.975326840319919,0.9815226834187301,0.9805764086488179,0.9787068811482447,0.9790087570333112,0.9766916220428985,0.9813061407969222,0.980116541565971,0.9815738184586763,0.9818008191812405,0.9836079690406159,0.974604944891114,0.9831927831579167,0.9814296656554801,0.973825113880245,0.9834808849333628,0.9757444433485358,0.9842136081788461,0.9759611326685605,0.9835249674067986,0.9839887589630367,0.9814791333509946,0.9877273434135643,0.9818024739075069,0.9817274423439118,0.9821210442557322,0.9745705540220496,0.980769245466177
ArrowHeadTruncEnd,0.9039759621757766,0.9353294154036498,0.8621015421324731,0.9237877248022623,0.9147885643586231,0.9055233971101586,0.8932340594759401,0.896454420927047,0.9245327206044808,0.9101586319650038,0.8845733728072113,0.9291264195130572,0.9021156820290753,0.9347735407184834,0.9207282046750033,0.9175060757368211,0.9290627899783482,0.8603296363395342,0.8770023419203747,0.8980805090362778,0.9129433078520612,0.9074844240201495,0.9276426141133843,0.8955963059520127,0.8655304670584597,0.934123105474791,0.9247448190535108,0.9088719013742214,0.9085811497503424,0.903135522071495
BMETruncEnd,0.8347333333333334,0.8755999999999998,0.8066666666666666,0.8381333333333333,0.8424666666666667,0.8764000000000001,0.8663333333333334,0.8331333333333333,0.8575333333333333,0.8585333333333334,0.8493333333333334,0.8509333333333333,0.8242,0.8707333333333335,0.9370666666666667,0.8495333333333333,0.8243333333333334,0.8869333333333335,0.8297333333333334,0.8513999999999999,0.8255333333333332,0.8704666666666666,0.8468,0.8516666666666667,0.7783333333333333,0.8626666666666667,0.8643333333333332,0.8431333333333333,0.8464666666666667,0.8074666666666667
BeefTruncStart,0.4875,0.6201388888888889,0.6111111111111112,0.6486111111111109,0.6763888888888889,0.6166666666666667,0.5680555555555556,0.586111111111111,0.5749999999999998,0.6361111111111112,0.4930555555555556,0.6263888888888889,0.5944444444444446,0.5777777777777778,0.523611111111111,0.576388888888889,0.49305555555555547,0.5861111111111111,0.6916666666666668,0.6222222222222221,0.5472222222222222,0.6263888888888888,0.5666666666666665,0.5874999999999999,0.6416666666666667,0.6027777777777777,0.5680555555555556,0.5416666666666666,0.575,0.6597222222222221
BeetleFlyTruncEnd,0.9,0.9099999999999999,0.8799999999999999,0.79,0.98,0.8,0.9700000000000001,0.9,0.91,0.94,0.8200000000000001,0.8899999999999999,0.92,0.8,0.87,1.0,0.8799999999999999,0.91,0.86,0.96,0.86,0.8300000000000001,0.8,0.92,0.8600000000000001,0.8500000000000001,0.82,0.9,1.0,0.93
BirdChickenTruncEnd,0.83,0.84,0.69,0.94,0.84,0.77,0.85,0.86,0.7600000000000001,0.78,0.74,0.9500000000000001,0.88,0.86,0.81,1.0,0.78,0.85,0.64,0.9099999999999999,0.92,0.79,0.8400000000000001,0.96,0.9199999999999999,0.9800000000000001,0.8,0.8300000000000001,0.8799999999999999,0.8999999999999999
CBFTruncEnd,0.969391264717756,0.8976601731788788,0.9780761618338969,0.7448875243675548,0.8652710304188564,0.7269204616471047,0.8370109478788446,0.9777263135845542,0.8647969309947064,0.8543795459661485,0.8343571767669847,0.929395062146781,0.9800515785772106,0.8092470243085005,0.8669880287558751,0.788704423320753,0.834441840629505,0.9070121487975382,0.7643082444537449,0.9707064038365858,0.9708967759312553,0.7973782682153259,0.8279589034528367,0.9235502103109787,0.8914950296361318,0.8016101535284548,0.751233061149239,0.8326502761964845,0.8115409482327582,0.7638495116406643
CarTruncEnd,0.9015376458112407,0.9505069079367945,0.9157756293104098,0.9151829832359379,0.9555248452577032,0.9547005557937172,0.9475720689214293,0.9561135428653085,0.9640873776915382,0.9605809510916572,0.9010158841181382,0.9466155998285237,0.8965072990230365,0.9702490542481743,0.9401950166587698,0.922813865511458,0.9398458593744123,0.9624068349841685,0.9493936283026104,0.9246410655595917,0.9510074231177096,0.9364426569797613,0.9352590570309034,0.9511256891014793,0.9092164737558569,0.9385928792220393,0.9447859554913774,0.9202114498018246,0.9348461602099832,0.9225081413626346
ChlorineConcentrationTruncStart,0.55768506169888,0.5567569177456098,0.5580414139467015,0.5692004898982977,0.5551002539710133,0.5654419253042922,0.5604937043219079,0.5786670296933625,0.5636184196764226,0.5778289765997858,0.5532640913474841,0.5751038637541548,0.5628232200605919,0.5703289545965914,0.5444438541185417,0.5692022671004755,0.5639659815471563,0.5647250008510353,0.5750479595825522,0.5647724805253722,0.5769774218506801,0.5663416412223046,0.576787615607035,0.5564194916751682,0.5717318879631658,0.574532863399217,0.5564871727197129,0.5657873058229372,0.5497463242655333,0.5724071379713379
