Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9519999999999998,0.9212777777777778,0.9129999999999999,0.8815000000000001,0.9,0.8994444444444444,0.8602222222222221,0.9216111111111112,0.8935555555555555,0.8871111111111111,0.8701111111111111,0.9044444444444444,0.9462222222222221,0.9005555555555556,0.9005555555555554,0.9016666666666667,0.8890555555555557,0.9243333333333333,0.9116111111111113,0.9214444444444446,0.9180555555555556,0.9307777777777778,0.9350555555555556,0.9364444444444444,0.9364444444444443,0.9488333333333334,0.9114444444444445,0.9091666666666669,0.9153888888888889,0.911888888888889
AdiacTruncEnd,0.96831295700684,0.9675793455101259,0.9606631464787986,0.9634198745333569,0.9665177985935621,0.9592215588530227,0.9600330071407248,0.9660106499690692,0.9664063289883398,0.9667174606125812,0.9673666299200958,0.9632427985990759,0.9643848822819218,0.9602885931616075,0.9713680815153005,0.9720552785680292,0.9609114203161738,0.9583123411743104,0.9626577630388155,0.9730916921351739,0.9645145512702844,0.9692999417492566,0.9672329137064037,0.9649662953463055,0.9733368796719428,0.9604613691709216,0.9629722637426763,0.9641037725649785,0.9549099239784853,0.9641732338872877
ArrowHeadTruncEnd,0.8675710308868367,0.8172215103177058,0.7899376960805975,0.8325619725155761,0.8206924130617295,0.849239980557642,0.7959374309575362,0.8242702487738058,0.8694869868764085,0.7700879324819937,0.8451407361583668,0.8830365427952809,0.8380778578056649,0.8464539790552781,0.8153457646590959,0.8505046175599841,0.8782868631523132,0.8069555035128805,0.8154637444213689,0.8260222703371483,0.8491025584375415,0.797371746719102,0.8358207768105697,0.8423675489372984,0.7491750254076266,0.774666165878662,0.820483407715081,0.8436374884008662,0.7743537625381115,0.8362538111440059
BMETruncEnd,0.8494333333333333,0.8667999999999999,0.7950666666666666,0.8469,0.8313666666666667,0.854,0.8470333333333333,0.8244666666666666,0.8443666666666667,0.8394333333333333,0.8554666666666666,0.8475,0.8180999999999999,0.8315666666666667,0.9170666666666667,0.8427999999999999,0.8349666666666667,0.8775,0.8096333333333333,0.853,0.8152333333333334,0.8679,0.8385,0.833,0.8009666666666666,0.8585666666666666,0.8662333333333333,0.8350666666666668,0.8439333333333333,0.7912666666666667
BeefTruncStart,0.5270833333333333,0.5465277777777778,0.5993055555555556,0.60625,0.6451388888888889,0.6395833333333333,0.5347222222222221,0.6465277777777778,0.48541666666666666,0.6,0.4868055555555555,0.5861111111111111,0.5465277777777777,0.5784722222222222,0.4652777777777777,0.5930555555555556,0.5131944444444444,0.5062500000000001,0.6944444444444445,0.5430555555555555,0.5805555555555556,0.5826388888888888,0.5354166666666667,0.6097222222222222,0.6583333333333333,0.5930555555555554,0.6020833333333333,0.5083333333333333,0.49166666666666675,0.6701388888888888
BeetleFlyTruncEnd,0.755,0.78,0.855,0.8300000000000001,0.97,0.8099999999999999,0.82,0.7949999999999999,0.855,0.8550000000000001,0.85,0.8,0.8999999999999999,0.71,0.8899999999999999,0.955,0.87,0.815,0.82,0.95,0.8049999999999999,0.75,0.8200000000000001,0.915,0.78,0.86,0.87,0.91,0.9199999999999999,0.855
BirdChickenTruncEnd,0.785,0.865,0.77,0.88,0.67,0.655,0.78,0.72,0.65,0.785,0.67,0.9,0.77,0.875,0.665,0.97,0.6799999999999999,0.765,0.795,0.8200000000000001,0.88,0.7999999999999999,0.8500000000000001,0.8,0.855,0.97,0.8200000000000002,0.785,0.84,0.845
CBFTruncEnd,0.8328963458133074,0.7559440579895332,0.8423101748558522,0.6127186432009739,0.7327114792016207,0.6087216882450958,0.6588709738441538,0.8366700467145108,0.7169862194147836,0.6906532973102993,0.7097119289802808,0.8009908054945466,0.8109917995899543,0.6454978242453724,0.7315302121669666,0.5812771881004439,0.659300384613327,0.7673306155562222,0.6073599570447903,0.8319396490619444,0.813696503633991,0.6988264944610496,0.6802255066825845,0.770164128973861,0.7312700961903693,0.6635930386160669,0.6178875123818248,0.7142061408295483,0.6084755029685515,0.6726062815204119
CarTruncEnd,0.8568770071373238,0.9397970676052736,0.8551331949489708,0.8686739920128155,0.8831235945338176,0.8922610989523402,0.9141259222490468,0.9412467190120561,0.9191610636041605,0.8994041575475884,0.8897483698472507,0.9276046719764145,0.8936962726472778,0.95760559328535,0.9308214503282868,0.9145232132247316,0.9478089769334326,0.9416944939569654,0.8983061077141762,0.9080557185081565,0.9075477764490872,0.9370240217203281,0.9104948369095162,0.9430346224137544,0.8817449215195203,0.9031202289358694,0.9143198671810956,0.9263743485029668,0.889193046185781,0.8496102299135849
ChlorineConcentrationTruncStart,0.5527123375547388,0.5553122524333397,0.5609130735327547,0.5661288038313564,0.5473032022296069,0.5621109439780679,0.5569359958115448,0.5773914008735015,0.5633894767489954,0.5753886867266574,0.5513824885229177,0.5713692595142438,0.5678343884466639,0.5735130934101664,0.5385837951225002,0.5717576169110169,0.5558392031697927,0.5708248559804531,0.5763312286853309,0.5609775051117026,0.5823315004691076,0.563006526655941,0.5724093717228094,0.5600100230265856,0.5702768678902409,0.5710627551019931,0.5612936293393573,0.5662371600629842,0.5399505378402227,0.5705028030379836
