Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9776666666666667,0.9401666666666667,0.9423888888888888,0.9109999999999999,0.9620555555555557,0.9373333333333334,0.884388888888889,0.9319444444444446,0.929,0.9316111111111112,0.9288333333333333,0.9354999999999998,0.9587777777777778,0.9417777777777779,0.9354444444444442,0.9536666666666668,0.9117777777777778,0.9533888888888887,0.950388888888889,0.9278888888888891,0.9464444444444444,0.9399999999999998,0.9646666666666667,0.9245,0.9572777777777778,0.9483888888888891,0.9281666666666666,0.9345555555555555,0.9381666666666666,0.948611111111111
AdiacTruncEnd,0.9551448052037321,0.9432745855006667,0.9504662524940611,0.9429919217075623,0.9433919679234033,0.9475752944199652,0.9405598843136141,0.9487802723045772,0.9533933993264402,0.9441481124576052,0.9533588558720273,0.9531998571032128,0.9519224861448219,0.9274429240421015,0.9456286400906877,0.9495152424844889,0.9426166289767508,0.9526502191519616,0.9321316104532332,0.9458117065495409,0.956070715088844,0.9530687357524609,0.9507393189657721,0.936775282004955,0.9470363880627485,0.9451045852770347,0.9422047082510459,0.9404528010308759,0.9421548250862488,0.9471058176671427
ArrowHeadTruncEnd,0.8902213777561752,0.9125703680791835,0.8729481684415182,0.9046520259820601,0.8695104060801556,0.8662577879899253,0.8839777296628519,0.8610048164022802,0.9073191639786133,0.9061619018160929,0.8446979806460165,0.9256908665105386,0.8722230568688968,0.9111603552649022,0.8895466395651982,0.894963545579073,0.9224369228050019,0.8835972780699042,0.8684561000397685,0.8680239494498697,0.8860302240289869,0.8871539039370774,0.9104555697936458,0.8855622818258142,0.8490190446732357,0.9106053643232733,0.9126357651009676,0.8895987804339182,0.8917025319252353,0.8982775838451682
BMETruncEnd,0.8383666666666667,0.8575333333333333,0.8437333333333333,0.8413333333333334,0.8542,0.8786333333333335,0.8707666666666666,0.8304666666666667,0.8528666666666667,0.8618333333333333,0.8395,0.8524666666666667,0.8395666666666667,0.8780666666666666,0.9372333333333334,0.8582666666666667,0.8244333333333332,0.8863333333333333,0.8427999999999999,0.8372333333333333,0.8295666666666667,0.8572333333333332,0.8519666666666666,0.8518333333333333,0.7912,0.8421333333333333,0.8585333333333334,0.8361666666666667,0.8378666666666668,0.8147
BeefTruncStart,0.49652777777777773,0.632638888888889,0.6083333333333333,0.632638888888889,0.6708333333333333,0.6152777777777777,0.5770833333333333,0.5659722222222222,0.5868055555555555,0.6479166666666667,0.5027777777777778,0.6361111111111111,0.5930555555555556,0.5444444444444445,0.5486111111111112,0.5770833333333335,0.49305555555555547,0.5937500000000001,0.6611111111111112,0.6493055555555556,0.5180555555555555,0.6076388888888888,0.5513888888888889,0.5625,0.6208333333333333,0.6166666666666667,0.5465277777777777,0.5590277777777779,0.5986111111111111,0.6493055555555556
BeetleFlyTruncEnd,0.9100000000000001,0.96,0.86,0.74,0.97,0.7599999999999999,0.97,0.91,0.9600000000000001,0.87,0.8800000000000001,0.8799999999999999,0.8700000000000001,0.865,0.8400000000000001,0.96,0.87,0.9199999999999999,0.93,0.8899999999999999,0.8400000000000001,0.8300000000000001,0.75,0.9400000000000001,0.8300000000000001,0.8600000000000001,0.73,0.9,0.9800000000000001,0.93
BirdChickenTruncEnd,0.74,0.84,0.65,0.95,0.9,0.8799999999999999,0.8200000000000001,0.85,0.84,0.6799999999999999,0.72,0.9700000000000001,0.9,0.85,0.88,0.99,0.7,0.81,0.47000000000000003,0.8899999999999999,0.9600000000000001,0.75,0.74,0.97,0.88,0.94,0.8200000000000001,0.8200000000000001,0.82,0.8899999999999999
CBFTruncEnd,0.9313933940315385,0.882262220403272,0.9639188507547203,0.7191603025115916,0.8773476561879494,0.7711826248995359,0.8043727675883641,0.9479783307983257,0.8659331867679187,0.8136481591565009,0.8527650609492369,0.902596506483817,0.9672728212823762,0.8058915042265902,0.8234812261391381,0.803268116456438,0.8366342958646042,0.8772655849776932,0.7569208926395479,0.904987399777693,0.9227641380891886,0.7700634450156443,0.8128876344716588,0.9037449507463662,0.8766451961194631,0.8197836727403965,0.7607643827729774,0.8276952799372669,0.8197068244173907,0.7937557644364772
CarTruncEnd,0.8739848679707888,0.9228875702263035,0.915781457999594,0.8714317140858735,0.9318048066003324,0.923363830539323,0.9292476102374344,0.8985048472131345,0.8775110369050035,0.9506304385430534,0.888822642389236,0.9032119837849628,0.8551017952362688,0.9130643487285937,0.8754514413784286,0.8991523957792769,0.8988365184299393,0.9032394350307981,0.9235356828591412,0.8871443559486474,0.909399043342885,0.8823354993494431,0.8966951332325533,0.8799109526710438,0.8756943661018479,0.9091845099764596,0.9153196753984191,0.842376262569286,0.9107951084136189,0.8901526176455103
ChlorineConcentrationTruncStart,0.5461377750771893,0.5443398442678038,0.5256952355111372,0.5652902098580884,0.5396111986031584,0.5601792555091569,0.5511952010582731,0.5689775922406929,0.547294582359615,0.5623632130576788,0.5511154403534775,0.5699307585797176,0.551578947584467,0.5563369289370445,0.5250982731621074,0.560728916259119,0.5557819452353938,0.5529616776177332,0.5658484580703446,0.5595854460827182,0.567924171947244,0.5620394228429071,0.5729025536429889,0.5344989983456652,0.5495030482723885,0.5641975076973919,0.5496907489675243,0.5565733072056449,0.5429431914592011,0.5576424981341953
