Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.6599999999999999,0.62,0.6299999999999999,0.61,0.6499999999999999,0.59,0.6,0.63,0.65,0.62,0.5999999999999999,0.5799999999999998,0.6100000000000001,0.68,0.61,0.58,0.59,0.67,0.64,0.6399999999999999,0.65,0.6199999999999999,0.6399999999999999,0.6799999999999999,0.6699999999999999,0.6599999999999999,0.6200000000000001,0.58,0.5800000000000001,0.6000000000000001
AdiacTruncEnd,0.651039501039501,0.6186341436341437,0.6125967500967502,0.6101943476943478,0.6194881694881694,0.6013562638562638,0.6026120651120652,0.6378181878181879,0.6166997791997793,0.6061383436383436,0.6011933636933637,0.6126091251091251,0.6444076194076194,0.6116961491961492,0.6323812823812824,0.6194809694809695,0.6250551250551252,0.6299051924051924,0.6207924957924957,0.6206983331983331,0.6080364830364829,0.6295284295284295,0.6197246072246072,0.6333349458349458,0.6324100449100449,0.6149068274068273,0.5618297993297993,0.653497665997666,0.6027471027471027,0.623576161076161
ArrowHeadTruncEnd,0.6359493209370157,0.6867195333151034,0.6485279372892171,0.694376082399052,0.7640142193054417,0.7350287120590648,0.6412359857806945,0.7127882599580713,0.7379454926624738,0.7190775681341718,0.6842584996809772,0.7572691641600584,0.7606416917327499,0.7606416917327499,0.7281925075198249,0.7233615896454287,0.7132440069273539,0.5874578434053414,0.6252848418558017,0.7180749248017501,0.721994348737581,0.6784249384741591,0.7432321575061526,0.7132440069273539,0.6905478078570777,0.7480630753805487,0.7350287120590648,0.6958344727007567,0.6576428766748701,0.7306535411539513
BMETruncEnd,0.6733333333333333,0.7533333333333333,0.6266666666666666,0.6533333333333333,0.6466666666666666,0.6999999999999998,0.6533333333333333,0.6866666666666666,0.6866666666666666,0.6999999999999998,0.6666666666666666,0.7266666666666666,0.64,0.7200000000000001,0.82,0.6533333333333333,0.6466666666666666,0.6866666666666666,0.68,0.6733333333333333,0.66,0.7133333333333334,0.6533333333333333,0.7266666666666666,0.5599999999999999,0.6866666666666666,0.6866666666666666,0.6866666666666666,0.6866666666666666,0.6466666666666666
BeefTruncStart,0.13333333333333333,0.16666666666666666,0.3,0.33333333333333337,0.26666666666666666,0.33333333333333337,0.26666666666666666,0.29999999999999993,0.13333333333333333,0.19999999999999998,0.06666666666666667,0.19999999999999998,0.16666666666666666,0.2,0.16666666666666666,0.3,0.13333333333333333,0.3,0.26666666666666666,0.19999999999999998,0.16666666666666666,0.26666666666666666,0.2333333333333333,0.29999999999999993,0.3666666666666666,0.3333333333333333,0.2333333333333333,0.2333333333333333,0.13333333333333333,0.26666666666666666
BeetleFlyTruncEnd,0.7,0.75,0.8,0.6499999999999999,0.8500000000000001,0.7,0.8500000000000001,0.65,0.6499999999999999,0.7,0.6,0.75,0.8,0.7,0.75,0.7,0.7,0.7,0.7,0.8,0.7,0.6,0.65,0.65,0.55,0.55,0.8,0.8,0.85,0.7
BirdChickenTruncEnd,0.7,0.6000000000000001,0.55,0.75,0.7,0.6,0.7,0.7,0.6,0.6,0.55,0.75,0.8,0.6499999999999999,0.75,0.7,0.6000000000000001,0.6499999999999999,0.55,0.8,0.7,0.65,0.75,0.75,0.7,0.75,0.6499999999999999,0.65,0.8,0.75
CBFTruncEnd,0.7191832229580575,0.6636053948076706,0.733532008830022,0.5618894173074359,0.5738851109432024,0.5070734007931217,0.5681301885022051,0.6904782928623988,0.5985938634309673,0.559683492105822,0.6110659733025171,0.6318247724590229,0.7575495701043503,0.5873729696628492,0.6137953291751238,0.5364489285943573,0.5428766216770128,0.6726636245561531,0.4988603937952798,0.6871891096394407,0.6957910228108903,0.5451801808475438,0.6125157661328159,0.7091389740778603,0.6247234691912233,0.5903146312675625,0.4782582929611687,0.5861729657120563,0.5086232968378841,0.5628532626141408
CarTruncEnd,0.7271544245228456,0.6745228455754771,0.7139965297860035,0.6604251012145749,0.7477588201272412,0.6918016194331984,0.7605552342394448,0.7129843840370156,0.7524580682475419,0.7713273568536726,0.6914401388085599,0.7976431463273569,0.6135049161364952,0.8441295546558705,0.8074031231925969,0.789545980335454,0.7520965876229033,0.6980913823019087,0.7375650665124349,0.734600925390399,0.7163823019086176,0.7173221515326779,0.7224551764025448,0.6890543666859457,0.6213851937536148,0.7326489300173511,0.6702573742047426,0.7012724117987275,0.6708357432041643,0.7130566801619433
ChlorineConcentrationTruncStart,0.37283133112404626,0.3711365904426987,0.37577481256618733,0.3655025663799434,0.3661234008146041,0.36539704215012264,0.3746927125834165,0.3751180837589021,0.38122161426258877,0.37124763443945086,0.36163800355707115,0.3789282665657585,0.37907860426800566,0.37656832161495496,0.35610095074681386,0.3710200890149597,0.368885584840962,0.3706195494034512,0.38136501344799845,0.3786837014045193,0.3739995818108159,0.3709327069736672,0.3856394559521961,0.36344576881813534,0.3777076787818821,0.37842189063992787,0.3712488040479683,0.38133165278865144,0.37004375430782105,0.3764694011498541
CinCECGTorsoTruncEnd,0.7048552911411923,0.8292368713857996,0.8490068227356324,0.7657018989354486,0.8393599978947665,0.8785409360431543,0.8335924883192898,0.6914223150304035,0.8279588797489138,0.8546720209278001,0.8476543510506523,0.8459290973663084,0.8301251724401213,0.7958090508732643,0.7754441338483742,0.7882538385300726,0.7638591895295767,0.7934259265436587,0.8223902331990876,0.7089213643395682,0.8490807023474095,0.8210253339649034,0.7710616714812764,0.8116336352564344,0.8087112523989655,0.7431297372386898,0.7874241541446043,0.8201117145125457,0.8512169954611462,0.8443173446778733
CoffeeTruncStart,0.6076923076923078,0.7076923076923077,0.6230769230769231,0.5076923076923077,0.6025641025641025,0.6230769230769231,0.4358974358974359,0.6025641025641025,0.6025641025641025,0.458974358974359,0.5307692307692308,0.32564102564102565,0.49230769230769234,0.7461538461538462,0.4256410256410257,0.6846153846153846,0.6897435897435897,0.28717948717948716,0.5410256410256411,0.6461538461538461,0.5743589743589743,0.5025641025641026,0.6512820512820513,0.49743589743589745,0.7076923076923077,0.7512820512820513,0.5307692307692308,0.5358974358974359,0.45384615384615384,0.5461538461538462
ComputersTruncStart,0.6479999999999999,0.728,0.728,0.748,0.724,0.732,0.6839999999999999,0.6799999999999999,0.692,0.7,0.692,0.696,0.7,0.712,0.692,0.76,0.744,0.724,0.728,0.748,0.704,0.6759999999999999,0.728,0.716,0.696,0.768,0.748,0.74,0.692,0.7
CricketXTruncEnd,0.4644098545500071,0.44851676557311954,0.48733132030590304,0.4396208511402582,0.46094645422532815,0.4634525626475172,0.4948497751543232,0.44410403531457804,0.45493030079099084,0.40686863331340745,0.44105090521883744,0.4296200051352334,0.4984464787278959,0.43043931989515377,0.4293073890984538,0.44397569536185316,0.4011243458331066,0.481839903724923,0.4455066050077448,0.45046614014602177,0.47541080719176926,0.4456040073766627,0.442579372467967,0.4399888029992242,0.4878441401966926,0.44989109068705746,0.4045230473730321,0.4639942734276781,0.4562852851579662,0.41361564259435674
CricketYTruncEnd,0.47154976496125567,0.4934220897134143,0.4769971073345329,0.4717053040324813,0.4853666791902904,0.48749459146550683,0.48666471412322604,0.45024418597741483,0.46565555233785455,0.5127377658227908,0.47357828569019106,0.49862909076179135,0.4411588461401775,0.47118856060511005,0.48010969395105363,0.5053654918213374,0.43052835067665685,0.458918130451554,0.5059460475569265,0.475357681787927,0.48966749013451233,0.4881967633453148,0.4869675045380895,0.47878079889434416,0.4535297781173509,0.46125995118145297,0.48981632078291765,0.4865589705290067,0.4906059546696815,0.45110488006986577
CricketZTruncEnd,0.4023682048508234,0.4010255880913842,0.4273520665003064,0.44234245810874534,0.4359535622072987,0.4108565063223038,0.4392997568122008,0.45120645326821257,0.4033345858531683,0.47212987365701015,0.42059119059776284,0.4767601357005982,0.4072275941142373,0.39324176479882683,0.42749393182679585,0.47169589486283064,0.45418222491658483,0.44962832072048603,0.43937126885392747,0.43511357646002535,0.3914375727444546,0.44517863251966355,0.47074543365027904,0.4397358473169833,0.3978232975897649,0.3778378820569823,0.4580024502101341,0.41344158005692516,0.4064626992201856,0.4101943405045385
CropTruncEnd,0.4742857142857142,0.47386904761904763,0.47309523809523807,0.47291666666666665,0.47119047619047616,0.47202380952380957,0.4782738095238095,0.4767261904761905,0.4776190476190476,0.47541666666666665,0.47517857142857145,0.4796428571428571,0.4774404761904762,0.47517857142857145,0.47005952380952376,0.48380952380952374,0.4770833333333333,0.47095238095238096,0.47696428571428573,0.4745238095238095,0.47422619047619047,0.48214285714285715,0.4767857142857143,0.47202380952380957,0.47291666666666665,0.4778571428571429,0.4764880952380952,0.47374999999999995,0.4710119047619048,0.4814285714285714
DiatomSizeReductionTruncEnd,0.7751100271914333,0.6571799931755592,0.6606920185941845,0.8099012631015245,0.7247731308427023,0.6976154693446314,0.7336078092481805,0.7356532082121415,0.7184080227777794,0.6935147029966642,0.7001667203148909,0.7565586162431357,0.7112352310305196,0.716147426770174,0.7193979170956107,0.5992296404988995,0.7122473579457853,0.7870428301323226,0.7141570655677963,0.7272204685858231,0.7263645135846003,0.7380727552084693,0.6669112252384446,0.7960397219185378,0.6995907268802736,0.6861123959296948,0.6680555998596447,0.7054958376711064,0.6135783051414331,0.6804975171988474
DistalPhalanxOutlineAgeGroupTruncStart,0.35758365927857455,0.40782268578878744,0.3878313776618862,0.416746342170071,0.42120817036071273,0.4155584528465884,0.3945241199478488,0.41043024771838327,0.39913081269013473,0.37296827466318994,0.39348109517601043,0.42120817036071273,0.3913950456323338,0.404780530204259,0.3828480370853253,0.38374619730551934,0.41057511227002746,0.4150369404606693,0.4217296827466319,0.4201651455888744,0.42595972765464296,0.4309430682312039,0.386933217441692,0.3867883528900478,0.4206866579747936,0.40886571056062576,0.39348109517601043,0.40901057511227007,0.41043024771838327,0.3811386353759236
DistalPhalanxOutlineCorrectTruncStart,0.562111801242236,0.5788819875776398,0.6360248447204969,0.6043478260869565,0.6167701863354037,0.5875776397515529,0.5801242236024845,0.6,0.5850931677018634,0.5900621118012422,0.6291925465838509,0.6304347826086956,0.5391304347826087,0.5608695652173913,0.5795031055900621,0.598136645962733,0.6,0.5770186335403726,0.6018633540372671,0.6118012422360248,0.6111801242236025,0.5385093167701863,0.5633540372670808,0.5875776397515529,0.5819875776397515,0.5888198757763975,0.6055900621118013,0.5968944099378882,0.5826086956521739,0.5652173913043478
DistalPhalanxTWTruncStart,0.26294368399631557,0.2799573720626352,0.26642460852987165,0.26312576312576313,0.2359799070325386,0.23717948717948714,0.2492877492877493,0.2571225071225071,0.28298845404108564,0.24139408349934666,0.2619261829788146,0.27181736392262706,0.28003770109033266,0.27527686738213053,0.25818285028811344,0.23999100314889787,0.26589443694706855,0.23076923076923075,0.23292740398003556,0.23962148962148963,0.2534220165799113,0.24177966283229443,0.24452691557954717,0.25956450956450955,0.30475895936422254,0.25912002227791703,0.23231690336953492,0.26347385557911873,0.22425722425722425,0.24108883319409635
ECG200TruncEnd,0.8142361111111112,0.8142361111111112,0.8064236111111112,0.8177083333333333,0.8515625,0.8081597222222222,0.7821180555555556,0.8420138888888888,0.8637152777777778,0.8151041666666667,0.7847222222222222,0.8376736111111112,0.8081597222222222,0.8975694444444444,0.8220486111111112,0.7682291666666667,0.8098958333333333,0.7881944444444444,0.7960069444444444,0.8159722222222222,0.8498263888888888,0.8463541666666667,0.8159722222222222,0.7847222222222222,0.8637152777777778,0.7803819444444444,0.8402777777777778,0.8220486111111112,0.8263888888888888,0.7743055555555556
ECG5000TruncStart,0.32820617056067497,0.32673643082359527,0.329589866241474,0.33122168674121905,0.33733560294283127,0.32980169646127655,0.327511066740405,0.33799115618408737,0.3234726461779345,0.3337275941899912,0.3329595659970361,0.3390801378045598,0.3294706878018066,0.33103633529889176,0.3344400395232178,0.3380207951773192,0.3327808222785634,0.3342472102716589,0.32987442930573413,0.3326186936338411,0.3289311527844613,0.3318937592921117,0.32846114251376013,0.3287259302885133,0.3326319090815503,0.32750766711436385,0.3379579260365867,0.32780089460385364,0.33432013464434407,0.3272793175849248
ECGFiveDaysTruncStart,0.520833782996266,0.523529062614664,0.5116040016403703,0.53985722302562,0.5364065096803436,0.5064913340959617,0.5728993546437591,0.5020342751073795,0.5812792730569165,0.49133139798407116,0.5430651183872569,0.5817649090241954,0.5091461440504198,0.5423015907275907,0.5422071615117308,0.5520197060283611,0.5523218795191125,0.5077620815436749,0.5350224471735987,0.5180116984308563,0.5720413977682329,0.5251694329930284,0.541187325980445,0.49054898448123285,0.5915693596080378,0.5415785327318642,0.5111777211802033,0.5028652522069457,0.5087198635902528,0.5309242192052837
EOGHorizontalSignalTruncEnd,0.107174638487208,0.14311889754047705,0.09411692003460637,0.15227722160425164,0.13263502657273515,0.1209801013471759,0.14402731429983934,0.13838215300951676,0.11587875417130145,0.14134532196267457,0.11068780126066001,0.14644048943270302,0.12969039673711533,0.12412248176986777,0.1323662093684341,0.13813187492275367,0.10235446792732668,0.1235724879495736,0.12995921394141638,0.12375787912495366,0.12375787912495367,0.1439438882709183,0.11041280435051291,0.14043072549746635,0.12161352119639107,0.1299530342355704,0.12402669632925474,0.14904523544679274,0.12652947719688543,0.12430169323940182
EOGVerticalSignalTruncEnd,0.07993449511803237,0.09365035224323322,0.08845321962674575,0.0664998146088246,0.0967927326659251,0.0828976640711902,0.07446236559139784,0.121421950315165,0.09438573723890743,0.05510752688172044,0.07761092571993573,0.10522185143987149,0.06901495488814734,0.08594425905326906,0.07771289086639475,0.10190025954764552,0.09920590779878878,0.06640402916821159,0.07484550735384994,0.09150599431467062,0.08854900506735879,0.09133296255098257,0.08236620936843406,0.08836979359782475,0.10763502657273515,0.0746601161784699,0.10995859597083178,0.08012606599925844,0.08522123346928685,0.08559819552589297
EarthquakesTruncStart,0.5237637362637363,0.4951923076923077,0.49038461538461536,0.4951923076923077,0.5,0.5,0.5,0.5,0.5,0.5,0.4951923076923077,0.4951923076923077,0.4951923076923077,0.4951923076923077,0.49038461538461536,0.49038461538461536,0.5142857142857142,0.4951923076923077,0.5,0.5,0.5094780219780219,0.4855769230769231,0.5,0.49038461538461536,0.5094780219780219,0.5,0.5,0.4951923076923077,0.4951923076923077,0.5
ElectricDevicesTruncStart,0.33760173516171255,0.42091320241401403,0.4204213178107638,0.4159888568417145,0.4293855478600566,0.4263717579041194,0.4327371412991912,0.43580741189332256,0.4232441926914479,0.42890440892214066,0.43819321587084836,0.41851465684568795,0.4315553336658179,0.4277979074913369,0.4352132712997045,0.43401888198910604,0.41807926015610136,0.42434093575596726,0.43667700349636396,0.4282102671466256,0.4285484917631553,0.4234350789982364,0.4266520383905668,0.4229804069040505,0.42874238327689673,0.4208007756627717,0.42745434328128656,0.42582820153785217,0.42867998469822494,0.41921755811743777
EthanolLevelTruncEnd,0.3882168458781362,0.4536610343061956,0.44623655913978494,0.48809523809523814,0.47625448028673834,0.4816628264208909,0.4977278545826933,0.4656618023553507,0.49583973374295953,0.48588709677419356,0.45964541730670766,0.4598374295954941,0.49366359447004604,0.4599014336917563,0.4817268305171531,0.4817588325652842,0.47606246799795193,0.4977918586789555,0.49404761904761907,0.4858870967741936,0.4676779313876088,0.4998399897593446,0.48419098822324624,0.4775025601638505,0.4817908346134153,0.46422171018945213,0.45945340501792115,0.5061443932411674,0.4798387096774194,0.4535650281618024
FaceAllTruncEnd,0.8376187324773489,0.841522077198266,0.8434840173320068,0.8660937426679384,0.8407198754478763,0.830041174527359,0.860832696429499,0.8444530242407913,0.8465989587258116,0.8476664523077498,0.8541733075326672,0.8515536687631061,0.8608527716435732,0.8304473076095381,0.8629536321488797,0.8559437360151352,0.8646920629897438,0.8425180265268504,0.8410928746319544,0.8538653357779985,0.8260417988851988,0.8430979064337624,0.8642667859113266,0.8629285289659541,0.8444560641877795,0.8566481949924621,0.841618146777165,0.8447661582837925,0.8584893796548572,0.8420468407567637
FaceFourTruncEnd,0.8597652347652348,0.8391608391608392,0.7942057942057942,0.8431568431568431,0.8020729270729271,0.8234265734265734,0.9113386613386614,0.8391608391608392,0.8213036963036964,0.8487762237762239,0.8444055944055945,0.816933066933067,0.8068181818181819,0.8064435564435564,0.8085664335664335,0.8662587412587412,0.7972027972027973,0.8209290709290709,0.909965034965035,0.8697552447552448,0.8181818181818181,0.830919080919081,0.7872127872127872,0.8968531468531469,0.7893356643356644,0.8356643356643356,0.8776223776223777,0.756993006993007,0.9291958041958042,0.8854895104895104
FacesUCRTruncStart,0.23070868680988688,0.22181242605836132,0.203553582089741,0.24434642676666712,0.2295191016307596,0.22346554726023557,0.23105037817756519,0.18985661746331886,0.21079369564682135,0.20004031439619618,0.22980810678375133,0.21948232787462302,0.2201750848978972,0.21130570886034777,0.1967849924808382,0.20548679159117444,0.2206251222126831,0.2361896100662453,0.20026587730094134,0.2058822106998374,0.23278493785132096,0.24324805421278017,0.24847379332108965,0.22591237345887802,0.2258911104347672,0.22006658218808603,0.2061371776010076,0.23223262844427556,0.22630049148213463,0.23958802701945148
FiftyWordsTruncEnd,0.21123132491863142,0.19351439458374442,0.21592907608387485,0.19577084320907848,0.2130256880890008,0.24037707163837194,0.21996800428673496,0.2239569130216189,0.21162057009038432,0.184526698344655,0.20418954323969807,0.2076013773120584,0.17117925337476422,0.18291612269739205,0.18946772908893653,0.2092639381258576,0.20154927136846643,0.1914201474651939,0.191601630395748,0.25211718417461454,0.20196073932946995,0.20062023346450591,0.19473751384494417,0.20562548187966143,0.21236594578452161,0.207667884643736,0.20695839239879488,0.2312089987411969,0.2172408458930131,0.20600545084430533
FishTruncEnd,0.7910469579681403,0.7597754462286481,0.7906143774124069,0.8119625530462968,0.7088543066129274,0.7421047917599642,0.7661276736399889,0.739583093425458,0.7060233936834922,0.7948376090248012,0.7736217559123961,0.7929362591431557,0.7997575331072868,0.7685908344529034,0.7963338877870898,0.7898636257010642,0.72875535794255,0.7980203868381208,0.7247860021751649,0.7644545028042565,0.8261465463928518,0.7719405881474847,0.7941675729853069,0.7478280340349305,0.7139075128483997,0.7750079969291791,0.7297912268355619,0.7916904442027596,0.68382765018233,0.7881372486298595
FordATruncEnd,0.8504856845428912,0.8476453434261959,0.8512198989334934,0.8396275844001848,0.8523401791069471,0.8351257816108595,0.8464768050298856,0.8417233700785229,0.8482347831482286,0.8578657456240133,0.8709368299862809,0.8625709223525194,0.8423128098005557,0.8346328583345397,0.8542532729416145,0.84745231053477,0.863353394965978,0.8588033339537962,0.8511233824877804,0.8448532605323571,0.8435882056903339,0.8440225296960422,0.8623675484133386,0.8512198989334934,0.8652664888006453,0.8301793137680711,0.8481865249253722,0.8510268660420673,0.8600787298435744,0.8547944544407906
FordBTruncStart,0.7167320086092837,0.8406398429354487,0.8419111146339531,0.8567029858117543,0.8394173490479181,0.8456029852020316,0.8519349547890664,0.863034955398789,0.8666780481558939,0.8348688181746123,0.8270948545506649,0.8579742575102586,0.8235493174155077,0.8542579980366931,0.8407373985573963,0.8457980964459267,0.8506149052795884,0.8334512130431866,0.8533281710150052,0.8445024358419355,0.8481211396935534,0.8407373985573963,0.8457737075404399,0.8714704680840686,0.8344542067813352,0.827314354700047,0.8393929601424313,0.8433287197653787,0.8442829356925534,0.8567029858117543
FreezerRegularTrainTruncEnd,0.9901754385964913,0.9919298245614034,0.9828070175438597,0.9764912280701754,0.9859649122807017,0.9905263157894737,0.9898245614035088,0.9856140350877193,0.9856140350877193,0.988421052631579,0.9894736842105263,0.9901754385964913,0.987719298245614,0.9873684210526316,0.9894736842105263,0.9908771929824561,0.9842105263157894,0.9849122807017543,0.9873684210526316,0.9873684210526316,0.9884210526315789,0.9919298245614034,0.9929824561403509,0.9705263157894737,0.992280701754386,0.9771929824561403,0.9810526315789474,0.9905263157894737,0.9884210526315789,0.9859649122807017
FreezerSmallTrainTruncEnd,0.9705263157894737,0.9814035087719298,0.976140350877193,0.9775438596491228,0.9603508771929825,0.9856140350877193,0.984561403508772,0.9614035087719298,0.9473684210526315,0.9785964912280702,0.9533333333333334,0.968421052631579,0.9445614035087719,0.9852631578947368,0.9691228070175439,0.9856140350877193,0.9719298245614035,0.9585964912280702,0.9754385964912281,0.9852631578947368,0.9821052631578948,0.9410526315789474,0.9807017543859649,0.9817543859649123,0.9747368421052631,0.967719298245614,0.9663157894736842,0.9785964912280702,0.976140350877193,0.9705263157894737
GunPointAgeSpanTruncEnd,0.9114583333333333,0.8573717948717949,0.8823717948717948,0.8665865384615384,0.8798878205128206,0.8893429487179487,0.8862980769230769,0.8827724358974359,0.8989583333333333,0.8487179487179488,0.917948717948718,0.9114583333333333,0.8827724358974359,0.8701121794871794,0.8963141025641026,0.8829326923076923,0.8895833333333334,0.8733173076923078,0.867548076923077,0.8957532051282051,0.8829326923076923,0.8826121794871795,0.8797275641025641,0.9181891025641026,0.9213942307692308,0.892147435897436,0.8891826923076923,0.8798878205128206,0.8930288461538461,0.9022435897435898
GunPointMaleVersusFemaleTruncEnd,0.8513654618473896,0.8473895582329318,0.8553413654618474,0.8504016064257028,0.8487951807228915,0.8263052208835342,0.8536144578313254,0.8316867469879519,0.8002811244979919,0.8296385542168674,0.824698795180723,0.8406024096385543,0.8370682730923695,0.8332931726907631,0.8593172690763052,0.866425702811245,0.8616867469879519,0.8670682730923696,0.8643775100401606,0.856425702811245,0.8573895582329318,0.8686746987951808,0.7831726907630523,0.8723293172690763,0.8454618473895582,0.8436144578313254,0.8356626506024096,0.8436144578313254,0.8548192771084338,0.8169477911646587
GunPointOldVersusYoungTruncEnd,0.9106060606060606,0.8775757575757576,0.8996969696969697,0.9057575757575758,0.8636363636363636,0.906969696969697,0.8833333333333333,0.8924242424242425,0.9096969696969697,0.8887878787878788,0.8996969696969697,0.8803030303030304,0.8727272727272728,0.9263636363636364,0.936969696969697,0.886969696969697,0.916060606060606,0.9203030303030303,0.9233333333333333,0.9106060606060606,0.8803030303030304,0.9009090909090909,0.8612121212121212,0.9284848484848485,0.8930303030303031,0.9151515151515152,0.8687878787878788,0.9372727272727273,0.8933333333333333,0.9157575757575758
GunPointTruncEnd,0.7265291607396871,0.7471550497866287,0.7142603129445235,0.7181721194879089,0.7612019914651493,0.7334637268847795,0.771692745376956,0.80049786628734,0.7658250355618776,0.7270625889046942,0.7387980085348507,0.7270625889046942,0.7155049786628734,0.718705547652916,0.7128378378378378,0.7462660028449501,0.7528449502133713,0.7478662873399715,0.718705547652916,0.7398648648648649,0.7592460881934566,0.7331081081081081,0.7407539118065434,0.7475106685633002,0.6541607396870555,0.8595305832147937,0.7533783783783784,0.6998577524893315,0.8259246088193457,0.6785206258890469
HamTruncStart,0.5904139433551199,0.644880174291939,0.627995642701525,0.5860566448801743,0.5724400871459695,0.6345315904139434,0.5724400871459695,0.6285403050108933,0.6067538126361656,0.6535947712418301,0.5713507625272332,0.6220043572984749,0.5610021786492374,0.5615468409586057,0.5702614379084967,0.5299564270152506,0.6388888888888888,0.6285403050108933,0.588235294117647,0.6072984749455338,0.627995642701525,0.6290849673202614,0.5708061002178649,0.5610021786492374,0.6176470588235294,0.6971677559912854,0.6372549019607843,0.5806100217864923,0.6176470588235294,0.5778867102396514
HandOutlinesTruncEnd,0.6724723200406079,0.8351257891564354,0.8480536785000476,0.825497287522604,0.8513530662098283,0.852273087782748,0.8221978998128232,0.8276069921639542,0.8301767075917642,0.7946924272707083,0.8464039846451572,0.8477840170045366,0.8071603058278608,0.836045810729355,0.849433710859427,0.8238475936677137,0.8498937216458868,0.8431045969353763,0.849703372354938,0.8781288664699725,0.8297166968053045,0.8597918847752293,0.8289870245233336,0.8367754830113258,0.8435646077218362,0.8619015894165794,0.8134894197519114,0.8614415786301196,0.8276069921639542,0.849433710859427
HapticsTruncStart,0.28397974875767273,0.29564283164830435,0.2835276714033573,0.2597564413467438,0.2773176653988968,0.2780976110098252,0.26771932091442263,0.26230034078584286,0.2698752711457325,0.26816607167261297,0.27619146196254263,0.2657674242027734,0.2621315362114035,0.24092658783813253,0.274257133386254,0.26101654752246944,0.25643864619043877,0.2578323152647051,0.2511958326427477,0.2686622174777777,0.2497528412147329,0.25338885460191735,0.2669847485977477,0.2430767026207362,0.29389140649761136,0.24171760462736,0.2575952026832523,0.25443284381715037,0.2598653612417166,0.2645632718203256
HerringTruncEnd,0.6072874493927125,0.618421052631579,0.7348178137651822,0.6710526315789473,0.6578947368421053,0.7074898785425101,0.7479757085020242,0.715587044534413,0.6508097165991903,0.715587044534413,0.5779352226720648,0.6376518218623481,0.7479757085020242,0.7398785425101215,0.6892712550607287,0.6629554655870445,0.5850202429149798,0.6761133603238867,0.6639676113360324,0.6963562753036436,0.6629554655870445,0.6508097165991903,0.701417004048583,0.631578947368421,0.6619433198380567,0.6831983805668016,0.631578947368421,0.715587044534413,0.5789473684210527,0.7267206477732794
HouseTwentyTruncEnd,0.9582608695652174,0.943768115942029,0.9182608695652175,0.943768115942029,0.9255072463768116,0.9210144927536232,0.9455072463768116,0.9510144927536232,0.9610144927536232,0.9455072463768116,0.8927536231884059,0.9455072463768116,0.9365217391304348,0.9555072463768115,0.8902898550724637,0.9382608695652175,0.9355072463768116,0.9555072463768115,0.9210144927536232,0.9310144927536232,0.9065217391304348,0.9310144927536232,0.9310144927536232,0.943768115942029,0.9527536231884058,0.9510144927536232,0.9427536231884058,0.8955072463768116,0.9710144927536232,0.9655072463768115
InlineSkateTruncEnd,0.26380563587606803,0.2893551509551987,0.3188688168866876,0.24073700065671932,0.2871763165606529,0.28370101425254773,0.2896178841770309,0.26768967665816634,0.282623828997435,0.29894755298928144,0.3060468941152301,0.27197262386216176,0.31673890930462206,0.2611114503741911,0.29379120038123235,0.28260389682064757,0.3018783352144571,0.285663423980934,0.2888409081825963,0.24877692536197693,0.2942173089278953,0.30028892908923144,0.2595814310791011,0.24306717449027118,0.229054105622108,0.26033200713833626,0.29555799366595686,0.269532884656186,0.3148927626491507,0.24267382211415245
InsectEPGRegularTrainTruncEnd,0.6123066505850737,0.6930380607775389,0.6901074020670288,0.679728426633778,0.6433166169406885,0.6756641969934676,0.6593876298694429,0.6498867940498106,0.6467853439858772,0.6821708941305209,0.6712251332323701,0.6567471653169615,0.6736963178593345,0.6672818178245716,0.6574121935957776,0.6781142216297426,0.6700144794793433,0.635797263106347,0.6872538261797452,0.6396695414025446,0.6081441781308473,0.6905532732994168,0.6473521294507774,0.6563647740566422,0.6727758582643366,0.6660847669227026,0.709066753724914,0.6300493027783068,0.6531363640485712,0.6291923231553779
InsectEPGSmallTrainTruncEnd,0.5509457004410346,0.5034324527754351,0.587073361687721,0.6130714331057122,0.6535686324298017,0.5562976666575982,0.5568206207132126,0.5084156305828368,0.5783660255189488,0.5190923573136484,0.5132098799019386,0.5922424451276099,0.6438834024055886,0.5664998050258,0.5595124738145115,0.6683367945032389,0.5301363610257154,0.5852263967860997,0.5620380698461064,0.5841789772469642,0.560383056288598,0.5590378854519018,0.6156060977047456,0.5064779800068316,0.5643052117057068,0.6017296780960845,0.44639569787160727,0.5865428504925744,0.5113961664142582,0.5763059492825252
