Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.6900000000000001,0.67,0.63,0.64,0.7300000000000001,0.5700000000000001,0.59,0.64,0.62,0.6900000000000001,0.63,0.74,0.6900000000000001,0.7,0.68,0.6599999999999999,0.62,0.6599999999999999,0.6399999999999999,0.67,0.61,0.72,0.7,0.5999999999999999,0.68,0.64,0.62,0.69,0.6799999999999999,0.56
AdiacTruncEnd,0.7596739221739223,0.7760133635133636,0.73235791985792,0.7390498015498015,0.7451989826989827,0.7494755244755246,0.7621523746523746,0.7116709116709117,0.7682361932361932,0.7467940467940469,0.7297579672579672,0.7453874203874203,0.7517639267639268,0.7066200316200317,0.7504409254409254,0.7410647535647535,0.7553232803232803,0.7543147543147544,0.7361770736770736,0.742102267102267,0.754042804042804,0.7795491295491296,0.7693634818634818,0.753589541089541,0.8003930003930004,0.7565340440340441,0.7220896595896595,0.7575750450750451,0.7279364779364779,0.758848958848959
ArrowHeadTruncEnd,0.697292863002461,0.7364871023607694,0.642694376082399,0.8351107465135357,0.7147023972290585,0.7528939932549448,0.7780512259593474,0.7311092881232338,0.8220763831920518,0.7785069729286299,0.7267341172181205,0.765472609607146,0.7920882326132531,0.8191596025886428,0.7451462947771397,0.7877130617081396,0.6933734390666303,0.6528119588004739,0.7069546987512533,0.7277367605505423,0.8084951235074286,0.7180749248017501,0.7562665208276366,0.771306170813964,0.805122595934737,0.6774222951417372,0.6735940205997629,0.7432321575061526,0.7442348008385743,0.7591833014310455
BMETruncEnd,0.64,0.7400000000000001,0.6,0.6866666666666666,0.68,0.6933333333333334,0.7333333333333334,0.7266666666666667,0.7066666666666667,0.7066666666666667,0.6933333333333334,0.6533333333333333,0.5733333333333334,0.6933333333333334,0.84,0.7133333333333334,0.7000000000000001,0.6733333333333333,0.64,0.6666666666666666,0.6866666666666666,0.7066666666666667,0.6533333333333333,0.6533333333333333,0.6666666666666666,0.7000000000000001,0.7133333333333334,0.7000000000000001,0.7066666666666667,0.68
BeefTruncStart,0.13333333333333333,0.26666666666666666,0.2666666666666667,0.3,0.2,0.3,0.19999999999999998,0.2333333333333333,0.19999999999999998,0.2333333333333333,0.16666666666666666,0.36666666666666664,0.26666666666666666,0.2333333333333333,0.23333333333333334,0.2333333333333333,0.2333333333333333,0.16666666666666666,0.33333333333333337,0.2333333333333333,0.19999999999999998,0.19999999999999998,0.26666666666666666,0.26666666666666666,0.33333333333333337,0.3666666666666667,0.3,0.2,0.3,0.2333333333333333
BeetleFlyTruncEnd,0.9,0.8,0.55,0.7,0.7,0.8,0.7,0.7,0.6499999999999999,0.85,0.7,0.7,0.75,0.8500000000000001,0.7,0.65,0.75,0.75,0.8500000000000001,0.8500000000000001,0.7,0.8,0.7,0.8,0.55,0.6,0.8,0.8500000000000001,0.9,0.75
BirdChickenTruncEnd,0.8,0.65,0.7,0.8500000000000001,0.7,0.8,0.65,0.75,0.7,0.7,0.7,1.0,0.8500000000000001,0.75,0.9,0.8500000000000001,0.6,0.75,0.6000000000000001,0.9,0.9,0.75,0.75,0.8500000000000001,0.8500000000000001,0.7,0.75,0.8,0.8,0.8500000000000001
CBFTruncEnd,0.8914929552424552,0.8148049049093539,0.9325386313465783,0.6921233042456207,0.749704480692969,0.6576025107288719,0.7473857109698704,0.9456209905625436,0.8139641761856082,0.785201169434691,0.782617795358806,0.878152757406502,0.929006128667447,0.7165990587235976,0.8648036209016697,0.7004274264041365,0.664151542537693,0.8572324695912411,0.6604395750922264,0.943435856408433,0.9446428236316676,0.7288442449294043,0.8160765169810017,0.9001314626329071,0.833935829246732,0.8106164224582821,0.6575434463753944,0.8008534700307668,0.7222951143507612,0.7274429974665542
CarTruncEnd,0.7450115673799884,0.8027038750722961,0.7703152111046847,0.7073452862926547,0.8196211683053788,0.8054511278195489,0.8229467900520532,0.734600925390399,0.7875939849624061,0.7167437825332562,0.7642423366107576,0.7012724117987275,0.6843551185656449,0.8144881434355118,0.6806680161943319,0.820561017929439,0.7919317524580682,0.7552053209947946,0.8394303065355697,0.789545980335454,0.7575910931174089,0.7304800462695199,0.7491324465008676,0.7848467322151532,0.6928137651821862,0.7636639676113361,0.7703875072296125,0.7693753614806246,0.7609167148640832,0.7886061307113938
ChlorineConcentrationTruncStart,0.37702447318694127,0.39120841161073433,0.3790981111684622,0.39316983598698557,0.3900217072581033,0.38512391988075195,0.38852687370065103,0.3881009878488442,0.38113923791907484,0.39090706548766807,0.38371323256238127,0.3872716467633966,0.3845949579016728,0.3839318902574321,0.3796475930070962,0.3870310731265009,0.3891741768273902,0.3870833636740388,0.38609403273202564,0.3919017449751547,0.3922581179508559,0.3919427853014328,0.3920303932093295,0.3819859806501254,0.3827884478598551,0.38905805730850607,0.38327861502338484,0.386157144435231,0.3844049672526919,0.3911917976647939
