Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.78,0.71,0.7500000000000001,0.67,0.7899999999999999,0.7,0.6799999999999999,0.7300000000000001,0.7,0.6900000000000001,0.6799999999999999,0.7000000000000001,0.71,0.71,0.66,0.6799999999999999,0.67,0.7299999999999999,0.75,0.7,0.6900000000000001,0.7,0.7,0.76,0.75,0.78,0.72,0.6699999999999999,0.7,0.6599999999999999
AdiacTruncEnd,0.716939141939142,0.683886383886384,0.6889516264516263,0.6606182856182856,0.7116314616314617,0.6756707631707631,0.6532527532527533,0.6957660957660957,0.6770311895311895,0.6714451839451839,0.670586133086133,0.6730897480897481,0.6962499962499962,0.6863679863679865,0.7060706935706935,0.6997895497895498,0.7133811758811759,0.714474451974452,0.6819508194508195,0.6880958755958756,0.6783578658578658,0.7215107340107341,0.6886589386589386,0.7004958629958631,0.7201573201573201,0.7040763290763291,0.6169236919236919,0.7141887766887767,0.6830593205593206,0.6962101337101336
ArrowHeadTruncEnd,0.6789718348372983,0.7857989244371525,0.6804302251390029,0.7669309999088506,0.7669309999088506,0.7935466229149576,0.7533497402242274,0.7581806580986236,0.7413180202351656,0.7775954789900648,0.7098714793546623,0.7824263968644609,0.7703035274815422,0.7654726096071461,0.7422295141737308,0.7896271989791268,0.7703035274815422,0.6251936924619451,0.6847142466502598,0.7258226232795552,0.7756813417190775,0.7006653905751526,0.7877130617081396,0.7533497402242274,0.7388569866010392,0.8036642056330324,0.7606416917327499,0.7262783702488379,0.7195333151034545,0.7543523835566495
BMETruncEnd,0.6533333333333333,0.7399999999999999,0.6,0.66,0.7066666666666667,0.7266666666666666,0.7066666666666667,0.68,0.7200000000000001,0.7200000000000001,0.6733333333333333,0.6733333333333333,0.6466666666666666,0.7000000000000001,0.8266666666666668,0.6866666666666666,0.6266666666666666,0.7466666666666666,0.6866666666666666,0.7066666666666667,0.6666666666666666,0.7266666666666666,0.7266666666666666,0.7133333333333334,0.6,0.68,0.7399999999999999,0.7066666666666667,0.6866666666666666,0.6266666666666667
BeefTruncStart,0.16666666666666666,0.29999999999999993,0.19999999999999998,0.33333333333333337,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.26666666666666666,0.2333333333333333,0.2666666666666667,0.13333333333333333,0.3333333333333333,0.33333333333333337,0.23333333333333334,0.19999999999999998,0.3333333333333333,0.29999999999999993,0.2333333333333333,0.3666666666666666,0.29999999999999993,0.16666666666666666,0.26666666666666666,0.19999999999999998,0.3333333333333333,0.4333333333333333,0.29999999999999993,0.26666666666666666,0.2,0.26666666666666666,0.4
BeetleFlyTruncEnd,0.75,0.7,0.8,0.75,0.9,0.7,0.8,0.7,0.8,0.7,0.6499999999999999,0.75,0.8500000000000001,0.7,0.8,0.75,0.8,0.75,0.7,0.8,0.65,0.8,0.65,0.8,0.6,0.8,0.7,0.95,0.9,0.95
BirdChickenTruncEnd,0.6499999999999999,0.7,0.6,0.8500000000000001,0.85,0.6499999999999999,0.8,0.7,0.8,0.6,0.6,0.9,0.9,0.7,0.7,0.95,0.6499999999999999,0.6499999999999999,0.55,0.8500000000000001,0.8500000000000001,0.7,0.75,0.75,0.8,0.8500000000000001,0.75,0.7,0.85,0.8
CBFTruncEnd,0.8563355408388521,0.7862323263749994,0.8718616629874908,0.6010078966472584,0.6746651949963208,0.5339916341960877,0.7021336256920061,0.880625459896983,0.6374164283844713,0.7687488826663902,0.6609489310636029,0.827431836476683,0.9026046589724975,0.5895951918850714,0.6540025482614042,0.5788282442182616,0.6814047537915265,0.7380349250090128,0.5965000419771743,0.8518319332711083,0.8849595290654894,0.567402501839588,0.6404337476727361,0.7688371828871406,0.7710000444464199,0.6276491300847938,0.5506290649954811,0.6428326691062813,0.6084839820041384,0.5640458094433826
CarTruncEnd,0.7257807981492191,0.723395026026605,0.7497108155002892,0.6928137651821862,0.7750867553499132,0.7228166570271835,0.7460237131289763,0.7750144592249856,0.758530942741469,0.8037160208212839,0.7092972816657027,0.7797860034702141,0.6947657605552342,0.7938837478311163,0.851576055523424,0.8074031231925969,0.7831116252168884,0.7689415847310583,0.7891844997108155,0.7524580682475419,0.7295401966454598,0.7497108155002892,0.741685945633314,0.6961393869288606,0.6584731058415269,0.7815211104684789,0.7548438403701561,0.7238288027761712,0.6933921341816078,0.748770965876229
ChlorineConcentrationTruncStart,0.37662698945344025,0.37778781022183566,0.378992228304571,0.3817124754194748,0.371786747462794,0.38014557199785504,0.3800305988127038,0.38468644844839955,0.3842989987780718,0.39058571357419974,0.374387390115214,0.3919364778348388,0.38428876212307883,0.3831344281383126,0.36807247579259994,0.38571931436880824,0.3855303611680468,0.3788607966085619,0.38711293540086195,0.3922998364841148,0.38575328341078263,0.38730523328934785,0.39604057684638727,0.3721511587394967,0.3834587661054349,0.3905840997208829,0.38412145184082086,0.3882825111312314,0.3785594737602802,0.38762876028202314
