Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.75,0.63,0.6000000000000001,0.65,0.66,0.6100000000000001,0.6,0.65,0.61,0.6199999999999999,0.6099999999999999,0.6399999999999999,0.75,0.64,0.58,0.66,0.6,0.6599999999999999,0.6100000000000001,0.63,0.67,0.6399999999999999,0.6399999999999999,0.6799999999999999,0.67,0.6799999999999999,0.5900000000000001,0.5700000000000001,0.65,0.62
AdiacTruncEnd,0.7127305502305503,0.6552647427647428,0.6609044859044859,0.622429934929935,0.6420635670635672,0.6391937266937268,0.6449072324072324,0.6342323217323218,0.6551247551247551,0.6238385113385113,0.6402099777099777,0.6460830460830461,0.6468616968616968,0.634515072015072,0.653990228990229,0.6873753498753498,0.6834885084885085,0.6463506463506464,0.6353513228513228,0.6664496914496914,0.66740927990928,0.6881805131805132,0.6510146385146385,0.6394915894915894,0.6969677844677844,0.6485565485565484,0.60255589005589,0.6668192168192169,0.6257921507921508,0.6527230277230277
ArrowHeadTruncEnd,0.7050405614802662,0.6097894449001914,0.6088779509616261,0.6184486373165617,0.6373165618448637,0.7108741226870842,0.5797101449275361,0.6721356302980585,0.6537234527390393,0.5671315285753349,0.7059520554188315,0.6987512533041654,0.6798833287758637,0.6687631027253668,0.6238264515540972,0.6977486099717437,0.6929176920973475,0.6213654179199709,0.6528119588004739,0.6436058700209643,0.6064169173274997,0.6107009388387566,0.63977759547899,0.6948318293683347,0.5971196791541336,0.5922887612797374,0.6300246103363412,0.6885425211922341,0.5758818703855618,0.6504420745602042
BMETruncEnd,0.6933333333333334,0.7466666666666667,0.6133333333333333,0.6866666666666666,0.6533333333333333,0.7333333333333334,0.7000000000000001,0.6333333333333334,0.6933333333333334,0.6733333333333333,0.6466666666666666,0.6733333333333333,0.66,0.6533333333333333,0.8333333333333334,0.6866666666666666,0.68,0.7400000000000001,0.64,0.7200000000000001,0.64,0.7533333333333334,0.68,0.6466666666666666,0.6066666666666666,0.6866666666666666,0.7266666666666667,0.6533333333333333,0.7266666666666667,0.6066666666666666
BeefTruncStart,0.3,0.3333333333333333,0.39999999999999997,0.3333333333333333,0.4333333333333333,0.4333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.19999999999999998,0.1,0.3333333333333333,0.19999999999999998,0.19999999999999998,0.16666666666666666,0.33333333333333337,0.2333333333333333,0.2333333333333333,0.26666666666666666,0.19999999999999998,0.19999999999999998,0.2333333333333333,0.19999999999999998,0.3333333333333333,0.3,0.29999999999999993,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.36666666666666664
BeetleFlyTruncEnd,0.7,0.6,0.7,0.7,0.95,0.75,0.7,0.75,0.7,0.75,0.7,0.75,0.8,0.55,0.75,0.8,0.75,0.75,0.6000000000000001,0.85,0.7,0.7,0.7,0.8500000000000001,0.65,0.75,0.8,0.8500000000000001,0.8,0.75
BirdChickenTruncEnd,0.75,0.7,0.75,0.8,0.55,0.44999999999999996,0.75,0.6499999999999999,0.65,0.7,0.6499999999999999,0.8500000000000001,0.8500000000000001,0.8,0.6499999999999999,0.8,0.6499999999999999,0.7,0.7,0.75,0.75,0.7,0.75,0.6499999999999999,0.75,0.9,0.8,0.6000000000000001,0.8,0.75
CBFTruncEnd,0.6611471127111822,0.5831029527238248,0.6737747356672642,0.4937383883728166,0.5526996261562243,0.4780195663017122,0.4986541624072181,0.6724135393671817,0.5716596293168585,0.5190095362263015,0.5584140035853445,0.614892810050817,0.6338405657535396,0.47456909195964264,0.5650657560089091,0.4050123215352781,0.50269676183139,0.6084162752912475,0.415168032159454,0.6613828762759826,0.632720812283015,0.5461056540784529,0.5068885530714945,0.6222197529766755,0.567134045463749,0.4773630926806624,0.42689991160100943,0.5560823937854028,0.44254761940036835,0.4856422260742453
CarTruncEnd,0.5680306535569694,0.7197079236552921,0.6341093117408907,0.6934644303065356,0.6698958935801042,0.6641122035858879,0.7056101792943898,0.7525303643724697,0.6370734528629265,0.694838056680162,0.7905581260844419,0.7056101792943898,0.675534991324465,0.8019809138230191,0.7103094274146906,0.7092972816657027,0.7723395026026605,0.7332995951417004,0.6520387507229612,0.6749566223250434,0.6792943898207057,0.7844852515905147,0.726792943898207,0.7163823019086176,0.6730046269519954,0.7120445344129555,0.6617987275882014,0.6745951417004049,0.6655581260844419,0.6492914979757085
ChlorineConcentrationTruncStart,0.3809058758223581,0.3807369516867833,0.38758708829833316,0.38867660302027085,0.3650003461162841,0.3927685552253835,0.3888303325669797,0.3901234577346075,0.3849883557973559,0.3929179497928857,0.37527746523284033,0.3918739273575235,0.40002447110840184,0.38896151451443184,0.36093677275469277,0.39436029021098046,0.3782893132173541,0.3870160339727174,0.3903809335199922,0.3980097274391387,0.40066813324929074,0.3881928603044258,0.4013166764160691,0.3743295565259603,0.3913316256887067,0.38913616910433496,0.39514787430917736,0.3935630545656334,0.3767073002104289,0.3921064778726249
