Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.79,0.6900000000000001,0.72,0.5900000000000001,0.78,0.67,0.6799999999999999,0.6900000000000001,0.6799999999999999,0.7,0.67,0.65,0.6799999999999999,0.65,0.64,0.6799999999999999,0.5900000000000001,0.67,0.7200000000000001,0.6300000000000001,0.73,0.7100000000000001,0.6900000000000001,0.66,0.74,0.73,0.6399999999999999,0.66,0.7,0.67
AdiacTruncEnd,0.5898559398559399,0.5717800967800967,0.57242475992476,0.5640121515121516,0.5752124002124003,0.5796881421881422,0.557608645108645,0.5810992685992686,0.6027520902520902,0.5559316434316435,0.6074427074427075,0.5693532068532068,0.5987310737310738,0.5797949047949047,0.5843590718590719,0.5627746127746127,0.60502073002073,0.6086529836529838,0.531670019170019,0.586033636033636,0.5725654600654599,0.5899537399537399,0.6082719457719458,0.5974056724056724,0.5630147255147255,0.5604008604008603,0.5253273378273378,0.5769226644226644,0.5453193578193579,0.5873459873459874
ArrowHeadTruncEnd,0.7282836569136815,0.7746786983866557,0.7117856166256494,0.7635584723361589,0.6929176920973475,0.694376082399052,0.6996627472427308,0.6914593017956431,0.7543523835566494,0.7645611156685809,0.6576428766748701,0.8124145474432595,0.6828001093792726,0.7176191778324674,0.6822532130161335,0.7446905478078572,0.7524382462856622,0.6798833287758637,0.720991705405159,0.6798833287758637,0.7075015951143925,0.6639321848509707,0.7335703217573603,0.7166165345000456,0.6668489654543798,0.7035821711785616,0.7321119314556558,0.7064078023881142,0.7122413635949321,0.765472609607146
BMETruncEnd,0.6933333333333334,0.6866666666666666,0.68,0.6733333333333333,0.6866666666666666,0.7399999999999999,0.68,0.6733333333333333,0.6866666666666666,0.6533333333333333,0.66,0.6733333333333333,0.6466666666666666,0.7133333333333333,0.8466666666666667,0.6866666666666666,0.6466666666666667,0.7466666666666666,0.6866666666666666,0.6733333333333333,0.6599999999999999,0.68,0.68,0.7066666666666667,0.5866666666666666,0.6666666666666666,0.6933333333333334,0.64,0.68,0.6533333333333333
BeefTruncStart,0.16666666666666666,0.29999999999999993,0.19999999999999998,0.3,0.3333333333333333,0.29999999999999993,0.3333333333333333,0.26666666666666666,0.2666666666666667,0.2666666666666667,0.13333333333333333,0.3333333333333333,0.33333333333333337,0.23333333333333334,0.19999999999999998,0.36666666666666664,0.26666666666666666,0.2333333333333333,0.26666666666666666,0.2333333333333333,0.16666666666666666,0.3,0.23333333333333334,0.3333333333333333,0.39999999999999997,0.3333333333333333,0.26666666666666666,0.2,0.3,0.3666666666666667
BeetleFlyTruncEnd,0.9,0.85,0.75,0.7,0.8,0.55,0.9,0.8,0.9,0.7,0.8500000000000001,0.7,0.8500000000000001,0.75,0.7,0.55,0.8,0.75,0.8,0.75,0.75,0.8500000000000001,0.6,0.8,0.8,0.8500000000000001,0.7,0.85,0.85,0.95
BirdChickenTruncEnd,0.7,0.65,0.55,0.8,0.8,0.8,0.7,0.7,0.8,0.6,0.7,0.9,0.8500000000000001,0.7,0.8,0.95,0.55,0.75,0.55,0.7,0.85,0.7,0.7,0.75,0.8,0.9,0.7,0.8500000000000001,0.8,0.8
CBFTruncEnd,0.7644880019358885,0.7716827908400866,0.8583729153394472,0.5898960941473942,0.7565705142450776,0.6116088122435072,0.668858764093219,0.8247871263414176,0.6614311253339654,0.6875312976873046,0.6913673694139493,0.8028465956511647,0.8825311742250274,0.614192877708145,0.655106399790608,0.6199701715137956,0.7055162945513628,0.7373933656310651,0.6031304107343043,0.7356949691591231,0.7929800336805092,0.6208524823325481,0.630393992819434,0.7479539831399914,0.7342505592841163,0.6586438903457438,0.5861553846837637,0.6351496609725864,0.6714851030416167,0.6028105940510936
CarTruncEnd,0.6172643146327357,0.7497108155002892,0.6478455754771544,0.673582995951417,0.6938259109311741,0.6779207634470792,0.6704742625795258,0.6810294968189705,0.673582995951417,0.7507229612492771,0.7497108155002892,0.7018507807981493,0.6829814921920185,0.7281665702718334,0.6947657605552342,0.6961393869288606,0.7012724117987277,0.675534991324465,0.7136350491613649,0.6900665124349334,0.651604973973395,0.712622903412377,0.6455320994794678,0.6661364950838635,0.6900665124349334,0.6876807403123193,0.6698958935801042,0.5862492770387507,0.6272411798727588,0.6839936379410063
ChlorineConcentrationTruncStart,0.3708106857789968,0.3591850950692675,0.34093455068066003,0.38408153396632283,0.3505170893091267,0.3978352748338869,0.3683083325414341,0.3911054990141216,0.3687559544108822,0.37908385910717285,0.3784842850749925,0.38915979199863465,0.3843353920406418,0.3842888471266395,0.34384689309223,0.3946242369936188,0.3729181367602414,0.3812440442735865,0.38151539830698283,0.3835644305911308,0.39854910539024596,0.3896209021116623,0.3997719380776828,0.3405587098656624,0.3547370348162178,0.3920439116089341,0.3620307552233033,0.3717851568842616,0.36144108248682993,0.3638664702622966
