Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.81,0.71,0.71,0.75,0.76,0.77,0.72,0.72,0.7,0.71,0.69,0.69,0.75,0.76,0.77,0.75,0.69,0.78,0.74,0.7,0.71,0.72,0.7,0.74,0.74,0.74,0.71,0.76,0.72,0.7
AdiacTruncEnd,0.5268542199488491,0.5012787723785166,0.5294117647058824,0.5217391304347826,0.4782608695652174,0.5089514066496164,0.4859335038363171,0.5140664961636828,0.5089514066496164,0.4859335038363171,0.4936061381074169,0.47570332480818417,0.5166240409207161,0.4961636828644501,0.5038363171355499,0.4859335038363171,0.4680306905370844,0.5063938618925832,0.46035805626598464,0.45268542199488493,0.4859335038363171,0.4578005115089514,0.5396419437340153,0.4424552429667519,0.5140664961636828,0.5038363171355499,0.4936061381074169,0.5012787723785166,0.46547314578005117,0.4859335038363171
ArrowHeadTruncEnd,0.6857142857142857,0.6685714285714286,0.7085714285714285,0.7485714285714286,0.6171428571428571,0.7771428571428571,0.6971428571428572,0.7085714285714285,0.7828571428571428,0.7028571428571428,0.6342857142857142,0.7657142857142857,0.7657142857142857,0.7142857142857143,0.6114285714285714,0.7714285714285715,0.6285714285714286,0.6857142857142857,0.6,0.7771428571428571,0.6571428571428571,0.7828571428571428,0.6857142857142857,0.7142857142857143,0.7028571428571428,0.7257142857142858,0.7085714285714285,0.6971428571428572,0.7085714285714285,0.76
BMETruncEnd,0.8466666666666667,0.74,0.7333333333333333,0.78,0.7866666666666666,0.76,0.7733333333333333,0.78,0.7533333333333333,0.7866666666666666,0.7733333333333333,0.8333333333333334,0.7933333333333333,0.7666666666666667,0.7733333333333333,0.7866666666666666,0.74,0.8266666666666667,0.7733333333333333,0.7866666666666666,0.8266666666666667,0.78,0.7866666666666666,0.76,0.8,0.7733333333333333,0.78,0.7933333333333333,0.7666666666666667,0.74
BeefTruncStart,0.36666666666666664,0.4666666666666667,0.3,0.4,0.4,0.4666666666666667,0.4,0.4666666666666667,0.36666666666666664,0.3333333333333333,0.26666666666666666,0.36666666666666664,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.36666666666666664,0.3333333333333333,0.26666666666666666,0.43333333333333335,0.4,0.36666666666666664,0.4666666666666667,0.2,0.4666666666666667,0.5333333333333333,0.5,0.36666666666666664,0.3,0.3333333333333333,0.5
BeetleFlyTruncEnd,0.85,0.8,0.9,0.8,0.8,0.8,0.7,0.7,0.8,0.85,0.8,0.8,0.55,0.7,0.85,0.85,0.8,0.65,0.7,0.8,0.75,0.75,0.85,0.75,0.7,0.85,0.85,0.75,0.7,0.85
BirdChickenTruncEnd,0.95,0.95,0.9,0.85,1.0,0.95,0.95,0.95,0.95,0.85,0.95,0.95,0.85,0.95,0.95,0.95,0.75,0.9,0.95,0.95,0.9,0.9,0.95,0.95,0.95,0.95,0.95,1.0,0.95,0.95
CBFTruncEnd,0.8855555555555555,0.8988888888888888,0.9133333333333333,0.91,0.9011111111111111,0.9155555555555556,0.93,0.8988888888888888,0.9122222222222223,0.9255555555555556,0.8833333333333333,0.9166666666666666,0.9122222222222223,0.9222222222222223,0.9188888888888889,0.8966666666666666,0.89,0.9177777777777778,0.9066666666666666,0.9233333333333333,0.9277777777777778,0.8933333333333333,0.91,0.8944444444444445,0.9233333333333333,0.9033333333333333,0.9388888888888889,0.9255555555555556,0.8711111111111111,0.9244444444444444
CarTruncEnd,0.8,0.7833333333333333,0.8,0.7333333333333333,0.8,0.7666666666666667,0.7833333333333333,0.7666666666666667,0.8,0.75,0.75,0.7333333333333333,0.7666666666666667,0.8,0.8,0.65,0.75,0.7166666666666667,0.75,0.7666666666666667,0.7833333333333333,0.7666666666666667,0.8,0.7666666666666667,0.8,0.7666666666666667,0.7,0.75,0.65,0.75
ChinatownTruncEnd,0.7784256559766763,0.8279883381924198,0.8775510204081632,0.8513119533527697,0.8338192419825073,0.9183673469387755,0.892128279883382,0.7755102040816326,0.8571428571428571,0.9096209912536443,0.8338192419825073,0.7755102040816326,0.8717201166180758,0.9067055393586005,0.880466472303207,0.7259475218658892,0.8775510204081632,0.9212827988338192,0.8046647230320699,0.8046647230320699,0.8862973760932945,0.8717201166180758,0.8396501457725948,0.8046647230320699,0.8688046647230321,0.8746355685131195,0.9154518950437318,0.8658892128279884,0.8746355685131195,0.9183673469387755
ChlorineConcentrationTruncStart,0.5692708333333333,0.5752604166666667,0.5859375,0.56640625,0.5671875,0.5552083333333333,0.58515625,0.57109375,0.5828125,0.5783854166666667,0.5546875,0.5854166666666667,0.5505208333333333,0.57421875,0.5752604166666667,0.5684895833333333,0.5791666666666667,0.565625,0.5591145833333333,0.5596354166666667,0.5661458333333333,0.57734375,0.5578125,0.5705729166666667,0.5796875,0.5575520833333333,0.5692708333333333,0.5666666666666667,0.5630208333333333,0.5791666666666667
CinCECGTorsoTruncEnd,0.7130434782608696,0.5753623188405798,0.7079710144927536,0.6043478260869565,0.6905797101449276,0.591304347826087,0.6065217391304348,0.49782608695652175,0.5898550724637681,0.618840579710145,0.6514492753623189,0.5398550724637681,0.5840579710144927,0.6376811594202898,0.6347826086956522,0.5739130434782609,0.6275362318840579,0.6086956521739131,0.5355072463768116,0.6007246376811595,0.6014492753623188,0.591304347826087,0.6028985507246377,0.6217391304347826,0.6130434782608696,0.6659420289855073,0.6195652173913043,0.672463768115942,0.6811594202898551,0.5420289855072464
CoffeeTruncStart,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8928571428571429,1.0,0.9642857142857143,0.8928571428571429,0.9642857142857143,0.8571428571428571,0.9285714285714286,0.9285714285714286,1.0,0.9642857142857143,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9642857142857143,0.9285714285714286
ComputersTruncStart,0.692,0.728,0.784,0.776,0.8,0.752,0.812,0.756,0.748,0.8,0.788,0.792,0.78,0.792,0.772,0.804,0.768,0.768,0.768,0.772,0.768,0.784,0.756,0.812,0.76,0.8,0.808,0.808,0.756,0.784
CricketXTruncEnd,0.6820512820512821,0.7589743589743589,0.7256410256410256,0.7256410256410256,0.735897435897436,0.7307692307692307,0.7410256410256411,0.7461538461538462,0.7205128205128205,0.7256410256410256,0.7307692307692307,0.717948717948718,0.7769230769230769,0.7435897435897436,0.7282051282051282,0.7205128205128205,0.7205128205128205,0.735897435897436,0.735897435897436,0.7435897435897436,0.7538461538461538,0.7512820512820513,0.7230769230769231,0.7051282051282052,0.7538461538461538,0.7410256410256411,0.676923076923077,0.7307692307692307,0.7410256410256411,0.7230769230769231
CricketYTruncEnd,0.7538461538461538,0.7025641025641025,0.7051282051282052,0.7307692307692307,0.6948717948717948,0.6948717948717948,0.7128205128205128,0.7230769230769231,0.7102564102564103,0.7461538461538462,0.7282051282051282,0.7435897435897436,0.7153846153846154,0.7333333333333333,0.7435897435897436,0.7282051282051282,0.7076923076923077,0.7230769230769231,0.7256410256410256,0.7153846153846154,0.7307692307692307,0.7435897435897436,0.7333333333333333,0.7307692307692307,0.7256410256410256,0.7333333333333333,0.7230769230769231,0.7205128205128205,0.7384615384615385,0.7538461538461538
CricketZTruncEnd,0.7384615384615385,0.7615384615384615,0.7230769230769231,0.7589743589743589,0.7333333333333333,0.735897435897436,0.7615384615384615,0.7333333333333333,0.7256410256410256,0.7384615384615385,0.7692307692307693,0.7717948717948718,0.7666666666666667,0.7615384615384615,0.7564102564102564,0.7487179487179487,0.7538461538461538,0.7282051282051282,0.7589743589743589,0.7282051282051282,0.7717948717948718,0.7743589743589744,0.7615384615384615,0.7794871794871795,0.7615384615384615,0.7333333333333333,0.764102564102564,0.7256410256410256,0.7512820512820513,0.7384615384615385
CropTruncEnd,0.6196428571428572,0.6231547619047619,0.6226785714285714,0.6201785714285715,0.6131547619047619,0.616904761904762,0.6209523809523809,0.6200595238095238,0.6196428571428572,0.6230952380952381,0.611904761904762,0.6183928571428572,0.6205357142857143,0.6189880952380953,0.6205952380952381,0.62125,0.6117261904761905,0.617202380952381,0.6186309523809523,0.6194047619047619,0.6136309523809523,0.6181547619047619,0.6179761904761905,0.6141666666666666,0.6154761904761905,0.6205357142857143,0.617202380952381,0.6227380952380952,0.6177380952380952,0.620297619047619
