Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.81,0.7,0.69,0.72,0.67,0.66,0.65,0.74,0.64,0.71,0.71,0.71,0.71,0.74,0.77,0.65,0.67,0.75,0.76,0.72,0.77,0.75,0.8,0.76,0.77,0.69,0.68,0.75,0.74,0.7
AdiacTruncEnd,0.3657289002557545,0.33248081841432225,0.3273657289002558,0.35294117647058826,0.35038363171355497,0.340153452685422,0.3350383631713555,0.35038363171355497,0.3375959079283887,0.3657289002557545,0.3350383631713555,0.3171355498721228,0.34782608695652173,0.3657289002557545,0.340153452685422,0.3452685421994885,0.3145780051150895,0.35294117647058826,0.3069053708439898,0.30179028132992325,0.319693094629156,0.31202046035805625,0.36061381074168797,0.32225063938618925,0.34271099744245526,0.35038363171355497,0.3452685421994885,0.319693094629156,0.30179028132992325,0.30179028132992325
ArrowHeadTruncEnd,0.5085714285714286,0.5885714285714285,0.5885714285714285,0.6171428571428571,0.49142857142857144,0.6685714285714286,0.5657142857142857,0.6057142857142858,0.6342857142857142,0.5828571428571429,0.5885714285714285,0.5828571428571429,0.6171428571428571,0.5942857142857143,0.6285714285714286,0.6,0.5428571428571428,0.6,0.56,0.6342857142857142,0.6742857142857143,0.6628571428571428,0.6285714285714286,0.6057142857142858,0.6457142857142857,0.6285714285714286,0.56,0.6628571428571428,0.5771428571428572,0.6285714285714286
BMETruncEnd,0.68,0.6933333333333334,0.7,0.7,0.6933333333333334,0.7733333333333333,0.7466666666666667,0.64,0.6866666666666666,0.7933333333333333,0.78,0.7866666666666666,0.6933333333333334,0.7266666666666667,0.6266666666666667,0.7466666666666667,0.6866666666666666,0.6733333333333333,0.7333333333333333,0.6733333333333333,0.7133333333333334,0.74,0.68,0.6933333333333334,0.7466666666666667,0.72,0.7133333333333334,0.7533333333333333,0.7466666666666667,0.6533333333333333
BeefTruncStart,0.43333333333333335,0.3,0.3,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.4,0.3333333333333333,0.3,0.4666666666666667,0.36666666666666664,0.4,0.4,0.3333333333333333,0.3,0.26666666666666666,0.3,0.3333333333333333,0.36666666666666664,0.5333333333333333,0.36666666666666664,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.26666666666666666,0.3,0.3333333333333333,0.43333333333333335
BeetleFlyTruncEnd,0.75,0.8,0.8,0.8,0.85,0.85,0.8,0.7,0.8,0.85,0.65,0.7,0.65,0.7,0.9,0.85,0.8,0.7,0.8,0.9,0.9,0.8,0.9,0.7,0.8,0.75,0.8,0.9,0.9,0.9
BirdChickenTruncEnd,0.8,0.95,0.7,0.85,0.9,0.9,0.95,0.9,0.9,0.85,0.75,0.8,0.85,0.9,0.85,0.95,0.8,0.9,0.75,0.9,0.75,0.85,0.9,0.9,0.85,0.75,0.9,0.9,0.8,0.9
CBFTruncEnd,0.8855555555555555,0.7244444444444444,0.8522222222222222,0.7988888888888889,0.79,0.8066666666666666,0.9177777777777778,0.7366666666666667,0.8055555555555556,0.7466666666666667,0.7633333333333333,0.8011111111111111,0.8288888888888889,0.8344444444444444,0.77,0.7677777777777778,0.7911111111111111,0.7777777777777778,0.8733333333333333,0.8055555555555556,0.8477777777777777,0.7644444444444445,0.8055555555555556,0.8422222222222222,0.7744444444444445,0.8822222222222222,0.7744444444444445,0.8,0.8411111111111111,0.8444444444444444
CarTruncEnd,0.5333333333333333,0.5833333333333334,0.5,0.48333333333333334,0.6,0.55,0.5,0.5333333333333333,0.6,0.4666666666666667,0.5833333333333334,0.48333333333333334,0.4666666666666667,0.43333333333333335,0.6166666666666667,0.55,0.5166666666666667,0.4166666666666667,0.55,0.5666666666666667,0.5833333333333334,0.5833333333333334,0.55,0.5,0.5666666666666667,0.5833333333333334,0.4166666666666667,0.4666666666666667,0.6166666666666667,0.5666666666666667
ChinatownTruncEnd,0.8892128279883382,0.8775510204081632,0.7434402332361516,0.8658892128279884,0.8833819241982507,0.8367346938775511,0.8688046647230321,0.760932944606414,0.8192419825072886,0.892128279883382,0.8309037900874635,0.6355685131195336,0.7113702623906706,0.8309037900874635,0.8396501457725948,0.577259475218659,0.7551020408163265,0.793002915451895,0.8075801749271136,0.8338192419825073,0.6938775510204082,0.7346938775510204,0.8775510204081632,0.8483965014577259,0.8104956268221575,0.8658892128279884,0.9008746355685131,0.9067055393586005,0.7405247813411079,0.8629737609329446
