Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.84,0.7,0.72,0.74,0.72,0.77,0.73,0.72,0.68,0.7,0.68,0.68,0.76,0.75,0.76,0.76,0.67,0.72,0.73,0.66,0.77,0.73,0.76,0.75,0.74,0.73,0.71,0.73,0.78,0.68
AdiacTruncEnd,0.5140664961636828,0.4936061381074169,0.5038363171355499,0.5549872122762148,0.5345268542199488,0.4961636828644501,0.5038363171355499,0.5038363171355499,0.5498721227621484,0.4680306905370844,0.5242966751918159,0.4629156010230179,0.5421994884910486,0.49872122762148335,0.5268542199488491,0.5319693094629157,0.45012787723785164,0.5370843989769821,0.46547314578005117,0.5191815856777494,0.49104859335038364,0.4833759590792839,0.5217391304347826,0.4936061381074169,0.5421994884910486,0.5345268542199488,0.4859335038363171,0.5242966751918159,0.47058823529411764,0.5294117647058824
ArrowHeadTruncEnd,0.68,0.6628571428571428,0.6971428571428572,0.7371428571428571,0.6342857142857142,0.7942857142857143,0.6857142857142857,0.7142857142857143,0.76,0.7085714285714285,0.6857142857142857,0.7485714285714286,0.7771428571428571,0.7257142857142858,0.6057142857142858,0.7485714285714286,0.6,0.6685714285714286,0.64,0.7828571428571428,0.72,0.7771428571428571,0.6914285714285714,0.7371428571428571,0.7657142857142857,0.7314285714285714,0.7142857142857143,0.7257142857142858,0.7542857142857143,0.76
BMETruncEnd,0.8533333333333334,0.7466666666666667,0.72,0.7733333333333333,0.74,0.76,0.7733333333333333,0.7666666666666667,0.8066666666666666,0.7933333333333333,0.76,0.8333333333333334,0.7733333333333333,0.76,0.78,0.7933333333333333,0.7466666666666667,0.86,0.78,0.82,0.7866666666666666,0.78,0.8066666666666666,0.82,0.82,0.7933333333333333,0.7866666666666666,0.7666666666666667,0.7733333333333333,0.7333333333333333
BeefTruncStart,0.3333333333333333,0.4,0.36666666666666664,0.5,0.4,0.5,0.4,0.4666666666666667,0.5,0.4,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.3333333333333333,0.4,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.4,0.3,0.4666666666666667,0.36666666666666664,0.5,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.36666666666666664,0.4,0.43333333333333335
BeetleFlyTruncEnd,0.85,0.7,0.9,0.8,0.85,0.75,0.7,0.7,0.8,0.8,0.8,0.8,0.6,0.7,0.9,0.9,0.8,0.65,0.7,0.85,0.8,0.75,0.85,0.75,0.75,0.85,0.9,0.8,0.85,0.85
BirdChickenTruncEnd,0.9,0.95,0.9,0.9,1.0,0.9,0.9,0.95,0.95,0.85,0.85,0.9,0.85,0.95,0.9,0.95,0.75,0.9,0.95,0.95,0.85,0.85,0.95,0.95,0.95,1.0,0.9,0.95,0.95,0.95
CBFTruncEnd,0.8866666666666667,0.8911111111111111,0.9122222222222223,0.9088888888888889,0.8988888888888888,0.8733333333333333,0.9344444444444444,0.89,0.8966666666666666,0.9222222222222223,0.8822222222222222,0.9222222222222223,0.9133333333333333,0.9333333333333333,0.92,0.9,0.8988888888888888,0.9188888888888889,0.9111111111111111,0.9233333333333333,0.9177777777777778,0.8977777777777778,0.9077777777777778,0.9,0.9244444444444444,0.9022222222222223,0.9388888888888889,0.9188888888888889,0.8877777777777778,0.9255555555555556
CarTruncEnd,0.7666666666666667,0.7833333333333333,0.8166666666666667,0.75,0.7333333333333333,0.7666666666666667,0.8166666666666667,0.7666666666666667,0.8166666666666667,0.7166666666666667,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.8166666666666667,0.7833333333333333,0.6333333333333333,0.75,0.7333333333333333,0.7666666666666667,0.7833333333333333,0.8,0.75,0.8166666666666667,0.75,0.8166666666666667,0.7666666666666667,0.6833333333333333,0.75,0.7,0.7833333333333333
ChinatownTruncEnd,0.9212827988338192,0.8104956268221575,0.892128279883382,0.8454810495626822,0.8862973760932945,0.9212827988338192,0.9008746355685131,0.880466472303207,0.8746355685131195,0.8979591836734694,0.8279883381924198,0.793002915451895,0.8250728862973761,0.8979591836734694,0.8833819241982507,0.5422740524781341,0.8833819241982507,0.9300291545189504,0.49271137026239065,0.8134110787172012,0.7696793002915452,0.5626822157434402,0.8309037900874635,0.8017492711370262,0.8600583090379009,0.8717201166180758,0.9067055393586005,0.8688046647230321,0.8746355685131195,0.7959183673469388
