Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.86,0.75,0.68,0.74,0.79,0.72,0.74,0.78,0.74,0.79,0.71,0.73,0.76,0.82,0.84,0.8,0.64,0.82,0.73,0.66,0.82,0.79,0.85,0.8,0.89,0.72,0.66,0.8,0.82,0.81
AdiacTruncEnd,0.6470588235294118,0.6572890025575447,0.6240409207161125,0.6317135549872123,0.6675191815856778,0.6368286445012787,0.659846547314578,0.6368286445012787,0.6342710997442456,0.6112531969309463,0.6265984654731458,0.6240409207161125,0.639386189258312,0.6317135549872123,0.639386189258312,0.6368286445012787,0.639386189258312,0.6317135549872123,0.6214833759590793,0.639386189258312,0.6342710997442456,0.6112531969309463,0.6751918158567775,0.629156010230179,0.6342710997442456,0.618925831202046,0.5933503836317136,0.6342710997442456,0.5933503836317136,0.6265984654731458
ArrowHeadTruncEnd,0.5142857142857142,0.6742857142857143,0.7085714285714285,0.6857142857142857,0.6685714285714286,0.72,0.6971428571428572,0.6857142857142857,0.6685714285714286,0.6971428571428572,0.72,0.7142857142857143,0.7542857142857143,0.6457142857142857,0.6914285714285714,0.68,0.6628571428571428,0.6685714285714286,0.64,0.7314285714285714,0.7142857142857143,0.7428571428571429,0.7257142857142858,0.6857142857142857,0.68,0.6457142857142857,0.7542857142857143,0.7085714285714285,0.6,0.6971428571428572
BMETruncEnd,0.6866666666666666,0.6733333333333333,0.62,0.6866666666666666,0.7333333333333333,0.68,0.6933333333333334,0.6866666666666666,0.6933333333333334,0.6933333333333334,0.7133333333333334,0.7333333333333333,0.6933333333333334,0.76,0.7266666666666667,0.6933333333333334,0.74,0.6333333333333333,0.7066666666666667,0.6666666666666666,0.6666666666666666,0.6133333333333333,0.6466666666666666,0.6866666666666666,0.76,0.72,0.7666666666666667,0.6933333333333334,0.7666666666666667,0.6866666666666666
BeefTruncStart,0.6,0.5333333333333333,0.4666666666666667,0.7333333333333333,0.26666666666666666,0.43333333333333335,0.5666666666666667,0.5,0.5666666666666667,0.5,0.5,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.43333333333333335,0.4,0.5,0.36666666666666664,0.4666666666666667,0.4666666666666667,0.6,0.3333333333333333,0.5666666666666667,0.5,0.5333333333333333,0.4666666666666667,0.4,0.3,0.43333333333333335
BeetleFlyTruncEnd,0.9,0.8,0.85,0.9,0.8,0.65,0.9,0.9,0.85,0.7,0.95,0.75,0.6,0.85,0.7,0.85,0.75,0.8,0.85,0.85,0.95,0.8,0.85,0.7,0.65,0.85,0.9,0.9,0.85,0.8
BirdChickenTruncEnd,0.55,0.85,0.7,0.8,0.75,0.7,0.9,0.7,0.7,0.7,0.7,0.75,0.65,0.75,0.7,0.85,0.75,0.7,0.7,0.9,0.9,0.7,0.75,0.55,0.8,0.7,0.95,0.7,0.7,0.7
CBFTruncEnd,0.8211111111111111,0.8066666666666666,0.8466666666666667,0.7633333333333333,0.8777777777777778,0.7822222222222223,0.8088888888888889,0.8877777777777778,0.8788888888888889,0.8,0.8833333333333333,0.7544444444444445,0.7711111111111111,0.8422222222222222,0.85,0.8411111111111111,0.7522222222222222,0.8755555555555555,0.8244444444444444,0.9122222222222223,0.8933333333333333,0.7688888888888888,0.8444444444444444,0.7811111111111111,0.86,0.8266666666666667,0.9066666666666666,0.86,0.8666666666666667,0.86
CarTruncEnd,0.7166666666666667,0.8,0.8166666666666667,0.7166666666666667,0.7333333333333333,0.6666666666666666,0.7666666666666667,0.7,0.75,0.7666666666666667,0.7833333333333333,0.7833333333333333,0.7,0.8166666666666667,0.8833333333333333,0.65,0.8166666666666667,0.7333333333333333,0.5333333333333333,0.7833333333333333,0.7,0.75,0.8,0.7333333333333333,0.7,0.7166666666666667,0.6,0.6833333333333333,0.65,0.75
ChinatownTruncEnd,0.8950437317784257,0.9329446064139941,0.9504373177842566,0.7288629737609329,0.6618075801749271,0.8075801749271136,0.9212827988338192,0.717201166180758,0.9650145772594753,0.8775510204081632,0.8221574344023324,0.760932944606414,0.9183673469387755,0.8396501457725948,0.7317784256559767,0.6005830903790087,0.9329446064139941,0.8600583090379009,0.8192419825072886,0.760932944606414,0.7259475218658892,0.9446064139941691,0.7959183673469388,0.7638483965014577,0.8425655976676385,0.7755102040816326,0.6763848396501457,0.8046647230320699,0.8104956268221575,0.8979591836734694
