Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.5944444444444444,0.6111111111111112,0.6333333333333333,0.6333333333333333,0.5722222222222222,0.6,0.6166666666666667,0.6055555555555556,0.5944444444444444,0.6,0.5833333333333333,0.6,0.5944444444444444,0.6222222222222221,0.6,0.6166666666666667,0.6166666666666667,0.6333333333333333,0.5888888888888889,0.5722222222222222,0.6277777777777778,0.6444444444444444,0.6333333333333333,0.6055555555555556,0.6166666666666667,0.6444444444444444,0.6611111111111111,0.611111111111111,0.65,0.6222222222222222
AdiacTruncEnd,0.6087315390861405,0.6127023458623149,0.6111590919143325,0.6048900956295238,0.5994973099806816,0.6192535941668078,0.613927482002483,0.6241620563037533,0.6155722727990867,0.6100266007432638,0.6046639022759517,0.6242211387900121,0.6126580732436162,0.6203183982882177,0.6189478619805665,0.6153497230676724,0.5981853935948516,0.619035006995094,0.5957015245169217,0.608851262603936,0.6137567698576695,0.6037365277997204,0.6311986021182233,0.5983750978804568,0.6124380666269426,0.6155189934638546,0.6166680203559985,0.5944698793221168,0.6006001357309676,0.5849929729400671
ArrowHeadTruncEnd,0.6429786575935663,0.6435199505103618,0.638648314259202,0.5769409217445097,0.6433652953912774,0.6550417568821529,0.5837457469842251,0.6062480668110114,0.63230745437674,0.6398855552118776,0.629214351995051,0.5761676461490876,0.6345499536034642,0.6714351995051037,0.5996752242499226,0.6454531394989175,0.5917104856170738,0.5904732446643983,0.6021497061552737,0.62813176616146,0.5987472935354161,0.6720538199814414,0.6244973708629755,0.63230745437674,0.6405041756882153,0.6620012372409526,0.6190071141354779,0.6390349520569131,0.5991339313331271,0.638648314259202
BMETruncEnd,0.725,0.75,0.775,0.695,0.7999999999999999,0.74,0.78,0.75,0.785,0.79,0.77,0.83,0.815,0.735,0.79,0.76,0.715,0.745,0.785,0.74,0.785,0.7,0.675,0.77,0.81,0.755,0.725,0.81,0.7750000000000001,0.805
BeefTruncStart,0.6875,0.6041666666666666,0.5625,0.6875,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.625,0.625,0.6041666666666666,0.625,0.5833333333333334,0.6041666666666666,0.625,0.625,0.6041666666666666,0.5833333333333334,0.6875,0.6458333333333334,0.625,0.6875,0.6458333333333334,0.6458333333333334,0.6666666666666666,0.625,0.6041666666666666,0.6458333333333334,0.6041666666666666,0.625
BeetleFlyTruncEnd,0.65,0.5499999999999999,0.65,0.65,0.6000000000000001,0.5999999999999999,0.5,0.6500000000000001,0.6,0.5499999999999999,0.55,0.7000000000000001,0.6000000000000001,0.39999999999999997,0.7000000000000001,0.55,0.39999999999999997,0.5999999999999999,0.65,0.5,0.5499999999999999,0.7,0.6,0.44999999999999996,0.5,0.6499999999999999,0.7,0.55,0.30000000000000004,0.65
BirdChickenTruncEnd,0.5999999999999999,0.5499999999999999,0.5499999999999999,0.65,0.5,0.7500000000000001,0.6499999999999999,0.65,0.55,0.5499999999999999,0.4,0.35,0.45000000000000007,0.5499999999999999,0.55,0.5,0.7000000000000001,0.7,0.5,0.75,0.7500000000000001,0.44999999999999996,0.45000000000000007,0.5,0.6,0.65,0.5,0.6,0.6,0.6499999999999999
CBFTruncEnd,0.96084715756101,0.9357830364781832,0.9458859357696567,0.9632914902758178,0.9050221483942414,0.9400110371596723,0.9616721852465028,0.9358332037022634,0.9658415463875526,0.9658276480849787,0.9441749352770585,0.9432607399341474,0.9500026018807617,0.9599971018196498,0.9616832779623478,0.9233331296273662,0.9031995540691193,0.926686046511628,0.9333831672203765,0.940016611295681,0.9599357863235518,0.921666555554321,0.9650110371596722,0.9208527131782946,0.949186046511628,0.9358582502768549,0.9283415834250011,0.9441776853076145,0.8599127119930962,0.8741443145664581
CarTruncEnd,0.5521141219737821,0.550557297894903,0.6101453035806954,0.6172074186051759,0.5744850071072404,0.6158818618713477,0.5684889781367749,0.6276764964689424,0.617269465941653,0.5569538142189931,0.5873739310936125,0.5651722659687282,0.5627524198461226,0.5666670427111301,0.6159439092078248,0.5529771440175086,0.5827034588569753,0.5136786173597166,0.6203831140994112,0.5973184269308003,0.5420455314636403,0.5704462895692787,0.589365086527831,0.5866801290584599,0.6097448162270707,0.5948985808081948,0.5706775569143295,0.5524525619909298,0.573035355700458,0.6201518467543603
ChinatownTruncEnd,0.9234170725455012,0.8724045116636759,0.9159830812612152,0.8462360078612322,0.9220071776467573,0.9150645133726394,0.8974194650944202,0.8476031786721354,0.910557122105443,0.9559301033922926,0.7002477997094761,0.7625608818251731,0.8619798342305391,0.873002648893446,0.9207040929676151,0.7392762539519782,0.907844142527557,0.8966077074254465,0.855250790395625,0.8734298897718534,0.8624711612407074,0.831538921644023,0.8719131846535076,0.8725113218832777,0.8718063744339059,0.933841749978638,0.879240365718192,0.914679996582073,0.8889600957019567,0.8932965906177903
