Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9573333333333334,0.863611111111111,0.877388888888889,0.9035,0.9221666666666667,0.8746111111111111,0.8905000000000001,0.8683888888888889,0.8761666666666669,0.8772222222222222,0.8756666666666665,0.8836666666666667,0.9115555555555557,0.8962777777777778,0.9326666666666666,0.9045555555555557,0.8758888888888887,0.9386111111111112,0.8989444444444443,0.8628333333333333,0.916388888888889,0.8863888888888889,0.9065555555555557,0.9027777777777777,0.9266666666666667,0.9,0.8771666666666667,0.9153333333333333,0.9002222222222223,0.8955
AdiacTruncEnd,0.8034609746761114,0.7953855751913432,0.8031985622931695,0.8048584229083781,0.7948431361788736,0.792774665828461,0.7799961015757764,0.8046224292190332,0.8119116850174017,0.7946377327324438,0.7834399511728501,0.7850917621346983,0.7981613333719335,0.8032809958830126,0.7997729318121601,0.7968213790010237,0.7847915031822545,0.812507706851376,0.7867153756090146,0.7818698308572691,0.7905284178825543,0.7807692005702578,0.8228037268471365,0.7713614564031697,0.8051231194940358,0.7959793609927539,0.7816713157959334,0.7973436534312954,0.7701888895676029,0.8023924439121177
ArrowHeadTruncEnd,0.8141973399319515,0.7953497415050151,0.8359595245459769,0.8553837656312138,0.780632318501171,0.8744249038928903,0.7938659361053423,0.8493760770624366,0.9063178825504837,0.8510680040652203,0.7732976890106491,0.8930175423092217,0.8857284256108877,0.8697238301444921,0.7192010958419868,0.866225531350802,0.7779828553753702,0.7866868454774424,0.7016959038487031,0.8724943661349476,0.8292907958110556,0.8779947859131281,0.8424501789580664,0.8338009809553268,0.8303601254915822,0.837829525871592,0.822965401440502,0.849722062657417,0.8186898502054705,0.8978560381777206
BMETruncEnd,0.9076,0.8761666666666665,0.8372,0.8348333333333334,0.8704666666666666,0.8363666666666667,0.8575666666666666,0.8608,0.8669333333333333,0.8685666666666668,0.8729666666666667,0.9063999999999999,0.8776,0.8518999999999999,0.8558,0.8666666666666667,0.8335,0.8979,0.8950333333333333,0.8621333333333333,0.9148333333333333,0.8569333333333333,0.8824333333333334,0.8748333333333332,0.9106333333333333,0.8580333333333332,0.8800333333333333,0.9044666666666668,0.8375999999999999,0.8552000000000002
BeefTruncStart,0.6055555555555556,0.704861111111111,0.6798611111111111,0.6909722222222221,0.6236111111111111,0.6868055555555556,0.6131944444444444,0.6819444444444444,0.6645833333333333,0.6090277777777778,0.5812500000000002,0.6166666666666667,0.6875,0.5979166666666667,0.5979166666666665,0.6104166666666667,0.6131944444444445,0.6013888888888891,0.6298611111111111,0.6354166666666666,0.6395833333333333,0.6749999999999999,0.5291666666666667,0.6944444444444445,0.7749999999999999,0.7236111111111111,0.5784722222222224,0.601388888888889,0.5944444444444444,0.6944444444444444
BeetleFlyTruncEnd,0.935,0.9,0.895,0.75,0.8500000000000001,0.8049999999999999,0.8600000000000001,0.78,0.865,0.945,0.78,0.87,0.63,0.73,0.93,0.935,0.83,0.715,0.79,0.87,0.9400000000000001,0.78,0.9,0.8,0.705,0.83,0.8999999999999999,0.8,0.71,0.9249999999999999
BirdChickenTruncEnd,0.95,0.95,0.945,0.895,1.0,0.9450000000000001,0.945,0.95,0.9450000000000001,0.895,0.945,0.945,0.8799999999999999,0.95,0.9400000000000001,0.9450000000000001,0.8500000000000001,0.9,0.95,1.0,0.935,0.95,0.945,0.945,0.9450000000000001,1.0,0.95,1.0,0.95,0.9500000000000001
CBFTruncEnd,0.9588072729203164,0.9470112637774165,0.950142097329888,0.9509547597648205,0.9457457296953506,0.9617460549561662,0.965036408172025,0.9522416052462311,0.9646456869788265,0.9690431364875247,0.9618748476834929,0.9599847252623794,0.9625393160335527,0.958182260564212,0.9516490016144212,0.9432131424608421,0.9577579066001968,0.9497375670326378,0.9564487158293529,0.9577856157763893,0.9673649092294442,0.9480344413086073,0.9476329895846579,0.9382554529926878,0.9582549004556841,0.9457401205383763,0.9737473649192812,0.9668106781021848,0.9312889937665974,0.9589971939091505
CarTruncEnd,0.8838152343133052,0.8867160413047237,0.8974295480697638,0.8522400028579379,0.8982859893353792,0.8690214570970873,0.8914450824665509,0.8786496995404736,0.8932116453449456,0.8752017478546663,0.874253457728842,0.8480931725367209,0.8490637432970074,0.9073648308175959,0.9122991922564924,0.7937656528507929,0.887766427502388,0.8403287944766589,0.8779040973804743,0.8921672758586977,0.8927285222204674,0.8671662417364229,0.8973213412753923,0.8942323240299933,0.894455506419079,0.8624512082308613,0.9076832464670622,0.9122480502094568,0.855861875108113,0.9217741965810038
ChinatownTruncEnd,0.8912458344014355,0.853477740750235,0.9273263265829276,0.9215158506365888,0.8560411860206785,0.9362770229855591,0.9096599162607879,0.867042638639665,0.9122874476629924,0.9600957019567633,0.7952448090233274,0.8775527642484833,0.8738357686063403,0.9138896009570197,0.9536230026488935,0.827416047167393,0.9342262667692045,0.9406562419892335,0.8112877040075195,0.9036785439630863,0.9277962915491754,0.9379219003674271,0.916923011193711,0.886140305904469,0.8981457745877125,0.9358711441510724,0.9562505340510981,0.9251473981030505,0.9445227719388192,0.9526617106724772
