Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9647222222222223,0.9452777777777777,0.9574444444444444,0.9346111111111113,0.9606111111111111,0.941,0.9335000000000001,0.9631111111111111,0.9434999999999999,0.9349444444444444,0.9510555555555554,0.9546111111111111,0.9551666666666668,0.9590555555555557,0.960277777777778,0.9348333333333333,0.9278333333333333,0.9534444444444443,0.9548333333333332,0.9499444444444444,0.9476111111111111,0.9657777777777778,0.9591666666666668,0.9607222222222223,0.9692777777777778,0.9604444444444443,0.9406111111111112,0.955111111111111,0.9563333333333333,0.9470555555555557
AdiacTruncEnd,0.8666377825874904,0.875204097941034,0.8715998337303792,0.8675470327698799,0.8707721838189355,0.8770808833263447,0.868470001561859,0.8718916694484589,0.881776309327009,0.8669578395098965,0.8693633080520603,0.8759237952304075,0.8602442232832592,0.8886852331382483,0.8567210990840961,0.8648804429740262,0.8654792696572206,0.8791090321492879,0.8697434161839744,0.8460927397564781,0.8611624894861866,0.8630427725787203,0.8835369234811784,0.8606739854666927,0.8679572385997502,0.856641113182627,0.8802169024790478,0.8756996539644178,0.8552567039682697,0.847639212291078
ArrowHeadTruncEnd,0.7456807034598559,0.8141306172948611,0.7660258053112987,0.8265905174318412,0.7163116963457205,0.8283332596880385,0.763578719455614,0.7828443285758473,0.8172259290353939,0.795371393221687,0.774980336706288,0.7903526136715124,0.8190177190579295,0.7745278600150237,0.8063320224470858,0.7967977552914145,0.771967654986523,0.7826644867659405,0.749669921788697,0.8264027219300959,0.8363651628297469,0.8291423268967346,0.8017303698466705,0.8019579338076092,0.815711192611904,0.8197326675798684,0.7863916751358756,0.825732402456807,0.7992386549423356,0.8346639565198178
BMETruncEnd,0.8316666666666668,0.8508333333333333,0.8459333333333334,0.8180000000000001,0.8528666666666667,0.8637333333333334,0.8572333333333334,0.8289333333333334,0.8788999999999999,0.8966000000000001,0.8764666666666666,0.9040666666666668,0.8615333333333333,0.8301,0.8283,0.8869666666666666,0.8511333333333333,0.8523,0.8922666666666667,0.8346666666666666,0.8747333333333334,0.8586666666666667,0.8447333333333333,0.8598999999999999,0.8930666666666666,0.8243,0.8723,0.9055666666666665,0.8682333333333334,0.8223999999999999
BeefTruncStart,0.6805555555555556,0.6812500000000001,0.5875,0.7618055555555556,0.6347222222222223,0.6791666666666668,0.6548611111111112,0.6430555555555555,0.6256944444444444,0.6527777777777776,0.5256944444444444,0.6798611111111111,0.6680555555555556,0.6215277777777779,0.6298611111111112,0.6368055555555556,0.5958333333333333,0.5909722222222222,0.6111111111111112,0.6381944444444444,0.5868055555555556,0.7694444444444444,0.6090277777777778,0.6743055555555556,0.7104166666666667,0.6944444444444444,0.5680555555555554,0.5833333333333334,0.5319444444444444,0.65625
BeetleFlyTruncEnd,0.9,0.92,0.94,0.8899999999999999,0.975,0.9099999999999999,0.9,0.88,0.9299999999999999,0.95,0.73,0.8899999999999999,0.66,0.78,0.97,0.9199999999999999,0.8500000000000001,0.855,0.895,0.99,0.97,0.8400000000000001,0.885,0.82,0.84,0.8200000000000001,0.87,0.8999999999999999,0.93,0.965
BirdChickenTruncEnd,0.93,1.0,0.86,0.91,0.96,1.0,0.9800000000000001,0.98,0.96,0.955,0.8500000000000001,0.905,0.9099999999999999,0.9800000000000001,0.96,0.97,0.8200000000000001,0.8899999999999999,0.825,0.97,0.9249999999999999,0.9099999999999999,0.905,0.925,0.97,0.99,1.0,0.88,0.96,0.95
CBFTruncEnd,0.9749805693005644,0.9241544099872715,0.9532861360496597,0.94955508364702,0.9458191990610595,0.9419037711427245,0.9764816935311628,0.9035394143062495,0.9376425773660859,0.90121453460594,0.9194541282351697,0.9266526842993729,0.9590792913336897,0.9481618955334071,0.9295596179155076,0.8993852542394504,0.9407756097187088,0.93081679752203,0.9586556519455154,0.9408428586860842,0.9725833755868891,0.9266661978342968,0.948810871489107,0.9566517272825665,0.9451921682360257,0.9686725935535087,0.9246510390856194,0.9470385752948697,0.9520559428540976,0.9629638894958915
CarTruncEnd,0.7393137564585637,0.7958812790024293,0.7737919571610147,0.7773246128622249,0.8314768018170469,0.8454439392913818,0.7717393184570144,0.7577253634469739,0.8223834826229852,0.7637720644088958,0.8387964132879071,0.7433442010183284,0.7347125704143257,0.7469207599106519,0.8773455773410649,0.7646900829554085,0.7851685243263163,0.7253432345840573,0.8044550927701691,0.846317678602318,0.8443426930800298,0.7666614020441777,0.7833280687108444,0.7698464986500003,0.8211282462038311,0.8103395305460919,0.7568167460120485,0.7512304174845634,0.7891412460609343,0.8114484856689456
ChinatownTruncEnd,0.9429419806887123,0.9411902930872426,0.8459155772024267,0.93514483465778,0.9340980945056823,0.9573613603349568,0.9273476886268478,0.9346321456036915,0.9406348799453133,0.9541356917029821,0.7421814919251474,0.7231051867042639,0.8280996325728446,0.9439459967529693,0.9370674186106126,0.7362642057592071,0.8373921216782021,0.936426557293002,0.8863966504315133,0.9448218405537042,0.8410450311885841,0.9546270187131505,0.9583867384431343,0.9190592155857473,0.9462103734085278,0.9429419806887123,0.9577031530376826,0.9531316756387253,0.8871656840126463,0.9579808596086473
