Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9653333333333335,0.943722222222222,0.9580555555555555,0.9399444444444446,0.9569999999999999,0.9150000000000001,0.9346111111111111,0.9547777777777777,0.9282777777777776,0.9407777777777777,0.934,0.9467777777777779,0.9707222222222223,0.9500555555555558,0.9599444444444444,0.9465555555555554,0.930888888888889,0.9395,0.9518333333333334,0.9441666666666667,0.958777777777778,0.9781666666666666,0.9690555555555557,0.9544444444444443,0.9722777777777778,0.9639444444444445,0.9458888888888889,0.9549444444444444,0.9525555555555556,0.9393333333333334
AdiacTruncEnd,0.9655139155566761,0.9615874461063766,0.9607821752620974,0.9646703088737355,0.9599463944358815,0.9617210002431434,0.956376198652876,0.964878002258626,0.9671548737210058,0.962410783132097,0.9676958505406205,0.97254819214184,0.9715615545570421,0.9667021431490429,0.973806012377019,0.9676697763752622,0.9618564165896805,0.9703137833367095,0.9647812549327042,0.9687115211129207,0.9653453687975552,0.9722108522284364,0.9765436650362748,0.9722366147702824,0.9745626517676765,0.9726155722428739,0.9736422966062506,0.9715534615237742,0.9661172021048071,0.9710902032936969
ArrowHeadTruncEnd,0.8324559232910609,0.9008815341787815,0.8660907604613142,0.8978206884362159,0.8305099200212099,0.9176638239582875,0.7951102470063188,0.8474278644337414,0.8973682117449516,0.8782908399982327,0.8817900225354602,0.8785793822632673,0.9085263576510098,0.9058919181653485,0.8864610490035792,0.8725628562591137,0.8022614997127835,0.8310631434757634,0.8505682470946931,0.9191595598957182,0.8843762979983208,0.8938009809553268,0.8792527948389376,0.8736883036542796,0.8992846096062921,0.8932543855773054,0.8669086651053864,0.8944898590429058,0.8850682691882816,0.9049661968096859
BMETruncEnd,0.9386000000000001,0.9080666666666667,0.9230333333333334,0.8850666666666666,0.9342333333333332,0.8925666666666666,0.8920000000000001,0.931,0.9398999999999998,0.9364333333333336,0.9382666666666667,0.9588,0.9371999999999999,0.8991666666666667,0.9406666666666667,0.9296,0.9265000000000001,0.9337000000000001,0.9301000000000001,0.9027333333333335,0.9339333333333332,0.9391999999999999,0.9063666666666665,0.9473333333333332,0.9415,0.9062333333333333,0.9091,0.9364666666666667,0.9155666666666668,0.9082666666666668
BeefTruncStart,0.6875,0.7034722222222222,0.6368055555555556,0.7604166666666666,0.6326388888888889,0.6895833333333333,0.6243055555555556,0.6861111111111111,0.6513888888888888,0.6541666666666667,0.56875,0.670138888888889,0.6402777777777778,0.6631944444444444,0.6756944444444444,0.6256944444444446,0.5902777777777778,0.6493055555555556,0.7111111111111109,0.6305555555555554,0.6,0.7222222222222222,0.6430555555555555,0.7465277777777779,0.7444444444444446,0.7131944444444446,0.6569444444444444,0.6180555555555556,0.6118055555555556,0.7118055555555555
BeetleFlyTruncEnd,0.88,0.88,0.91,0.725,0.9199999999999999,0.75,0.77,0.9400000000000001,0.93,0.85,0.775,0.8799999999999999,0.55,0.825,0.9200000000000002,0.76,0.9,0.7600000000000001,0.8400000000000001,0.73,0.8200000000000001,0.8799999999999999,0.8900000000000001,0.71,0.74,0.865,0.9600000000000001,0.84,0.74,0.93
BirdChickenTruncEnd,0.9349999999999999,0.9199999999999999,0.9100000000000001,0.9400000000000001,0.92,0.95,0.9800000000000001,0.9,0.9299999999999999,1.0,0.86,0.9400000000000001,0.995,0.97,1.0,0.9400000000000001,0.8,0.97,0.9099999999999999,0.9500000000000001,1.0,0.9099999999999999,0.9800000000000001,0.98,1.0,0.8500000000000001,1.0,0.99,0.9700000000000001,0.97
CBFTruncEnd,0.9966368445040337,0.9900048803011392,0.9920880329843171,0.9861847245833595,0.9851502607024851,0.9936787973261431,0.9899244212384252,0.97254511269261,0.9935472088990289,0.9741401036246081,0.9962250012860225,0.9907457136457893,0.987357345030171,0.988003314985393,0.9947031478641943,0.9801143593879438,0.9851750463379633,0.9894443040622262,0.9967380766576419,0.9871006988143489,0.9954472242284174,0.9920530867729807,0.9986256395647195,0.9903764839568177,0.9916072696280988,0.9863684499786621,0.9963353570389467,0.9942541473917612,0.9850709764470634,0.9948445850427146
CarTruncEnd,0.8869087640922663,0.9182341140016396,0.9261640456367561,0.885132800102284,0.9406514406263397,0.9670829478877584,0.9427416837766897,0.9013923046260989,0.9257023570466972,0.908388141813888,0.9203144859848228,0.9025915104201921,0.8931689642983386,0.9445753705918187,0.9523604310973731,0.8836022991358499,0.9369130886035963,0.8746295021923393,0.9571640230740883,0.9312915999187743,0.9372526567541346,0.8960490888442649,0.9419782195046743,0.9341469995412257,0.9105824552695111,0.912095282146161,0.9250814136263472,0.9270975760173883,0.9146788956326196,0.9314125922249048
ChinatownTruncEnd,0.9926300948474749,0.9927155430231563,0.9904298043236777,0.9938904554387764,0.9926941809792362,0.9960266598308126,0.9867982568572161,0.9943176963171836,0.9935273006921301,0.9941467999658207,0.9934845766042896,0.9803896436811074,0.9837648466205247,0.9918396992224218,0.9923096641886696,0.9884217721951637,0.9939118174826967,0.993335042296847,0.9918824233102623,0.9930146116380416,0.9943604204050244,0.9907288729385629,0.9952789882935998,0.9925660087157139,0.9892976159958985,0.9968170554558661,0.9966675211484235,0.9934204904725285,0.9893189780398188,0.9902589079723148
