Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9725555555555556,0.9371666666666667,0.9484999999999999,0.9532222222222221,0.9692777777777778,0.9306666666666668,0.9545,0.965888888888889,0.9572777777777778,0.9418888888888888,0.9361666666666667,0.9621666666666667,0.9610000000000001,0.9578888888888889,0.9591111111111112,0.9656666666666668,0.9313333333333332,0.9635555555555557,0.966888888888889,0.9236666666666667,0.9654444444444443,0.9803333333333333,0.9686111111111111,0.9458333333333333,0.9790000000000001,0.9714444444444444,0.9617222222222224,0.9787777777777777,0.9566111111111111,0.9655
AdiacTruncEnd,0.9748277348350876,0.9767795241909928,0.964191810274225,0.9694293379917355,0.9690099787084165,0.9704630821117232,0.9660711615019181,0.9683621527346066,0.9695706601950811,0.9685198190779457,0.9668121328323035,0.9694641230423691,0.9725001471430328,0.9636122074409817,0.9715949897577038,0.9676540423783829,0.9691910758805509,0.9722673847293368,0.962073489664284,0.9663833757603895,0.9651048895177609,0.9679227156882005,0.975354628977763,0.9742123167137728,0.9728853779889028,0.9721211891664581,0.969881156871051,0.9674290659580668,0.965255863614573,0.968912811130564
ArrowHeadTruncEnd,0.8318160929698201,0.8520480756484466,0.8123467809641641,0.8695682912818701,0.8001405152224824,0.9017334629490522,0.7749052185055897,0.8403459855949805,0.8321501480270425,0.8583619813530114,0.8641871768812689,0.8486156157483099,0.8619751668065929,0.8554222084751005,0.7634925544606955,0.8434594140780346,0.7682400247448191,0.7828032345013477,0.810703017984181,0.8396345720471918,0.8855971896955502,0.9039101232822236,0.8780623922937564,0.8661230171004375,0.8536251159913393,0.8541774557023553,0.8152976006362954,0.9055534443904378,0.8576549865229111,0.8833913658256375
BMETruncEnd,0.9116666666666666,0.9282333333333335,0.9141,0.9127,0.9366333333333333,0.9169666666666668,0.9251333333333333,0.8942666666666665,0.9421333333333333,0.9152666666666666,0.9333333333333333,0.9595666666666667,0.9455333333333332,0.9080333333333332,0.9277333333333333,0.9256666666666669,0.9328000000000001,0.9389666666666666,0.9456,0.9165333333333334,0.9425666666666666,0.9265333333333333,0.9265333333333334,0.9387000000000001,0.9534333333333335,0.9179333333333333,0.9235666666666666,0.9290666666666667,0.9369000000000002,0.8871666666666665
BeefTruncStart,0.6097222222222222,0.6895833333333333,0.6597222222222222,0.7479166666666667,0.648611111111111,0.7395833333333334,0.6861111111111112,0.7381944444444445,0.6597222222222224,0.6777777777777777,0.6159722222222223,0.6597222222222222,0.6868055555555554,0.6368055555555556,0.6402777777777777,0.5888888888888889,0.5513888888888888,0.6569444444444446,0.6381944444444445,0.6298611111111111,0.6069444444444445,0.7361111111111112,0.63125,0.7388888888888888,0.7715277777777777,0.7444444444444444,0.6645833333333333,0.6763888888888889,0.5770833333333333,0.7041666666666668
BeetleFlyTruncEnd,0.8250000000000001,0.885,0.895,0.785,0.9,0.9199999999999999,0.795,0.9299999999999999,0.71,0.9550000000000001,0.7450000000000001,0.8800000000000001,0.6849999999999999,0.9,0.95,0.84,0.8600000000000001,0.735,0.73,0.9650000000000001,0.87,0.9500000000000001,0.97,0.8200000000000001,0.8600000000000001,0.8350000000000001,0.87,0.89,0.7999999999999999,0.8300000000000001
BirdChickenTruncEnd,0.99,0.98,1.0,1.0,0.99,0.98,0.9299999999999999,0.9699999999999999,1.0,1.0,0.9450000000000001,1.0,0.9600000000000001,1.0,1.0,1.0,0.95,0.97,1.0,1.0,1.0,0.94,0.9500000000000001,1.0,1.0,0.9600000000000001,1.0,1.0,0.9800000000000001,0.98
CBFTruncEnd,0.9904583586422566,0.9406517976022779,0.9920828004879066,0.9625284610363983,0.97855367093585,0.9930231525926421,0.9925222454220685,0.9807474735933279,0.9935936454540852,0.9835418915251322,0.9968853853828827,0.9771173777651027,0.9863719842463272,0.9945875450262205,0.9922121832526534,0.9614663746058085,0.9775250655459957,0.9786914099868599,0.9953529970600496,0.9954750376958921,0.9744544515618075,0.9969032713943736,0.9939216850969127,0.9807775138139396,0.9956974771736147,0.9785406693201941,0.9861684244228228,0.9938443756782483,0.9808722254115583,0.9916420425556169
CarTruncEnd,0.8432919308379023,0.8621525349157284,0.8696347856170513,0.8902043237592413,0.8756223535870882,0.8499048607507352,0.8404718793950197,0.8413159111933395,0.8857081481314351,0.861233482246941,0.8982498890668833,0.849295950753217,0.792439250016922,0.8906514406263397,0.883059008897212,0.8334167211931138,0.870785763708701,0.8191128359017169,0.8740077126719463,0.8602053766837391,0.880595353594609,0.875250633634921,0.9078480479531899,0.8565096116964869,0.8955681279754517,0.8637402886517302,0.8456234065115859,0.8762646375307417,0.8511300136128096,0.8960036814752975
ChinatownTruncEnd,0.9914124583440144,0.9934632145603692,0.9917969751345809,0.9934845766042897,0.9927369050670769,0.9952576262496796,0.992993249594121,0.9844057079381355,0.9917328890028199,0.9941467999658207,0.9925873707596342,0.9936127488678118,0.9917115269588994,0.9922028539690679,0.9919465094420236,0.9920105955737846,0.9950226437665555,0.9930146116380415,0.9929718875502008,0.992630094847475,0.9941681620097411,0.9940613517901393,0.992566008715714,0.9932495941211655,0.9907075108946426,0.9951080919422371,0.9946594890199094,0.9927369050670768,0.9938477313509358,0.9947449371955909
