Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9935555555555555,0.9693333333333334,0.9802222222222222,0.9605555555555556,0.9870000000000002,0.9753333333333332,0.9618888888888888,0.9816666666666667,0.971,0.9627777777777778,0.9711111111111111,0.9768888888888889,0.9853333333333335,0.977388888888889,0.9894444444444445,0.9838888888888888,0.9607777777777778,0.9878888888888889,0.9802222222222222,0.976,0.9864444444444445,0.986,0.9833333333333333,0.9832222222222222,0.9883333333333334,0.9869999999999999,0.9765555555555555,0.9735555555555557,0.9870000000000002,0.9850000000000001
AdiacTruncEnd,0.9780704395079497,0.9761982681868265,0.9782603087414782,0.9751309199483064,0.9725577585675175,0.9746636834734446,0.9716275711604057,0.9801491246309936,0.9782261190617767,0.9780336152368108,0.9739676846704705,0.9762395617182241,0.9791322339180627,0.9751693215073393,0.9793044840110959,0.9771486163437385,0.9738467908863264,0.9770249863465508,0.9738186643686493,0.9792725783450738,0.9730576107377866,0.9783922909521597,0.9835359324030979,0.9756361857973929,0.9814879979970725,0.9778426915681102,0.9808293456553153,0.9772320668080424,0.9690880594216262,0.9784689804138463
ArrowHeadTruncEnd,0.9245212319384915,0.9072555344439044,0.9499871857187044,0.9485723123149663,0.9286942689231585,0.9592010958419867,0.9188935530908929,0.9220997746453979,0.9740541734788565,0.9389350890371614,0.9310892139101234,0.9193283549114047,0.9584189828111882,0.9035128805620609,0.9293323317573241,0.9061230171004375,0.9039317749988954,0.8466077504308249,0.8634863682559321,0.9504564535371836,0.9555706773894216,0.9570421103795679,0.9645017895806637,0.9114462462993239,0.9396898060182935,0.9233034333436437,0.9145473023728514,0.9442048517520215,0.949223631302196,0.954001148866599
BMETruncEnd,0.91,0.8989333333333334,0.9166000000000001,0.8754666666666666,0.9163999999999999,0.8923333333333333,0.9376666666666668,0.9275333333333333,0.9176666666666667,0.9321999999999999,0.9290666666666667,0.9370666666666667,0.9489333333333334,0.9109333333333333,0.9333999999999999,0.9265333333333333,0.9071333333333332,0.9284666666666666,0.9200666666666666,0.8914666666666666,0.9302,0.9179333333333333,0.9178,0.9428666666666667,0.9190666666666666,0.9042666666666668,0.936,0.9271999999999999,0.9054,0.9336
BeefTruncStart,0.7861111111111111,0.8083333333333333,0.7986111111111112,0.8222222222222223,0.8027777777777777,0.8013888888888889,0.8236111111111112,0.7902777777777776,0.7666666666666667,0.8013888888888889,0.775,0.8486111111111112,0.8430555555555554,0.736111111111111,0.7972222222222223,0.7305555555555557,0.7611111111111112,0.7430555555555555,0.7652777777777777,0.8041666666666667,0.7236111111111111,0.8347222222222223,0.7236111111111111,0.8472222222222224,0.836111111111111,0.8541666666666667,0.7416666666666666,0.726388888888889,0.6944444444444445,0.8250000000000001
BeetleFlyTruncEnd,0.99,0.98,0.97,0.88,0.9400000000000001,0.9400000000000001,0.91,0.9299999999999999,0.96,1.0,0.94,0.9099999999999999,0.7,0.84,1.0,1.0,0.88,0.88,0.93,0.97,0.96,0.95,1.0,0.94,0.81,0.95,0.98,0.92,0.9299999999999999,0.95
BirdChickenTruncEnd,0.98,1.0,0.9800000000000001,1.0,0.99,1.0,1.0,0.99,1.0,0.9800000000000001,0.99,1.0,0.8999999999999999,0.99,1.0,1.0,0.89,0.99,1.0,1.0,0.99,0.99,0.9800000000000001,1.0,0.99,0.9400000000000001,1.0,0.9600000000000001,1.0,0.98
CBFTruncEnd,0.9952828111876141,0.9869164163140907,0.992778831349155,0.986340900084075,0.9836960240916257,0.986458419023586,0.9840783756239266,0.9734708182765816,0.9926017452663053,0.9857151667323051,0.9922549090463145,0.9808265126608401,0.9890925718516215,0.9903282421450773,0.9899177356703139,0.9822246816528414,0.9864197190051083,0.9837309299321432,0.9903145958617647,0.9921488959136584,0.9944181581029913,0.9817178841904828,0.9941655489999272,0.9788421539868962,0.9951780960529191,0.985877076062162,0.9954807234895202,0.9915777496293168,0.9699465113398378,0.9928636395136898
CarTruncEnd,0.9520199228356762,0.9762054105277407,0.9782072832291691,0.9513287531117681,0.966711227935591,0.987716319577627,0.9694822995871032,0.9409937350992382,0.9836435700157187,0.9450386573708475,0.9570342877341818,0.9642101562088702,0.9263782029587178,0.9603916127042862,0.9768484465603214,0.8993441784556606,0.977136684641592,0.9119189172927806,0.9711878492512954,0.9670788113986597,0.9796755488368944,0.9423781427916037,0.9554746433218264,0.9650818272752572,0.971304235012748,0.9720057459594023,0.9467329257011349,0.9740373261734467,0.9612753171935051,0.980048584944684
ChinatownTruncEnd,0.9894044262155004,0.9772707852687346,0.9864137400666496,0.9867555327693754,0.9230539177988549,0.9958984875672905,0.9571477398957531,0.9638981457745878,0.9933777663846877,0.9876527386140306,0.9006237716824746,0.9574895325984789,0.9071178330342647,0.9913270101683329,0.9649662479706058,0.8878919935059386,0.9865419123301719,0.9908143211142442,0.981842262667692,0.9728702042211398,0.9306160813466632,0.9953003503375202,0.9922669401008288,0.9888062889857302,0.956250534051098,0.9859010510125609,0.9908997692899256,0.9682560027343415,0.9530462274630437,0.9886781167222081
