Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9111111111111111,0.8333333333333331,0.8444444444444444,0.8555555555555554,0.8444444444444444,0.8722222222222222,0.85,0.8444444444444444,0.8222222222222223,0.8333333333333333,0.8222222222222223,0.8222222222222223,0.8666666666666667,0.8611111111111112,0.8666666666666666,0.8666666666666667,0.8166666666666668,0.8444444444444444,0.85,0.8111111111111111,0.8722222222222222,0.8500000000000001,0.8666666666666667,0.8611111111111112,0.8555555555555557,0.85,0.838888888888889,0.85,0.8777777777777779,0.8222222222222222
AdiacTruncEnd,0.750806722956198,0.740180662961372,0.7453878864149395,0.7716764549897646,0.7612584449376512,0.7415113822701661,0.7456155910825824,0.7451016225245646,0.768972389865073,0.7269879405177802,0.755846167698516,0.7242482250271076,0.7652289872127646,0.7429463039731967,0.7572020870649216,0.759783884671582,0.7177983577715783,0.7624830454828853,0.7258195929710621,0.7533042500590411,0.7385045455253673,0.7348892158883386,0.7546351461003615,0.7402761102543766,0.7652126752777672,0.7612717607806742,0.7362193148287918,0.7559726741486263,0.7281216825639217,0.7582099592117703
ArrowHeadTruncEnd,0.7630683575626354,0.7482987936900714,0.7772193009588617,0.8040519641200125,0.729662851840396,0.8456541911537272,0.7566501701206308,0.7888957624497371,0.8223012681719765,0.7823229198886484,0.7622177544076709,0.8153417878131766,0.8352149706155274,0.795855242808537,0.699891741416641,0.8147231673368389,0.7019795855242809,0.7548716362511598,0.7244819053510672,0.8368388493659141,0.7936127435818126,0.8333591091865141,0.7700278379214351,0.8046705845963501,0.8251623878750388,0.7974791215589238,0.7907516238787504,0.790287658521497,0.8212960098979277,0.8235385091246521
BMETruncEnd,0.89,0.81,0.79,0.83,0.805,0.82,0.8300000000000002,0.825,0.855,0.845,0.82,0.875,0.83,0.82,0.835,0.845,0.8099999999999999,0.895,0.835,0.865,0.84,0.835,0.855,0.865,0.865,0.845,0.84,0.825,0.83,0.8
BeefTruncStart,0.5833333333333334,0.625,0.6041666666666666,0.6875,0.625,0.6875,0.625,0.6666666666666666,0.6875,0.625,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.5833333333333334,0.625,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.625,0.5625,0.6666666666666666,0.6041666666666666,0.6875,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.6041666666666666,0.625,0.6458333333333334
BeetleFlyTruncEnd,0.8500000000000001,0.7000000000000002,0.9,0.7999999999999999,0.85,0.75,0.7000000000000002,0.7000000000000002,0.8,0.8,0.8,0.8,0.6,0.7000000000000001,0.9,0.9,0.8,0.6500000000000001,0.7,0.8500000000000001,0.8,0.75,0.8500000000000001,0.75,0.75,0.85,0.9,0.7999999999999999,0.8500000000000001,0.8500000000000001
BirdChickenTruncEnd,0.9,0.95,0.9,0.9,1.0,0.9,0.9,0.95,0.9500000000000001,0.85,0.85,0.9,0.85,0.95,0.9,0.9500000000000001,0.75,0.9,0.95,0.95,0.8500000000000001,0.85,0.95,0.95,0.9500000000000001,1.0,0.9,0.95,0.9500000000000001,0.9500000000000001
CBFTruncEnd,0.9149469531142939,0.91836921336163,0.934205426356589,0.9316553887635789,0.9242108338240795,0.9049301751500943,0.9508331851835391,0.9174993333259259,0.9225275373430076,0.9415077482342395,0.9114297658862875,0.9415493505483394,0.9350357874346752,0.9500221113567929,0.9400193057700642,0.9250636395959956,0.9240384615384616,0.9392136949669811,0.9332941477127524,0.942519231695167,0.9382803049663515,0.9233830746267552,0.9307747678677911,0.9250497227746974,0.943366463331074,0.9266832224061747,0.9541386107993792,0.9391607777123449,0.9158523057663602,0.9441803797819976
CarTruncEnd,0.8467938449042214,0.8600832562442183,0.8784774711761919,0.8330418988741229,0.8221723336567315,0.8454682881703932,0.8771519144423636,0.8452370208253425,0.8811285846438482,0.8137226145619458,0.8450057534802916,0.8293246993524515,0.8465625775591706,0.8780149364860902,0.8565691207328355,0.7570169896888609,0.8343674556079511,0.8270120259019428,0.8470251122492723,0.8574321427765618,0.8678391733038515,0.8354617449967283,0.8776144491324653,0.8379436384558109,0.8762888923986372,0.8483506689831005,0.790719974729812,0.8341361882629001,0.8048724081135353,0.8558753186976827
ChinatownTruncEnd,0.9027386140305904,0.8330556267623687,0.909147227206699,0.8538408954968811,0.9018200461420149,0.9159830812612152,0.8721268050927113,0.8978039818849868,0.8672989831667093,0.909852174656071,0.759014782534393,0.857429718875502,0.803362385713065,0.8999188242331027,0.9196787148594378,0.5721609843629839,0.8501452618986585,0.9253182944544135,0.5280910877552765,0.8714859437751004,0.7850764761172349,0.5464838075707085,0.8305562676236863,0.8535204648380756,0.8804366401777322,0.8884687686917884,0.9258096214645817,0.8930829701785866,0.9136546184738956,0.8197043493121422
ChlorineConcentrationTruncStart,0.6127990525111738,0.6011236586735237,0.6561920119315102,0.5996408028891137,0.6130965391183729,0.6014024368257419,0.655405531341738,0.6120570402129982,0.6267032469865325,0.6371873231888422,0.6079225634813566,0.6126413022134248,0.6057128651493251,0.6336861037480088,0.6319526175246792,0.607278702270489,0.6215442957465787,0.5997816892541777,0.5911785043164708,0.5998462426765543,0.6056777999224477,0.647026357110778,0.6119144208340936,0.6256370780961847,0.6546686295474992,0.5991010988117199,0.6182272887246093,0.5988249286576077,0.6014544642066876,0.6300498216690571
CinCECGTorsoTruncEnd,0.7997589856606238,0.7229002601142043,0.8189409395336121,0.767153224223982,0.802095865639727,0.7405602705160473,0.7375638616223694,0.6626024100116031,0.7531416511507609,0.7886283083588295,0.7997119794671443,0.6952033830016462,0.7391312731074946,0.7642635749300295,0.7511482286238688,0.7563854068661089,0.7718502218808405,0.7651501446864283,0.6975809341037055,0.7785702461147408,0.7612944249938091,0.7304868909866206,0.7376248185029954,0.7645333717397294,0.7362252333280367,0.7703712165470903,0.7424591809577733,0.7916733749977769,0.7815302119934695,0.706744654177744
CoffeeTruncStart,0.9615384615384616,0.9615384615384616,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9282051282051282,0.9230769230769231,0.8948717948717949,1.0,0.9282051282051282,0.9,0.9615384615384616,0.8512820512820513,0.9282051282051282,0.9282051282051282,1.0,0.9666666666666667,0.8948717948717949,0.9333333333333333,0.9282051282051282,0.9282051282051282,0.9333333333333333,0.9666666666666667,0.9282051282051282,0.9282051282051282,0.9,0.9282051282051282,0.9282051282051282,0.9615384615384616,0.8948717948717949
ComputersTruncStart,0.6799999999999999,0.7160000000000001,0.788,0.784,0.792,0.7919999999999999,0.8040000000000002,0.768,0.7599999999999999,0.82,0.78,0.8240000000000001,0.76,0.756,0.76,0.8519999999999999,0.7959999999999999,0.7719999999999999,0.784,0.7480000000000001,0.768,0.744,0.7639999999999999,0.8079999999999999,0.74,0.792,0.804,0.78,0.748,0.7959999999999999
CricketXTruncEnd,0.8253207692467907,0.8589185846148171,0.8476874556621947,0.8337859360250217,0.855977683210244,0.8505615991177372,0.854885903258909,0.8502398151344499,0.8438455430906489,0.8493092237033585,0.8490196762571859,0.8434036415231059,0.8729063055983871,0.8657306762897566,0.8577870958835419,0.8489660696477536,0.8434978998009653,0.8518432890794688,0.8564595886126759,0.8605029123218828,0.8465075289101072,0.8602082915409495,0.8532533096410397,0.840969889103841,0.8617606633745212,0.8561395160435721,0.8242358657996646,0.8490785481638938,0.8519700997552258,0.85081131390309
CricketYTruncEnd,0.8657306709290477,0.8348501061863451,0.8292755551122738,0.8613002437867009,0.8361523960710612,0.8431875608182573,0.8488524854007015,0.8432149648614526,0.829204025400271,0.8560039171284552,0.8543954436616507,0.8642863513076211,0.8417830407445623,0.8502975447055452,0.848817760674253,0.8572799840466331,0.8264788540402259,0.8378411080420703,0.8516380204705866,0.8600690614932719,0.8586464344005642,0.8657696447262162,0.8518209753795569,0.8558278375154581,0.8518998992227133,0.8601113504931643,0.8390996879933786,0.8433521292075074,0.862984501251776,0.8573849722699685
CricketZTruncEnd,0.8616911749893083,0.8618470197851131,0.8562890102808774,0.872856971243989,0.8631900012818661,0.8618762587544957,0.8715067227891897,0.8631992321246189,0.8340572533188721,0.8660887075068574,0.8645956107996458,0.8630500677332662,0.8698811974721661,0.8729083165091942,0.8714058289159021,0.863207924835465,0.8562673260372073,0.8535535274491094,0.8646527451751772,0.8521547160560325,0.8659737777407392,0.8673978443033439,0.8772959938597408,0.8812710499381647,0.8717904470974205,0.8562880338472725,0.8716075297198698,0.8492087281063716,0.8603710048516566,0.8408145576140443
