Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9876666666666667,0.9516666666666665,0.9570555555555554,0.9464444444444444,0.9758333333333333,0.971888888888889,0.9572222222222223,0.9726111111111111,0.9697777777777777,0.9305000000000001,0.9563888888888888,0.963111111111111,0.9726666666666667,0.9633888888888887,0.9779444444444444,0.9821666666666666,0.9258888888888889,0.9849444444444444,0.9623888888888888,0.9633333333333334,0.9863888888888889,0.9736666666666668,0.9732222222222223,0.9847777777777776,0.9812222222222222,0.9729444444444446,0.9547777777777778,0.9670000000000001,0.9898888888888889,0.9747222222222222
AdiacTruncEnd,0.9694105329576425,0.9688983986572359,0.9652883476556544,0.9646632931813527,0.9617099844538765,0.971175083784329,0.9644909411664747,0.9655354156122579,0.9588716310308303,0.9679305411921201,0.9671515190444507,0.9669961087518306,0.9670464678817865,0.9612078689771434,0.9663487322249893,0.9647297029729912,0.9697497471318416,0.9634641583304396,0.9626924370269258,0.9715498341209255,0.9550916467939524,0.9678665081473484,0.9720226466863866,0.9526138575340338,0.9675964304783439,0.9675406537812472,0.9715868385458762,0.9701831992142246,0.955889716623791,0.9692264321777041
ArrowHeadTruncEnd,0.7754389996023154,0.8628686315231321,0.8581993725420883,0.8795833149220096,0.8272139984976359,0.8849741505015244,0.8495651981794884,0.848817993018426,0.8539706597145508,0.8726419513057311,0.8856811453316248,0.8654120454244179,0.8878953647651451,0.8417471609738854,0.8786350581061375,0.84911051212938,0.8339114488975299,0.8031691043259246,0.8258680570898326,0.872703371481596,0.9114798285537538,0.8893659140117537,0.872632671998586,0.8569868764084663,0.8479249701736556,0.828164464672352,0.8908077415933896,0.8680071583226548,0.793826609517918,0.8833069683177941
BMETruncEnd,0.8420000000000001,0.8697333333333334,0.8320333333333334,0.8510666666666666,0.8830666666666667,0.8487,0.8517333333333332,0.8418,0.8603333333333334,0.8619,0.8937999999999999,0.9029666666666666,0.8815333333333335,0.9068999999999999,0.8919,0.8592,0.8971333333333333,0.8182333333333335,0.8632333333333334,0.8614333333333334,0.8567,0.7995,0.8160333333333334,0.8792,0.8923,0.8744333333333335,0.8903000000000001,0.8491666666666666,0.8786333333333335,0.869
BeefTruncStart,0.8395833333333333,0.8173611111111111,0.7638888888888888,0.9444444444444444,0.7340277777777778,0.8020833333333334,0.8631944444444445,0.7868055555555556,0.7965277777777778,0.7784722222222222,0.798611111111111,0.8680555555555556,0.7819444444444446,0.8180555555555556,0.7972222222222223,0.7493055555555554,0.6972222222222223,0.773611111111111,0.7729166666666667,0.804861111111111,0.7923611111111111,0.8631944444444444,0.7298611111111112,0.8534722222222224,0.763888888888889,0.8020833333333334,0.8319444444444444,0.7368055555555555,0.6416666666666667,0.8055555555555556
BeetleFlyTruncEnd,0.92,0.92,0.895,0.91,0.93,0.8500000000000001,0.8900000000000001,0.9,0.8999999999999999,0.89,0.9700000000000001,0.79,0.5650000000000001,0.82,0.915,0.8900000000000001,0.91,0.8400000000000001,0.88,0.96,0.91,0.93,0.9700000000000001,0.87,0.685,0.91,0.96,0.9,0.945,0.9500000000000001
BirdChickenTruncEnd,0.72,0.87,0.775,0.84,0.785,0.775,0.9400000000000001,0.8,0.8150000000000001,0.9199999999999999,0.72,0.9,0.82,0.78,0.8300000000000001,0.9400000000000001,0.845,0.815,0.8300000000000001,0.9350000000000002,0.9600000000000001,0.7749999999999999,0.73,0.7000000000000001,0.845,0.76,1.0,0.825,0.845,0.8099999999999999
CBFTruncEnd,0.9602881675640017,0.9366634111469552,0.9335525636190196,0.9152221435485085,0.9420610390732737,0.9289265458710857,0.9190237737723835,0.9543631400431197,0.9699581841341447,0.9178164202235991,0.9633097191923532,0.9126853718642142,0.9288678965054344,0.961384250102779,0.9448774319714663,0.9285226135948836,0.8970865809620105,0.947359788287771,0.9580507674159344,0.9811600065618014,0.9754340107379794,0.9136919452191445,0.9583804653282156,0.936350444397942,0.9746740853602076,0.9483161293458817,0.9665986168982124,0.9628718956959604,0.9565690313740112,0.9719425897633431
CarTruncEnd,0.9217629152470987,0.9502546761129036,0.9603414107684093,0.8975794957995833,0.9456871460481486,0.8969751923467429,0.940516440663944,0.8820810112587713,0.905305047268789,0.9439287621368351,0.9415327948376616,0.9542152704135738,0.8891904138745367,0.9368219918323142,0.9821322473169227,0.8935412483172009,0.9479449170069869,0.931270165384355,0.8693316937794725,0.9331126892443763,0.9500659958033438,0.9294790656047172,0.9190202349525809,0.8894325865090289,0.930136015282447,0.9382577295939473,0.9166853748787257,0.9470454186503012,0.8970712717071666,0.9637037183276551
ChinatownTruncEnd,0.9579808596086473,0.9759677005895925,0.9857087926172777,0.7549132701016834,0.60200375971973,0.8937451935401179,0.9319405280697257,0.7773220541741434,0.9860933094078441,0.9427069982055883,0.8269674442450654,0.8686875160215329,0.8564470648551653,0.9679142100316158,0.8167777492950524,0.8568315816457317,0.9768435443903273,0.9437323763137658,0.8628343159873536,0.9725284115184142,0.7904597111851662,0.9869905152524993,0.8684311714944886,0.8644364692813808,0.9447150303341024,0.848692642912074,0.7846065111509869,0.9239724856874305,0.9056652140476801,0.958493548662736
