Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9908888888888889,0.9516111111111111,0.9822222222222221,0.9561666666666666,0.9797777777777777,0.9543888888888891,0.9182777777777779,0.9533333333333333,0.9249444444444446,0.9330000000000002,0.9570000000000002,0.9677777777777777,0.9641666666666666,0.9598888888888889,0.977,0.9652777777777777,0.9463888888888888,0.9695,0.9577222222222221,0.941,0.9542222222222222,0.9663333333333334,0.9757222222222224,0.9594444444444444,0.9568888888888888,0.9778888888888889,0.9547777777777777,0.9521666666666667,0.9723888888888887,0.9742777777777779
AdiacTruncEnd,0.9601724665495455,0.9371053073566525,0.9422686202869505,0.9520694034410967,0.9514340141638301,0.9338899670594893,0.952836152102004,0.9540244025355715,0.95493068870428,0.9360328263554719,0.9449964212183575,0.9546407776035687,0.9488741777892468,0.9475435711802408,0.9560514353898037,0.9603361285438502,0.9369434302412077,0.9467154346442193,0.9403018239951539,0.9514763793751636,0.9426507963340333,0.9330204563113667,0.9585006501879877,0.9453458431691689,0.9612546687682247,0.9390597870197676,0.9579354589610782,0.9349213754585313,0.9286651016698646,0.9314272788971183
ArrowHeadTruncEnd,0.9343564137687244,0.8965251204100569,0.9668074764703283,0.9482020237727012,0.933175290530688,0.9583641907118554,0.9346060713181036,0.9262949052185057,0.9735168574079802,0.952491273032566,0.933064380716716,0.8809151164332112,0.9598466704962221,0.8609853740444523,0.9423246873757236,0.8939286818965136,0.9280345543723213,0.8529119349564755,0.8504922451504573,0.9438632848747294,0.9657805664796075,0.9602978215721797,0.9666068666872873,0.9028880738809598,0.9365427952808095,0.9385842428527241,0.8690557200300472,0.9478679687154788,0.9564336529539128,0.9526507887411074
BMETruncEnd,0.8290333333333333,0.8032333333333332,0.8737333333333334,0.7626666666666667,0.8545666666666667,0.8791000000000001,0.9323666666666666,0.911,0.8815333333333333,0.9281666666666666,0.9182666666666667,0.8990333333333332,0.9265333333333333,0.7883,0.9214666666666667,0.8949333333333334,0.8108666666666666,0.9296666666666668,0.8749666666666667,0.7669333333333335,0.8954,0.8545,0.8592333333333333,0.9322666666666669,0.8446,0.876,0.9343666666666667,0.8949666666666667,0.8818333333333331,0.9279666666666666
BeefTruncStart,0.7118055555555556,0.7611111111111111,0.7965277777777777,0.770138888888889,0.8208333333333333,0.7805555555555556,0.7361111111111112,0.7493055555555556,0.7430555555555555,0.7916666666666666,0.7513888888888889,0.8006944444444444,0.8444444444444446,0.6104166666666667,0.7923611111111111,0.74375,0.7833333333333333,0.7104166666666668,0.6965277777777777,0.7569444444444444,0.6847222222222222,0.7965277777777778,0.7444444444444446,0.7979166666666667,0.8340277777777777,0.8548611111111111,0.6965277777777779,0.6875,0.7222222222222221,0.795138888888889
BeetleFlyTruncEnd,0.9400000000000001,1.0,0.96,0.88,0.98,0.98,0.9500000000000001,0.92,0.87,1.0,0.8,0.965,0.8400000000000001,0.89,1.0,0.99,0.8200000000000001,0.9700000000000001,0.9500000000000001,1.0,0.98,0.97,0.96,0.95,0.8599999999999999,0.9400000000000001,0.98,0.9,0.79,0.95
BirdChickenTruncEnd,0.8700000000000001,0.9600000000000001,0.94,1.0,0.9500000000000001,0.9000000000000001,0.9800000000000001,0.98,0.95,1.0,0.97,1.0,0.82,0.93,1.0,0.9800000000000001,0.7949999999999999,0.98,0.98,1.0,1.0,0.98,0.99,1.0,0.92,0.9400000000000001,1.0,0.87,0.98,0.99
CBFTruncEnd,0.9938636544109749,0.9888546179319688,0.9932962110895883,0.9836840072502863,0.9856252530480791,0.9763583686835203,0.9809131687985833,0.9470845440257979,0.9916653400984291,0.9862400177697447,0.99267639111628,0.9783684770777288,0.9891337530396428,0.9878027635183602,0.9869398491464719,0.9846138449995123,0.9846006912628248,0.9837180909829039,0.9916343546924186,0.991815291435337,0.9912713058334393,0.9705691572910481,0.9927164285364488,0.9672690365078129,0.9924666524586898,0.973044140552179,0.9947182357375988,0.9915260403510655,0.957441432157888,0.9932878184140318
CarTruncEnd,0.948963057391906,0.9717184479892903,0.978491572843573,0.9505484608500109,0.9037303610778938,0.9849381030813084,0.9368160691320142,0.9352469295969555,0.9814717252167898,0.8995647285335019,0.9376834156870708,0.9216629814309243,0.9133485443318818,0.9300758481682875,0.9567998240111912,0.8811707016237601,0.9553544971157389,0.8223392973985244,0.9807901446267007,0.9612561389258666,0.96620037153193,0.8697878357136947,0.9316539187593541,0.9627464031347066,0.9692305378187918,0.9613817377766747,0.9053930416732475,0.9650419665621262,0.9788098944819235,0.9811643088678805
ChinatownTruncEnd,0.936618815688285,0.9492224216012989,0.9025677176792275,0.9255746389814576,0.873707596342818,0.9432196872596771,0.8621720926258225,0.9013287191318465,0.9274331368025293,0.9493078697769802,0.7983850294796206,0.9320687003332478,0.7458130393916091,0.9640690421259507,0.915149961548321,0.7106938391865334,0.8920789541143297,0.9623814406562419,0.8896650431513288,0.8623429889771853,0.9029735965137144,0.9649448859266854,0.9418952405366146,0.9656711954199778,0.8614030590446894,0.9231607280184567,0.8502307100743398,0.877830470819448,0.8174186106126634,0.968811415876271
