Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.26999999999999996,0.3,0.34,0.33999999999999997,0.22999999999999998,0.27999999999999997,0.31,0.29,0.27,0.27999999999999997,0.25,0.27999999999999997,0.26999999999999996,0.32,0.28,0.30999999999999994,0.31,0.33999999999999997,0.25999999999999995,0.22999999999999998,0.33,0.36,0.33999999999999997,0.2899999999999999,0.30999999999999994,0.36000000000000004,0.39,0.3,0.37,0.32
AdiacTruncEnd,0.24217827967827965,0.2504366504366504,0.2383949008949009,0.23128860628860629,0.21772263022263022,0.258519221019221,0.24815672315672313,0.2688464313464313,0.24465403215403211,0.24930819930819928,0.229500267000267,0.26587159087159085,0.25177697677697675,0.25691894441894436,0.25221107721107716,0.24406959406959408,0.2133918633918634,0.2652957402957403,0.21212837462837467,0.23238889488889491,0.23766395016395014,0.22782510282510282,0.28040866790866786,0.21638766638766632,0.24451018201018201,0.24551192051192047,0.261531599031599,0.21415461415461415,0.2232275982275982,0.19291496791496787
ArrowHeadTruncEnd,0.5047853431774679,0.5163613161972473,0.5135356849876948,0.431318931729104,0.5227417737672044,0.528484185580166,0.428402151125695,0.4724273083583994,0.5009570686354935,0.5179108558928083,0.4892899462218576,0.4231154862820163,0.5057879865098897,0.5536414182845685,0.4500957068635493,0.5237444170996263,0.44143651444717885,0.45310363686081484,0.46176282927718537,0.5018685625740589,0.4482727189864188,0.5609333697930908,0.49320937015768845,0.5024154589371981,0.5106189043842858,0.5425211922340717,0.49184212924984044,0.5169082125603864,0.45018685625740584,0.5120772946859904
BMETruncEnd,0.6333333333333333,0.6666666666666666,0.6999999999999998,0.5933333333333334,0.7333333333333334,0.6533333333333333,0.7066666666666667,0.6666666666666666,0.7133333333333334,0.7200000000000001,0.6933333333333334,0.7733333333333334,0.7533333333333333,0.6466666666666666,0.7200000000000001,0.68,0.62,0.66,0.7133333333333333,0.6533333333333333,0.7133333333333334,0.6,0.5666666666666667,0.6933333333333334,0.7466666666666667,0.6733333333333333,0.6333333333333333,0.7466666666666667,0.6999999999999998,0.7399999999999999
BeefTruncStart,0.5,0.36666666666666664,0.3,0.5000000000000001,0.4666666666666666,0.4666666666666666,0.4333333333333333,0.4333333333333333,0.4,0.4,0.36666666666666664,0.4,0.3333333333333333,0.3666666666666666,0.4,0.4,0.3666666666666666,0.3333333333333333,0.5,0.4333333333333333,0.4,0.5,0.4333333333333333,0.4333333333333333,0.4666666666666666,0.4,0.36666666666666664,0.4333333333333333,0.36666666666666664,0.39999999999999997
BeetleFlyTruncEnd,0.6499999999999999,0.55,0.65,0.6499999999999999,0.6000000000000001,0.6,0.5,0.65,0.6,0.55,0.55,0.7,0.6000000000000001,0.4,0.7,0.55,0.4,0.6,0.65,0.5,0.55,0.7,0.6,0.45,0.5,0.6499999999999999,0.7,0.55,0.3,0.6499999999999999
BirdChickenTruncEnd,0.6,0.55,0.55,0.6499999999999999,0.5,0.75,0.6499999999999999,0.65,0.55,0.55,0.4,0.35,0.44999999999999996,0.55,0.55,0.5,0.7,0.7,0.5,0.75,0.75,0.44999999999999996,0.45,0.5,0.6,0.65,0.5,0.6,0.6,0.6499999999999999
CBFTruncEnd,0.9480126524141813,0.9146421322429146,0.9281155705685684,0.9512430675931275,0.8738538996794919,0.9203744857796149,0.9491164051735632,0.9149078230637411,0.9546577378747698,0.954628205698031,0.9259895995377572,0.9246430211713114,0.9336349269844092,0.9469167518556381,0.9489979801571428,0.8979589710159958,0.8713057370451033,0.902744072576065,0.9115598717967712,0.9204189321994557,0.9467547693477735,0.8960549357749233,0.9534871673308937,0.8948844640008691,0.9325157661328158,0.9145890434636601,0.9043738734067194,0.9258043567368426,0.8135461329145492,0.8320520418191425
CarTruncEnd,0.32460960092539043,0.31991035280508967,0.4091960670908039,0.42430595720069403,0.35699826489300174,0.4209803354540197,0.3509253903990746,0.4490312319259687,0.4251012145748988,0.33870734528629265,0.3734817813765182,0.35931174089068824,0.3485396182764604,0.3485396182764604,0.42647484094852517,0.32460960092539043,0.36878253325621746,0.27436379410063616,0.4251012145748988,0.39271255060728744,0.3161509543088491,0.35425101214574894,0.3833140543666859,0.3748554077501446,0.39647194910352807,0.39271255060728744,0.352299016772701,0.3293088490456912,0.3515037593984962,0.43449971081550026
ChinatownTruncEnd,0.9234170725455011,0.8724045116636759,0.9159830812612151,0.8462360078612321,0.9220071776467573,0.9150645133726395,0.8974194650944203,0.8476031786721354,0.910557122105443,0.9559301033922926,0.7002477997094763,0.762560881825173,0.8619798342305391,0.8730026488934461,0.9207040929676151,0.7392762539519782,0.907844142527557,0.8966077074254464,0.855250790395625,0.8734298897718533,0.8624711612407074,0.831538921644023,0.8719131846535076,0.8725113218832778,0.8718063744339059,0.933841749978638,0.879240365718192,0.9146799965820729,0.8889600957019568,0.8932965906177903
ChlorineConcentrationTruncStart,0.3933283277569884,0.3801172000355744,0.3778026769398246,0.3956501014540772,0.3737715676524042,0.37823754422737793,0.38106365093138833,0.399261858222889,0.3827965163168818,0.38823590327411633,0.36114209764124655,0.38263852222248795,0.38735817755474544,0.38850496464004686,0.3761314421716861,0.39141883529420457,0.3717169451698031,0.3908917369169993,0.3898950616673409,0.39462731614641083,0.3976797130556659,0.39115105242230513,0.38655876683019147,0.3867573954600558,0.38330693031662494,0.39848175119980356,0.36702239442486423,0.39133387808067605,0.37819551360961756,0.39016131629665257
