Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8100000000000002,0.7100000000000001,0.7100000000000002,0.75,0.76,0.77,0.72,0.72,0.7000000000000001,0.71,0.69,0.6900000000000002,0.7500000000000001,0.76,0.77,0.75,0.6900000000000001,0.78,0.74,0.7000000000000001,0.7100000000000001,0.72,0.7,0.74,0.74,0.74,0.7100000000000001,0.76,0.72,0.7
AdiacTruncEnd,0.5312822687822688,0.5131154506154506,0.5379842379842379,0.5372654747654748,0.4831342456342457,0.5248835248835249,0.5033311283311283,0.5242155367155368,0.5163762663762663,0.49541704541704534,0.49925824925824935,0.48483299733299745,0.5289204414204415,0.5063537438537439,0.5102884352884353,0.48500137250137243,0.47153203403203403,0.5245169995169995,0.48065219315219315,0.4611981111981112,0.49522759522759524,0.46610832860832857,0.5537214287214287,0.451994026994027,0.5237790362790363,0.5097050097050098,0.49985573735573735,0.5151797151797152,0.47707045207045207,0.4979355479355479
ArrowHeadTruncEnd,0.6890894175553731,0.6570959803117309,0.6967459666393219,0.7349375626652083,0.6179928903472791,0.7751344453559383,0.6797921793820071,0.6967459666393219,0.784340534135448,0.6977486099717437,0.6149849603500136,0.7610974387020327,0.7698477805122597,0.7030352748154224,0.5927445082490203,0.7717619177832468,0.6174459939841399,0.6832558563485552,0.5903746240087503,0.7634673229423025,0.6488925348646432,0.7770485826269256,0.6817974660468508,0.7088688360222405,0.6962902196700392,0.7156138911676236,0.7142466502597756,0.6783337890803026,0.7127882599580713,0.7562665208276366
BMETruncEnd,0.8466666666666667,0.7399999999999999,0.7333333333333334,0.7800000000000001,0.7866666666666667,0.7600000000000001,0.7733333333333333,0.7799999999999999,0.7533333333333334,0.7866666666666666,0.7733333333333333,0.8333333333333334,0.7933333333333333,0.7666666666666666,0.7733333333333333,0.7866666666666666,0.7400000000000001,0.8266666666666667,0.7733333333333334,0.7866666666666667,0.8266666666666667,0.7799999999999999,0.7866666666666666,0.7600000000000001,0.7999999999999999,0.7733333333333333,0.7799999999999999,0.7933333333333333,0.7666666666666666,0.7399999999999999
BeefTruncStart,0.36666666666666664,0.4666666666666666,0.29999999999999993,0.4,0.4,0.4666666666666666,0.4,0.4666666666666666,0.36666666666666664,0.3333333333333333,0.26666666666666666,0.36666666666666664,0.4333333333333333,0.3333333333333333,0.33333333333333337,0.36666666666666664,0.3333333333333333,0.26666666666666666,0.4333333333333333,0.4000000000000001,0.3666666666666667,0.4666666666666666,0.19999999999999998,0.4666666666666666,0.5333333333333333,0.5,0.36666666666666664,0.29999999999999993,0.3333333333333333,0.5
BeetleFlyTruncEnd,0.8500000000000001,0.8,0.9,0.8,0.8,0.8,0.7,0.7,0.8,0.85,0.8,0.8,0.55,0.7,0.8500000000000001,0.8500000000000001,0.8,0.65,0.7,0.8,0.75,0.75,0.8500000000000001,0.75,0.7,0.8500000000000001,0.85,0.75,0.7,0.8500000000000001
BirdChickenTruncEnd,0.95,0.95,0.9,0.8500000000000001,1.0,0.95,0.95,0.95,0.95,0.8500000000000001,0.95,0.95,0.85,0.95,0.95,0.95,0.75,0.9,0.95,0.95,0.9,0.9,0.95,0.95,0.95,0.95,0.95,1.0,0.95,0.95
CBFTruncEnd,0.8859587833533342,0.8994554819720383,0.913781698939706,0.910418833429634,0.9016041206769684,0.9158646063281825,0.9303679175864605,0.8991903837701428,0.9126637233259749,0.9255921497745577,0.8831522882498483,0.9166811858304813,0.9126416482707874,0.9226195732155998,0.9193451066961001,0.8970262382031794,0.8900995599804435,0.918233995584989,0.9070562642290275,0.9237086092715231,0.9281160644176779,0.8939292610535775,0.9103523119546054,0.8950110375275938,0.9237527593818985,0.9038850121733807,0.9391169977924946,0.9258646063281825,0.8715452538631346,0.9248342395464489
CarTruncEnd,0.820561017929439,0.8060294968189705,0.8178137651821862,0.7497108155002892,0.8050896471949104,0.7848467322151533,0.7938837478311163,0.7909196067090805,0.8313331405436668,0.7642423366107576,0.7750144592249856,0.7787015615962984,0.7928716020821284,0.8070416425679584,0.8191873915558125,0.6651243493348756,0.7628687102371313,0.753397917871602,0.7716888374783112,0.7787738577212262,0.8060294968189705,0.7834731058415269,0.8158617698091383,0.7928716020821284,0.8064632735685368,0.7989444765760555,0.7200694042799307,0.7689415847310583,0.6657027183342973,0.7750144592249856
ChinatownTruncEnd,0.7315004699649662,0.8484149363411091,0.8957959497564727,0.8810347774075024,0.8391865333675126,0.8974194650944203,0.8859694095531061,0.7592924891053576,0.8453174399726566,0.9178843031701274,0.7597197299837648,0.8453815261044177,0.8189353157310091,0.9059429206186448,0.9176706827309237,0.8079338631120225,0.8527514312569426,0.9159830812612151,0.7926172776211228,0.8621507305819021,0.9183756301802957,0.8586687174228831,0.8365803640092284,0.8555284969665897,0.8798385029479621,0.8904768008203024,0.9185892506194993,0.8877638212424165,0.9136546184738956,0.9239083995556695
ChlorineConcentrationTruncStart,0.432063840369919,0.42812345781151545,0.450057602966498,0.4169710378033522,0.42724735404103864,0.4024859325735282,0.44060749442109987,0.41939290157405934,0.4667110486448278,0.431851872050317,0.41319423893062734,0.4399956798761775,0.4127032456134434,0.41673985139301073,0.4497275426406246,0.4203082757752467,0.43210860729277645,0.41255454503929756,0.4063282912520069,0.4226574461199517,0.41242553817105226,0.45443739038348124,0.41790689341010284,0.41398381879099605,0.4258532341190393,0.42187129655803646,0.40678163608737444,0.422932947112774,0.41198687385539795,0.4169754583932879
CinCECGTorsoTruncEnd,0.7126790727187682,0.5758765443629779,0.7076444401450239,0.6052556264959945,0.6904441153163892,0.5916553287981859,0.6066192655551923,0.4989063015420836,0.5907856857464573,0.6187742018459339,0.6522071779567227,0.5403743164477298,0.5849267801268923,0.6386655414045317,0.6354492153186871,0.5746533740443982,0.6284490952314237,0.6096362949669353,0.5356981072912983,0.6011805838168328,0.6015631210531505,0.5925292193808982,0.6034176835166888,0.6218514713284246,0.6132881152897032,0.6662431811560845,0.6202794660416199,0.6728028737919926,0.6814721141807492,0.5431324651468956
CoffeeTruncStart,0.9615384615384616,0.9615384615384616,0.9666666666666667,1.0,0.9333333333333333,0.9282051282051282,0.9230769230769231,0.8948717948717949,1.0,0.9615384615384616,0.9,0.9615384615384616,0.8512820512820514,0.9282051282051282,0.9282051282051282,1.0,0.9666666666666667,0.8948717948717949,0.9666666666666667,0.9615384615384616,0.9282051282051282,0.9333333333333333,0.9666666666666667,0.9282051282051282,0.9282051282051282,0.9333333333333333,0.9230769230769231,0.9282051282051282,0.9615384615384616,0.9333333333333333
ComputersTruncStart,0.692,0.728,0.784,0.776,0.8,0.752,0.812,0.756,0.748,0.8,0.788,0.792,0.78,0.792,0.772,0.804,0.768,0.768,0.768,0.772,0.768,0.784,0.756,0.812,0.76,0.8,0.808,0.808,0.756,0.784
CricketXTruncEnd,0.691287933259943,0.7669273864075364,0.7315312495813476,0.7356521635073167,0.7420231995506695,0.7365299577261167,0.7500888698677407,0.752955114077078,0.7328769705822927,0.7330487507894593,0.7399673006655911,0.7275055356766015,0.7878057338869273,0.7468725241691434,0.7405061944516543,0.7273493335291231,0.7281652931991042,0.7405342414631488,0.7411863847298573,0.7521437318898752,0.7591858311463199,0.7561470778082574,0.7308343439929778,0.717337319511067,0.7608799743502289,0.7519608867329963,0.6865447261264164,0.7375358558511768,0.7519588216362725,0.735402045707155
CricketYTruncEnd,0.7546493613644412,0.7052761593346926,0.7087396041557733,0.7335990829775794,0.699197680522314,0.6975952294538509,0.7163041668680082,0.7251360638486039,0.7143474703430005,0.7475303042845409,0.7290292678616307,0.7441319111411083,0.7187083315593137,0.7339889198652817,0.7473070635631774,0.730941284088163,0.7098649224754415,0.7278725939870062,0.7289261758826594,0.7178051606415639,0.7335090210065673,0.7460657872931723,0.7364288108215185,0.7312197331352603,0.7283897508232758,0.7343190331665067,0.7248799170237614,0.7242796437746505,0.7410400311380977,0.7549989015186253
CricketZTruncEnd,0.7291151499624396,0.7537595921038124,0.7131802816453718,0.7474227036251632,0.7253458498791182,0.7255086157567942,0.7514323142729382,0.7252822657986732,0.7187864016736322,0.7330595568215003,0.7579152366986319,0.7654609134506981,0.755115276371415,0.7566916223216266,0.7480759882873019,0.7426612813176013,0.7441440505421769,0.7206257841708426,0.7536516029673525,0.7196299460933614,0.7611629964159122,0.7676160753536782,0.753673003624629,0.7667697360204967,0.7508977212422486,0.7228283494395576,0.7554061191540172,0.7203659252592676,0.7410645910067083,0.7304494213770129
