Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8100000000000002,0.7000000000000001,0.6900000000000001,0.72,0.67,0.6599999999999999,0.65,0.74,0.64,0.71,0.7100000000000001,0.7100000000000001,0.71,0.74,0.77,0.65,0.67,0.7500000000000001,0.76,0.72,0.77,0.75,0.8,0.76,0.7699999999999999,0.6900000000000001,0.6799999999999999,0.7499999999999999,0.74,0.7000000000000001
AdiacTruncEnd,0.37797866547866543,0.3403498903498904,0.3387822762822763,0.37159105909105905,0.35246892746892744,0.3609378984378984,0.34737068487068484,0.3648167523167523,0.34296709296709293,0.3809485559485559,0.34069369069369065,0.33595241095241096,0.3587072837072837,0.3709462084462084,0.34799243549243547,0.3450810825810826,0.31706937956937953,0.36507599007599006,0.31904064404064403,0.31166397416397423,0.33795993795993795,0.31563312813312816,0.37048735798735793,0.32979006729006727,0.35696739446739445,0.3607142482142483,0.34781254781254783,0.3283398283398283,0.3123024123024123,0.3103791103791104
ArrowHeadTruncEnd,0.49557925439795825,0.5748792270531401,0.5705040561480267,0.5975754261234164,0.4825448910764744,0.6556375900100263,0.5482636040470331,0.590830370978033,0.6310272536687632,0.5773402606872664,0.5675872755446175,0.5656731382736305,0.5990338164251208,0.5738765837207183,0.6072372618722085,0.5947497949138638,0.5318567131528575,0.5889162337070458,0.5375991249658191,0.6033178379363777,0.6692188496946495,0.6595570139458572,0.611612432777322,0.5981223224865554,0.6377723088141464,0.6086956521739131,0.5609333697930908,0.6405979400236989,0.5725093428128704,0.605778871570504
BMETruncEnd,0.68,0.6933333333333334,0.7000000000000001,0.7000000000000001,0.6933333333333334,0.7733333333333333,0.7466666666666667,0.64,0.6866666666666666,0.7933333333333333,0.7799999999999999,0.7866666666666666,0.6933333333333334,0.7266666666666667,0.6266666666666666,0.7466666666666667,0.6866666666666666,0.6733333333333333,0.7333333333333334,0.6733333333333333,0.7133333333333334,0.7399999999999999,0.68,0.6933333333333334,0.7466666666666667,0.7200000000000001,0.7133333333333334,0.7533333333333333,0.7466666666666667,0.6533333333333333
BeefTruncStart,0.4333333333333333,0.3,0.3,0.36666666666666664,0.3666666666666666,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.4,0.33333333333333337,0.3,0.4666666666666667,0.36666666666666664,0.39999999999999997,0.4,0.33333333333333337,0.3,0.26666666666666666,0.30000000000000004,0.3333333333333333,0.3666666666666667,0.5333333333333333,0.36666666666666664,0.4666666666666667,0.4666666666666667,0.4333333333333334,0.26666666666666666,0.3,0.33333333333333337,0.4333333333333334
BeetleFlyTruncEnd,0.75,0.8,0.8,0.8,0.85,0.85,0.8,0.7,0.8,0.8500000000000001,0.6499999999999999,0.7,0.65,0.7,0.9,0.85,0.8,0.7,0.8,0.9,0.9,0.8,0.9,0.7,0.8,0.75,0.8,0.9,0.9,0.9
BirdChickenTruncEnd,0.8,0.95,0.7,0.8500000000000001,0.9,0.9,0.95,0.9,0.9,0.8500000000000001,0.75,0.8,0.8500000000000001,0.9,0.8500000000000001,0.95,0.8,0.9,0.75,0.9,0.75,0.85,0.9,0.9,0.8500000000000001,0.75,0.9,0.9,0.8,0.9
CBFTruncEnd,0.8860844679516621,0.7248114237175973,0.852529100058768,0.7997491246524536,0.7904884661540512,0.8073124237620437,0.917924253423609,0.7370802652957416,0.8057044510620225,0.747250593853554,0.7643100187168813,0.8018090680573456,0.8283281232252299,0.8352975193959238,0.7708817181998212,0.7672750887693773,0.7916964210755046,0.7783332592559669,0.8736860403672262,0.8059435728007665,0.8483583961756325,0.7651339565709092,0.8061488164906095,0.8428547441614689,0.7753174215150302,0.8826774523312148,0.7751998854270066,0.8004370564617687,0.8411895837345856,0.8449427381957717
CarTruncEnd,0.5205320994794679,0.6124927703875072,0.523207056101793,0.5080971659919028,0.6264459224985541,0.5916714864083286,0.5279063042220937,0.5663678426836322,0.6236986697513014,0.4982648930017351,0.6119144013880856,0.5026026604973973,0.49414401388085605,0.45785135916714864,0.6537015615962984,0.5720792365529208,0.5275448235974552,0.4358733371891267,0.5963707345286293,0.5926836321573163,0.61524002313476,0.6030942741469058,0.5707056101792943,0.5306535569693465,0.6067813765182186,0.596443030653557,0.44469346443030655,0.4996385193753615,0.646255060728745,0.5777906304222094
ChinatownTruncEnd,0.8806502606169357,0.8361958472186619,0.760381953345296,0.8380970691275741,0.8435230282833461,0.8643723831496197,0.8235495172178074,0.825408015038879,0.8556353071861915,0.8959027599760745,0.7246005297786892,0.7291292830898061,0.7118046654703922,0.8769119029308724,0.8531359480475091,0.6757241732889002,0.7717251986670084,0.8508074852601897,0.7813808425190123,0.868986584636418,0.7196231735452447,0.8172690763052208,0.8924848329488165,0.8459155772024267,0.8463000939929932,0.8844527044347603,0.8986157395539605,0.8926984533880202,0.7616850380244382,0.8857557891139024
