Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.74,0.72,0.6799999999999999,0.6900000000000001,0.65,0.5900000000000001,0.6499999999999999,0.7,0.6000000000000001,0.6900000000000001,0.61,0.6900000000000001,0.74,0.6399999999999999,0.8099999999999999,0.7,0.6,0.6499999999999999,0.6799999999999999,0.68,0.72,0.7700000000000001,0.77,0.7100000000000001,0.74,0.74,0.6599999999999999,0.7,0.73,0.65
AdiacTruncEnd,0.6083887583887584,0.5813590688590689,0.5977365727365728,0.6190965940965942,0.5724829599829601,0.6042970167970169,0.5597875847875848,0.6216405591405593,0.6179477804477805,0.5935732060732061,0.6632594507594508,0.6738953613953614,0.659625847125847,0.6564482064482063,0.6535451035451035,0.6604571854571855,0.6779773904773905,0.6751143001143001,0.6764986139986139,0.6296340296340297,0.6683843558843559,0.6442993192993192,0.6973951348951348,0.6988983988983989,0.69249282999283,0.6467752967752969,0.6722261597261596,0.6724021474021473,0.6476216351216352,0.661041811041811
ArrowHeadTruncEnd,0.6107009388387566,0.7818795005013216,0.7059520554188315,0.705860906024975,0.6643879318202534,0.7508887065901012,0.5530945219214293,0.6353112751800202,0.6682162063622278,0.7141555008659193,0.647342995169082,0.6797921793820071,0.7533497402242274,0.7209005560113025,0.6768753987785981,0.6948318293683347,0.6222769118585361,0.670677239996354,0.6251936924619451,0.747971925986692,0.7591833014310455,0.7475161790174095,0.6923707957342083,0.7170722814693282,0.7238173366147115,0.7064078023881142,0.6373165618448637,0.7112387202625102,0.7673867468781334,0.7301066447908121
BMETruncEnd,0.8333333333333334,0.7933333333333333,0.8000000000000002,0.7733333333333334,0.7933333333333333,0.7600000000000001,0.7666666666666666,0.82,0.82,0.8333333333333334,0.8266666666666667,0.84,0.86,0.8066666666666666,0.8133333333333334,0.7933333333333333,0.8133333333333334,0.8333333333333334,0.8133333333333334,0.8066666666666666,0.84,0.8333333333333334,0.7866666666666666,0.8266666666666667,0.8133333333333334,0.82,0.7533333333333334,0.8333333333333334,0.8133333333333334,0.7866666666666666
BeefTruncStart,0.3333333333333333,0.3666666666666667,0.29999999999999993,0.5333333333333333,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.33333333333333337,0.36666666666666664,0.3333333333333333,0.4,0.4333333333333334,0.33333333333333337,0.3,0.29999999999999993,0.3,0.26666666666666666,0.36666666666666664,0.33333333333333337,0.3,0.2,0.4,0.26666666666666666,0.5,0.4666666666666666,0.5,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4
BeetleFlyTruncEnd,0.8,0.75,0.8500000000000001,0.75,0.8500000000000001,0.7,0.7,0.7,0.85,0.85,0.75,0.85,0.6,0.7,0.9,0.8,0.75,0.75,0.8500000000000001,0.7,0.75,0.8500000000000001,0.8500000000000001,0.75,0.7,0.8,0.75,0.75,0.6499999999999999,0.8500000000000001
BirdChickenTruncEnd,0.8500000000000001,0.8,0.9,0.95,0.8500000000000001,0.85,0.95,0.8,0.8500000000000001,0.85,0.8,0.8,0.95,0.95,1.0,0.95,0.7,0.9,0.85,0.95,0.9,0.8,0.9,0.85,0.9,0.8500000000000001,0.95,0.95,0.9,0.8500000000000001
CBFTruncEnd,0.9600945721044392,0.9347682119205297,0.9348270787343634,0.919197840891694,0.9159159172506431,0.9613023294862487,0.9468136361616072,0.8832633549145394,0.9545396091678149,0.9145025210997032,0.9444351106962778,0.9378660779985285,0.9290725513726535,0.9523325974981605,0.9600954610328359,0.8968932940229442,0.9132118464524348,0.9413683571121679,0.9589698307579102,0.928975213713202,0.9623465240430439,0.931264550029384,0.9689394096527747,0.9347313213920619,0.9458719646799117,0.9147669279128455,0.9734142752023547,0.9646210448859455,0.9345986735212923,0.9513686534216336
CarTruncEnd,0.798582995951417,0.7247686524002313,0.7750144592249856,0.7585309427414691,0.8350925390399075,0.7349624060150376,0.8084152689415847,0.7025737420474263,0.7871602082128397,0.7514459224985541,0.796631000578369,0.8074031231925969,0.7453730480046269,0.7810873337189127,0.7763880855986119,0.8060294968189705,0.8074031231925969,0.6886205899363794,0.7355407750144592,0.7834731058415269,0.745373048004627,0.7379265471370735,0.8040775014459225,0.7820994794679006,0.7567958357432041,0.7500722961249277,0.6792220936957779,0.7777617119722382,0.7740023134759977,0.8013302486986698
ChinatownTruncEnd,0.9793215414850893,0.9773135093565752,0.9686832436127488,0.972699307869777,0.963855421686747,0.9899598393574297,0.9327522857386994,0.9706912757412629,0.9839357429718876,0.9866487225497735,0.9215158506365889,0.8721908912244724,0.8815688285055114,0.9879518072289157,0.9163675980517816,0.9123515337947534,0.9806246261642314,0.9793215414850893,0.9813295736136034,0.9156626506024097,0.9236947791164658,0.9899598393574297,0.9833376057421174,0.9879518072289157,0.9123515337947534,0.9799196787148594,0.9826326582927455,0.928415790822866,0.9123515337947534,0.9573399982910364
ChlorineConcentrationTruncStart,0.40725882158806853,0.4173689267204927,0.4040557987740175,0.40832914210121946,0.4048348298948918,0.4045315736203827,0.4073270326953587,0.4106473213620269,0.40726991637424587,0.41449277497967313,0.39874465426015004,0.410267372041595,0.4062236012714177,0.40233696707161815,0.41203047926531516,0.4088079414552304,0.4133980991248743,0.39770760940278543,0.4068403039258597,0.41642764505311686,0.41367578329248095,0.40637180295561787,0.40686253134503775,0.40392791435755254,0.4095755669197625,0.4148522509901189,0.397448699081119,0.4065150460987768,0.40852190750928924,0.4016421758961317
CinCECGTorsoTruncEnd,0.9322926771231539,0.9279567189194519,0.9495559551051542,0.8080151132044842,0.8771399476211974,0.9273110571459705,0.9083160911744016,0.9201815578579695,0.9507922831331508,0.9229258112747115,0.9316070863345883,0.9068646438634297,0.9360514344127102,0.8869249506493236,0.9208310409267771,0.8078147416752469,0.8677389718009902,0.8641354272993931,0.8987526565600633,0.9580009028783139,0.9247972860278469,0.8850152073469684,0.886534355705887,0.9388381297817154,0.9300336170209611,0.8987340356214404,0.9386182255401888,0.9158103184610447,0.9443878551747603,0.9278545965623909
CoffeeTruncStart,0.9615384615384616,0.8846153846153846,0.8948717948717949,0.8897435897435897,0.8615384615384616,0.8897435897435897,0.8128205128205128,0.8846153846153846,0.8948717948717949,0.9615384615384616,0.7410256410256411,0.8846153846153846,0.8897435897435897,0.8948717948717949,0.9230769230769231,0.9282051282051282,0.9282051282051282,0.8461538461538461,0.9,0.9230769230769231,0.8897435897435897,0.8666666666666667,0.8333333333333333,0.8282051282051281,0.8846153846153846,0.8897435897435897,0.8564102564102565,0.8282051282051281,0.9230769230769231,0.9615384615384616
ComputersTruncStart,0.748,0.792,0.792,0.812,0.784,0.812,0.8240000000000001,0.8,0.808,0.844,0.764,0.8,0.8160000000000001,0.796,0.792,0.836,0.812,0.784,0.8360000000000001,0.776,0.756,0.8,0.8,0.796,0.752,0.8240000000000001,0.808,0.848,0.772,0.796
CricketXTruncEnd,0.6381157047933628,0.6828455165991009,0.6427651678195512,0.6377480272003958,0.6866692025789006,0.6682612962418181,0.675602070793437,0.6906906613602707,0.643977288056881,0.6299352709071224,0.6879952413103282,0.6507788309360131,0.7226163685084903,0.6408402421405631,0.6462053805807142,0.6628711165714211,0.6520457416256168,0.6696894685558488,0.6798549444588975,0.6238619280325335,0.6695408460402833,0.6581210809501746,0.687820126137928,0.6604997249409155,0.6595372302032452,0.6411060260571628,0.5996579979635197,0.6784661459318527,0.6714882450186038,0.6289971922163936
CricketYTruncEnd,0.6993157080650129,0.702559250975281,0.6540632617422392,0.6862470650225018,0.6941674674842248,0.6339046768113173,0.6817570327919859,0.700200046010853,0.7001057983116276,0.6477521677404717,0.6877923317343342,0.705740906104566,0.7212591707707808,0.6941637541965521,0.680943908235057,0.6630264446727183,0.6574895086859974,0.6851351552429752,0.7159312984534432,0.6644231932788868,0.6903012005685318,0.694929616349965,0.6827382110086954,0.6774171913858371,0.7278609154747061,0.6598987636154137,0.6787428185218009,0.6491638937608315,0.717916482731964,0.6996215538867098
CricketZTruncEnd,0.6641726695284064,0.6689107490050962,0.6354086210805611,0.6809753482824504,0.6367768307069844,0.6354958611499192,0.6883425098668773,0.6586580264702262,0.6477366523040499,0.6536079347113096,0.653336619896084,0.6820317133984797,0.6652249920734027,0.7004303624326044,0.6562351005614258,0.6697579464538936,0.6607657006802611,0.6395157285860685,0.658206016817532,0.6474731053006181,0.6678157134042824,0.6916251032209982,0.6623399715873627,0.6718649398681359,0.6689262735562246,0.6277485330852538,0.6646150172566047,0.6523158215260475,0.6629117935167431,0.6329769305979005
CropTruncEnd,0.6804761904761905,0.6823809523809524,0.681607142857143,0.6830952380952381,0.6820238095238095,0.6856547619047619,0.6820833333333333,0.6811309523809524,0.6764285714285715,0.6760714285714284,0.6740476190476191,0.6791071428571428,0.6773214285714285,0.6805357142857141,0.6799404761904763,0.6848809523809525,0.6720238095238095,0.6810714285714287,0.6811309523809523,0.6852380952380953,0.6728571428571429,0.6783333333333333,0.6772023809523811,0.6798214285714286,0.6824404761904761,0.6811309523809523,0.6768452380952382,0.6763095238095239,0.6843452380952382,0.6741666666666667
DiatomSizeReductionTruncEnd,0.7112084069183977,0.6451308920008081,0.4519420053029578,0.7415865930671028,0.7879153387522874,0.7149224589832743,0.6857588492987549,0.6828746530989824,0.5993279955766797,0.681979247320247,0.7738310486922882,0.7368216278707842,0.7491690566708908,0.758362175295331,0.7538645450002271,0.6676131832536343,0.7069215633962516,0.6780718683211586,0.669264436930471,0.7031824996592613,0.7040740993139795,0.702441090866559,0.7705372410506546,0.7099340199339401,0.7233397324548557,0.6940266568843237,0.5405502036215935,0.7362568715642179,0.7641721329857315,0.7189075916587161
DistalPhalanxOutlineAgeGroupTruncStart,0.7599304650152109,0.779400260756193,0.825554106910039,0.7596986817325799,0.7064174996378386,0.7475880052151238,0.699348109517601,0.7486310299869622,0.7542807475010864,0.7536143705635231,0.6655367231638418,0.7368100825727945,0.7379979718962769,0.7490076778212371,0.7339127915399102,0.7475880052151238,0.7662465594668983,0.7599304650152107,0.6867159206142257,0.7662465594668983,0.8410835868462988,0.7640156453715776,0.6687237433000145,0.7371867304070694,0.6990583804143128,0.7417934231493554,0.7140663479646531,0.726032159930465,0.6841952774156165,0.7145878603505723
DistalPhalanxOutlineCorrectTruncStart,0.7322981366459627,0.7409937888198758,0.7161490683229814,0.7801242236024845,0.7683229813664596,0.7260869565217392,0.7695652173913043,0.7006211180124224,0.7795031055900621,0.7422360248447205,0.7540372670807454,0.7652173913043478,0.7223602484472049,0.7391304347826086,0.7385093167701864,0.7440993788819876,0.7627329192546584,0.7559006211180124,0.7683229813664596,0.7925465838509317,0.7093167701863354,0.724223602484472,0.7291925465838509,0.7645962732919255,0.7751552795031056,0.7521739130434782,0.7981366459627329,0.7658385093167701,0.7496894409937889,0.7254658385093168
DistalPhalanxTWTruncStart,0.48785425101214575,0.48406807617333936,0.44794679005205323,0.516035012745539,0.46318788424051577,0.4444069575648523,0.43541010646273803,0.534150547308442,0.4603817235396183,0.49381466486729647,0.47645823961613437,0.4805068226120858,0.48264357474883796,0.5013870145449093,0.5080221922327185,0.4899910031488979,0.46292547608337076,0.49265792686845317,0.487142000299895,0.4800998222050854,0.4926150847203479,0.47600839706102865,0.48785425101214575,0.4850052481631429,0.5246288798920378,0.4842929974508922,0.43136152346678663,0.517811623074781,0.48526765632028795,0.46577447893237367
ECG200TruncEnd,0.8125,0.7786458333333333,0.7647569444444444,0.8116319444444444,0.8576388888888888,0.7586805555555556,0.8081597222222222,0.7786458333333333,0.7430555555555556,0.7708333333333333,0.7248263888888888,0.7621527777777778,0.7586805555555556,0.6935763888888888,0.7743055555555556,0.7942708333333333,0.7925347222222222,0.7309027777777778,0.7743055555555556,0.7543402777777778,0.7881944444444444,0.8246527777777778,0.8376736111111112,0.7430555555555556,0.7265625,0.8020833333333333,0.7335069444444444,0.7664930555555556,0.8342013888888888,0.7604166666666667
