Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.79,0.64,0.71,0.7400000000000001,0.75,0.66,0.72,0.75,0.72,0.71,0.6900000000000001,0.77,0.7,0.7300000000000001,0.7699999999999999,0.75,0.6100000000000001,0.7,0.6900000000000001,0.74,0.76,0.73,0.8400000000000001,0.65,0.76,0.72,0.73,0.75,0.6799999999999999,0.7
AdiacTruncEnd,0.6500334125334124,0.6337726087726088,0.6105837855837855,0.621401308901309,0.6395234645234645,0.6091958716958716,0.6101980601980602,0.6341317841317842,0.6353920853920854,0.6139409764409764,0.6046008796008796,0.6429715554715555,0.6286643161643162,0.6271939771939773,0.6553910053910055,0.6442185817185816,0.6201851826851825,0.6601613101613101,0.6234789234789235,0.5790100290100291,0.6286064536064536,0.6023274773274774,0.6526756276756277,0.6336052086052086,0.640084315084315,0.6273901773901773,0.6312614937614937,0.6263780138780138,0.6043261918261918,0.6343342843342843
ArrowHeadTruncEnd,0.664843678789536,0.6948318293683347,0.6004922067268254,0.6831647069546988,0.59958071278826,0.7393127335703218,0.564214747971926,0.6319387476073284,0.6339440342721722,0.6711329869656367,0.626560933369793,0.6633852884878316,0.6633852884878316,0.6735028712059066,0.5782517546258318,0.6643879318202534,0.577796007656549,0.6029532403609515,0.6314830006380457,0.6445173639595296,0.6982043569410262,0.7393127335703217,0.6715887339349194,0.7445993984140005,0.6629295415185489,0.6730471242366239,0.5363230334518275,0.6991158508795916,0.672044480904202,0.6948318293683347
BMETruncEnd,0.8333333333333334,0.8133333333333334,0.7999999999999999,0.8133333333333335,0.8266666666666667,0.7866666666666666,0.8133333333333334,0.7666666666666666,0.82,0.8333333333333334,0.8466666666666667,0.8666666666666666,0.8666666666666666,0.8066666666666666,0.8533333333333332,0.8066666666666666,0.84,0.8533333333333334,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.8533333333333332,0.84,0.86,0.84,0.8133333333333334,0.8066666666666666,0.82,0.8133333333333334,0.7533333333333333
BeefTruncStart,0.3,0.33333333333333337,0.3666666666666666,0.4666666666666667,0.29999999999999993,0.4333333333333333,0.4333333333333334,0.4666666666666666,0.36666666666666664,0.33333333333333337,0.36666666666666664,0.4333333333333333,0.3,0.29999999999999993,0.26666666666666666,0.3,0.26666666666666666,0.2333333333333333,0.3,0.33333333333333337,0.23333333333333334,0.4666666666666667,0.3333333333333333,0.4,0.4,0.5333333333333333,0.3,0.36666666666666664,0.3333333333333333,0.33333333333333337
BeetleFlyTruncEnd,0.7,0.7,0.8500000000000001,0.8,0.8500000000000001,0.8500000000000001,0.65,0.8,0.65,0.9,0.8,0.8500000000000001,0.7,0.7,0.95,0.8,0.75,0.75,0.6499999999999999,0.9,0.8500000000000001,0.9,0.9,0.75,0.8,0.7,0.8,0.8,0.8,0.8500000000000001
BirdChickenTruncEnd,0.95,0.95,1.0,0.9,0.9,0.9,0.9,0.8500000000000001,0.95,0.95,0.8500000000000001,0.95,0.9,1.0,0.95,0.95,0.9,0.8,1.0,1.0,1.0,0.8,0.8500000000000001,1.0,1.0,0.9,0.95,0.95,0.8,0.9
CBFTruncEnd,0.9177448874270956,0.777291830254184,0.9215011037527594,0.8650327175034941,0.8850621509104108,0.9501982804174013,0.9534134850437797,0.9134348687102144,0.9435022791136397,0.9014492002113674,0.9634061266920505,0.8495363250712377,0.9048785871964681,0.9479838116261957,0.9402274175148525,0.8415010049829373,0.8943143152041325,0.8639291622837559,0.9491317144959529,0.9611987199431086,0.8904558227279237,0.9546207485764798,0.9403163103545342,0.9091084542029028,0.9425753243354024,0.8883067889437061,0.9124420838457018,0.9313831725854483,0.8881308798909581,0.9225601137828349
CarTruncEnd,0.743637941006362,0.7176836321573163,0.6805957200694044,0.7092972816657027,0.6758964719491034,0.7058993637941007,0.6576778484673221,0.7204308849045691,0.7045257374204742,0.6631000578369,0.8158617698091383,0.7429872758820126,0.7500722961249277,0.7426257952573743,0.7382880277617121,0.7379265471370735,0.6796558704453441,0.6411220358588781,0.6748843262001156,0.6961393869288606,0.7476865240023136,0.6641122035858879,0.6880422209369578,0.734600925390399,0.7200694042799305,0.7110323886639676,0.70213996529786,0.6607865818392133,0.5443898207056102,0.7510844418739155
ChinatownTruncEnd,0.9786165940357174,0.9786165940357174,0.9760104246774332,0.9514227121250961,0.9732974450995471,0.9738955823293173,0.9819277108433735,0.9327522857386994,0.9839357429718876,0.9826326582927455,0.969986328291891,0.9558232931726908,0.9806246261642314,0.9759036144578312,0.9793215414850893,0.9806246261642314,0.9859437751004017,0.9719943604204051,0.9773135093565752,0.9738955823293173,0.9779116465863453,0.9779116465863453,0.9706912757412629,0.9819277108433735,0.9753054772280612,0.9779116465863453,0.9839357429718876,0.9732974450995471,0.9839357429718876,0.9826326582927455
ChlorineConcentrationTruncStart,0.41086929986284937,0.4091386799880847,0.39984622208221726,0.4156779359105089,0.4090353156582636,0.40524951207500776,0.4043676778502026,0.4097417780250248,0.41094251606074983,0.425421017525854,0.41206314593130583,0.4113189181016376,0.41437506488225656,0.4095053600503005,0.40971878618096874,0.4129102007468579,0.42056929884017563,0.412336627887172,0.41537521758710555,0.41457176818147073,0.4183398033894761,0.418068364352519,0.4141293539944526,0.4122559584961129,0.4048384627851649,0.4063121290392748,0.3921604992545704,0.4051527899638983,0.40364257379779933,0.406973754658825
CinCECGTorsoTruncEnd,0.8112730065328955,0.7221242399106313,0.8361102401078115,0.7317944891806565,0.7586695962028703,0.7693478928021029,0.70030521438171,0.6784788798378674,0.805659938814798,0.7106705354038749,0.759519754725471,0.797620289262049,0.6902823644440886,0.7489297778608011,0.6970485960538733,0.7221035211512958,0.7807025920316912,0.7926359599086448,0.6613165678170582,0.7445752617272254,0.7004971019681709,0.6664721920150865,0.7388717912794408,0.7000911403026939,0.7679228053867291,0.7477212922872102,0.8172099132777225,0.7868282989342628,0.7813720933507978,0.7962147493845527
CoffeeTruncStart,0.9615384615384616,0.9230769230769231,0.8564102564102565,0.9333333333333333,0.8564102564102565,0.9282051282051282,0.9666666666666667,0.8282051282051281,0.9333333333333333,0.9666666666666667,0.8128205128205128,0.9230769230769231,0.9230769230769231,0.9282051282051282,0.8948717948717949,0.9333333333333333,0.8897435897435897,0.8846153846153846,0.8615384615384616,0.8666666666666667,0.8512820512820514,0.8333333333333333,0.9,0.8948717948717949,0.9615384615384616,0.823076923076923,0.9282051282051282,0.9,0.9282051282051282,0.9666666666666667
ComputersTruncStart,0.704,0.776,0.776,0.732,0.756,0.78,0.792,0.76,0.784,0.8160000000000001,0.768,0.74,0.788,0.792,0.78,0.792,0.8,0.744,0.784,0.792,0.756,0.764,0.8160000000000001,0.768,0.736,0.812,0.832,0.792,0.748,0.768
CricketXTruncEnd,0.5491673699239495,0.605496741788277,0.5679886599713956,0.5588681501885643,0.582099315354948,0.5830546382805744,0.5660328717396411,0.5992623863227137,0.5212832718840498,0.5970082507360196,0.6181601556279274,0.5780718539221924,0.6041649408561073,0.6020070870162949,0.5762171108073734,0.5665531945143091,0.578729199907315,0.6361094976329654,0.5992823986388817,0.5558487278777265,0.5743253427048258,0.5930313799004975,0.5898964030880255,0.5791339500285686,0.62658235641161,0.5975093317187244,0.557118033182619,0.6192731157362769,0.60074057026135,0.57623189999968
CricketYTruncEnd,0.578765653687544,0.5672943481498126,0.5510344696787558,0.6065965212708121,0.5529006235106355,0.5541947536908237,0.5672211762660505,0.5982469106708458,0.5992180556614896,0.6142801993108501,0.5792990868813475,0.60756053197747,0.6170955168430917,0.5849962827202652,0.6148473114900272,0.5807638274234125,0.5788768265500992,0.6068718381679473,0.6134520649749989,0.570175041018973,0.5619071368627656,0.6102886720069619,0.5830077505402007,0.5764318839924701,0.6149611070082345,0.5706464275826475,0.5873490809153596,0.5786200881568283,0.6096853097462435,0.5850792202080194
CricketZTruncEnd,0.5632950386221511,0.6136348002532146,0.5599395997170432,0.6155373437505858,0.5658615658265359,0.5788380866952914,0.5704133199595995,0.5850210649370932,0.5664694814065611,0.5922019311858641,0.5931918814428556,0.6125062370041419,0.5715251515187459,0.5809086578956868,0.5333489427733182,0.5864874988337009,0.6182408656830164,0.5624257317984299,0.6010380174888889,0.5804440372731982,0.5524794836310662,0.5980820573591404,0.5598930325627107,0.5778688949731573,0.6225840114685263,0.607001638833135,0.6036473217767923,0.5612167187861781,0.5587534132220598,0.5972988153193595
CropTruncEnd,0.6566071428571428,0.65875,0.6599404761904762,0.6594642857142857,0.6593452380952382,0.6608928571428572,0.6566666666666666,0.6549999999999999,0.6539285714285714,0.6532738095238095,0.6555357142857143,0.6552976190476191,0.6573809523809523,0.6558928571428572,0.6595833333333333,0.661547619047619,0.655952380952381,0.6588690476190476,0.6577380952380952,0.6645238095238096,0.6560119047619047,0.6552380952380953,0.6572619047619047,0.6540476190476191,0.6558928571428572,0.6576785714285714,0.6525,0.657797619047619,0.6582738095238095,0.6539285714285715
DiatomSizeReductionTruncEnd,0.6999919406834301,0.7250922411134858,0.5636102403343782,0.7665599018672482,0.8028828912429665,0.7176398502876221,0.5836456771614192,0.703648175912044,0.6698186810849894,0.651976900814583,0.6932595114435045,0.6265466154736945,0.7597167325428196,0.8591491850786405,0.7453971877697515,0.6984273820536541,0.7159452188799217,0.6995240895026374,0.725346768105309,0.7247703517680231,0.7636863386488575,0.7311372722729544,0.713994127211056,0.69859593897442,0.6139998182726818,0.5971296266760237,0.5302880474656289,0.7500038665386842,0.7422158118232953,0.6607886216466234
DistalPhalanxOutlineAgeGroupTruncStart,0.7373315949587136,0.7119802984209764,0.7912791539910184,0.7916558018252934,0.711690569317688,0.7420831522526438,0.7598435462842242,0.7631174851513834,0.7872808923656381,0.7249891351586267,0.6769810227437346,0.7429813124728378,0.720527306967985,0.7151093727364914,0.755091988990294,0.7740402723453571,0.7713747645951035,0.7703317398232653,0.7756048095031146,0.7586556569607418,0.7967840069534985,0.7966391424018543,0.7347240330291177,0.7255106475445459,0.6934086629001884,0.7692887150514269,0.739997102708967,0.7932203389830509,0.6792119368390556,0.730262204838476
DistalPhalanxOutlineCorrectTruncStart,0.7565217391304347,0.768944099378882,0.7484472049689441,0.7869565217391304,0.7645962732919255,0.760248447204969,0.7739130434782608,0.7453416149068323,0.7950310559006211,0.7658385093167702,0.7819875776397516,0.7714285714285714,0.7111801242236024,0.7484472049689441,0.7347826086956522,0.7583850931677019,0.7552795031055901,0.7583850931677019,0.7919254658385093,0.8,0.724223602484472,0.7211180124223603,0.7447204968944099,0.7540372670807454,0.7900621118012422,0.7664596273291926,0.7919254658385093,0.7720496894409938,0.7521739130434782,0.7484472049689441
DistalPhalanxTWTruncStart,0.467198980356875,0.5073099415204678,0.4816689158794422,0.4992502624081571,0.46318788424051577,0.48144399460188936,0.5054355975408608,0.47360923676713146,0.5013870145449093,0.4819313240365872,0.494489428699955,0.4862048283100915,0.546483730694257,0.5016119358224621,0.4911905832958465,0.5179937022042286,0.484517918728445,0.4842929974508922,0.5044984255510571,0.4987629329734593,0.5462588094167041,0.48526765632028795,0.49306492727545354,0.5061103613735193,0.49426450742240213,0.528902384165542,0.46697405907932227,0.517056530214425,0.49452691557954714,0.49782576098365566
ECG200TruncEnd,0.8515625,0.8637152777777778,0.8081597222222222,0.8394097222222222,0.8654513888888888,0.8020833333333333,0.8055555555555556,0.7951388888888888,0.7881944444444444,0.7847222222222222,0.8298611111111112,0.8064236111111112,0.8020833333333333,0.8220486111111112,0.7309027777777778,0.8671875,0.7899305555555556,0.8515625,0.7977430555555556,0.7604166666666667,0.7925347222222222,0.8185763888888888,0.8255208333333333,0.8159722222222222,0.8177083333333333,0.8532986111111112,0.7274305555555556,0.7743055555555556,0.8420138888888888,0.7682291666666667
ECG5000TruncStart,0.4724147053814255,0.4480061434110715,0.47292462778043926,0.45968743083200253,0.42860243918674545,0.43614104752721267,0.47328862151399836,0.44862931228329944,0.4647420080015053,0.4423161762776494,0.4711044935167944,0.4820185520063524,0.4605545013575716,0.4546183245284037,0.4250872722151328,0.4458593057341953,0.43718534163525485,0.454849897936055,0.4347777172464798,0.47304035304888165,0.4243322366353842,0.4470224568199093,0.46437155512163697,0.4502367163700711,0.4579910574293334,0.46820326661732264,0.45948347773551557,0.47829913691478876,0.4702651567529294,0.43806482611698633
ECGFiveDaysTruncStart,0.7216361615333147,0.6933208866633571,0.7335342427316484,0.7198662882303426,0.6336928838142928,0.7297597720748527,0.6816521335606829,0.6375563877317563,0.657599663292396,0.6267186117286482,0.7012961084371155,0.7182124279639982,0.5877409293993223,0.6231383954587641,0.5849593144978524,0.6697270725863893,0.7188599425870368,0.7677580885368327,0.6465649349247804,0.7564670522975977,0.6769657464764413,0.7688993330599383,0.6239828624463103,0.7002762729058298,0.6552146510975373,0.6410475707409725,0.6778776629038873,0.7623081737929248,0.6957922341412877,0.6635540998467548
EOGHorizontalSignalTruncEnd,0.4872080088987764,0.5805833642318625,0.578182548510691,0.6131226053639846,0.5618804844889383,0.6138518106538129,0.58931219873934,0.5941972562106044,0.6165399826968236,0.564120627858114,0.6191447287109134,0.5828296873068842,0.6163484118155976,0.578380299097763,0.5974663206031393,0.6279137313063898,0.5657860585836114,0.585786676554196,0.5776325546903968,0.5808769002595476,0.5774657026325547,0.5582838956865653,0.574944382647386,0.6024657026325547,0.571443579285626,0.6004171301446052,0.5751359535286121,0.5693054010629094,0.5882956371276727,0.5745025336793969
