Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.89,0.76,0.79,0.7899999999999999,0.7899999999999999,0.7699999999999999,0.76,0.74,0.76,0.77,0.75,0.8099999999999999,0.78,0.8100000000000002,0.8400000000000001,0.79,0.6900000000000001,0.8600000000000001,0.77,0.72,0.8099999999999999,0.78,0.8399999999999999,0.79,0.82,0.78,0.75,0.79,0.78,0.8099999999999999
AdiacTruncEnd,0.6933402183402184,0.6552310302310302,0.6343921468921468,0.6699926574926575,0.6804341304341304,0.6542988167988167,0.6464631464631463,0.7009520509520509,0.6772773772773772,0.6631069006069007,0.655055155055155,0.6675909300909301,0.7035913785913785,0.6729413604413604,0.693490480990481,0.6737090612090613,0.6608212733212734,0.6934725184725185,0.6538026538026538,0.6796324921324921,0.6622036747036747,0.6354692229692229,0.7293897168897169,0.6915187290187289,0.6962749712749712,0.6842717342717344,0.6854088854088853,0.6733653733653734,0.6573635448635449,0.6837759462759463
ArrowHeadTruncEnd,0.7809680065627563,0.7271898641874032,0.7693008841491205,0.7949138638228055,0.7673867468781334,0.8611794731565036,0.7750432959620818,0.7712150214201076,0.8621821164889253,0.7891714520098443,0.788624555646705,0.8022058153313281,0.8433141919606234,0.7315650350925167,0.7586364050679064,0.7780512259593473,0.7049494120864096,0.6939203354297693,0.6522650624373347,0.8137817883511075,0.8177012122869384,0.8423115486282017,0.8640962537599125,0.7833378908030261,0.775590192325221,0.744143651444718,0.7650168626378635,0.8002005286664845,0.7900829459484093,0.8215294868289126
BMETruncEnd,0.8466666666666667,0.7266666666666667,0.7266666666666666,0.7799999999999999,0.7933333333333333,0.7933333333333333,0.84,0.7866666666666666,0.8066666666666666,0.8266666666666667,0.82,0.8133333333333334,0.8466666666666667,0.7733333333333334,0.8333333333333334,0.8133333333333334,0.8066666666666666,0.84,0.7733333333333334,0.82,0.8266666666666667,0.7266666666666666,0.82,0.8066666666666666,0.7799999999999999,0.82,0.82,0.8133333333333334,0.8133333333333334,0.7799999999999999
BeefTruncStart,0.4,0.5,0.5333333333333333,0.4666666666666666,0.5,0.4333333333333333,0.5999999999999999,0.39999999999999997,0.4666666666666667,0.5333333333333333,0.4333333333333334,0.5666666666666667,0.5,0.36666666666666664,0.5333333333333333,0.3333333333333333,0.4333333333333333,0.4,0.4333333333333333,0.4666666666666667,0.3666666666666666,0.5333333333333333,0.33333333333333337,0.5666666666666667,0.5666666666666667,0.6333333333333333,0.36666666666666664,0.3666666666666666,0.36666666666666664,0.5
BeetleFlyTruncEnd,0.9,0.9,0.9,0.8500000000000001,0.9,0.8,0.8,0.8500000000000001,0.9,0.95,0.8500000000000001,0.9,0.6,0.75,1.0,0.95,0.8500000000000001,0.7,0.8500000000000001,0.95,0.8500000000000001,0.8,0.95,0.8,0.7,0.8500000000000001,0.95,0.85,0.8,0.8500000000000001
BirdChickenTruncEnd,0.9,0.9,0.9,1.0,0.95,0.9,1.0,0.95,0.95,0.8500000000000001,0.9,0.95,0.85,0.9,0.95,0.95,0.75,0.95,0.95,1.0,0.9,0.85,0.9,1.0,0.95,0.75,0.95,0.8500000000000001,0.95,0.95
CBFTruncEnd,0.9148852541594441,0.8983443708609271,0.9193671817512877,0.9104855524443062,0.9060632818248712,0.912590139808683,0.9425533480500367,0.9069094922737307,0.9314716703458424,0.9244883970151759,0.9267170886607307,0.9089771891096395,0.919205298013245,0.9214937454010301,0.9215599705665931,0.9182192788815305,0.8911365937251533,0.9204415011037527,0.9071080690005976,0.9370198675496688,0.9381236203090507,0.8917807211184695,0.9137006583008628,0.909374540103017,0.9281898454746137,0.9050256554612304,0.9512950699043414,0.935813097866078,0.899308314937454,0.930375177168368
CarTruncEnd,0.8384181607865818,0.8633603238866396,0.8370445344129555,0.8131145170618854,0.8050896471949104,0.8877241179872759,0.8262724117987277,0.7777617119722382,0.8444910352805091,0.8060294968189705,0.7881723539618276,0.7918594563331405,0.7750144592249856,0.8262724117987277,0.8553354540196646,0.6829814921920185,0.8215731636784269,0.7797137073452862,0.8468768074031232,0.8144881434355118,0.8070416425679584,0.7750144592249856,0.8468768074031232,0.8191873915558125,0.8394303065355697,0.8444910352805091,0.7881723539618276,0.8131145170618854,0.8046558704453441,0.8694331983805669
ChinatownTruncEnd,0.9652653165854909,0.9039348884901308,0.9599461676493206,0.9327522857386994,0.8891737161411604,0.9846406904212595,0.8848799453131675,0.8959027599760745,0.9826326582927455,0.938562761685038,0.7878321797829616,0.8333333333333333,0.8782577116978552,0.9652653165854909,0.8982953088951551,0.7991967871485943,0.9140818593523028,0.9793215414850893,0.9452918055199522,0.8955823293172691,0.8782149876100145,0.9806246261642314,0.9633640946765787,0.9190805776296675,0.8877638212424165,0.9451849953003504,0.966568401264633,0.9123515337947534,0.8982953088951551,0.9606511150986927
