Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8400000000000001,0.7000000000000001,0.72,0.74,0.7200000000000001,0.77,0.73,0.72,0.68,0.7,0.6799999999999999,0.68,0.76,0.75,0.76,0.76,0.6700000000000002,0.72,0.73,0.6599999999999999,0.7700000000000001,0.7300000000000001,0.76,0.75,0.74,0.7300000000000001,0.71,0.7300000000000001,0.7799999999999999,0.6799999999999999
AdiacTruncEnd,0.51746912996913,0.5071113946113947,0.5117820617820618,0.5697196572196571,0.5439474189474188,0.5187101937101938,0.5175456675456674,0.511514499014499,0.5595580845580844,0.47855507855507856,0.5339902214902214,0.4711826836826837,0.5595939720939721,0.5062294312294313,0.5347204222204223,0.5338233088233086,0.4612483987483987,0.5507282507282507,0.48066126816126814,0.5317804942804942,0.5005166755166754,0.49123897873897865,0.5371885246885246,0.5104308979308979,0.5539622539622541,0.548026448026448,0.4945468570468571,0.5347641847641847,0.4820699570699571,0.540886215886216
ArrowHeadTruncEnd,0.6828001093792726,0.6522650624373347,0.685625740588825,0.7267341172181204,0.6354024245738765,0.7925439795825359,0.6686719533315103,0.7030352748154224,0.76064169173275,0.7069546987512533,0.6715887339349194,0.7422295141737307,0.779509616261052,0.7156138911676239,0.590830370978033,0.7480630753805487,0.5932914046121592,0.6702214930270713,0.6329413909397502,0.7712150214201076,0.71807492480175,0.7707592744508248,0.6851699936195423,0.7296508978215295,0.7610974387020327,0.7248199799471333,0.7176191778324674,0.7170722814693282,0.7543523835566494,0.7562665208276366
BMETruncEnd,0.8533333333333334,0.7466666666666667,0.7200000000000001,0.7733333333333334,0.7400000000000001,0.7600000000000001,0.7733333333333334,0.7666666666666666,0.8066666666666666,0.7933333333333333,0.7599999999999999,0.8333333333333334,0.7733333333333333,0.7600000000000001,0.7799999999999999,0.7933333333333333,0.7466666666666667,0.86,0.7799999999999999,0.82,0.7866666666666666,0.7799999999999999,0.8066666666666666,0.82,0.82,0.7933333333333333,0.7866666666666666,0.7666666666666666,0.7733333333333334,0.7333333333333334
BeefTruncStart,0.3333333333333333,0.4,0.3666666666666666,0.5,0.4,0.5,0.4,0.4666666666666666,0.5,0.4,0.4333333333333333,0.4333333333333333,0.4333333333333333,0.4333333333333333,0.33333333333333337,0.4,0.4666666666666666,0.3333333333333333,0.3333333333333333,0.4000000000000001,0.3,0.4666666666666666,0.3666666666666667,0.5,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.3666666666666666,0.4,0.4333333333333333
BeetleFlyTruncEnd,0.8500000000000001,0.7,0.9,0.8,0.85,0.75,0.7,0.7,0.8,0.8,0.8,0.8,0.6,0.7,0.9,0.9,0.8,0.65,0.7,0.8500000000000001,0.8,0.75,0.8500000000000001,0.75,0.75,0.8500000000000001,0.9,0.8,0.8500000000000001,0.8500000000000001
BirdChickenTruncEnd,0.9,0.95,0.9,0.9,1.0,0.9,0.9,0.95,0.95,0.8500000000000001,0.85,0.9,0.85,0.95,0.9,0.95,0.75,0.9,0.95,0.95,0.8500000000000001,0.85,0.95,0.95,0.95,1.0,0.9,0.95,0.95,0.95
CBFTruncEnd,0.8871068837627352,0.8917144959529066,0.9126631307070437,0.9093298961435323,0.8993892568064753,0.8738925680647535,0.9347681131507078,0.8903162115847124,0.8972185430463576,0.9222439021981224,0.8820337200171858,0.9222218271429347,0.9137306843267107,0.933649347378402,0.9204488594554819,0.9003596703063347,0.8989813868270687,0.9193377483443709,0.9114786336182842,0.9237086092715231,0.9180714204581931,0.8983296541574687,0.9081374480841125,0.9004632798494748,0.924849153789551,0.902796074887279,0.939102281089036,0.9192273730684327,0.8881676716496042,0.9259305351842798
CarTruncEnd,0.7881723539618276,0.8060294968189705,0.8309716599190284,0.7628687102371313,0.7463851937536148,0.7848467322151533,0.8201995373048004,0.7909196067090805,0.8444910352805091,0.7379265471370735,0.7881723539618276,0.7787015615962984,0.7928716020821284,0.8248987854251012,0.8013302486986698,0.6472672064777327,0.7628687102371313,0.7726286871023713,0.789545980335454,0.7919317524580682,0.8191873915558125,0.7642423366107576,0.8337189126662811,0.7797137073452862,0.8182475419317524,0.7989444765760555,0.6975130133024869,0.7689415847310583,0.7220213996529785,0.8013302486986698
ChinatownTruncEnd,0.9027386140305904,0.8330556267623686,0.9091472272066992,0.8538408954968811,0.9018200461420149,0.9159830812612151,0.8721268050927112,0.8978039818849868,0.8672989831667094,0.909852174656071,0.7590147825343929,0.857429718875502,0.8033623857130651,0.8999188242331027,0.9196787148594378,0.5721609843629838,0.8501452618986585,0.9253182944544134,0.5280910877552765,0.8714859437751004,0.7850764761172349,0.5464838075707084,0.8305562676236862,0.8535204648380756,0.8804366401777322,0.8884687686917885,0.9258096214645817,0.8930829701785867,0.9136546184738956,0.8197043493121422
ChlorineConcentrationTruncStart,0.48533217900926556,0.4714382276017657,0.5363223884226008,0.4647553314481203,0.478372588979496,0.46811885879505805,0.5330219495040841,0.48254404096715037,0.5022532282424598,0.5127266839285826,0.4777244981530942,0.48149576916331044,0.4698181137726474,0.5043105172058046,0.510021686047691,0.47205385435399644,0.4893613548704588,0.4623427844724457,0.45357987304633207,0.4677255074489439,0.46899328698344184,0.5302158718652602,0.47828720270037534,0.4895061023742529,0.5370729085396558,0.4616880042705951,0.4836796482627137,0.46893985010217093,0.46783484388607305,0.5017555380614179
CinCECGTorsoTruncEnd,0.6989847066646208,0.5845956098468591,0.7278300231501558,0.6509281114647014,0.7028152939284027,0.6102822829033543,0.6061468518975641,0.49381473129733533,0.6298462586516573,0.6824769591829323,0.7000499214614472,0.5425025592671415,0.6083382813733536,0.6468885315922163,0.6267592302258159,0.634000091918646,0.6580903678895553,0.6476771194475393,0.5459727883743668,0.6678977093725145,0.6413679347733428,0.5961591867868429,0.6063368269831634,0.646270586255642,0.6042158079315413,0.655441127960392,0.6138653273230399,0.6871589577315071,0.6720464129860291,0.5604249347118165
CoffeeTruncStart,0.9615384615384616,0.9615384615384616,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9282051282051282,0.9230769230769231,0.8948717948717949,1.0,0.9282051282051282,0.9,0.9615384615384616,0.8512820512820514,0.9282051282051282,0.9282051282051282,1.0,0.9666666666666667,0.8948717948717949,0.9333333333333333,0.9282051282051282,0.9282051282051282,0.9333333333333333,0.9666666666666667,0.9282051282051282,0.9282051282051282,0.9,0.9282051282051282,0.9282051282051282,0.9615384615384616,0.8948717948717949
