Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8600000000000001,0.7500000000000001,0.68,0.74,0.7899999999999999,0.72,0.74,0.78,0.74,0.79,0.71,0.7300000000000001,0.76,0.82,0.8400000000000001,0.8,0.64,0.82,0.7300000000000001,0.6599999999999999,0.82,0.79,0.85,0.8,0.89,0.7200000000000001,0.6599999999999999,0.8,0.82,0.8099999999999999
AdiacTruncEnd,0.6470910470910471,0.6575336825336826,0.6358300483300483,0.6392727017727018,0.6758634008634008,0.6391887391887392,0.6545060045060044,0.6343312843312843,0.6409983409983411,0.6197135822135822,0.6320010320010319,0.6316463941463941,0.6488073113073114,0.6309240309240309,0.6348832473832475,0.6462489087489086,0.633122958122958,0.6325655575655574,0.6253604878604878,0.6518445518445518,0.6413227163227162,0.6168196668196667,0.6801518676518677,0.6381363381363382,0.641385603885604,0.6318724443724445,0.5913133413133412,0.6431120306120306,0.5996051621051621,0.6374047874047872
ArrowHeadTruncEnd,0.5077021237808769,0.670677239996354,0.7025795278461399,0.6876310272536688,0.6570959803117309,0.7064078023881142,0.6797921793820071,0.6774222951417372,0.6614711512168444,0.6885425211922341,0.7122413635949321,0.7103272263239448,0.7514356029532404,0.6377723088141464,0.6880867742229514,0.6755081578707501,0.6508066721356304,0.6673047124236624,0.6446085133533862,0.7219031993437244,0.721994348737581,0.7271898641874032,0.7185306717710328,0.6759639048400329,0.6623826451554097,0.6275635767022149,0.7514356029532404,0.6850788442256858,0.5918330143104549,0.6929176920973474
BMETruncEnd,0.6866666666666666,0.6733333333333333,0.62,0.6866666666666666,0.7333333333333334,0.68,0.6933333333333334,0.6866666666666666,0.6933333333333334,0.6933333333333334,0.7133333333333334,0.7333333333333334,0.6933333333333334,0.7599999999999999,0.7266666666666667,0.6933333333333334,0.7400000000000001,0.6333333333333333,0.7066666666666667,0.6666666666666666,0.6666666666666666,0.6133333333333334,0.6466666666666666,0.6866666666666666,0.7600000000000001,0.7200000000000001,0.7666666666666666,0.6933333333333334,0.7666666666666666,0.6866666666666666
BeefTruncStart,0.6,0.5333333333333333,0.4666666666666667,0.7333333333333333,0.26666666666666666,0.4333333333333334,0.5666666666666667,0.5,0.5666666666666667,0.5,0.5,0.5333333333333333,0.4666666666666666,0.4666666666666667,0.5333333333333334,0.4333333333333333,0.39999999999999997,0.4999999999999999,0.36666666666666664,0.4666666666666667,0.4666666666666667,0.6,0.3333333333333333,0.5666666666666667,0.4999999999999999,0.5333333333333334,0.4666666666666666,0.39999999999999997,0.3,0.4333333333333333
BeetleFlyTruncEnd,0.9,0.8,0.85,0.9,0.8,0.6499999999999999,0.9,0.9,0.85,0.7,0.95,0.75,0.6,0.85,0.7,0.85,0.75,0.8,0.8500000000000001,0.8500000000000001,0.95,0.8,0.8500000000000001,0.7,0.65,0.8500000000000001,0.9,0.9,0.8500000000000001,0.8
BirdChickenTruncEnd,0.55,0.85,0.7,0.8,0.75,0.7,0.9,0.7,0.7,0.7,0.7,0.75,0.6499999999999999,0.75,0.7,0.85,0.75,0.7,0.7,0.9,0.9,0.7,0.75,0.55,0.8,0.7,0.95,0.7,0.7,0.7
CBFTruncEnd,0.8216673827478752,0.8076230548518205,0.8473583517292127,0.7645768947755703,0.8784176580687536,0.7832889856833143,0.8095724254411308,0.8881898454746137,0.8794922737306843,0.8001205485675906,0.8836860403672263,0.7554672553348049,0.771114123590678,0.8428987955020224,0.8506030885323298,0.84186902133922,0.751984828955361,0.8761734595611657,0.8253051740571187,0.912590041038861,0.8938262441293686,0.7701248944397528,0.8452023546725534,0.7815011037527594,0.859907551446731,0.8274463556404976,0.9069386293711817,0.860404511805463,0.8673142016188374,0.8604622921512561
CarTruncEnd,0.7365529207634471,0.8144881434355118,0.8384181607865818,0.7318536726431463,0.7518796992481203,0.6965008675534992,0.7760266049739734,0.7181174089068826,0.7736408328513591,0.7774002313475998,0.7919317524580682,0.8074031231925969,0.7369144013880856,0.8323452862926547,0.8863504916136495,0.6590514748409485,0.8290196645459803,0.7403123192596878,0.5528484673221515,0.8027038750722961,0.7261422787738576,0.7628687102371313,0.8252602660497398,0.7618565644881434,0.704598033545402,0.7326489300173511,0.628397917871602,0.6975130133024869,0.6698235974551764,0.7689415847310583
ChinatownTruncEnd,0.8879774416816202,0.9240152097752713,0.9294411689310433,0.670874989318978,0.565090147825344,0.7681363752883876,0.8828719131846535,0.7257540801503888,0.9659702640348629,0.8991070665641289,0.7483764846620524,0.825408015038879,0.8709305306331709,0.8829359993164145,0.7920832265231137,0.7149662479706058,0.9405707938135521,0.853947705716483,0.8092796718790054,0.8353413654618473,0.8013116294967102,0.9519140391352645,0.7832820644279245,0.7876826454755191,0.8650773305989917,0.7758480731436384,0.6744638126975989,0.8290395625053405,0.8165000427240878,0.8999188242331027
