Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8300000000000001,0.7499999999999999,0.79,0.7200000000000001,0.8400000000000001,0.7300000000000001,0.74,0.72,0.7100000000000001,0.75,0.73,0.71,0.75,0.7,0.76,0.75,0.68,0.7699999999999999,0.71,0.6900000000000001,0.7700000000000001,0.76,0.76,0.77,0.76,0.76,0.69,0.6599999999999999,0.76,0.6799999999999999
AdiacTruncEnd,0.6458142083142083,0.5973626973626974,0.659001659001659,0.6458119583119584,0.6854381354381354,0.6297566172566172,0.6294109794109795,0.6779426279426278,0.6416875916875916,0.6484613359613359,0.6074248199248199,0.6699076449076449,0.625483862983863,0.6638455763455763,0.6613166113166112,0.6555645930645931,0.6529807279807279,0.6456217206217207,0.648521111021111,0.681904656904657,0.6629394254394254,0.6121994746994747,0.6764143139143138,0.6709193959193958,0.6650157650157649,0.6134967884967885,0.6247407247407247,0.6242945492945493,0.5982559857559857,0.6371190371190371
ArrowHeadTruncEnd,0.7621000820344545,0.7005742411812962,0.8588095889162336,0.7949138638228055,0.7514356029532404,0.8592653358855165,0.8268161516725914,0.8074924801750069,0.8640962537599126,0.8273630480357306,0.7992890347279191,0.6372254124510072,0.8611794731565036,0.6778780421110199,0.8026615623006107,0.7746786983866557,0.8089508704767114,0.6779691915048764,0.643058973657825,0.8022058153313281,0.8718439522377176,0.8186127062255036,0.8466867195333151,0.7451462947771397,0.7799653632303345,0.8118676510801204,0.6683073557560842,0.7953696107920883,0.820071096527208,0.8152401786528118
BMETruncEnd,0.66,0.5933333333333334,0.7266666666666667,0.54,0.7000000000000001,0.7799999999999999,0.8266666666666667,0.7200000000000001,0.6866666666666666,0.7999999999999999,0.8066666666666666,0.8066666666666666,0.7733333333333334,0.58,0.7999999999999999,0.7799999999999999,0.6333333333333333,0.84,0.7666666666666666,0.5533333333333333,0.7599999999999999,0.6133333333333334,0.6533333333333333,0.7933333333333333,0.7266666666666667,0.7466666666666667,0.8066666666666666,0.7466666666666667,0.8333333333333334,0.7333333333333333
BeefTruncStart,0.39999999999999997,0.4,0.5,0.4666666666666666,0.4666666666666667,0.4999999999999999,0.5,0.4666666666666666,0.4666666666666667,0.4333333333333333,0.4333333333333334,0.5666666666666667,0.4,0.2333333333333333,0.5333333333333333,0.36666666666666664,0.4999999999999999,0.4666666666666667,0.4,0.36666666666666664,0.4,0.5333333333333333,0.4666666666666666,0.5333333333333333,0.6,0.6,0.29999999999999993,0.4333333333333333,0.4333333333333334,0.4666666666666666
BeetleFlyTruncEnd,0.9,0.85,0.9,0.75,0.95,0.8,0.9,0.9,0.8,1.0,0.7,0.95,0.75,0.8,0.95,0.95,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.8500000000000001,0.85,0.75,0.9,0.8,0.6,0.9
BirdChickenTruncEnd,0.8500000000000001,0.8,0.9,1.0,0.85,0.8,0.85,0.8500000000000001,0.95,1.0,0.85,0.85,0.7,0.9,1.0,0.95,0.6000000000000001,0.8500000000000001,0.85,0.95,0.9,0.75,0.9,0.95,0.75,0.85,0.85,0.8,0.9,0.9
CBFTruncEnd,0.9191597651253636,0.8950331125827814,0.9326048565121413,0.9059234731420162,0.8982928623988227,0.8982928623988227,0.9291389740778602,0.8434638082680218,0.9248565121412803,0.902729948491538,0.9282044634082501,0.9035686030490244,0.9357316621479473,0.924701986754967,0.9092273730684326,0.9280423821305638,0.9023297331733263,0.8981383370125092,0.9293009565857249,0.9502281089036057,0.9325311742250273,0.8672096043774785,0.9226265364880414,0.900588668138337,0.918270787343635,0.863735079583784,0.957954378219279,0.9336423841059602,0.8815892064338663,0.9456952654685887
CarTruncEnd,0.8084152689415847,0.8286581839213418,0.8647339502602661,0.8863504916136495,0.6805957200694042,0.9332706766917293,0.7520965876229033,0.8087767495662233,0.8525882012724117,0.6741613649508386,0.7938837478311163,0.6643290919606708,0.7834731058415269,0.6714141122035859,0.8168739155581262,0.6920185078079815,0.8343695777906305,0.650159051474841,0.8863504916136495,0.8825910931174089,0.7915702718334297,0.6299884326200116,0.7858588779641411,0.8408039329091961,0.7742914979757085,0.8262724117987277,0.6920185078079815,0.7736408328513591,0.8188259109311741,0.871818970503181
ChinatownTruncEnd,0.8711014269845339,0.8699051525249937,0.7877894556951208,0.8452106297530548,0.751473981030505,0.8486285567803127,0.7942407929590702,0.7948389301888406,0.7638426044603948,0.8675126036059131,0.7125523370076049,0.827416047167393,0.6822823207724515,0.9099589848756728,0.8354481756814491,0.6540630607536528,0.7967401520977527,0.7977655302059301,0.7794796206101,0.8194907288729385,0.8516192429291635,0.8776168503802444,0.8740280270016235,0.8937879176279586,0.8103691361189438,0.804067333162437,0.7472442963342734,0.8308339741946509,0.7701016833290609,0.8930829701785867
ChlorineConcentrationTruncStart,0.587341047110979,0.5967498742842875,0.5938981954733746,0.5881193144141434,0.6018567999698375,0.5754102741889224,0.593431963288646,0.6073295324072119,0.588984020016687,0.5831617128645739,0.5795125334805498,0.5990077485785082,0.5965239427131132,0.5916590013187878,0.6019805752737,0.5877039149658866,0.5953663577469287,0.5902452894927711,0.5799066958011109,0.5996082424706493,0.5984393921039978,0.5804253506936753,0.5996988364321999,0.5996544200478356,0.5962994066170605,0.5769540303314037,0.5824233243747473,0.5880494661787519,0.6086183697523703,0.5837517675099022
CinCECGTorsoTruncEnd,0.9709443788412172,0.8862823170022068,0.9708496322142238,0.9767517951933962,0.7394202676166904,0.9638932846757533,0.9387449694926462,0.9330460134364305,0.9424609067774434,0.8825015288887703,0.8773798293426556,0.9200216305330021,0.7750991238818727,0.9280857756636489,0.9298240128567501,0.8584944504117435,0.9058663406519849,0.8217899896146755,0.8400304739962892,0.8469324190393167,0.9686581434360821,0.9592319789417346,0.8409728550895132,0.9406666473934021,0.8991367801343051,0.8763443027859503,0.9572346460650294,0.892258122383747,0.9375241342041883,0.8066180832145432
CoffeeTruncStart,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,0.9615384615384616,1.0,1.0,1.0,0.9666666666666667,1.0,0.9615384615384616,1.0,1.0,0.9666666666666667,0.9615384615384616,1.0,1.0,0.9615384615384616,0.9615384615384616,1.0,1.0,0.9615384615384616,1.0
ComputersTruncStart,0.6639999999999999,0.808,0.8240000000000001,0.8160000000000001,0.804,0.8280000000000001,0.784,0.812,0.788,0.788,0.8240000000000001,0.8280000000000001,0.804,0.808,0.784,0.8200000000000001,0.812,0.76,0.8200000000000001,0.8,0.8,0.8160000000000001,0.788,0.792,0.772,0.8240000000000001,0.776,0.78,0.808,0.804
CricketXTruncEnd,0.7293418080899671,0.7419957651509294,0.7189766570974808,0.7403916675520058,0.7310416243828023,0.6626825108385862,0.7502531289235872,0.71726780770125,0.7510116092319287,0.7571183838037143,0.7367031154530538,0.7674696560426004,0.787076177897808,0.6212763211984339,0.6849733728116113,0.7260968991596833,0.7334767619841923,0.7573291550307996,0.7463077028607213,0.7204030797952665,0.7128125660036475,0.7664454707374486,0.7098897830476377,0.7284339237068506,0.713133863560622,0.7205669491591183,0.6231568715597667,0.7556832230997124,0.7581333390748034,0.7499075801709103
CricketYTruncEnd,0.7082527825899749,0.6165094853076393,0.5861377093935328,0.6590084322293926,0.5951958337217899,0.6818169095178271,0.7072659140459147,0.7122289568422526,0.6917515696748545,0.6954384613874529,0.7251835547191295,0.7325011209616448,0.7184563062316326,0.6060694066637149,0.7633704559204911,0.7264294050622201,0.7180086551290463,0.6470434291297341,0.6743077067435627,0.5915101713466319,0.631926170891545,0.7246567150029125,0.6202723105043084,0.7406711652921697,0.6150859514117505,0.6337200042031391,0.7060690312017358,0.7128055945195496,0.7630402460314577,0.727978307979678
CricketZTruncEnd,0.7025162594415023,0.7449672728263792,0.7047542518469377,0.7520334110632833,0.7253771003717625,0.7374354530167491,0.7423923346447232,0.7618958292381279,0.6935660806697425,0.7404878957508867,0.7395406934520312,0.7231901208736442,0.739559741693062,0.6765111010810675,0.7230166324421755,0.7295692099457981,0.7721181658950221,0.6907086054943895,0.650756418444846,0.707186749014442,0.7663768647754984,0.7216082169499085,0.7122483413680235,0.7381850627013166,0.7567342669368063,0.7458065264273227,0.7700247536547847,0.7352874805099036,0.724810786188662,0.7080201571590891
CropTruncEnd,0.6205357142857143,0.6198214285714285,0.6185714285714287,0.6117261904761905,0.6135119047619048,0.6127380952380952,0.6223809523809524,0.6207738095238096,0.6214285714285714,0.6220833333333334,0.619702380952381,0.6163690476190476,0.6145833333333334,0.6192857142857143,0.6079166666666667,0.6226785714285714,0.6086309523809524,0.6225,0.6183928571428572,0.6213690476190477,0.6172023809523809,0.6151785714285715,0.6105357142857143,0.6206547619047619,0.6101190476190476,0.625297619047619,0.6180357142857142,0.6185119047619048,0.6189880952380952,0.6192857142857143
DiatomSizeReductionTruncEnd,0.7221453344894284,0.6859389454209066,0.51559127351218,0.736586493987049,0.7379916183107672,0.6780758556891767,0.6913737280296022,0.7179694727104533,0.7441622515628066,0.7282203313236998,0.6966350601295097,0.7125047244269548,0.7416183107672469,0.7410541586073501,0.7473404255319149,0.736586493987049,0.685364281108962,0.7208530647635563,0.7047294172062905,0.7466656541168487,0.7391477133773539,0.7466656541168487,0.6298583662714097,0.741963459759482,0.728549953746531,0.6534493874919407,0.6963566089295777,0.7393038852913969,0.6595744680851063,0.7070438426821406
DistalPhalanxOutlineAgeGroupTruncStart,0.7067072287411271,0.6957844415471534,0.7590323047950167,0.684253223236274,0.6607851658699117,0.7140663479646531,0.726032159930465,0.7634941329856585,0.6576560915543966,0.6855280312907431,0.6376647834274953,0.6178183398522381,0.6371432710415761,0.7474431406634796,0.6367666232073012,0.6851513834564682,0.7869042445313631,0.7357670578009561,0.7740402723453571,0.7479646530493987,0.6780819933362306,0.7290743155149935,0.6391424018542663,0.680399826162538,0.6414602346805737,0.7079820367955961,0.7569462552513401,0.6760828625235406,0.6537157757496741,0.7130233231928148
DistalPhalanxOutlineCorrectTruncStart,0.6385093167701863,0.6590062111801243,0.6714285714285714,0.6869565217391305,0.6385093167701863,0.6664596273291925,0.646583850931677,0.6565217391304348,0.6198757763975156,0.6708074534161491,0.662111801242236,0.653416149068323,0.6093167701863353,0.6322981366459627,0.6869565217391305,0.6745341614906832,0.6720496894409937,0.6608695652173913,0.7099378881987578,0.668944099378882,0.622360248447205,0.653416149068323,0.6434782608695652,0.6478260869565218,0.6608695652173913,0.648447204968944,0.6751552795031056,0.6819875776397515,0.6434782608695652,0.6745341614906832
DistalPhalanxTWTruncStart,0.5125206177837757,0.5019171861277124,0.450104963262858,0.4225895936422252,0.41974059079322235,0.45616846603688704,0.4681361523466787,0.47405907932223723,0.4909281751387014,0.4951548208127156,0.48709514170040485,0.4664867296446244,0.45224171539961017,0.4769080821712401,0.5317513870145449,0.44391962813015445,0.47289698605488084,0.5518724696356275,0.47645823961613437,0.49520167941220566,0.4914155045733993,0.5286306042884991,0.4270880191932824,0.4513045434098066,0.49849115309641623,0.5217330184435447,0.4973384315489579,0.5013870145449092,0.47885739991003157,0.44418203628729946
ECG200TruncEnd,0.6987847222222222,0.7526041666666667,0.6909722222222222,0.7361111111111112,0.7126736111111112,0.7048611111111112,0.6788194444444444,0.6493055555555556,0.6927083333333334,0.7126736111111112,0.6371527777777778,0.6310763888888888,0.7092013888888888,0.6753472222222222,0.7048611111111112,0.8333333333333333,0.71875,0.7005208333333334,0.6727430555555556,0.6866319444444444,0.7309027777777778,0.7526041666666667,0.8177083333333333,0.6909722222222222,0.703125,0.6944444444444444,0.6536458333333334,0.7326388888888888,0.7821180555555556,0.7621527777777778
ECG5000TruncStart,0.4648286242563199,0.42607294898183545,0.4677131888333985,0.4572340495224389,0.45408382708523,0.4543546746922084,0.46057699978396605,0.4553012431157404,0.4685777205600454,0.43405640536529433,0.4696241512895469,0.47898430557412447,0.45518060870868193,0.46473912702881426,0.42399116421745575,0.4617532413149962,0.43722262279566265,0.46424735695619274,0.4389421504021064,0.440833814003168,0.4157262271334047,0.4434896832819075,0.42470961583772365,0.4469884766580501,0.4474416490204981,0.45619770326316933,0.44539212855412824,0.45025112050177407,0.4666853361829043,0.44444013406244187
ECGFiveDaysTruncStart,0.7250248213938831,0.838337182448037,0.801196822861583,0.8890780470958969,0.734127797802767,0.7709713798536617,0.8417339362413934,0.7361809587533186,0.8832773952645097,0.8160060218859942,0.8821766204053442,0.9050959400833136,0.6680651183872569,0.8311659579978847,0.8032769635880943,0.8923668817854137,0.8219550624851611,0.8750593555071118,0.7908042131618139,0.8483655651723467,0.7826671127322959,0.8310040793421252,0.8878153935809716,0.866854805637694,0.7936478815479916,0.8343468735835617,0.8602636463706805,0.8854789449828409,0.8576843797889102,0.8359872439619261
EOGHorizontalSignalTruncEnd,0.382088122605364,0.5413113335805215,0.5531516499814609,0.6220831788406872,0.5442497837102954,0.5780744036583859,0.5842757384748486,0.5977289581015944,0.5854097144975899,0.578182548510691,0.5910548757879125,0.5833673217154863,0.6279137313063899,0.56391051785935,0.5968916079594612,0.6224539611914474,0.5863428500803363,0.5453868495859596,0.6167130144605116,0.5839234952416266,0.539000123594117,0.5398127549128662,0.575386231615375,0.577889012483006,0.550033988382153,0.5974354220739094,0.560576566555432,0.5967185761957731,0.5641855147694971,0.574573600296626
EOGVerticalSignalTruncEnd,0.33005808923495245,0.564228772710419,0.5200469657644295,0.5666481275491287,0.5282968730688419,0.5693301198862935,0.5668211593128167,0.539414163885799,0.549796069707082,0.5122636262513904,0.5914750957854407,0.5612779631689533,0.5470121122234582,0.5307162279075516,0.5662958843159066,0.5421795822518848,0.5300766283524904,0.5037510814485232,0.5092108515634656,0.5842108515634655,0.49587195649487087,0.511265603757261,0.5289302929180572,0.5397725868248672,0.5164503769620566,0.5330459770114943,0.528207267334075,0.5306266221727846,0.5920189098998888,0.5281114818934618
EarthquakesTruncStart,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ElectricDevicesTruncStart,0.5709700580043979,0.7617157418050268,0.760991129297655,0.741060099221051,0.7569300651605468,0.7417764977432209,0.7582146852848647,0.7495559146072887,0.7560798107648751,0.7521579989546028,0.7531431011022827,0.7634005955501194,0.7594385490382215,0.7592021944157616,0.765876376251315,0.7618045177707619,0.7570765809796953,0.762134192136074,0.7492424194058361,0.7542379168076427,0.7512197132999926,0.7595784723559903,0.7450047897870565,0.7555010091127011,0.7477316682025571,0.746107694031793,0.752411457031103,0.7479245437372476,0.765367241516971,0.7500953528157812
EthanolLevelTruncEnd,0.31813236047107013,0.4062660010240655,0.4061699948796723,0.3564068100358423,0.3823604710701485,0.4002176139272914,0.43871607782898103,0.4222030209933436,0.3759920634920635,0.3621351766513057,0.42447516641065025,0.35618279569892475,0.42031490015360984,0.43631592421915,0.3966973886328725,0.4425243215565796,0.4384280593958013,0.4344278033794162,0.4484767025089606,0.4307475678443421,0.40418586789554534,0.438300051203277,0.4267793138760881,0.422363031233999,0.4225550435227854,0.40828213005632363,0.3860087045570917,0.43631592421915,0.4145545314900153,0.44246031746031744
FaceAllTruncEnd,0.864594475037542,0.9415442949954832,0.926720522626289,0.9321586247480586,0.9329207414925873,0.9189797029113999,0.926613725658834,0.9418540221062505,0.9250076275306248,0.9297441595626301,0.9217753431949711,0.9337067260508555,0.9276034349584851,0.9342600782439605,0.9429235715839572,0.9433131510156552,0.9258866862402934,0.9395412083094918,0.9292130225086462,0.9417051667060073,0.937255387242058,0.9306015303739594,0.9535307826846379,0.9286320131226914,0.9295946475066093,0.9450650904242114,0.9474179916163105,0.942294600221331,0.9378197751125767,0.9458462146612937
