Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,26.311866974055512,25.230557372382,23.78881123681731,23.788811236817313,27.7536131096202,25.95143044016434,24.87012083849083,25.59099390627317,26.311866974055512,25.95143044016434,27.032740041837855,25.95143044016434,26.311866974055512,24.50968430459966,25.951430440164344,24.87012083849083,24.87012083849083,23.78881123681731,26.67230350794668,27.7536131096202,24.149247770708484,23.06793816903497,23.788811236817313,25.59099390627317,24.87012083849083,23.06793816903497,21.986628567361457,25.230557372382,22.7075016351438,24.50968430459966
AdiacTruncEnd,27.470610511398746,27.194060741149762,27.286243997899422,27.747160281647727,28.115893308646367,26.73314445740146,27.101877484400102,26.364411430402818,27.009694227650442,27.378427254649083,27.747160281647723,26.364411430402818,27.194060741149762,26.6409612006518,26.733144457401462,27.009694227650442,28.208076565396027,26.733144457401462,28.392443078895347,27.470610511398746,27.101877484400102,27.839343538397387,25.903495146654517,28.208076565396027,27.194060741149762,27.009694227650442,26.91751097090079,28.484626335645007,28.023710051896707,29.129909132892625
ArrowHeadTruncEnd,17.506917360428332,16.88902615947204,17.506917360428332,20.390409631557706,17.300953626776234,16.683062425819937,20.390409631557702,18.948663495993017,17.918844827732528,17.506917360428332,17.918844827732528,20.8023370988619,17.71288109408043,15.85920749121155,19.15462722964511,17.506917360428332,19.77251843060141,19.77251843060141,19.154627229645115,17.506917360428332,19.978482164253506,15.85920749121155,18.124808561384626,17.918844827732528,17.506917360428332,16.27113495851574,18.74269976234092,17.300953626776234,19.77251843060141,17.506917360428332
BMETruncEnd,13.21600624267629,12.014551129705717,10.813096016735146,14.657752378240975,9.611640903764574,12.495133174893947,10.572804994141032,12.014551129705717,10.332513971546916,10.092222948952804,11.053387039329259,8.169894768199887,8.89076783598223,12.735424197488063,10.092222948952804,11.53396908451749,13.696588287864518,12.254842152299833,10.332513971546916,12.495133174893946,10.332513971546918,14.417461355646862,15.618916468617435,11.05338703932926,9.131058858576347,11.774260107111603,13.216006242676292,9.131058858576347,10.813096016735146,9.37134988117046
BeefTruncStart,18.021826694558577,22.827647146440864,25.230557372382005,18.021826694558573,19.223281807529148,19.223281807529148,20.424736920499715,20.42473692049972,21.626192033470286,21.626192033470293,22.827647146440864,21.626192033470293,24.029102259411435,22.827647146440864,21.626192033470293,21.626192033470293,22.827647146440864,24.029102259411435,18.021826694558577,20.42473692049972,21.626192033470293,18.021826694558577,20.42473692049972,20.42473692049972,19.223281807529148,21.626192033470293,22.827647146440864,20.42473692049972,22.827647146440864,21.626192033470293
BeetleFlyTruncEnd,12.615278686191001,16.219644025102717,12.615278686191004,12.615278686191001,14.41746135564686,14.41746135564686,18.021826694558577,12.615278686191001,14.41746135564686,16.219644025102717,16.219644025102717,10.813096016735145,14.41746135564686,21.62619203347029,10.813096016735145,16.219644025102717,21.62619203347029,14.417461355646859,12.615278686191001,18.021826694558577,16.219644025102717,10.813096016735146,14.41746135564686,19.824009364014433,18.021826694558577,12.615278686191001,10.813096016735146,16.219644025102717,25.230557372382002,12.615278686191004
BirdChickenTruncEnd,14.417461355646859,16.219644025102717,16.219644025102717,12.615278686191004,18.021826694558577,9.010913347279288,12.615278686191004,12.615278686191001,16.219644025102717,16.219644025102717,21.62619203347029,23.428374702926146,19.824009364014433,16.219644025102717,16.219644025102717,18.021826694558577,10.813096016735145,10.813096016735145,18.021826694558577,9.010913347279288,9.010913347279288,19.824009364014433,19.824009364014433,18.021826694558577,14.41746135564686,12.615278686191001,18.021826694558577,14.41746135564686,14.41746135564686,12.615278686191001
CBFTruncEnd,1.882279676987229,3.083734789957801,2.603152744769572,1.7621341656901721,4.565529429288173,2.8834922711293722,1.8422311732215437,3.0837347899578007,1.641988654393115,1.641988654393115,2.6832497523009433,2.7232982560666295,2.4029102259411435,1.922328180752915,1.8422311732215435,3.6844623464430866,4.645626436819544,3.5242683313803442,3.203880301254858,2.8834922711293722,1.922328180752915,3.764559353974458,1.6820371581588005,3.8046078577401437,2.442958729706829,3.083734789957801,3.4441713238489724,2.6832497523009433,6.728148632635201,6.047324068618544
CarTruncEnd,24.629829815896723,24.629829815896723,21.626192033470296,21.025464476985015,23.428374702926146,21.025464476985015,23.428374702926153,20.42473692049973,21.025464476985007,24.629829815896723,22.827647146440867,24.02910225941144,24.029102259411438,24.029102259411438,21.025464476985007,24.629829815896723,22.82764714644087,26.43201248535258,21.02546447698501,22.22691958995558,25.230557372382012,23.428374702926153,22.226919589955582,22.827647146440867,21.626192033470296,22.226919589955582,23.428374702926153,24.629829815896723,23.428374702926156,21.025464476985007
ChinatownTruncEnd,2.1016707515520205,5.464343954035254,2.8372555145952276,3.8880908903712377,2.5220049018624247,4.09825796552644,2.942339052172829,6.935513480121667,3.4677567400608336,1.7864201388192176,11.874439746268918,11.559189133536112,4.623675653414445,5.779594566768056,2.416921364284824,12.084606821424119,3.783007352793637,3.6779238152160363,5.14909334130245,3.677923815216036,5.464343954035254,7.776181780742475,4.623675653414445,4.938926266147248,5.149093341302451,2.942339052172829,4.413508578259243,2.7321719770176265,5.464343954035254,3.6779238152160363
